Date of analysis,Country,Total country population,Level 1,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#loc+level1,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Jan 2018,AFG,31575018,Badakhshan,2017-11-01,2018-02-28,982835,512103,0.52,178258,0.18,292473,0.3,292284,0.3,219819,0.22,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 2018,AFG,31575018,Takhar,2017-11-01,2018-02-28,1017575,370904,0.37,197135,0.19,449537,0.44,284022,0.28,86882,0.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 2018,AFG,31575018,Baghlan,2017-11-01,2018-02-28,946394,223898,0.24,306818,0.32,415679,0.44,179050,0.19,44848,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 2018,AFG,31575018,Kunduz,2017-11-01,2018-02-28,979973,195143,0.2,417771,0.43,367059,0.37,136097,0.14,59046,0.06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2017,AFG,29724323,Laghman,2017-05-01,2017-07-31,500738,131262,0.26,164287,0.33,195174,0.39,84365,0.17,46898,0.09,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2017,AFG,29724323,Kunar,2017-05-01,2017-07-31,468127,98846,0.21,210162,0.44,150185,0.32,65096,0.14,33749,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2017,AFG,29724323,Nuristan,2017-05-01,2017-07-31,127984,28415,0.23,44972,0.35,52037,0.41,18598,0.15,9817,0.08,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2017,AFG,29724323,Nangarhar,2017-05-01,2017-07-31,1894320,471235,0.24,662665,0.35,740430,0.39,292800,0.15,178435,0.09,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2021,AGO,32097671,Cunene,2021-06-01,2021-09-30,1232536,630440,0.51,227108,0.18,374989,0.3,481641,0.39,148799,0.12,0,0,2021-10-01,2022-03-31,1271638,750883,0.59,210263,0.17,310492,0.24,538282,0.42,212601,0.17,0,0,,,,,,,,,,,,,,,
