Date of analysis,Country,Total country population,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Oct 2024,AFG,46024352,2024-09-01,2024-10-31,46024354,11610606,0.25,14192140,0.31,20204146,0.44,9798949,0.21,1811656,0.04,0,0,2024-11-01,2025-03-31,46024354,14764724,0.32,12534324,0.27,18725306,0.41,11642486,0.25,3122238,0.07,0,0,,,,,,,,,,,,,,,
Mar 2024,AFG,44532600,2024-03-01,2024-04-30,44532600,14208000,0.32,14114122,0.32,16210478,0.36,11287840,0.25,2920160,0.07,0,0,2024-05-01,2024-10-31,44532600,12369627,0.28,14857610,0.33,17305363,0.39,10000354,0.23,2369273,0.05,0,0,,,,,,,,,,,,,,,
Oct 2023,AFG,44532600,2023-10-01,2023-10-31,44532600,13058639,0.29,13786711,0.31,17687250,0.4,10617293,0.24,2441346,0.05,0,0,2023-11-01,2024-03-31,44532600,15823679,0.36,12319702,0.28,16389218,0.37,12253597,0.28,3570083,0.08,0,0,,,,,,,,,,,,,,,
Apr 2023,AFG,43100596,2023-04-01,2023-04-30,43100598,17213584,0.4,10130341,0.24,15756673,0.36,13854267,0.32,3359317,0.08,0,0,2023-05-01,2023-10-31,43100598,15255335,0.35,11079611,0.26,16765652,0.39,12497192,0.29,2758143,0.06,0,0,,,,,,,,,,,,,,,
Sep 2022,AFG,43100596,2022-09-01,2022-10-31,41727303,16973664,0.41,9354762,0.22,15398877,0.37,12536200,0.3,4437464,0.11,0,0,2022-11-01,2023-03-31,43100596,19903995,0.46,8895869,0.21,14300733,0.33,13823864,0.32,6080130,0.14,0,0,,,,,,,,,,,,,,,
Mar 2022,AFG,41727303,2022-03-01,2022-05-31,41727303,19650163,0.47,7451417,0.18,14625723,0.35,13036510,0.31,6593329,0.16,20324,0,2022-06-01,2022-11-30,41727303,18920522,0.45,8076291,0.2,14730490,0.35,12944658,0.31,5975864,0.14,0,0,,,,,,,,,,,,,,,
Oct 2021,AFG,41727304,2021-09-01,2021-10-31,40411862,18844453,0.47,7953993,0.2,13613416,0.33,11988297,0.3,6856155,0.17,0,0,2021-11-01,2022-03-31,41727304,22813658,0.55,6440549,0.15,12473098,0.3,14073883,0.34,8739775,0.21,0,0,,,,,,,,,,,,,,,
Mar 2021,AFG,32890171,2021-03-01,2021-05-31,31390171,10938928,0.35,8669926,0.28,11781317,0.38,7766480,0.25,3172449,0.1,0,0,2021-06-01,2021-11-30,31390171,9462347,0.3,9694433,0.31,12233391,0.39,6719607,0.21,2742741,0.09,0,0,,,,,,,,,,,,,,,
Sep 2020,AFG,32890171,2020-08-01,2020-10-31,31390171,11149264,0.36,8904766,0.28,11336140,0.36,7544564,0.24,3604700,0.11,0,0,2020-11-01,2021-03-31,31390171,13154519,0.42,7675485,0.24,10560167,0.34,8852083,0.28,4302436,0.14,0,0,,,,,,,,,,,,,,,
