,original_wb,mapped_wb
0,Kasai-Oriental,Kasai Oriental
1,Tshopo,Tshopo
2,Ituri,Ituri
3,Kongo-Central,Kongo Central
4,Mai-Ndombe,Maï-Ndombe
5,Kwilu,Kwilu
6,Kwango,Kwango
7,Equateur,
8,Sud-Ubangi,Sud-Ubangi
9,Nord-Ubangi,Nord-Ubangi
10,Mongala,Mongala
11,Tshuapa,Tshuapa
12,Bas-Uele,Bas Uélé
13,Haut-Uele,Haut Uélé
14,Nord-Kivu,Nord-Kivu
15,Maniema,Maniema
16,Lualaba,Lualaba
17,Haut-Lomami,Haut-Lomami
18,Tanganyika,Tanganyika
19,Haut-Katanga,Haut-Katanga
20,Sankuru,Sankuru
21,Lomami,Lomami
22,Kasai-Central,Kasai Central
23,Kasai,Kasai
24,Sud-Kivu,Sud-Kivu
25,Kinshasa,Kinshasa
26,Administrative unit not available,
27,Administrative unit not available,
28,Administrative unit not available,
