,original_wb,mapped_wb
0,Lac,Lac
1,Logone Oriental,Logone Oriental
2,Mandoul,Mandoul
3,Mayo Kebbi Est,Mayo Kebbi Est
4,Mayo Kebbi Ouest,Mayo-Kebbi Ouest
5,Moyen Chari,Moyen-Chari
6,Ouaddai,Ouaddai
7,Salamat,Salamat
8,Sila,Sila
9,Wadi Fira,Wadi Fira
10,Ennedi Ouest,Ennedi Ouest
11,Barh El Gazal,Barh-El-Gazel
12,Ennedi Est,Ennedi-Est
13,Logone Occidental,Logone Occidental
14,Ndjaména,
15,Hadjer Lamis,Hadjer-Lamis
16,Chari Baguirmi,Chari-Baguirmi
17,Kanem,Kanem
18,Borkou,Borkou
19,Guera,Guera
20,Tandjile,Tandjile
21,Batha,Batha
22,Tibesti,Tibesti
