,original_wb,mapped_wb
0,Arusha,
1,Administrative unit not available,
2,Dar-es-salaam,
3,Dodoma,
4,Iringa,
5,Kagera,
6,Administrative unit not available,
7,Kigoma,
8,Administrative unit not available,
9,Kilimanjaro,
10,Lindi,
11,Manyara,
12,Administrative unit not available,
13,Mara,
14,Mbeya,
15,Administrative unit not available,
16,Morogoro,
17,Mtwara,
18,Mwanza,
19,Kaskazini Pemba,Kaskazini Pemba
20,Kaskazini Unguja,Kaskazini Unguja
21,Pwani,
22,Rukwa,
23,Ruvuma,
24,Administrative unit not available,
25,Shinyanga,
26,Singida,
27,Kusini Pemba,Kusini Pemba
28,Kusini Unguja,Kusini Unguja
29,Tabora,
30,Tanga,
31,Mjini Magharibi,Mjini Magharibi
32,Geita,
33,Katavi,
34,Njombe,
35,Simiyu,
