,original_wb,mapped_wb
0,Amuria,
1,Butaleja,
2,Ibanda,
3,Isingiro,
4,Nwoya,
5,Lamwo,
6,Nakapiripirit,
7,Bushenyi,
8,Butambala,
9,Iganga,
10,Adjumani,
11,Kasese,
12,Kibaale,
13,Kisoro,
14,Kamwenge,
15,Kanungu,
16,Kayunga,
17,Mayuge,
18,Ntungamo,
19,Ssembabule,
20,Kabarole,
21,Kaberamaido,
22,Manafwa,
23,Bukedea,Teso sub-region
24,Kaliro,
25,Budaka,
26,Abim,
27,Amuru,
28,Buliisa,
29,Kotido,Karamoja
30,Buyende,
31,Kamuli,
32,Kitgum,
33,Kapchorwa,
34,Sheema,
35,Pader,
36,Rubirizi,
37,Sironko,
38,Soroti,
39,Agago,
40,Alebtong,
41,Gomba,
42,Gulu,
43,Kiryandongo,
44,Pallisa,
45,Lira,
46,Mitooma,
47,Lwengo,
48,Otuke,
49,Zombo,
50,Kyegegwa,
51,Kyenjojo,
52,Apac,
53,Bugiri,
54,Bulambuli,
55,Yumbe,
56,Rakai,
57,Buhweju,
58,Ntoroko,
59,Kyankwanzi,
60,Maracha,Karamoja
61,Oyam,
62,Dokolo,
63,Arua,
64,Bududa,
65,Lyantonde,
66,Amudat,
67,Buikwe,
68,Kalungu,
69,Kole,
70,Kween,
71,Luuka,
72,Masaka,
73,Masindi,
74,Moroto,
75,Napak,
76,Ngora,
77,Buvuma,
78,Kiboga,
79,Busia,
80,Hoima,
81,Jinja,
82,Kabale,
83,Amolatar,
84,Nebbi,
85,Namayingo,
86,Bukomansimbi,
87,Bukwo,
88,Bundibugyo,
89,Kalangala,
90,Kampala,Kampala City
91,Nakasongola,
92,Rukungiri,
93,Wakiso,
94,Kibuku,
95,Moyo,
96,Kaabong,
97,Katakwi,
98,Kiruhura,
99,Koboko,
100,Luwero,
101,Mbale,
102,Mbarara,
103,Mityana,
104,Mubende,
105,Nakaseke,
106,Tororo,
107,Namutumba,
108,Kumi,
109,Mpigi,
110,Serere,
111,Mukono,
