MarketId,Country,Admin1,Admin2,MarketName,Latitude,Longitude
91,United Republic of Tanzania,Mtwara,Mtwara Urban,Mtwara DC,-10.266667,40.183333
124,Benin,Littoral,Cotonou,Dantokpa,6.374875,2.430846
128,Côte d'Ivoire,Denguele,Kabadougou,Odienne,9.51,-7.5691667
129,Burkina Faso,CASCADES,COMOÉ,Banfora,10.633333,-4.766667
130,Burkina Faso,PLATEAU-CENTRAL,KOURWÉOGO,Bousse,12.660556,-1.892222
131,Burkina Faso,SUD-OUEST,BOUGOURIBA,Diebougou,10.966667,-3.25
132,Burkina Faso,SAHEL,SOUM,Djibo,14.101163,-1.627926
133,Burkina Faso,SAHEL,SÉNO,Dori,14.0317065082,-0.03459964842
134,Burkina Faso,EST,GOURMA,Fada N'Gourma,12.062222,0.357778
135,Burkina Faso,SAHEL,OUDALAN,Gorom Gorom,14.442309,-0.235449
136,Burkina Faso,NORD,ZONDOMA,Gourcy,13.207756,-2.358932
137,Burkina Faso,CENTRE-NORD,BAM,Kongoussi,13.325833,-1.534722
138,Burkina Faso,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,12.25,-2.366667
139,Burkina Faso,CENTRE,KADIOGO,Ouagadougo (Sankaryare),12.3646,-1.5339
140,Burkina Faso,CENTRE-EST,BOULGOU,Tenkodogo,11.78,-0.369722
141,Burkina Faso,BOUCLE DU MOUHOUN,SOUROU,Tougan,13.0725,-3.0694
143,Democratic Republic of the Congo,Tanganyika,Kalemie,Kalemie,-5.923004,29.194574
147,Democratic Republic of the Congo,Sud-Kivu,Uvira city,Uvira,-3.406667,29.14194
150,Democratic Republic of the Congo,Sud-Kivu,Bukavu,Nyawera,-2.50578417,28.86287
151,Democratic Republic of the Congo,Ituri,Bunia,Bunia,1.566667,30.25
152,Democratic Republic of the Congo,Nord-Kivu,Goma,Goma,-1.679167,29.222778
203,Burundi,Kirundo,Kirundo,Kirundo,-2.584722,30.097222
204,Burundi,Muyinga,Muyinga,Muyinga,-2.849444,30.336111
205,Burundi,Ruyigi,Ruyigi,Ruyigi,-3.476389,30.248611
206,Burundi,Ngozi,Ngozi,Ngozi,-2.908333,29.827778
222,Ghana,UPPER WEST,WA MUNICIPAL,Wa,10.05,-2.483333
227,Guinea-Bissau,Sector Autonomo De Bissau,Sector Autonomo De Bissau,Bissau-Bandim,11.85,-15.6
228,Chad,Ouaddai,Ouara,Abeche,13.8166667,20.8166667
229,Chad,Lac,Mamdi,Bol,13.5,14.683333
230,Chad,Kanem,Kanem,Mao,14.121159,15.310305
231,Chad,Guera,Guera,Mongo,12.184412,18.693031
232,Chad,Logone Occidental,Lac Wey,Moundou,8.5666667,16.0833333
233,Chad,Barh El Gazal,Barh El Gazel Sud,Moussoro,13.640841,16.490069
235,Chad,Moyen Chari,Barh-K h,Sarh,9.1429,18.3923
236,Chad,Logone Oriental,La Nya Pendm,Gore,7.92,16.63
238,Liberia,Lofa,Voinjama,Voinjama,8.421944,-9.747778
239,Liberia,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056
240,Liberia,Bong,Jorquelleh,Gbarnga,6.995556,-9.472222
241,Liberia,Grand Bassa,Commonwealth2,Buchanan,5.911111,-10.0625
242,Liberia,Grand Cape Mount,Tewor,Bo Waterside,7.010556,-11.3725
243,Liberia,Lofa,Foya,Foya,8.273056,-10.31
244,Liberia,Maryland,Pleebo,Pleebo,4.589167,-7.6725
245,Liberia,Montserrado,Greater Monrovia,Red Light,6.275556,-10.717778
246,Liberia,Nimba,Leewehpea-Mahn,Saclepea,7.109444,-8.840556
247,Mali,Bamako,Bamako,Bamako,12.65,-8
248,Mali,Gao,Gao,Gao,16.271667,-0.044722
249,Mali,Kayes,Kayes,Kayes Centre,14.4417,-11.4341
250,Mali,Kidal,Kidal,Kidal,18.441111,1.407778
251,Mali,Koulikoro,Koulikoro,Koulikoro Ba,12.887646,-7.544188
252,Mali,Mopti,Mopti,Mopti Digue,14.489094,-4.192827
253,Mali,Bamako,Bamako,Niarela,12.65,-8
255,Mali,Tombouctou,Tombouctou,Tombouctou,16.770456,-3.005588
256,Mali,Sikasso,Sikasso,Sikasso Centre,11.3135,-5.6697
264,Uganda,Mbarara,Mbarara Municipality,Mbarara,-0.605675,30.64855
277,Gambia,Kanifing Municipal Council,Kombo Saint Mary,Bakau,13.478056,-16.681944
278,Gambia,Kanifing Municipal Council,Banjul,Banjul,13.453056,-16.5775
279,Gambia,Central River,Sami,Bansang,13.433333,-14.65
280,Gambia,Upper River,Wuli,Basse Santa su,13.316667,-14.216667
281,Gambia,West Coast,Kombo Central,Brikama,13.2675,-16.646111
283,Gambia,North Bank,Upper Baddibu,Farafenni,13.566667,-15.6
284,Gambia,Central River,Lower Saloum,Kaur Wharf Town,13.7,-15.316667
286,Gambia,North Bank,Central Baddibu,Ker Pate Kore,13.585519790649414,-15.970721244812012
288,Gambia,Lower River,Kiang Central,Kwinella Nya Kunda,13.4,-15.8
290,Gambia,Kanifing Municipal Council,Kombo Saint Mary,Latri kunda,13.448611,-16.685278
318,Mozambique,Sofala,Gorongosa,Gorongoza,-18.675556,34.072778
333,Mozambique,Cabo_Delgado,Montepuez,Montepuez,-13.125556,38.999722
334,Mozambique,Tete,Mutarara,Mutarara,-17.44,35.073889
336,Mozambique,Sofala,Nhamatanda,Nhamatanda,-19.269167,34.212778
337,Mozambique,Zambezia,Cidade_De_Quelimane,Quelimane,-17.878611,36.888333
343,Sierra Leone,Northern,Bombali,Makeni,8.883333,-12.05
347,Sierra Leone,Western Area,Western Urban,Lumley,8.455694,-13.271461
348,Sierra Leone,Western Area,Western Urban,Dove Court,8.49,-13.234167
350,Sierra Leone,Southern,Pujehun,Pujehun,7.358056,-11.720833
351,Sierra Leone,Eastern,Kono,Koidu,8.416667,-10.833333
352,Sierra Leone,Western Area,Western Urban,Krootown,8.49,-13.234167
353,Sierra Leone,Northern,Koinadugu,Kabala,9.583333,-11.55
354,Guinea,Kindia,Conakry,Conakry-Yéguéma,9.566666603088379,-13.633333206176758
357,Guinea,Kankan,Kankan,Dibida (Kankan),10.383330345153809,-9.300000190734863
358,Guinea,Nzerekore,Nzerekore,Grand marché (Nzerekore),7.74722,-8.8238897
371,Zambia,Southern,Choma,Choma,-16.816667,26.983333
374,Zambia,Central,Kabwe,Kabwe Urban,-14.433333,28.45
375,Zambia,Southern,Kalomo,Kalomo,-17.05,26.5
376,Zambia,Copperbelt,Kalulushi,Kalulushi Main,-12.8485752,28.0573795
377,Zambia,Western,Kaoma,Kaoma,-14.7969764,24.7941373
379,Zambia,North-Western,Kasempa,Kasempa Main,-13.45,25.833333
383,Zambia,Lusaka,Luangwa,Luangwa Zaro Market,-15.6213544,30.408194
385,Zambia,Eastern,Lundazi,Lundazi,-12.2967229,33.1686005
392,Zambia,Central,Mkushi,Mkushi Itala,-13.6145332,29.3978962
394,Zambia,Eastern,Katete,Katete,-14.0561093,32.0458313
395,Zambia,Western,Mongu,Mongu,-15.2688465,23.1320105
396,Zambia,Southern,Monze,Monze,-16.283333,27.483333
397,Zambia,Muchiga,Mpika,Mpika,-11.8356286,31.4541895
399,Zambia,Central,Mumbwa,Mumbwa,-14.983333,27.066667
404,Zambia,Eastern,Petauke,Petauke Main Market,-14.2550591,31.3272859
411,Senegal,Fatick,Fatick,Diakhao,14.466667,-16.3
412,Senegal,Kolda,Kolda,Diaobe,12.7,-14.4
414,Senegal,Fatick,Fatick,Fatick,14.334638,-16.404509
418,Senegal,Kaolack,Kaolack,Kaolack,14.164944648742676,-16.074399948120117
419,Senegal,Kedougou,Kedougou,Kedougou,12.483333,-11.95
421,Senegal,Kolda,Kolda,Kolda,12.883333,-14.95
422,Senegal,Kaffrine,Koungheul,Koungueul,13.983333,-14.8
423,Senegal,Tambacounda,Koumpentoum,Kouthiaba,14.183333,-14.466667
429,Senegal,Tambacounda,Koumpentoum,Mereto,13.816667,-14.45
434,Senegal,Matam,Matam,Ourossogui,15.6,-13.316667
437,Senegal,Kaolack,Nioro Du Rip,Porokhane,13.7,-15.833333
441,Senegal,Tambacounda,Tambacounda,Tambacounda,13.753889,-13.758611
446,Senegal,Matam,Matam,Thiodaye,15.9922431,-13.6637688
456,Senegal,Matam,Ranerou,Velingara,15,-14.666667
458,Ethiopia,Tigray,S. TIGRAY,Alamata,12.418333,39.5575
459,Ethiopia,Tigray,S. TIGRAY,Korem,12.5058333,39.5227778
460,Ethiopia,Somali,GODE,Gode,6.0225,43.130278
462,Ethiopia,Somali,JIJIGA,Babile,9.225556,42.6
487,Ethiopia,Tigray,MEKELE,Mekele,13.496667,39.475278
506,Ethiopia,Gambela,ZONE 1,Gambela,8.25,34.5833333
507,Ethiopia,Tigray,C. TIGRAY,Adwa,14.15936,38.900742
508,Ethiopia,Tigray,E. TIGRAY,Adigrat,14.2739499999999,39.4622
509,Ethiopia,Tigray,E. TIGRAY,Hawzien,14.03333,39.45
510,Ethiopia,Amhara,N. GONDER,Debark,13.1581499999999,37.9002909999999
511,Ethiopia,Afar,ZONE2,Abaala,13.3564035,39.7575272
519,Zambia,Western,Senanga,Senanga Main Market,-16.1048206,23.2998746
520,Zambia,Central,Serenje,Serenje,-13.2312995,30.2344344
523,Lesotho,Butha-Buthe,Butha-Buthe,Butha Buthe,-28.769409,28.26005
525,Lesotho,Berea,Kanana,Berea,-29.23,27.61
526,Lesotho,Mafeteng,Mafeteng,Mafeteng,-29.8166667,27.25
529,Lesotho,Thaba-Tseka,Thaba-Tseka,Thaba Tseka,-29.53,28.59
530,Lesotho,Qacha's Nek,Qacha's Nek,Qacha's Nek,-30.1166667,28.6833333
536,Djibouti,Arta,Arta,Arta,11.522222,42.841944
537,Djibouti,Ali Sabieh,Ali Sabieh,Ali Sabieh,11.15,42.71
538,Djibouti,Dikhill,Dickil,Dikhil,11.108611,42.373889
540,Djibouti,Tadjourah,Tadjourah,Tadjourah,11.785278,42.884444
543,Niger,Tillaberi,Abala,Abala,14.9369,3.4336
544,Niger,Tahoua,Abalak,Abalak,15.4509,6.2793
546,Niger,Agadez,Tchighozerine,Agadez Commune,16.973333,7.991111
549,Niger,Tillaberi,Ayerou,Ayorou,14.730746,0.917385
550,Niger,Tahoua,Illela,Badaguichiri,14.5245,5.3676
551,Niger,Zinder,Tanout,Bakin Birgi,14.25584,8.794948
552,Niger,Zinder,Magaria,Bande,13.180325,8.892158
553,Niger,Tillaberi,Bankillare,Bankilare,14.576534,0.726692
557,Niger,Tahoua,Bouza,Bouza,14.422931,6.042784
560,Niger,Maradi,Madarounfa,Dan Issa,13.204825,7.257503
562,Niger,Diffa,Diffa,Diffa Commune,13.31536,12.611345
565,Niger,Dosso,Doutchi,Dogondoutchi,13.63933,4.028748
567,Niger,Dosso,Dosso,Dosso Commune,13.049,3.1937
568,Niger,Zinder,Dungass,Dungass,13.061534,9.343423
573,Niger,Tillaberi,Filingue,Filingue,14.3521,3.3168
574,Niger,Tahoua,Malbaza,Galmi,13.962994,5.672808
576,Niger,Tahoua,Keita,Garhanga,14.5578,5.7617
577,Niger,Dosso,Gaya,Gaya,11.884347,3.44919
578,Niger,Tillaberi,Gotheye,Gotheye,13.8612,1.5661
579,Niger,Diffa,Goudoumaria,Goudoumaria,13.7109,11.1885
580,Niger,Zinder,Goure,Goure,13.983504,10.270354
581,Niger,Maradi,Guidan Roumji,Guidan Roumdji,13.657597,6.695675
585,Niger,Agadez,InGall,Ingall,16.787778,6.934167
589,Niger,Tahoua,Bouza,Karofane,14.313737,6.152652
590,Niger,Niamey,Niamey,Katako,13.516667,2.116667
591,Niger,Zinder,Goure,Kazoe,14.2176,9.9709
592,Niger,Tahoua,Keita,Keita,14.7551,5.7749
593,Niger,Tillaberi,Kollo,Kirtachi,12.7936,2.4776
594,Niger,Tahoua,Konni,Konni,13.793685,5.250556
595,Niger,Maradi,Dakoro,Kornaka,14.102636,6.901148
596,Niger,Zinder,Takieta,Koundoumaoua,13.66495,8.36011
597,Niger,Dosso,Loga,Loga,13.6132,3.2358
