MarketId,Country,Admin 1,Admin 2,Market Name,Latitude,Longitude,Population
1794,Algeria,Alger,Hydra,Algiers,36.7529,3.042,818201
1902,Algeria,Tindouf,Tindouf,Awserd,27.631,-7.876,4878
1901,Algeria,Tindouf,Tindouf,Boujdour,27.51,-8.01,4355
1797,Algeria,Tindouf,Tindouf,Dakhla,26.8274,-6.8699,3823
1903,Algeria,Tindouf,Tindouf,Laayoun,27.74,-8.014,5942
1796,Algeria,Tindouf,Tindouf,Smara,27.4923,-7.8284,8222
1795,Algeria,Tindouf,Tindouf,Tindouf,27.6761,-8.1277,52539
2305,Angola,Lunda Norte,Chitato,Kaxinde,-7.3838,20.8274,129814
2593,Angola,Luanda,Luanda,Luanda,-8.838,13.234,2659062
1787,Armenia,Lori,Spitak,Armavir,40.9146,44.1536,519
1886,Armenia,Ararat,Artashat,Artashat,39.9614,44.5445,45033
2756,Armenia,Aragatsotn,Ashtarak,Ashtarak,40.2928,44.3493,30980
644,Armenia,Tavush,Taush,Berd,40.8808,45.3917,10141
642,Armenia,Gegharkunik,Gavar,Gavar,40.3589,45.1267,29609
2757,Armenia,Shirak,Akhuryan,Gyumri,40.7932,43.8438,108835
2758,Armenia,Kotayk,Hrazdan,Hrazdan,40.5367,44.7696,36700
2759,Armenia,Tavush,Ijevan,Ijevan,40.8999,45.1523,26584
1595,Armenia,Syunik,Kapan,Kapan,39.2011,46.415,33889
2760,Armenia,Armavir,Echmiadzin,Vagharshapat,40.1635,44.2918,57834
643,Armenia,Lori,Gugark,Vanadzor,40.8128,44.4883,72453
1594,Armenia,Vayotz Dzor,Yeghegnadzor,Yeghegnadzor,39.76,45.33,13081
641,Armenia,Yerevan,Yerevan,Yerevan,40.1811,44.5136,613718
2562,Benin,Zou,Abomey,Abomey,7.18,1.99,73503
2761,Benin,Oueme,Bonou,Affamè,6.9059,2.4687,21034
2762,Benin,Oueme,Porto-novo,Ahidahomè (Porto-Novo),6.4995,2.6193,438804
1766,Benin,Couffo,Aplahoue,Azovè,6.9474,1.7028,115870
2554,Benin,Oueme,Adjohoun,Azowlissè,6.6669,2.4919,25949
1749,Benin,Alibori,Banikoara,Banikoara,11.2935,2.4357,21221
2763,Benin,Donga,Bassila,Bassila,9.0085,1.6661,21867
2764,Benin,Borgou,Bembereke,Bembèrèkè,10.2248,2.6692,13290
1761,Benin,Zou,Bohicon,Bohicon,7.1798,2.0714,199556
2555,Benin,Atakora,Kobli,Cobly,10.4793,0.8799,6636
2556,Benin,Mono,Come,Comé,6.4045,1.8826,59311
2765,Benin,Zou,Cove,Covè,7.2175,2.3425,50356
2766,Benin,Oueme,Dangbo,Dangbo,6.5857,2.5503,106165
124,Benin,Littoral,Cotonou,Dantokpa,6.3749,2.4308,623128
2767,Benin,Collines,Dassa,Dassa-Zoumè,7.7774,2.1983,41660
2768,Benin,Zou,Ouinhi,Dasso,7.0122,2.4649,20162
1758,Benin,Donga,Djougou,Djougou,9.7081,1.6664,94676
2769,Benin,Couffo,Dogbo-tota,Dogbo,6.8046,1.7862,37343
1760,Benin,Collines,Glazoue,Glazoué,7.9737,2.2446,38951
2770,Benin,Oueme,Dangbo,Hozin,6.603,2.5464,80992
2557,Benin,Plateau,Adja-ouere,Ikpenlè,6.8929,2.6211,49591
1751,Benin,Borgou,Kalale,Kalalé,10.2901,3.3817,11314
2771,Benin,Alibori,Karimama,Karimama,12.0685,3.1828,10695
2558,Benin,Donga,Ouake,Kassoua-Allah,9.6733,1.371,23724
1755,Benin,Atakora,Kerou,Kérou,10.8323,2.1107,12707
1762,Benin,Plateau,Ketou,Kétou,7.3603,2.604,55174
2772,Benin,Couffo,Klouekanme,Klouékanmè,7.0663,1.8773,11208
2559,Benin,Zou,Zangnanado,Kpedekpo,7.2319,2.5001,17506
1044,Benin,Alibori,Malanville,Malanville (CBM),11.86,3.38,57821
1757,Benin,Atakora,Natitingou,Natitingou,10.2964,1.3807,46987
1753,Benin,Borgou,Ndali,N'Dali,9.863,2.7133,16916
1752,Benin,Borgou,Nikki,Nikki,9.9368,3.2131,25925
1764,Benin,Oueme,Porto-novo,Ouando,6.4981,2.5901,269964
2773,Benin,Atlantique,Toffo,Ouègbo,6.8045,2.1711,20866
2560,Benin,Collines,Ouesse,Ouesse,8.4929,2.4222,32087
1754,Benin,Borgou,Parakou,Parakou,9.3467,2.609,223673
2774,Benin,Atakora,Pehonko,Péhunco,10.2291,2.0025,18546
1763,Benin,Plateau,Pobe,Pobè,6.9832,2.6636,81293
1759,Benin,Collines,Savalou,Savalou,7.9301,1.971,38783
2776,Benin,Atlantique,Ze,Sèdjè-Dénou,6.724,2.3782,11494
2561,Benin,Atlantique,Toffo,Sehoue,6.8403,2.1104,9743
2777,Benin,Atlantique,Allada,Sékou,6.6328,2.2223,39810
1750,Benin,Borgou,Sinende,Sinendé,10.3438,2.3838,18420
2775,Benin,Atlantique,So-ava,So-Ava,6.4662,2.3916,66758
1756,Benin,Atakora,Tanguieta,Tanguiéta,10.6228,1.265,25869
2778,Benin,Plateau,Adja-ouere,Tatonnoukon,6.9654,2.5744,20793
2779,Benin,Borgou,Tchaourou,Tchaourou,8.8884,2.5963,21469
2780,Benin,Plateau,Sakete,Yoko,6.7125,2.6123,32729
2783,Benin,Atlantique,Ze,Zè,6.6826,2.3242,21103
2781,Benin,Atlantique,Abomey-calavi,Zinvié,6.6149,2.3566,40772
2782,Benin,Zou,Zogbodome,Zogbodomey,7.0572,2.2482,5163
3361,Burkina Faso,SAHEL,SOUM,Arbinda,14.2307,-0.859,6212
129,Burkina Faso,CASCADES,COMOÉ,Banfora,10.6333,-4.7667,87636
3362,Burkina Faso,SUD-OUEST,NOUMBIEL,Batié,9.8771,-2.9229,9565
2569,Burkina Faso,HAUTS-BASSINS,HOUET,Bobo Dioulasso,11.183,-4.283,426201
3363,Burkina Faso,EST,GNAGNA,Bogandé,12.9743,-0.1436,17417
3364,Burkina Faso,BOUCLE DU MOUHOUN,BALÉ,Boromo,11.7507,-2.9284,16649
3365,Burkina Faso,CENTRE-NORD,NAMENTENGA,Boulsa,12.6605,-0.5732,21436
130,Burkina Faso,PLATEAU-CENTRAL,KOURWÉOGO,Bousse,12.6606,-1.8922,22121
3366,Burkina Faso,SUD-OUEST,IOBA,Dano,11.1462,-3.0611,18023
1892,Burkina Faso,BOUCLE DU MOUHOUN,MOUHOUN,Dedougou,12.4503,-3.47,46607
3367,Burkina Faso,EST,TAPOA,Diapaga,12.0321,1.8198,4844
131,Burkina Faso,SUD-OUEST,BOUGOURIBA,Diebougou,10.9667,-3.25,18816
3368,Burkina Faso,BOUCLE DU MOUHOUN,KOSSI,Djibasso,13.1183,-4.1589,12681
132,Burkina Faso,SAHEL,SOUM,Djibo,14.1012,-1.6279,27522
133,Burkina Faso,SAHEL,SÉNO,Dori,14.0317,-0.0346,26938
3369,Burkina Faso,CASCADES,LÉRABA,Douna,10.6129,-5.1076,8654
134,Burkina Faso,EST,GOURMA,Fada N'Gourma,12.0622,0.3578,55259
3370,Burkina Faso,BOUCLE DU MOUHOUN,BALÉ,Fara,11.5329,-2.7653,13294
3371,Burkina Faso,HAUTS-BASSINS,HOUET,Faramana,12.0502,-4.6683,11219
3372,Burkina Faso,HAUTS-BASSINS,TUY,Founza,11.455,-3.2286,12295
3373,Burkina Faso,SUD-OUEST,PONI,Gaoua,10.3284,-3.1843,29647
3374,Burkina Faso,BOUCLE DU MOUHOUN,NAYALA,Gassan,12.8202,-3.2007,11237
3375,Burkina Faso,EST,KOMANDJARI,Gayéri,12.6373,0.5192,7726
135,Burkina Faso,SAHEL,OUDALAN,Gorom Gorom,14.4423,-0.2354,14473
3376,Burkina Faso,CENTRE,KADIOGO,Gounghin,12.3561,-1.5461,793747
136,Burkina Faso,NORD,ZONDOMA,Gourcy,13.2078,-2.3589,37527
1805,Burkina Faso,CENTRE-SUD,NAHOURI,Guelwongo,11.0094,-0.8708,14092
3377,Burkina Faso,EST,KOMANDJARI,Haaba,13.0183,0.7941,2793
3378,Burkina Faso,SUD-OUEST,IOBA,Hamélé,11.0081,-2.7489,3680
3379,Burkina Faso,HAUTS-BASSINS,TUY,Houndé,11.4938,-3.5203,40188
1042,Burkina Faso,EST,TAPOA,Kantchari (CBM),12.47,1.51,10335
1803,Burkina Faso,CENTRE-NORD,SANMATENGA,Kaya,13.0917,-1.0844,75321
3380,Burkina Faso,CENTRE-SUD,BAZÈGA,Kombissiri,12.0648,-1.3392,26517
3381,Burkina Faso,EST,KOMPIENGA,Kompienga,11.0806,0.7225,19319
137,Burkina Faso,CENTRE-NORD,BAM,Kongoussi,13.3258,-1.5347,38044
138,Burkina Faso,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,12.25,-2.3667,103598
3382,Burkina Faso,CENTRE-EST,KOURITTENGA,Koupela,12.1819,-0.3532,44170
1804,Burkina Faso,CENTRE-OUEST,SISSILI,Leo,11.1,-2.1,35261
3383,Burkina Faso,CENTRE-SUD,ZOUNDWÉOGO,Manga,11.6641,-1.0718,25861
3384,Burkina Faso,SAHEL,OUDALAN,Markoye,14.6425,0.0709,4147
3385,Burkina Faso,PLATEAU-CENTRAL,GANZOURGOU,Mogtédo,12.2795,-0.8359,25029
1043,Burkina Faso,EST,TAPOA,Namouno (CBM),11.86,1.69,20781
3387,Burkina Faso,HAUTS-BASSINS,KÉNÉDOUGOU,N'Dorola,11.7658,-4.8194,9777
1806,Burkina Faso,HAUTS-BASSINS,HOUET,Nieneta,11.198,-4.2888,393351
2595,Burkina Faso,BOUCLE DU MOUHOUN,KOSSI,Nouna,12.733,-3.867,26067
3388,Burkina Faso,HAUTS-BASSINS,KÉNÉDOUGOU,Orodara,10.9819,-4.9142,27969
139,Burkina Faso,CENTRE,KADIOGO,Ouagadougo (Sankaryare),12.3646,-1.5339,762862
1893,Burkina Faso,NORD,YATENGA,Ouahigouya,13.5668,-2.411,107590
3389,Burkina Faso,CENTRE-EST,KOULPÉLOGO,Ouargaye,11.477,0.0893,16435
3390,Burkina Faso,CENTRE-SUD,NAHOURI,Po,11.1666,-1.1453,19982
1802,Burkina Faso,CENTRE-EST,KOURITTENGA,Pouytenga,12.2172,-0.4461,69587
3391,Burkina Faso,CENTRE-OUEST,SANGUIÉ,Réo,12.3191,-2.4703,27596
3392,Burkina Faso,CENTRE-OUEST,ZIRO,Sapouy,11.5488,-1.7741,15798
3393,Burkina Faso,SAHEL,YAGHA,Sebba,13.4357,0.5461,8426
3394,Burkina Faso,SAHEL,SÉNO,Seytenga,13.9703,0.3125,7324
3395,Burkina Faso,BOUCLE DU MOUHOUN,BANWA,Solenzo,12.1795,-4.0848,24624
140,Burkina Faso,CENTRE-EST,BOULGOU,Tenkodogo,11.78,-0.3697,48095
3396,Burkina Faso,CENTRE-OUEST,SANGUIÉ,Tita,11.9212,-2.5248,19094
3397,Burkina Faso,NORD,LOROUM,Titao,13.7707,-2.07,16558
3398,Burkina Faso,BOUCLE DU MOUHOUN,NAYALA,Toma,12.7605,-2.8963,13726
141,Burkina Faso,BOUCLE DU MOUHOUN,SOUROU,Tougan,13.0725,-3.0694,17960
3399,Burkina Faso,NORD,PASSORÉ,Yako,12.9595,-2.2613,34458
