latitude,longitude,rwi,error
-14.1259215,15.3479004,-0.623,0.374
-11.6629959,16.0290527,-0.409,0.363
-11.4261866,16.9738770,-0.319,0.371
-14.8917045,14.9523926,-0.234,0.376
-8.5267005,16.3146973,-0.412,0.359
-14.6154780,15.1940918,-0.778,0.372
-17.2981985,15.6994629,-0.602,0.342
-16.7940233,15.0842285,-0.325,0.351
-12.9724418,16.0290527,-0.529,0.387
-14.8917045,15.2380371,-0.488,0.372
-15.9930146,15.1062012,-0.579,0.344
-11.7275454,15.7873535,-0.401,0.372
-14.7005081,14.2053223,-0.873,0.371
-14.9341696,14.1394043,-0.752,0.370
-17.3191761,15.1940918,-0.493,0.343
-6.5227299,16.2048340,0.092,0.459
-11.4907908,16.2268066,-0.268,0.431
-17.3611242,15.3479004,-0.220,0.343
-11.6629959,15.4577637,-0.529,0.365
-13.1436775,13.9416504,-0.470,0.374
-14.5304150,15.0402832,-0.183,0.368
-8.2875987,14.4250488,-0.421,0.371
-14.8067491,15.7434082,-0.508,0.369
-10.1743738,14.1833496,-0.467,0.366
-12.0285754,20.2697754,-0.125,0.375
-12.8439375,13.0627441,-0.353,0.371
-7.4169421,20.8190918,0.518,0.499
-16.4150090,15.1940918,-0.237,0.350
-8.5701576,15.7214355,-0.193,0.404
-15.6124559,13.9416504,-0.766,0.350
-9.0478525,13.0407715,-0.066,0.526
-9.0695511,20.5114746,-0.724,0.384
-4.6202287,13.0407715,-0.230,0.357
-11.5123222,16.7321777,0.132,0.384
-16.5835521,15.1281738,-0.314,0.354
-17.3820946,14.9304199,-0.054,0.351
-13.4430519,14.5788574,-0.256,0.375
-10.3689583,14.3371582,-0.306,0.363
-12.7153674,14.7766113,-0.160,0.359
-7.7436512,15.2600098,0.594,0.492
-12.3507339,16.8640137,-0.592,0.373
-15.1463690,19.1271973,-0.711,0.380
-13.6353101,14.3151855,-0.612,0.369
-15.1463690,12.1398926,-0.567,0.612
-13.6566625,15.3479004,-0.337,0.373
-14.0193555,14.5349121,-0.892,0.366
-11.5553801,16.9079590,-0.286,0.372
-9.3081485,13.7658691,-0.820,0.394
-12.2219175,15.0183105,-0.327,0.359
-17.0042615,14.9743652,-0.464,0.346
-14.7642589,14.6228027,-0.764,0.380
-7.2207995,12.8869629,0.216,0.506
-14.3814760,14.6008301,-0.205,0.371
-17.0042615,15.3918457,-0.138,0.354
-5.2988268,12.1838379,0.113,0.471
-11.9855916,19.9401855,-0.686,0.379
-8.5701576,15.8093262,0.167,0.367
-7.4387304,15.6994629,-0.232,0.362
-16.6256648,16.1828613,-0.660,0.344
-13.7633955,14.4909668,-0.246,0.370
-13.0794780,16.0070801,-0.632,0.366
-14.1472288,15.0402832,-0.574,0.376
-14.5942153,14.7326660,-0.486,0.366
-16.7519476,13.4802246,-0.442,0.353
-13.6993616,14.0295410,-0.175,0.371
-13.6139558,14.6887207,-0.284,0.397
-16.9622326,15.5017090,-0.413,0.351
-13.1436775,14.9743652,-0.536,0.371
-9.0912484,15.6774902,-0.619,0.524
-11.0598206,17.2155762,-0.542,0.369
-16.6888167,15.6994629,-0.689,0.351
-12.3078021,15.0842285,-0.468,0.359
-14.1472288,13.8757324,-0.932,0.368
-16.8571194,14.8425293,0.111,0.348
-13.5071552,14.9523926,-0.619,0.366
-12.2648633,14.3151855,-0.743,0.363
-14.6154780,13.7878418,-0.567,0.370
-11.9426009,14.1833496,-0.608,0.364
-16.8150577,15.3039551,-0.495,0.345
-9.5032437,14.3591309,-0.307,0.495
-14.7855051,14.9084473,-0.874,0.376
-9.3515125,13.8317871,-0.429,0.395
-4.5326183,12.8869629,-0.632,0.357
-12.0285754,17.2814941,-0.375,0.369
-14.9766264,13.8977051,-0.561,0.364
-11.8350943,14.4470215,-0.722,0.377
-14.5304150,14.8425293,-0.254,0.369
-12.9724418,15.7653809,-0.232,0.370
-16.7519476,14.9304199,-0.411,0.361
-12.1789647,15.0842285,-0.341,0.364
-11.4261866,15.4797363,-0.513,0.360
-17.0672871,15.8093262,-0.699,0.368
-7.4169421,20.7971191,0.694,0.544
-14.8704688,15.0842285,-0.260,0.448
-11.6629959,17.0617676,-0.483,0.365
-11.5553801,16.6223145,-0.376,0.371
-12.2219175,16.5563965,-0.436,0.370
-7.4823037,21.3684082,-0.212,0.360
-10.0229482,19.2810059,-0.488,0.389
-11.3400249,16.9958496,-0.254,0.371
-14.3389038,14.6008301,-0.490,0.374
-6.7628064,15.7653809,-0.469,0.361
-7.6783293,14.9743652,-0.133,0.384
-12.2863336,17.2595215,-0.228,0.371
-14.7005081,14.4030762,-0.504,0.365
-16.8360897,15.6774902,-0.794,0.361
-15.1039461,13.7878418,-0.652,0.371
-14.5304150,15.0622559,-0.734,0.369
-12.0285754,15.5895996,0.003,0.362
-11.4477230,16.6662598,-0.272,0.377
-15.6547754,20.5773926,-0.368,0.364
-13.1650736,14.1174316,-0.578,0.366
-14.1898373,14.5788574,-0.209,0.370
-12.3292689,20.5993652,-0.396,0.371
-16.5414301,14.9523926,-0.878,0.350
-11.6845141,15.0402832,-0.123,0.364
-8.5049700,13.4143066,-0.020,0.379
-14.3601909,14.6447754,-0.695,0.371
-13.9553920,14.4470215,-0.621,0.366
-13.6993616,14.4909668,-0.501,0.371
-16.4571585,15.7653809,-0.849,0.346
-17.2772184,16.0510254,-0.514,0.352
-14.5516838,14.6447754,-0.375,0.366
-10.4770087,13.6340332,-0.253,0.364
-15.5277906,13.8098145,-0.527,0.357
-14.1898373,13.9196777,-0.243,0.366
-17.1932744,15.9191895,-0.263,0.341
-12.7796606,14.9523926,-0.429,0.361
-8.8959258,17.0617676,-0.293,0.415
-11.4477230,16.8859863,-0.300,0.371
-11.8135879,16.8420410,-0.215,0.368
-9.2430925,15.6555176,0.405,0.384
-10.8656756,16.1389160,-0.727,0.376
-11.4692577,16.9519043,0.152,0.464
-11.3831090,15.2160645,-0.160,0.363
-11.8350943,14.1174316,-0.498,0.365
-5.5613152,12.1838379,1.355,0.525
-10.3041101,15.1062012,-0.973,0.378
-8.7873681,13.2604980,0.576,0.576
-14.3176146,14.2932129,-0.723,0.482
-10.6714043,14.3151855,-0.605,0.365
-10.4337931,13.6779785,0.044,0.421
-13.6993616,14.6008301,-0.447,0.385
-11.3831090,15.3039551,-0.598,0.361
-6.6100440,12.5793457,-0.590,0.365
-12.4794869,14.9743652,-0.204,0.363
-16.6467178,15.0842285,-0.799,0.361
-11.2753865,14.4470215,-0.570,0.367
-12.0500648,17.4133301,-0.133,0.371
-16.6888167,15.6115723,-0.810,0.347
-14.2963234,14.6887207,-0.643,0.368
-17.1512882,14.7106934,-0.178,0.342
-17.3191761,16.8640137,-0.465,0.349
-12.5009395,14.0075684,-0.729,0.366
-12.8653594,16.2927246,-0.440,0.359
-12.8010881,15.8532715,-0.479,0.481
-9.6549077,20.3356934,-0.067,0.439
-14.8067491,14.8205566,-0.239,0.370
-8.5918843,20.5554199,-0.280,0.360
-12.0285754,14.4909668,-0.051,0.367
-8.6570568,18.4680176,-0.391,0.356
-11.9211029,16.9958496,-0.672,0.378
-8.8307950,14.4689941,-0.757,0.371
-15.3371669,13.6560059,-0.544,0.373
-14.9129381,15.3259277,-0.574,0.369
-8.3745618,16.0729980,-0.680,0.363
-16.0141357,15.1281738,-0.544,0.341
-7.5040887,15.1721191,-0.342,0.365
-10.9088300,18.2263184,-0.763,0.365
-11.2322862,13.8317871,-0.047,0.480
-14.0193555,12.9089355,-0.831,0.370
-5.8892605,13.4802246,-0.427,0.365
-16.2041247,15.0842285,-0.508,0.345
-8.5701576,20.7971191,-0.422,0.362
-11.3184804,14.8645020,-0.517,0.362
-15.0615146,13.5681152,-0.504,0.374
-16.3306825,14.8645020,-0.435,0.351
-16.3306825,15.8752441,-0.813,0.350
-14.7430107,14.6667480,-0.611,0.367
-12.3507339,13.6120605,-0.324,0.467
-16.8150577,15.2380371,-0.329,0.362
-12.2433913,16.8859863,-0.551,0.367
-13.4430519,13.8757324,-0.353,0.369
-10.6282159,21.2365723,-0.238,0.365
-7.3951528,14.8645020,-0.335,0.375
-13.7207082,16.5783691,-0.555,0.365
-15.0615146,12.3156738,-0.235,0.388
-9.5249141,16.7541504,-0.460,0.388
-11.6845141,15.3259277,-0.565,0.470
-9.3081485,13.2165527,-0.458,0.403
-11.6199546,14.4030762,-0.429,0.370
-11.3831090,16.6882324,-0.619,0.371
-16.2252233,14.2492676,-0.212,0.349
-9.1563324,14.4689941,-0.544,0.459
-9.3081485,21.0827637,-0.481,0.368
-14.1259215,14.7546387,-0.273,0.368
-8.5484296,15.5236816,-0.284,0.374
-11.6414761,16.1828613,-0.671,0.363
-14.4453192,16.6882324,-0.774,0.372
-15.0827314,13.3703613,-0.444,0.402
-9.0261526,15.8752441,-0.345,0.383
-13.2506393,16.2487793,-0.781,0.380
-5.4957038,12.2717285,-0.081,0.388
-11.4261866,17.2375488,0.053,0.382
-13.0794780,14.3811035,-0.423,0.368
-9.5249141,13.6779785,-0.576,0.375
-16.0985977,15.1062012,-0.854,0.342
-13.6566625,15.7214355,-0.381,0.368
-13.4857894,15.3039551,-0.268,0.374
-14.2111385,13.8098145,-0.771,0.367
-14.6792536,13.9636230,-0.599,0.371
-6.4790672,16.3586426,-0.456,0.356
-16.3939308,14.7766113,-0.705,0.360
-5.9548266,13.5241699,-0.451,0.356
-13.1650736,14.0295410,-0.911,0.369
-9.2647792,19.3249512,-0.241,0.370
-14.3389038,14.7546387,-0.699,0.371
-7.9395558,15.0402832,-0.362,0.509
-9.1780244,13.4802246,-0.350,0.419
-6.4354006,14.2932129,-0.390,0.357
-11.1245072,16.0510254,-0.408,0.364
-11.9855916,14.2932129,-0.447,0.362
-14.9341696,13.6340332,-0.419,0.409
-14.1259215,14.9304199,-0.750,0.375
-9.2647792,13.1066895,-0.135,0.471
-11.4692577,16.7102051,-0.278,0.379
-11.5984314,16.7980957,-0.243,0.367
-9.0912484,13.5681152,0.493,0.553
-12.2004420,15.4797363,-0.397,0.368
-5.9766803,14.6887207,-0.555,0.354
-12.8225137,14.0295410,-0.680,0.361
-12.5867322,14.8864746,-0.566,0.360
-11.9211029,20.4455566,-0.439,0.370
-9.8065034,18.7097168,-0.727,0.381
-11.2969342,17.0178223,-0.367,0.369
-14.7217604,13.4582520,-0.098,0.372
-13.0580745,14.1394043,-0.718,0.376
-11.5769066,14.3371582,-0.444,0.364
-12.9938527,14.2272949,-0.480,0.397
-10.9951198,17.8308105,-0.443,0.367
-14.3601909,14.7546387,-0.368,0.370
-15.4854449,13.6120605,-0.528,0.362
-4.9048867,12.6672363,0.163,0.468
-6.3698938,15.4577637,-0.388,0.347
-13.0794780,13.6779785,-0.465,0.363
-11.8565990,15.1940918,-0.236,0.486
-6.9809543,13.1066895,-0.063,0.418
-12.1574857,17.6770020,-0.412,0.375
-13.3361750,15.8312988,-0.183,0.370
-15.4007275,13.9196777,-0.694,0.468
-7.5040887,15.1281738,-0.302,0.362
-12.4151184,20.7092285,-0.772,0.369
-8.5267005,13.7219238,0.502,0.459
-5.9548266,14.9523926,-0.370,0.362
-13.5712413,13.7878418,-0.641,0.372
-16.6046096,15.9411621,-0.785,0.351
-11.4907908,15.6555176,-0.210,0.364
-8.7004990,14.4470215,-0.229,0.457
-17.2772184,15.7434082,-0.516,0.344
-10.9951198,17.0837402,-0.142,0.379
