latitude,longitude,rwi,error
-33.1835362,-60.7434082,-0.031,0.444
-31.5129954,-62.3474121,-0.881,0.364
-33.1651449,-65.0061035,0.035,0.452
-50.0289160,-68.5437012,0.016,0.458
-27.5374999,-55.8654785,-0.144,0.434
-31.3817783,-62.8088379,-0.368,0.459
-24.2369466,-64.8962402,0.013,0.540
-27.4985263,-66.3244629,-0.202,0.420
-30.5338761,-62.1057129,0.214,0.494
-32.0918821,-64.0393066,-0.571,0.386
-32.8888127,-60.6994629,1.001,0.453
-31.9801229,-68.4777832,-0.127,0.460
-42.0900695,-71.5319824,0.057,0.441
-27.5374999,-67.5988770,0.162,0.497
-32.1663125,-58.4362793,-0.436,0.412
-23.4733235,-64.1711426,-0.531,0.456
-26.5000725,-60.0622559,0.550,0.472
-31.9428395,-60.9411621,0.366,0.413
-26.1061204,-65.4235840,-0.648,0.479
-33.3488843,-68.8293457,-0.658,0.393
-31.2879394,-64.2810059,1.049,0.451
-27.3620101,-55.2941895,-0.230,0.398
-27.3620101,-56.0192871,-0.338,0.499
-38.0048195,-59.3591309,-0.151,0.355
-36.0224462,-69.6862793,0.118,0.412
-37.1340449,-56.9201660,0.508,0.408
-27.7321603,-64.6105957,-0.303,0.416
-27.7321603,-65.6433105,-0.267,0.482
-27.2448621,-65.6652832,-0.271,0.454
-25.2347581,-58.0187988,-0.579,0.455
-32.8703597,-68.3020020,-0.525,0.392
-31.0058624,-61.7102051,-0.351,0.409
-23.1504616,-64.3249512,0.837,0.567
-37.8314796,-57.6232910,0.501,0.455
-31.6814326,-59.6228027,-0.166,0.367
-31.5317257,-68.7414551,0.628,0.445
-27.0884727,-65.3796387,0.051,0.488
-38.6082854,-69.7961426,-0.858,0.352
-38.6940845,-62.2155762,1.128,0.425
-34.4250356,-59.0515137,0.258,0.424
-24.9561796,-58.7438965,0.189,0.531
-36.3239766,-62.2155762,0.101,0.469
-29.3917473,-63.6218262,-0.597,0.406
-51.6111941,-69.2028809,0.176,0.482
-28.1979261,-65.7751465,0.466,0.540
-30.4960174,-58.0187988,-0.306,0.382
-36.0046730,-58.1286621,-0.181,0.504
-35.4517204,-58.7878418,0.412,0.501
-27.4790343,-65.4895020,0.296,0.511
-33.7152012,-69.0710449,0.059,0.489
-31.6066092,-58.9855957,-0.723,0.344
-25.6712354,-54.1296387,-0.156,0.509
-31.1752094,-61.4245605,0.538,0.399
-32.6116159,-61.1389160,0.200,0.405
-26.7357986,-54.0197754,-0.359,0.354
-28.9697004,-58.7878418,-0.172,0.430
-26.3426524,-60.3259277,0.275,0.448
-25.5721751,-64.9841309,-0.226,0.496
-32.7410818,-63.4240723,-0.280,0.400
-31.4567820,-63.0725098,-0.579,0.426
-51.6657409,-69.2468262,0.221,0.453
-31.5504522,-62.8967285,-0.030,0.417
-31.4567820,-68.7634277,-0.161,0.427
-33.2203073,-63.8635254,-0.395,0.396
-42.4153456,-71.0705566,-0.532,0.457
-29.9073289,-59.8205566,0.712,0.580
-31.8122286,-64.9841309,0.463,0.482
-31.9241921,-62.6550293,-0.524,0.399
-32.0732651,-60.6115723,0.470,0.535
-28.8542961,-62.3034668,0.125,0.488
-26.3623416,-59.3811035,0.141,0.462
-33.0362977,-69.0270996,0.699,0.474
-31.4567820,-62.0837402,0.092,0.512
-33.6603526,-63.6437988,0.555,0.524
-26.4607376,-60.0402832,0.200,0.498
-32.2964193,-59.1394043,0.687,0.496
-31.8308986,-59.9963379,-0.599,0.410
-27.7904908,-63.9733887,-0.630,0.472
-34.9309781,-58.5681152,-0.259,0.463
-24.4971459,-64.9401855,0.484,0.491
-27.3620101,-65.2258301,-0.453,0.448
-32.9257070,-62.4133301,0.015,0.449
-32.8703597,-64.4348145,-0.916,0.410
-27.6932559,-55.4919434,-0.212,0.377
-33.7882780,-61.9958496,0.095,0.420
-38.9508649,-68.3459473,0.938,0.444
-33.0178755,-60.8972168,0.196,0.478
-23.5941939,-64.4787598,-0.164,0.521
-33.8612926,-59.8645020,-0.010,0.425
-32.0360196,-58.2824707,0.143,0.404
-33.1099478,-60.7214355,0.536,0.433
-45.6063516,-69.0710449,0.042,0.456
-31.9987589,-60.9631348,0.359,0.431
-39.4955628,-62.6550293,0.007,0.441
-34.1709079,-65.3356934,0.277,0.381
-31.4192877,-61.2487793,-0.250,0.446
-31.4005349,-61.1608887,-0.594,0.368
-31.7935547,-60.9851074,0.644,0.523
-32.5560732,-63.1604004,-0.600,0.382
-34.6603219,-58.7219238,1.255,0.468
-30.8550788,-61.7980957,0.345,0.408
-23.4330087,-64.4348145,-0.354,0.472
-27.2643953,-64.3688965,-0.599,0.435
-26.8534790,-59.0515137,-0.135,0.448
-30.5338761,-59.3591309,-0.835,0.361
-27.9264736,-61.4025879,0.189,0.549
-34.2980679,-61.2927246,0.352,0.495
-33.8247931,-60.4797363,0.188,0.476
-38.7112320,-68.1481934,-0.145,0.445
-26.8730805,-60.2160645,0.898,0.558
-30.8173458,-64.6545410,-0.340,0.471
-29.7166808,-65.9948730,-0.555,0.391
-32.1291049,-59.7106934,-1.049,0.390
-29.9263737,-59.8425293,-0.139,0.436
-27.0101960,-54.6350098,0.284,0.436
-34.9309781,-67.6428223,-0.235,0.400
-36.8356677,-60.3479004,-0.473,0.438
-37.1515600,-59.6447754,0.526,0.433
-27.4790343,-54.7448730,0.564,0.459
-41.7631169,-71.4440918,-0.669,0.338
-32.0732651,-63.0065918,-0.240,0.418
-33.8612926,-60.6774902,-0.397,0.431
-31.5317257,-61.7761230,0.064,0.405
-32.7225981,-68.3020020,-0.443,0.457
-28.5845213,-56.1071777,-0.445,0.418
-23.9561359,-65.2258301,-0.678,0.415
-33.1099478,-68.1921387,0.002,0.520
-29.3917473,-59.9963379,-0.486,0.431
-26.4804067,-54.7229004,0.820,0.562
-29.1041762,-62.0617676,-0.533,0.402
-27.5959343,-64.8083496,0.251,0.402
-33.1835362,-64.2810059,-0.595,0.401
-33.0731305,-64.3688965,0.359,0.477
-25.6910376,-60.8972168,-0.255,0.458
-22.5024071,-63.6437988,-0.560,0.455
-24.0966182,-62.8747559,-0.864,0.415
-26.3032638,-60.0842285,-0.411,0.420
-40.6723055,-66.1486816,-0.026,0.462
-24.0966182,-65.2917480,-0.222,0.461
-33.7152012,-59.7326660,-0.234,0.433
-27.5180148,-66.0168457,-0.224,0.566
-27.4985263,-63.3361816,-0.611,0.436
-34.0617609,-59.2272949,0.174,0.443
-38.7626498,-62.6110840,-0.110,0.466
-34.4975022,-61.0729980,-0.643,0.433
-25.9679218,-54.5690918,0.910,0.497
-32.9072618,-68.6975098,0.536,0.457
-39.0533176,-68.4777832,-0.139,0.363
-42.2203813,-65.0500488,-0.214,0.338
