latitude,longitude,rwi,error
10.7577626,3.0651855,-0.603,0.312
9.8281543,1.3952637,-0.530,0.288
9.9147437,2.3620605,-1.017,0.426
6.6100440,1.9665527,0.550,0.381
8.2441099,1.7248535,-0.113,0.289
9.5032437,1.3513184,-0.107,0.294
6.5663889,2.4060059,-0.018,0.359
10.7145865,3.6364746,-0.300,0.319
11.2753865,2.1862793,-0.822,0.297
10.5418209,2.3620605,-0.093,0.314
10.8225151,0.9338379,-0.448,0.297
10.6282159,0.9997559,-0.775,0.294
10.1094859,2.4499512,-0.568,0.306
9.8714518,3.0651855,-0.130,0.305
9.6332456,1.9006348,-0.879,0.298
9.0695511,3.0212402,-0.634,0.293
6.3262180,2.1862793,-0.360,0.323
9.1997151,1.5930176,-0.683,0.293
8.9827489,1.9445801,-0.666,0.289
8.1788678,2.3400879,-0.310,0.299
8.5701576,2.4719238,-0.370,0.314
6.6755194,2.7575684,-0.114,0.358
11.5123222,2.6257324,-0.549,0.301
11.0598206,3.4387207,-0.752,0.306
11.4477230,2.4279785,-0.553,0.298
9.6765684,1.7248535,-0.780,0.319
7.1772006,1.9445801,0.116,0.348
9.2430925,2.8674316,-0.731,0.303
10.8440961,2.2082520,0.012,0.301
10.7145865,2.8234863,-0.726,0.310
7.3079846,2.4719238,-0.181,0.329
9.6549077,2.9992676,-0.690,0.322
9.9580298,3.5266113,-0.534,0.298
10.6498109,1.1535645,-0.364,0.312
10.8009324,2.9772949,-0.359,0.297
8.0265947,1.8566895,-0.725,0.294
11.2753865,2.9772949,-0.116,0.304
10.2392486,1.3513184,-0.561,0.295
10.9088300,2.6257324,-0.453,0.301
9.1346391,1.6589355,-0.255,0.297
11.0166883,2.8015137,-0.319,0.319
8.3745618,1.6369629,-0.636,0.303
9.1346391,1.9665527,-0.513,0.289
7.0027636,1.9006348,-0.332,0.317
9.2214045,2.5598145,-0.386,0.383
11.2753865,2.9333496,-0.259,0.327
6.6755194,1.8347168,-0.479,0.297
9.0478525,2.6257324,-0.518,0.299
9.7631974,1.5051270,-0.624,0.295
10.1094859,2.6916504,-0.440,0.300
9.2864645,2.5598145,-0.682,0.304
10.3689583,2.9772949,-0.441,0.304
10.9951198,3.5266113,-0.395,0.308
9.8281543,1.7468262,-0.491,0.307
11.0166883,3.6145020,-0.954,0.301
9.9147437,2.9553223,0.165,0.318
10.6066195,1.0656738,-0.358,0.299
9.8714518,2.8674316,-0.093,0.374
11.0382553,2.3620605,-0.673,0.305
10.0662199,2.8015137,-0.310,0.414
10.2824911,1.1535645,-0.821,0.293
8.2006163,1.8566895,-0.418,0.294
8.5049700,2.3181152,-0.698,0.301
11.3184804,3.0212402,-0.489,0.352
10.1527460,1.8566895,-0.377,0.297
6.7409861,1.7687988,-0.048,0.410
9.5032437,1.5051270,-0.411,0.284
7.8307313,2.1423340,-0.377,0.329
7.0681852,1.8347168,0.159,0.356
10.1743738,3.3288574,-0.680,0.299
11.0598206,2.0324707,-0.224,0.294
10.1094859,1.5051270,-0.406,0.295
10.7793483,2.5378418,-0.483,0.300
10.1743738,2.1643066,-0.207,0.307
10.3689583,1.1535645,-0.558,0.294
7.4605176,1.7028809,-0.511,0.301
10.8872536,2.8015137,-0.611,0.324
11.1676236,2.6916504,-0.287,0.303
10.9735497,2.5598145,-0.465,0.299
6.5008990,2.5598145,-0.131,0.389
9.4382242,2.7136230,-0.444,0.300
11.1460662,3.0212402,-0.663,0.303
10.9304048,2.5598145,-0.727,0.298
9.8498038,2.4060059,-0.835,0.313
11.6629959,2.4279785,-0.191,0.316
7.2643942,2.1203613,-0.025,0.348
10.3041101,1.7028809,-0.491,0.341
10.3905714,2.3181152,-0.707,0.302
11.9855916,3.2189941,-0.312,0.318
7.4169421,1.9445801,-0.669,0.296
7.1990006,2.7136230,-0.417,0.295
9.6332456,1.6369629,-0.300,0.316
10.2824911,1.0656738,-0.778,0.308
10.3905714,1.0437012,-0.090,0.305
9.9796707,1.8786621,-0.625,0.295
8.7873681,2.5817871,-0.744,0.312
6.9155204,2.0104980,-0.545,0.302
6.4354006,2.1423340,-0.196,0.368
10.1527460,3.1750488,-0.551,0.304
9.4598988,1.6809082,0.372,0.296
9.8714518,1.7687988,-0.414,0.352
10.3257277,0.9338379,-0.597,0.291
10.0662199,3.0212402,-0.895,0.300
10.0662199,2.8234863,-0.002,0.299
9.5032437,2.9113770,-0.346,0.324
10.1094859,2.3840332,0.401,0.356
10.5850215,1.1975098,-0.658,0.304
9.9580298,3.1970215,-0.280,0.410
10.8872536,1.0437012,-0.382,0.299
7.4823037,2.7355957,0.387,0.308
6.6536952,1.6149902,-0.215,0.297
9.3948711,1.5930176,-0.594,0.294
6.7409861,2.0544434,-0.766,0.307
8.9827489,2.4279785,-0.375,0.308
10.9304048,0.9118652,-0.335,0.289
10.6282159,2.5817871,-0.196,0.297
10.2824911,2.7575684,-0.416,0.301
10.2392486,1.1975098,-0.631,0.289
10.6498109,1.2854004,-0.384,0.314
11.2322862,2.7136230,-0.521,0.315
10.3041101,2.1643066,-0.707,0.309
8.3528229,2.6037598,-0.473,0.325
6.5663889,2.4499512,-0.089,0.358
9.8281543,1.7907715,-0.434,0.317
10.8225151,2.8674316,-0.752,0.309
10.6929962,2.7136230,-0.395,0.306
7.3733623,2.3400879,-0.547,0.318
11.0813844,3.6364746,-0.476,0.305
8.5701576,1.6809082,-0.726,0.312
7.0027636,2.3840332,-0.165,0.319
11.2753865,2.2741699,-0.722,0.301
9.1346391,3.0212402,-0.563,0.298
8.5484296,2.4938965,-0.512,0.299
7.8742645,1.8127441,-0.424,0.293
10.1743738,1.3513184,-0.420,0.303
11.7060306,3.5705566,-0.868,0.304
10.2176252,1.1096191,-0.057,0.305
10.1311167,1.8127441,-0.316,0.294
9.8065034,1.7907715,-0.435,0.300
10.1527460,2.3840332,-0.620,0.312
10.2824911,1.0217285,-0.074,0.293
10.9951198,3.0651855,-0.661,0.301
10.3905714,1.9665527,-0.136,0.298
10.9735497,2.1423340,-0.542,0.300
7.0245718,2.7355957,-0.441,0.297
10.1527460,3.1311035,-0.719,0.321
7.1553996,2.3620605,-0.421,0.341
8.8307950,2.6916504,-0.490,0.297
8.2658549,1.9006348,-0.619,0.296
7.8742645,2.0764160,-0.634,0.299
6.7846256,2.4499512,-0.746,0.319
6.6318701,2.2082520,0.446,0.402
10.8225151,1.0656738,-0.334,0.288
10.3905714,3.1750488,-0.475,0.309
10.2176252,3.5046387,-0.648,0.317
6.5882169,2.1862793,-0.434,0.344
9.4165483,2.6477051,-0.735,0.337
11.1676236,2.2302246,-0.610,0.297
10.2608706,0.9997559,-0.379,0.289
11.4261866,2.7795410,-0.527,0.304
8.4615055,1.6809082,-0.573,0.289
8.3745618,1.9885254,-0.348,0.294
9.0261526,2.7575684,-0.884,0.308
11.2969342,3.1091309,-0.765,0.307
7.3951528,2.5817871,-0.138,0.327
8.8959258,1.7907715,-0.528,0.295
8.3093413,1.8786621,-0.435,0.311
8.2006163,1.7687988,-0.623,0.293
10.0445848,3.4167480,0.113,0.320
11.0598206,3.6804199,-0.365,0.302
8.2006163,1.9885254,-0.377,0.314
10.0445848,2.7575684,-0.376,0.316
10.0229482,1.9445801,-0.430,0.293
9.8065034,2.9992676,0.945,0.483
10.2824911,3.5046387,0.121,0.325
7.6129974,1.8566895,-0.707,0.292
10.3041101,2.6477051,-0.100,0.324
7.9177932,2.2082520,-0.440,0.321
6.3917304,2.2521973,0.909,0.471
8.3310827,1.8127441,-0.847,0.300
7.5040887,1.9226074,-0.683,0.291
10.1094859,3.2849121,-0.470,0.328
6.6536952,2.7136230,0.884,0.450
8.1571180,1.8786621,-0.314,0.297
6.3262180,2.1643066,-0.008,0.323
11.1460662,3.1311035,-0.779,0.300
9.9147437,2.8234863,-0.213,0.300
8.5049700,2.5158691,-0.377,0.299
9.6982277,1.4831543,-0.248,0.287
8.0483515,1.8347168,-0.270,0.309
12.0930384,3.0212402,-0.823,0.305
11.0166883,2.5817871,-0.982,0.302
10.4337931,1.0656738,-0.391,0.301
11.4261866,2.4938965,-0.499,0.308
11.3831090,2.6916504,-0.390,0.322
11.9426009,3.1970215,-0.763,0.325
8.4397714,1.9006348,-0.338,0.317
11.2538371,2.5378418,-0.157,0.303
6.3043786,1.9885254,-0.487,0.338
9.3515125,1.6809082,-0.906,0.335
7.2643942,2.6257324,-0.806,0.370
9.4598988,2.0324707,0.056,0.391
10.1960002,1.9885254,-0.125,0.322
9.1780244,1.7248535,-1.124,0.293
10.9088300,2.4719238,-0.548,0.301
6.3262180,2.1203613,-0.128,0.413
6.5008990,1.9445801,-0.241,0.356
10.3257277,3.2409668,-0.286,0.303
8.8959258,2.4279785,-0.029,0.328
9.6332456,1.8347168,-0.095,0.312
10.0662199,3.3508301,-0.411,0.321
10.1094859,1.7028809,-0.691,0.296
11.1029466,2.5598145,-0.937,0.320
10.4121830,1.3732910,-0.280,0.323
9.7631974,1.5490723,-0.784,0.314
9.9363874,2.7355957,-0.903,0.307
10.8009324,2.0324707,-0.910,0.291
10.6282159,2.7795410,-0.838,0.305
6.4572344,1.7468262,-0.167,0.299
11.0813844,1.9226074,0.100,0.287
9.5899171,2.6916504,-0.629,0.309
10.3905714,1.8786621,-0.729,0.298
6.6755194,1.7028809,-0.126,0.354
8.5484296,2.3620605,-0.638,0.333
11.1245072,3.5925293,-0.319,0.320
6.8064439,2.1203613,-0.252,0.342
9.5465832,1.7468262,-0.262,0.294
9.6332456,2.7136230,-0.877,0.310
