latitude,longitude,rwi,error
12.6510579,-0.9118652,-0.111,0.306
12.3292689,-1.4392090,0.962,0.440
11.2538371,-2.5598145,-0.595,0.283
10.0013102,-3.0651855,-0.282,0.285
14.7855051,-0.0549316,-0.489,0.293
12.8225137,-1.7028809,-0.244,0.310
12.1789647,-3.7902832,-0.645,0.286
13.5071552,-2.2961426,-0.233,0.290
12.4794869,-2.1862793,-0.441,0.302
12.5009395,-1.9226074,-0.510,0.290
11.7060306,-4.7570801,-0.300,0.326
12.7153674,-1.4172363,-0.689,0.297
11.7705700,-1.9006348,-0.746,0.295
10.9304048,-4.0979004,-0.417,0.285
12.9938527,-3.6364746,-0.478,0.288
10.1743738,-4.6472168,-0.705,0.282
10.5202184,-4.9768066,-0.376,0.284
13.2934109,-1.2634277,-0.659,0.300
11.4261866,-1.7907715,-0.537,0.293
13.1436775,-2.0544434,-0.659,0.307
14.3814760,-1.8786621,-0.679,0.347
12.8867796,-1.3952637,-0.323,0.292
11.8996033,-1.2854004,0.014,0.332
12.8010881,-3.3508301,-0.279,0.299
10.8225151,-4.4055176,-0.315,0.283
15.0827314,-0.6262207,-0.558,0.280
12.8653594,-2.4938965,-0.606,0.288
12.2648633,-0.3625488,-0.274,0.325
13.9127399,-2.8234863,-0.466,0.278
13.2078602,-4.1198730,-0.645,0.285
11.1245072,0.3186035,-0.432,0.283
10.3905714,-4.2297363,-0.572,0.288
10.9088300,-3.8781738,-0.570,0.294
12.3078021,0.2966309,-0.164,0.281
12.5009395,-2.7355957,-0.706,0.298
10.0229482,-4.4274902,-0.607,0.307
14.1046123,-2.1643066,0.445,0.293
12.0500648,1.9226074,-0.592,0.289
12.7153674,0.6481934,-0.637,0.282
13.5285192,-2.6696777,-0.530,0.290
12.6081759,-0.6481934,-0.301,0.283
12.5652867,0.6481934,-0.477,0.281
12.7153674,0.0109863,-0.543,0.284
11.3615678,-2.9333496,0.133,0.293
14.0833011,-0.7580566,-0.432,0.299
13.8060751,0.0549316,-0.622,0.294
12.2219175,-4.0539551,-0.639,0.293
11.0382553,-0.9777832,-0.121,0.276
14.4240402,-0.2966309,-0.726,0.313
11.7275454,-0.9777832,-0.726,0.287
12.7582314,-0.3186035,-0.511,0.286
13.0366691,-0.3186035,-0.192,0.317
12.8653594,-1.2414551,-0.368,0.290
10.2608706,-4.3176270,-1.001,0.307
9.7198857,-4.4055176,-0.425,0.283
14.2537350,-0.8020020,-0.450,0.293
11.9855916,-1.8127441,-0.774,0.299
12.9724418,-1.8347168,-0.413,0.303
12.6510579,-0.7800293,-0.603,0.299
12.0500648,-4.2077637,-0.066,0.292
12.8010881,-0.1208496,-0.168,0.282
14.7430107,-0.3845215,-0.605,0.286
12.2219175,0.1208496,-0.569,0.286
12.5009395,-2.0104980,-0.356,0.291
11.9640971,-3.6584473,-0.721,0.285
10.8872536,-4.1198730,-0.211,0.305
10.1094859,-4.0759277,-0.656,0.282
14.1898373,-1.0217285,-0.459,0.292
10.4121830,-4.9768066,-0.564,0.287
13.1436775,-2.1643066,-0.690,0.300
11.8135879,-0.2966309,-0.385,0.302
12.0500648,-3.8342285,-0.643,0.286
11.5984314,-2.7575684,0.263,0.491
12.6296178,-0.3625488,-0.448,0.299
13.4216803,-1.5490723,-0.622,0.314
13.9127399,-0.5163574,-0.462,0.297
13.1864679,-1.9445801,-0.568,0.296
11.7920798,-1.0876465,-0.345,0.323
12.4365763,0.9777832,-0.450,0.284
12.3507339,-3.2409668,-0.464,0.312
13.4216803,-1.0437012,0.339,0.436
13.8487469,-2.6037598,-0.762,0.284
11.0382553,-0.5163574,-0.353,0.284
10.6929962,-3.5485840,-0.341,0.296
12.5652867,-1.4831543,-0.741,0.312
13.6993616,-1.7248535,-0.356,0.311
14.0406726,0.2526855,-0.710,0.293
13.8274120,0.3845215,-0.736,0.300
12.4151184,-0.1867676,-0.731,0.292
10.2608706,-4.9108887,-0.322,0.401
14.3389038,-0.6262207,-0.525,0.300
13.3361750,0.6042480,-0.779,0.302
11.0813844,-5.4162598,-0.830,0.280
13.3575541,-1.5710449,-0.573,0.299
12.1574857,1.5930176,-0.564,0.295
10.6498109,-2.9553223,-0.450,0.287
10.3041101,-4.3395996,-0.459,0.311
12.5438394,1.4172363,-0.514,0.287
11.4261866,0.0549316,-0.550,0.300
12.9081979,-2.3400879,-0.262,0.304
13.7633955,0.3845215,-0.406,0.296
14.0833011,-1.8786621,-0.645,0.284
13.7207082,-1.7468262,-0.712,0.303
10.7145865,-4.5153809,-0.679,0.284
11.1460662,-0.6262207,-0.455,0.296
11.4477230,-4.4714355,-0.294,0.303
11.8781020,1.6809082,-0.552,0.319
12.2648633,-4.0539551,-0.569,0.289
10.8656756,-4.1638184,-0.726,0.292
13.3789314,-2.3400879,-0.763,0.287
13.1436775,-2.1862793,-0.334,0.295
10.5418209,-4.0319824,-0.456,0.290
11.3831090,-4.3835449,0.012,0.469
13.0580745,-1.7028809,-0.393,0.306
13.8487469,-0.8020020,-0.090,0.295
12.8653594,0.5822754,-0.019,0.300
10.1527460,-3.9880371,-0.281,0.284
11.5553801,-1.1535645,-0.356,0.304
12.5223904,-4.0100098,-0.361,0.295
13.3789314,0.2746582,-0.537,0.305
13.7633955,-0.6481934,-0.314,0.297
11.9426009,-2.3400879,-0.321,0.295
11.8565990,-1.8127441,-0.433,0.296
10.7361753,-5.0866699,-0.862,0.290
14.2111385,-1.0217285,-0.546,0.293
11.5553801,-4.8010254,-0.595,0.286
12.5867322,-2.0764160,-0.492,0.312
12.3507339,-3.3947754,-0.742,0.289
13.0794780,-3.6145020,-1.229,0.292
13.0794780,-3.5705566,-0.982,0.296
12.1145226,-3.7683105,-0.408,0.289
13.8914108,-0.4724121,-0.624,0.296
10.6714043,-3.3288574,-0.510,0.284
12.2648633,0.9777832,-0.202,0.339
13.5071552,-2.3400879,0.289,0.291
12.7153674,-1.1975098,-0.300,0.327
12.0285754,-0.5383301,-0.779,0.290
12.0070844,0.2966309,-0.484,0.288
11.0598206,-1.1975098,-0.624,0.276
11.5769066,-4.2297363,-0.401,0.298
12.8225137,-1.7468262,-0.296,0.314
13.5498812,-1.8786621,-0.532,0.299
14.0193555,-0.0109863,0.507,0.480
12.7796606,-1.3513184,-0.436,0.292
11.4046486,-4.6472168,-0.576,0.289
11.2107336,-3.0651855,-0.624,0.349
11.1676236,-4.8889160,0.111,0.282
10.3041101,-5.1306152,-0.779,0.285
11.5553801,-3.6804199,-0.324,0.295
13.4216803,-1.7468262,-0.772,0.301
13.2506393,-3.1091309,0.114,0.287
13.5712413,-3.0651855,-0.407,0.286
10.2608706,-4.1418457,-0.354,0.284
12.2433913,1.9006348,-0.783,0.283
10.1094859,-3.9001465,-0.585,0.283
12.3507339,-2.4499512,-0.281,0.318
12.9938527,0.1647949,-0.488,0.296
10.4121830,-4.3835449,-0.250,0.308
12.3292689,-0.4504395,-0.101,0.354
11.3184804,-3.3508301,-0.459,0.290
14.0406726,-0.3186035,-0.313,0.303
12.1789647,1.7907715,-1.065,0.287
11.9211029,-1.2854004,-0.236,0.311
10.4986143,-4.6032715,-0.376,0.283
13.6566625,-2.3840332,-0.186,0.374
12.1360050,-2.5817871,-0.378,0.311
10.3905714,-4.5153809,-0.581,0.285
13.9553920,-0.0109863,-0.788,0.305
11.1676236,-3.0432129,-0.042,0.322
12.6724962,-2.8894043,-0.535,0.290
11.3831090,-4.4934082,-0.513,0.314
10.1094859,-3.3947754,-0.498,0.317
10.1527460,-2.8015137,-0.216,0.286
11.1891794,-5.1525879,-0.618,0.281
12.9510290,-2.5817871,-0.672,0.295
12.8867796,-0.0109863,-0.381,0.301
13.8487469,-2.2521973,-0.571,0.287
13.9767151,-2.5378418,-0.793,0.281
14.5304150,-1.9445801,-0.507,0.277
10.4337931,-5.2844238,-0.512,0.284
13.6780130,-1.1755371,-0.409,0.303
12.0500648,1.7468262,-0.521,0.304
12.1789647,-3.4387207,-0.632,0.287
11.7490585,-0.5822754,-0.896,0.325
11.8996033,-4.4494629,-0.261,0.293
11.9855916,-3.6145020,-0.711,0.287
12.6939327,-0.2307129,-0.200,0.286
10.0662199,-3.4826660,-0.737,0.289
13.7847363,-1.5270996,-0.718,0.295
10.4121830,-5.3503418,-0.730,0.298
11.9211029,-1.6369629,-0.739,0.288
11.7060306,-3.6584473,-0.366,0.287
11.3400249,-1.9445801,-0.794,0.300
11.2969342,-4.6911621,-0.595,0.286
12.4151184,-3.3288574,-0.726,0.300
14.8704688,-0.0988770,-0.138,0.303
13.7847363,-0.9118652,-0.584,0.296
12.6724962,-2.4499512,-0.629,0.293
11.9855916,1.8127441,-0.671,0.286
13.1864679,0.7800293,-0.965,0.298
12.0500648,-0.7580566,-0.367,0.297
12.9081979,-3.8781738,-0.661,0.300
13.1864679,0.6481934,-0.508,0.297
12.3078021,-0.4724121,-0.518,0.320
12.1360050,-1.2414551,-0.681,0.307
12.6296178,-0.1867676,-0.286,0.309
12.6296178,0.2746582,-0.554,0.300
13.2720261,-0.9777832,-0.407,0.302
14.3176146,-1.5051270,-0.596,0.298
13.9553920,-2.3181152,-0.245,0.308
12.4794869,-2.3840332,-0.682,0.322
11.9640971,-4.2956543,-0.421,0.309
10.9304048,-3.8342285,-0.857,0.290
14.1046123,-1.5710449,-0.379,0.320
12.1145226,-0.3625488,0.132,0.361
10.6498109,-4.9328613,-0.036,0.294
12.5438394,2.0544434,-0.627,0.288
11.7920798,-2.5598145,-0.941,0.301
11.4477230,-2.2961426,-0.816,0.286
14.2324377,-0.9777832,-0.241,0.308
10.8656756,-4.9987793,-0.566,0.293
13.6139558,-1.1755371,-0.029,0.317
9.9580298,-2.7575684,-0.659,0.289
11.7275454,-4.6691895,-0.257,0.287
12.4365763,-0.4284668,-0.446,0.309
11.9855916,0.7580566,-0.586,0.290
11.7490585,-2.4279785,-0.737,0.284
10.9304048,-4.1638184,-0.578,0.288
11.6845141,-4.2736816,-0.575,0.285
9.7415422,-4.2736816,-0.471,0.287
13.1650736,-2.5817871,-0.040,0.290
11.1676236,-4.0539551,0.155,0.343
10.6929962,-4.8010254,0.309,0.347
11.7060306,-1.7468262,-0.738,0.283
11.8565990,0.0988770,-0.015,0.282
10.7793483,-2.9553223,-0.127,0.282
12.2433913,0.6262207,-0.494,0.299
10.9519780,-3.5485840,-0.534,0.311
12.6939327,-0.8679199,-0.987,0.291
10.4770087,-3.4606934,-0.932,0.290
11.1029466,-3.0212402,-0.484,0.289
11.1891794,-1.0876465,-0.265,0.324
11.7920798,-2.7136230,-0.589,0.342
12.7368003,0.9997559,-0.814,0.284
12.2433913,-1.7028809,-0.478,0.316
13.0366691,-2.6257324,-0.700,0.306
12.3078021,1.6149902,-0.438,0.281
12.0930384,-0.0769043,-0.395,0.284
14.2111385,0.1428223,-0.739,0.304
11.5769066,-1.0876465,-0.046,0.285
10.6498109,-5.4162598,0.133,0.297
13.4644216,0.4064941,-0.324,0.299
12.0500648,-1.8347168,-0.461,0.285
9.9796707,-4.1857910,-0.593,0.287
12.1145226,1.4611816,-0.748,0.285
13.5071552,-2.0764160,-0.840,0.290
12.3078021,-2.0983887,-0.547,0.318
13.2720261,-2.0104980,-0.483,0.296
