latitude,longitude,rwi,error
23.5740566,89.7912598,0.655,0.521
23.6948343,88.9123535,-0.100,0.504
23.1302568,91.0876465,-0.226,0.550
24.5371290,91.7028809,0.240,0.489
26.3032638,89.0002441,0.389,0.470
23.0291870,88.8684082,-0.469,0.401
25.3539542,89.7692871,0.367,0.571
25.0358382,89.1101074,-0.016,0.548
23.5136260,88.7145996,-0.588,0.485
25.7899992,89.0222168,-0.432,0.490
23.3926816,91.0437012,0.482,0.517
24.0163614,89.6594238,-0.066,0.567
22.9482765,91.7907715,-0.296,0.443
23.8556976,89.3078613,0.079,0.561
25.1751161,90.2526855,-0.087,0.475
22.3602361,90.3845215,-0.438,0.535
22.9685086,89.8352051,0.432,0.519
24.4971459,90.5163574,0.010,0.527
22.5835822,90.6701660,0.690,0.553
24.2970401,91.8566895,0.280,0.519
25.6118091,89.6374512,0.222,0.512
26.3426524,88.4289551,-0.504,0.469
24.6570018,90.5383301,-0.118,0.486
24.4371475,88.8244629,0.061,0.507
22.9280413,89.8352051,-0.010,0.538
24.7168951,89.9670410,-0.241,0.510
23.9962894,89.5275879,-0.502,0.518
23.1908622,91.2854004,0.142,0.562
21.8920839,92.0544434,0.432,0.499
24.6570018,91.8347168,0.563,0.537
23.6747124,91.1535645,0.759,0.542
23.9962894,90.9338379,0.192,0.534
24.0564961,90.1867676,0.067,0.493
25.8097816,89.5056152,-0.009,0.487
25.0159284,89.4177246,0.082,0.542
26.1850178,89.0881348,-0.327,0.473
23.6143282,89.8132324,0.207,0.556
24.2970401,90.7580566,-0.340,0.506
24.0364303,90.6262207,0.345,0.532
23.0898380,89.1760254,-0.235,0.539
24.2169091,91.0217285,-0.689,0.474
24.6769694,89.4177246,1.059,0.577
24.0163614,89.5715332,-0.766,0.516
23.9561359,90.3845215,1.501,0.558
22.7457888,89.7253418,-0.030,0.505
23.8356006,89.1979980,0.169,0.541
23.7551814,90.1867676,0.696,0.564
26.1061204,88.6047363,-0.207,0.498
22.1772314,92.2521973,-0.226,0.426
23.0494070,91.1535645,0.095,0.562
22.4008712,91.9885254,0.300,0.539
23.0898380,89.4177246,-0.597,0.479
24.4771496,90.0549316,-0.008,0.535
22.2992611,90.8020020,-0.940,0.499
22.5430006,91.1755371,-0.047,0.524
22.6647094,92.0544434,-0.264,0.449
23.5337726,88.9562988,0.128,0.498
22.7255234,88.9562988,0.034,0.523
22.9685086,89.4836426,0.488,0.563
23.3523422,88.9562988,-0.317,0.480
24.0765587,89.2199707,0.313,0.537
23.5136260,89.0222168,0.215,0.558
22.7457888,92.2521973,-0.147,0.467
22.8673176,91.4831543,-0.146,0.538
21.5450657,92.0324707,0.461,0.555
25.7306321,89.6374512,0.162,0.517
22.6849838,89.0441895,0.395,0.537
22.1568828,92.1423340,-0.169,0.513
24.3370866,89.9670410,-0.189,0.540
25.5325281,89.0002441,-0.442,0.468
22.8268200,90.9338379,-0.524,0.492
22.4821059,90.0549316,0.331,0.592
24.7967079,88.4069824,-0.558,0.472
25.6712354,89.8132324,0.267,0.487
25.0756480,91.0217285,-0.459,0.441
24.7168951,90.7800293,-0.204,0.485
21.7084727,92.2302246,-0.807,0.405
25.1353386,91.3073730,0.212,0.485
21.8309063,92.5378418,-0.817,0.362
25.5721751,89.0222168,-0.652,0.452
24.3771204,90.0769043,0.282,0.543
