latitude,longitude,rwi,error
-17.3611242,-63.2702637,0.503,0.536
-17.0252724,-66.3464355,0.163,0.430
-18.9062862,-65.2917480,-0.209,0.384
-18.1771685,-65.8410645,-0.823,0.406
-17.0882909,-63.2043457,-0.622,0.404
-16.6888167,-65.5114746,-0.731,0.409
-16.7519476,-66.6760254,-0.563,0.396
-17.0462809,-62.6330566,-0.567,0.454
-16.4782298,-66.7858887,-0.855,0.415
-19.1970531,-65.1379395,-0.303,0.473
-16.6256648,-67.4450684,-0.423,0.407
-18.3023803,-63.7976074,-0.764,0.400
-18.0309744,-61.8640137,-1.178,0.364
-20.7458399,-64.8962402,-0.093,0.460
-20.8485448,-64.8962402,-0.669,0.380
-18.3023803,-64.1491699,0.564,0.529
-16.9201944,-68.5656738,-0.080,0.508
-16.1408153,-68.5876465,-0.299,0.406
-16.5414301,-68.0603027,1.332,0.488
-22.0754590,-65.2697754,-0.497,0.365
-15.6547754,-69.0930176,-0.413,0.419
-17.2772184,-66.4782715,-0.004,0.454
-15.6547754,-69.2468262,0.065,0.389
-18.9062862,-66.0827637,-0.726,0.399
-10.9304048,-65.7971191,-0.572,0.404
-18.6774709,-65.3576660,-0.988,0.400
-16.3517676,-68.3679199,0.031,0.490
-17.1302914,-64.6765137,0.060,0.550
-17.4030627,-66.3244629,1.211,0.540
-16.9832482,-63.1164551,-0.088,0.410
-17.6126105,-63.5119629,0.046,0.410
-21.3610128,-64.1931152,-0.614,0.379
-16.2041247,-69.0710449,-0.305,0.465
-18.4275017,-66.1926270,-0.126,0.402
-17.8846589,-63.0285645,0.886,0.518
-16.3306825,-62.4792480,-0.875,0.383
-17.0042615,-64.3688965,-0.698,0.388
-17.9055685,-63.2482910,0.681,0.492
-20.7663865,-65.5334473,-0.546,0.382
-18.4691886,-59.4909668,-0.394,0.403
-17.4449916,-63.9514160,-0.361,0.428
-19.0932663,-64.3249512,-0.683,0.409
-19.4251534,-65.5554199,-0.315,0.394
-21.2586610,-63.4460449,1.063,0.568
-18.6774709,-64.8083496,-0.331,0.389
-21.5450657,-64.6545410,-0.132,0.478
-19.7149999,-65.1159668,0.131,0.380
-18.1354112,-66.5661621,-0.251,0.382
-17.6754275,-65.2258301,-0.592,0.488
-17.4240283,-66.5881348,-0.625,0.433
-15.7816814,-67.6208496,0.030,0.404
-20.2518900,-63.4680176,-0.554,0.492
-17.4449916,-65.9069824,-0.257,0.462
-18.3440975,-67.5329590,-0.424,0.407
-19.4873072,-64.9621582,-0.351,0.374
-17.6126105,-65.8630371,-0.002,0.498
-21.2586610,-65.7751465,-0.186,0.523
-16.1408153,-62.7209473,-0.591,0.374
-18.4691886,-66.8078613,-0.289,0.390
-19.6115432,-64.2810059,0.387,0.372
-17.6754275,-65.7751465,-0.331,0.408
-15.5912928,-69.0710449,0.448,0.486
-17.3611242,-66.3024902,0.589,0.559
-19.0932663,-65.4675293,-0.841,0.396
-19.7356832,-66.9616699,-0.215,0.376
