latitude,longitude,rwi,error
27.5374999,90.2526855,-0.508,0.418
27.3229745,91.2414551,-0.423,0.396
26.9514527,91.6149902,-0.121,0.374
27.1666948,90.0109863,-0.517,0.359
26.8142658,89.1760254,0.187,0.501
27.3620101,91.4172363,-0.561,0.352
27.3815228,91.5930176,-0.018,0.424
27.4205377,91.5930176,-0.218,0.368
27.4010320,89.2639160,-0.224,0.417
27.3229745,89.9450684,0.095,0.492
27.0101960,91.3732910,0.261,0.411
27.1275906,91.4611816,0.339,0.397
27.4010320,89.5935059,0.414,0.430
26.8338741,91.2414551,0.394,0.499
27.0101960,90.8459473,-0.056,0.340
27.1471444,89.6374512,-0.735,0.408
27.3424940,90.5603027,-0.272,0.485
26.9514527,89.4836426,-0.592,0.364
27.0297703,89.9450684,-0.471,0.443
27.5180148,89.8132324,0.178,0.443
27.0297703,91.0656738,-0.618,0.340
26.9318647,89.0441895,0.222,0.485
27.6543377,91.2414551,-0.651,0.469
27.1080334,90.7141113,0.102,0.428
27.5374999,89.3298340,-0.391,0.406
27.1080334,91.6589355,-0.331,0.335
27.5569815,91.1315918,0.208,0.420
27.1080334,91.4831543,0.445,0.394
27.6348734,91.2414551,-0.366,0.340
26.9906183,91.3952637,0.454,0.412
27.3424940,89.9011230,0.329,0.456
27.0493412,91.4392090,-0.324,0.421
27.5180148,90.0769043,0.125,0.411
26.8338741,89.2639160,-0.663,0.397
27.4595389,89.3518066,0.588,0.460
27.5569815,90.7360840,0.923,0.477
27.0297703,91.4392090,0.322,0.435
27.5764596,90.1428223,-0.446,0.339
27.4010320,90.5163574,0.464,0.505
27.2253254,89.4177246,-0.513,0.440
27.1666948,90.8020020,-0.096,0.486
26.9710372,88.9562988,-0.147,0.425
26.9514527,90.0769043,0.049,0.390
27.0101960,89.2419434,-0.685,0.417
27.0297703,91.4611816,0.087,0.428
27.5959343,90.0549316,-0.192,0.484
26.9514527,89.3298340,-0.384,0.423
27.5180148,90.2526855,0.048,0.420
26.9122734,89.9011230,0.421,0.489
27.0493412,90.7580566,-1.043,0.353
27.2643953,89.3957520,0.074,0.401
27.4010320,91.6369629,-0.371,0.389
27.0101960,89.5275879,-0.242,0.387
27.6348734,89.8132324,1.249,0.449
27.1666948,91.5490723,-0.210,0.467
27.3815228,89.2639160,-0.335,0.401
27.0101960,90.1867676,-0.354,0.409
27.2253254,91.5051270,-0.226,0.406
26.9514527,89.0441895,-0.327,0.423
27.3034516,91.8347168,-0.501,0.410
27.3034516,91.8566895,-0.247,0.472
26.9122734,89.6154785,0.223,0.362
27.4790343,89.6374512,1.436,0.511
27.1471444,88.8024902,-0.333,0.342
26.9122734,89.5275879,0.959,0.471
26.9710372,91.3513184,-0.220,0.464
27.0493412,89.1540527,-0.307,0.385
26.9514527,91.0656738,0.078,0.356
26.9318647,92.0983887,-0.623,0.396
27.7127098,91.1535645,0.875,0.447
26.9514527,91.5930176,-0.414,0.353
27.0297703,91.5930176,-0.214,0.377
27.2057853,91.1975098,-0.058,0.406
27.7516073,89.7473145,-1.028,0.404
27.0884727,91.4831543,-0.091,0.372
27.5959343,90.0329590,-0.477,0.425
27.3424940,91.5490723,0.469,0.483
27.2057853,90.6042480,-0.103,0.372
27.2253254,91.2854004,-0.058,0.360
27.3424940,90.6042480,0.221,0.484
26.8142658,89.6154785,-0.495,0.342
27.1862418,90.5383301,-0.258,0.448
27.0101960,89.4396973,-0.178,0.395
26.9318647,89.3078613,-0.653,0.397
27.5374999,90.8020020,0.019,0.504
26.8534790,91.1315918,-0.101,0.451
26.8730805,91.5270996,-0.094,0.411
26.9906183,88.9343262,0.279,0.456
27.1471444,90.7360840,-0.502,0.414
27.4595389,91.5490723,0.177,0.444
27.5569815,90.3186035,-0.734,0.403
27.3424940,91.3952637,-0.087,0.400
27.4985263,90.0109863,-0.243,0.445
26.9514527,89.7473145,-0.627,0.341
27.1080334,91.6809082,-0.819,0.336
27.5959343,91.2194824,0.057,0.426
26.8730805,91.5051270,-0.156,0.435
27.4205377,90.4943848,-0.180,0.450
27.0493412,89.3957520,-0.302,0.464
27.3424940,90.5822754,0.377,0.479
27.0101960,91.2194824,-0.596,0.405
27.1275906,88.9123535,-0.071,0.445
27.1471444,91.6369629,-0.095,0.373
26.9710372,91.6809082,0.400,0.475
26.8534790,90.1867676,-0.709,0.344
27.6737985,89.9011230,-0.296,0.385
27.0493412,90.0769043,-0.406,0.433
27.6543377,89.8791504,0.065,0.441
26.7946541,89.7033691,-0.557,0.349
27.4205377,91.5490723,0.192,0.423
27.0689087,91.5490723,0.029,0.452
27.4205377,91.1535645,-0.276,0.359
26.9122734,90.2307129,-0.077,0.406
26.9122734,90.4943848,-0.048,0.485
26.8534790,90.3186035,-0.492,0.395
27.2448621,89.7033691,-0.660,0.356
26.8534790,89.5715332,-0.229,0.455
27.4985263,91.5930176,-0.137,0.361
26.8730805,89.0881348,-0.159,0.413
27.0689087,90.1867676,-0.620,0.376
27.3034516,91.6149902,-0.166,0.392
27.7516073,89.7253418,-0.756,0.373
27.2253254,91.4392090,-0.241,0.368
27.2253254,91.5270996,-0.599,0.400
26.8534790,91.5490723,-0.497,0.439
27.3815228,91.5051270,-0.377,0.388
27.1471444,89.5495605,-0.009,0.408
26.7554205,89.7473145,-0.315,0.431
27.5959343,89.8132324,-0.490,0.398
26.8338741,89.5275879,-0.186,0.391
26.9122734,89.4616699,0.111,0.388
26.9906183,90.1428223,0.132,0.417
27.1275906,90.6921387,-0.448,0.454
27.3424940,91.1975098,-0.018,0.411
27.4010320,89.8791504,-0.126,0.451
26.9318647,90.0549316,-0.723,0.388
27.0493412,89.2639160,-0.470,0.454
27.1080334,91.5270996,-0.017,0.417
