latitude,longitude,rwi,error
-22.3602361,26.7077637,0.777,0.476
-24.7168951,25.7409668,-0.606,0.423
-21.1562380,27.5427246,0.611,0.525
-22.2992611,20.6433105,-0.529,0.370
-19.9630226,26.4440918,-0.458,0.371
-23.5740566,25.7629395,-0.931,0.390
-21.0537441,21.7199707,-0.677,0.372
-22.5227053,27.1252441,1.322,0.525
-24.9163310,25.3234863,-0.422,0.425
-22.0347295,27.8503418,-0.317,0.402
-20.7663865,27.1691895,0.042,0.421
-23.1504616,26.8395996,-0.306,0.490
-25.5721751,25.4333496,-0.503,0.376
-21.1767283,27.4768066,0.067,0.530
-22.4008712,26.5759277,-0.097,0.385
-22.3399141,27.8283691,-0.103,0.466
-23.9561359,25.5651855,-0.664,0.373
-25.4135082,25.5651855,-0.465,0.387
-24.2970401,25.8288574,0.287,0.389
-25.1751161,25.7409668,-0.871,0.415
-20.7047384,27.5646973,-0.568,0.465
-24.3571051,26.1584473,0.780,0.505
-23.9360545,25.4992676,-0.328,0.373
-23.3926816,25.6970215,-0.616,0.372
-25.0358382,25.7629395,-0.122,0.456
-24.8166532,25.2575684,-0.361,0.372
-25.2745031,25.6091309,-0.604,0.426
-18.6150130,25.4772949,-0.450,0.369
-24.3971326,26.0485840,-0.299,0.397
-23.2918101,26.9714355,-0.535,0.370
-24.6170569,26.4001465,-0.430,0.436
-22.2179198,26.8176270,-0.200,0.429
-25.2745031,25.6530762,-0.016,0.399
-25.4333530,25.5212402,-0.251,0.395
-24.6170569,26.1364746,0.281,0.504
-22.0347295,27.2790527,-0.087,0.422
-25.4928679,25.4772949,-0.155,0.383
-24.0163614,21.7639160,-0.776,0.371
-22.5024071,28.2238770,-0.659,0.387
-23.8958823,26.3781738,0.083,0.466
-18.5525320,25.6311035,0.955,0.513
-21.9736132,28.4436035,0.178,0.498
-23.0089639,26.5100098,-0.263,0.387
-25.8097816,24.7082520,-0.462,0.400
-26.8730805,20.7531738,-0.255,0.379
-18.3023803,21.8078613,-0.460,0.386
-20.2106559,24.1149902,-1.058,0.385
-21.2177003,26.0046387,-0.045,0.372
-21.3814746,24.7302246,-0.726,0.381
-22.4414945,26.7956543,-0.236,0.435
-24.3571051,26.0705566,0.480,0.481
-23.6344594,26.8176270,-0.217,0.391
-25.5721751,25.5871582,0.068,0.393
-21.9736132,27.8723145,0.949,0.532
-19.9423689,23.5217285,0.269,0.459
-24.1367278,25.4333496,-0.328,0.373
-21.9736132,28.3996582,0.609,0.531
-24.7767595,25.7849121,-0.905,0.405
-24.8964019,24.8840332,-0.339,0.379
-23.3523422,25.6970215,-0.601,0.369
-24.1968685,25.1916504,-0.337,0.405
-23.6747124,26.6198730,-0.483,0.385
-20.5402210,22.7746582,-0.616,0.372
-21.3200806,25.3894043,0.154,0.527
-24.3170649,26.5319824,-0.386,0.372
-22.8673176,27.5207520,-0.256,0.467
-20.6841834,27.1252441,0.026,0.457
-24.1166746,25.5432129,-0.703,0.372
-23.9360545,21.8298340,-0.221,0.446
-24.6969338,26.0925293,0.226,0.461
-22.5227053,27.0373535,0.394,0.559
-23.4531676,25.7629395,-0.762,0.435
-24.7967079,25.7409668,-0.344,0.420
-24.7368531,24.7741699,-0.858,0.369
-20.1487843,25.8068848,-0.279,0.404
-24.1367278,25.8728027,-0.495,0.388
-25.1552290,25.4992676,-0.598,0.372
-21.1152490,27.2131348,-0.668,0.407
-24.2369466,25.9606934,-0.240,0.375
-20.9922139,27.3229980,1.360,0.462
-24.7168951,25.6750488,-0.323,0.426
-20.8896072,27.3010254,-0.625,0.411
-17.9891824,24.6423340,0.185,0.455
-18.3649523,21.9616699,-0.474,0.384
-22.5632929,27.4548340,-0.350,0.393
-21.0127268,26.6857910,-0.303,0.414
-24.9760991,25.6091309,-0.592,0.508
-19.5701418,20.9948730,-0.254,0.372
-18.3649523,21.9836426,-0.278,0.378
-22.1975771,28.8610840,-0.774,0.382
-24.1367278,25.6091309,-0.069,0.395
-24.3571051,25.8728027,-0.635,0.400
-21.2996102,27.8942871,0.823,0.499
-21.8513017,27.7404785,-0.030,0.489
-24.6570018,25.8508301,0.826,0.510
-23.8958823,25.4772949,-0.759,0.373
-24.6769694,25.2575684,-0.280,0.387
-24.6969338,24.7741699,-0.714,0.369
-22.6038685,27.3449707,-0.428,0.432
-22.5024071,27.1252441,-0.197,0.444
-19.9630226,23.4777832,0.413,0.498
-22.9482765,26.2243652,-0.666,0.376
-24.4171416,25.8508301,-0.476,0.388
-24.3370866,26.0925293,-0.090,0.421
-23.0291870,26.9055176,-0.871,0.372
-20.1075229,27.1691895,-0.517,0.385
-23.1504616,21.1486816,-0.358,0.366
-21.1152490,27.3449707,0.664,0.499
-25.7702134,25.2795410,-0.413,0.378
-20.4167166,22.9064941,-0.469,0.375
-21.2177003,27.7404785,-0.159,0.509
-24.9760991,25.7189941,0.852,0.502
-25.7504244,24.9719238,-0.318,0.386
-23.6545875,21.5222168,-0.228,0.382
-25.1154450,25.4772949,0.043,0.413
-22.8875618,27.5207520,0.696,0.492
-22.1772314,27.2351074,-0.626,0.372
-21.7084727,22.1813965,-0.363,0.374
-25.7504244,25.1916504,-0.132,0.377
-20.6430652,26.6418457,0.537,0.487
-20.0868882,23.3679199,-0.086,0.436
-22.4211843,26.5759277,0.015,0.486
-20.2106559,26.2023926,0.764,0.549
-17.8009957,25.2355957,1.151,0.544
-25.3142351,25.2795410,0.169,0.520
-23.9561359,25.2136230,-0.830,0.374
-25.4531946,25.4113770,-0.464,0.428
-21.1357449,25.6530762,-0.228,0.406
-24.4371475,26.1364746,-0.206,0.432
-18.6982852,21.4343262,-0.584,0.383
-20.5607954,27.6965332,0.170,0.492
-19.9836736,23.4997559,-0.824,0.494
-25.2347581,25.6750488,1.280,0.491
-24.7368531,25.3234863,-0.749,0.373
-21.2381821,27.4987793,0.084,0.473
-19.7977172,23.6315918,-0.320,0.400
-24.4171416,25.4772949,0.792,0.496
-24.0765587,25.5651855,-0.671,0.372
-21.4632931,27.5427246,0.262,0.435
-23.3725134,25.8288574,-0.624,0.397
-24.5171391,24.7082520,-0.390,0.533
-24.9561796,25.8068848,-0.752,0.396
-23.0089639,22.2033691,-0.680,0.392
-24.3170649,26.1145020,-0.370,0.426
-23.3119906,25.8728027,-0.779,0.407
-21.9124706,27.8503418,0.542,0.540
-24.5371290,25.8068848,0.395,0.467
-22.4618017,26.8615723,-0.712,0.431
-24.4971459,25.8947754,0.621,0.481
-20.8074712,27.1911621,-0.014,0.463
-19.1555462,23.7414551,-0.507,0.384
-25.1950000,25.4772949,-0.278,0.380
-20.1487843,23.6535645,0.330,0.424
-25.3539542,25.5871582,-0.521,0.468
-24.5970797,26.2243652,0.026,0.448
-23.8757915,23.6755371,0.085,0.383
-20.1281550,23.3020020,-0.630,0.419
-19.9217124,23.4777832,-0.280,0.493
-24.5371290,25.7629395,-0.641,0.463
-22.8673176,26.5979004,-0.680,0.374
-20.8690774,27.6306152,0.116,0.506
-21.0127268,27.2351074,-0.690,0.377
-24.5171391,25.6970215,-0.118,0.481
-25.6118091,25.3234863,-0.568,0.371
-18.0100796,24.6423340,0.070,0.375
-24.0966182,25.5212402,-0.344,0.372
-24.2369466,25.6530762,-0.581,0.390
-22.7457888,27.6306152,-0.046,0.455
-24.0163614,24.3127441,0.324,0.526
-23.8356006,26.4440918,-0.092,0.450
-23.5941939,25.6750488,-0.694,0.381
-26.0469124,22.3791504,-0.114,0.420
-24.4171416,25.7629395,-0.838,0.399
-24.6570018,25.7189941,0.213,0.491
-24.6170569,26.3562012,-0.586,0.416
-20.2518900,24.2468262,0.325,0.393
-25.1552290,25.6311035,-0.506,0.413
-21.3610128,26.9494629,-0.492,0.372
-23.5337726,25.8068848,-0.698,0.375
-24.5171391,25.0378418,-0.278,0.386
-24.1367278,26.6857910,-0.575,0.370
-22.6444321,26.4221191,-0.767,0.405
-24.4371475,25.6311035,-0.184,0.436
-20.4784813,27.3449707,-0.416,0.398
-23.5740566,25.9167480,-0.648,0.374
-20.5196439,27.1911621,-0.321,0.404
-25.3936601,25.6750488,-0.529,0.408
-20.8074712,27.2131348,0.440,0.477
-24.5770993,25.8508301,1.039,0.514
-24.3971326,25.5871582,1.271,0.501
-20.5607954,22.7526855,-0.176,0.393
-21.5246269,21.9396973,0.281,0.496
-25.0358382,25.3015137,-0.727,0.370
-25.1751161,25.5432129,0.056,0.438
-20.5402210,27.7185059,-0.302,0.501
-20.0662507,23.3239746,-0.730,0.385
-19.3629758,22.2692871,-0.455,0.388
-19.9630226,23.4338379,0.297,0.495
-25.0358382,25.4113770,-0.653,0.446
-23.1302568,26.8176270,0.942,0.474
-20.3549272,22.4670410,-0.777,0.374
-22.7863104,26.8835449,-0.344,0.373
-24.6570018,24.8181152,-0.316,0.466
-25.3539542,22.9504395,-0.589,0.384
-24.6969338,25.5651855,0.296,0.466
-23.7350688,26.1804199,-0.411,0.422
-24.5770993,26.0925293,-0.226,0.478
-21.4019335,27.4548340,0.897,0.508
-25.6514299,25.5432129,0.000,0.381
-25.4730329,25.5212402,-0.323,0.412
-21.1357449,27.4987793,1.425,0.530
-24.3971326,26.0925293,1.069,0.518
-24.4171416,25.6970215,-0.651,0.410
-18.9686362,21.3024902,-0.283,0.424
-21.9532352,28.4216309,0.629,0.472
-20.7252905,27.2351074,-0.699,0.389
-18.2397857,22.0275879,-0.351,0.370
-20.1694109,22.4450684,0.180,0.435
-20.3137206,27.1032715,-0.010,0.401
-18.4483464,21.8737793,-1.057,0.387
-24.6969338,25.9606934,0.538,0.506
-24.3971326,26.0705566,0.792,0.499
-24.7967079,25.8068848,-0.388,0.474
-24.2970401,25.9387207,-0.473,0.375
-18.5108654,25.4992676,-0.238,0.392
-24.1166746,25.0158691,0.179,0.486
-23.5941939,26.2902832,-0.397,0.386
-20.2931131,27.1691895,-0.672,0.380
-20.6019358,27.3010254,-0.755,0.408
-24.0966182,25.6311035,-0.839,0.373
-25.0955481,25.6970215,-0.137,0.434
-21.6880569,21.6979980,-0.302,0.468
-26.0666517,22.3791504,-0.537,0.463
-25.3142351,22.9943848,-0.862,0.389
-24.6969338,25.5871582,0.190,0.445
-22.2789302,28.7512207,0.465,0.434
-24.2970401,25.5871582,-0.291,0.389
-23.8356006,25.6970215,-0.121,0.373
-24.6370310,25.3234863,-0.292,0.371
-22.2992611,26.7517090,-0.534,0.391
-24.5371290,26.0046387,0.192,0.478
-24.9760991,25.8068848,-0.940,0.388
-25.6514299,25.1257324,-0.383,0.372
-24.7767595,25.8288574,0.283,0.497
-25.2347581,25.6970215,1.005,0.538
-25.2546322,23.2800293,-0.185,0.485
-21.2996102,25.4113770,-0.444,0.420
-24.2369466,25.6750488,-0.099,0.371
-22.1365313,20.8410645,0.095,0.415
-24.9163310,25.2355957,-0.472,0.404
-24.9163310,25.7189941,-0.781,0.372
-22.4821059,26.4440918,-0.268,0.468
-23.0696240,26.7077637,0.194,0.422
-23.7551814,25.5651855,-0.970,0.374
-23.9962894,25.4772949,-0.274,0.373
-25.2745031,23.3020020,-0.517,0.415
-24.4371475,25.6970215,-0.566,0.425
-21.1972157,27.7844238,0.160,0.463
