latitude,longitude,rwi,error
6.5227299,21.1047363,-0.401,0.378
4.2258996,17.4572754,-0.692,0.394
5.8236865,19.6325684,-0.462,0.379
5.8674033,20.4895020,-0.886,0.372
6.0422360,16.5344238,-0.386,0.377
3.6559638,16.0729980,-0.815,0.384
6.3043786,15.2819824,-0.553,0.425
7.2207995,16.7980957,-0.395,0.375
4.5545219,18.5339355,-0.107,0.389
5.1894234,19.6325684,-0.616,0.381
6.6318701,19.6545410,-0.758,0.393
5.9985331,14.5349121,-0.547,0.392
6.2388552,16.3806152,-0.476,0.376
6.8718928,21.8298340,-0.439,0.376
6.6755194,16.3586426,-0.310,0.374
5.7581050,16.9958496,-0.551,0.381
4.5764249,16.6442871,-0.623,0.378
4.6202287,20.9509277,-0.073,0.373
4.0724942,18.2263184,-0.654,0.383
6.4790672,16.4465332,-0.820,0.376
5.3425828,17.0837402,-0.603,0.383
5.8892605,21.3464355,-0.331,0.372
4.8173122,22.7087402,-0.637,0.373
5.7362428,20.0720215,-0.122,0.372
6.1951683,22.0056152,-0.888,0.370
4.0724942,18.3581543,-1.205,0.382
3.5682478,16.1169434,-0.445,0.382
3.6998186,18.1604004,-0.809,0.382
6.6755194,17.1496582,-0.575,0.371
6.3043786,21.2365723,-0.441,0.371
7.5258726,17.8308105,-0.559,0.379
4.6202287,22.0056152,-0.683,0.374
6.5663889,16.0070801,-0.434,0.391
4.0286586,18.0505371,-0.373,0.381
6.8718928,21.7199707,-0.414,0.378
4.4449973,15.2600098,-0.503,0.385
7.1772006,16.0949707,-0.172,0.376
5.5613152,19.1052246,-0.601,0.385
5.7581050,20.6213379,-0.504,0.387
5.6706511,22.0715332,-0.372,0.371
4.2916356,22.4230957,-0.804,0.375
3.9409805,15.1062012,-0.397,0.436
4.5764249,20.6213379,-0.746,0.376
7.5258726,18.4899902,-0.260,0.374
6.9591440,18.5119629,-0.613,0.372
7.5476555,16.5344238,-0.439,0.374
5.6269192,22.0275879,-0.900,0.370
3.8532931,17.8527832,-0.124,0.379
6.8718928,15.2160645,-0.709,0.379
5.1675404,19.4787598,-0.566,0.398
5.4957038,21.7199707,-0.651,0.369
3.9190595,16.6442871,-0.134,0.656
4.2478122,15.6774902,-0.331,0.382
6.5227299,16.6882324,-0.818,0.374
7.2207995,18.0505371,-0.866,0.375
4.5326183,18.4460449,-0.691,0.382
5.9548266,21.0827637,-0.700,0.374
6.2606973,15.1721191,-0.565,0.382
3.8532931,17.7868652,-0.692,0.380
4.7297265,21.4343262,-0.570,0.370
5.0800010,17.5231934,-0.675,0.383
6.4572344,16.6223145,-0.452,0.375
4.9048867,20.2478027,-0.083,0.375
4.8829942,23.4997559,-0.480,0.381
4.7735207,21.1267090,-0.414,0.389
3.7217452,17.5451660,-0.783,0.378
5.6487856,21.5222168,-0.764,0.371
5.2113056,15.0183105,-0.539,0.384
7.3297783,18.2263184,-0.168,0.373
5.9766803,21.1267090,-0.615,0.372
5.8892605,21.0827637,-0.388,0.372
3.5901776,16.0949707,-0.417,0.382
5.8018269,15.0183105,-0.642,0.383
6.6536952,15.1940918,-0.490,0.383
4.8392069,15.7873535,-0.854,0.378
6.4354006,15.6774902,-0.821,0.378
3.8313699,17.4572754,-0.789,0.379
4.8173122,22.8186035,-0.691,0.372
4.3354564,15.7434082,-0.659,0.380
5.3425828,21.0388184,-0.558,0.371
6.6973426,19.4128418,-0.573,0.375
5.9766803,21.1706543,-0.831,0.374
6.0203850,15.5456543,-0.893,0.377
4.4230904,18.3801270,-0.288,0.383
6.6318701,15.2160645,-0.614,0.383
5.8892605,21.1047363,-0.446,0.372
3.9848207,16.1608887,-0.604,0.382
7.4823037,18.1604004,-0.503,0.376
5.7362428,19.3469238,-0.385,0.381
3.8752158,17.9187012,-0.219,0.378
7.2643942,16.1608887,-0.466,0.376
3.4147247,15.8752441,-0.615,0.385
6.4135660,17.4133301,-0.825,0.375
5.7362428,20.0500488,-0.228,0.395
7.5258726,17.8967285,-0.239,0.377
5.8455454,19.6325684,-0.259,0.379
6.9155204,16.4904785,-0.547,0.388
7.3951528,18.3801270,0.095,0.374
4.8611009,21.1047363,-0.501,0.373
5.4738318,15.0402832,-0.331,0.398
4.9924497,20.9729004,-0.735,0.372
6.8282612,16.1169434,-0.381,0.377
4.9924497,20.7751465,-0.678,0.372
6.5445599,15.2819824,-0.622,0.406
5.8674033,20.9948730,-0.556,0.372
4.4230904,16.7541504,-0.646,0.394
4.8173122,18.0944824,-0.581,0.384
6.5227299,16.3586426,-0.467,0.376
5.8455454,20.8630371,-0.690,0.387
7.0899903,19.2150879,-0.421,0.390
7.2643942,15.6994629,-0.908,0.394
6.1951683,15.2819824,-0.753,0.397
5.4082108,21.8957520,-0.361,0.370
4.1820725,15.1281738,-0.680,0.386
5.6269192,16.1389160,-0.453,0.376
7.1117945,19.9401855,-0.557,0.376
6.9809543,16.9519043,-0.792,0.373
5.6050520,16.1169434,-0.879,0.376
5.7799663,15.0622559,-0.702,0.383
5.7799663,19.1052246,-0.793,0.381
5.7581050,19.7863770,-0.325,0.377
4.2039864,18.5998535,-0.507,0.394
6.2170122,16.0510254,-1.020,0.378
5.3207052,26.4660645,-0.654,0.382
4.5983271,20.4675293,-0.456,0.375
7.7871935,16.4465332,-0.316,0.377
5.0800010,25.1916504,-1.091,0.380
5.6487856,15.1721191,-0.677,0.382
7.5912178,16.6223145,-0.694,0.374
6.9155204,17.4572754,-0.440,0.372
5.0800010,21.7858887,-0.770,0.370
5.1675404,15.2819824,-0.518,0.407
5.4738318,19.1271973,-0.324,0.383
6.5227299,18.3361816,-0.351,0.374
6.8064439,17.6550293,-0.351,0.372
4.3573658,15.5676270,-0.993,0.396
6.8718928,17.6550293,-0.522,0.372
4.0505767,16.2048340,-0.366,0.382
6.7191648,17.8527832,-0.097,0.372
5.1018870,16.0290527,-0.861,0.379
7.0463790,19.3908691,-0.243,0.374
