latitude,longitude,rwi,error
2.5589632,18.2702637,-0.017,0.334
-4.5545219,12.1838379,-0.028,0.335
-0.9118267,14.5568848,-0.229,0.333
-4.1163273,13.0627441,0.039,0.371
1.6367402,16.0729980,-0.685,0.339
-4.5764249,12.1398926,-0.509,0.353
-0.7360637,17.4792480,-0.695,0.335
-4.8611009,11.9641113,-0.288,0.450
-2.4052990,14.5129395,-0.677,0.326
3.0417830,18.1604004,-0.782,0.336
-3.5682478,12.3376465,-0.471,0.336
-4.3354564,11.6345215,-0.467,0.328
-1.6806671,15.9631348,-0.385,0.336
-4.2039864,13.8098145,0.139,0.335
-4.7078283,12.0300293,0.094,0.508
-4.6640299,11.8103027,0.493,0.470
-0.1867672,17.6770020,-0.684,0.335
-1.4829887,15.8752441,-0.742,0.334
-4.3792747,13.3483887,0.115,0.328
1.5928123,15.2819824,-0.088,0.382
-4.4011829,13.6560059,-0.313,0.326
3.5243866,17.8088379,-0.918,0.334
3.5463174,18.5339355,-1.159,0.341
-3.8971380,14.2932129,-0.230,0.327
1.0656124,15.6774902,-0.055,0.394
-4.0505767,12.2058105,0.141,0.334
-4.0724942,12.9089355,-0.113,0.328
-4.0505767,12.5354004,-0.748,0.327
-0.0109863,17.3913574,-0.707,0.333
0.0109863,15.5895996,-0.068,0.330
-0.2526847,15.8972168,-0.838,0.331
-4.1163273,13.7219238,-0.424,0.327
3.1076060,18.3361816,-0.773,0.336
-4.4669035,12.1838379,-0.228,0.333
3.1295462,18.5559082,-0.797,0.355
-1.0875811,15.5895996,-0.561,0.331
-2.8223442,13.6120605,-0.529,0.323
-4.1601581,14.0734863,-0.759,0.328
-3.1514858,13.8537598,-0.270,0.321
-4.0724942,11.9860840,-0.260,0.326
-2.9978987,12.0739746,-0.175,0.467
-4.0286586,11.7883301,-0.262,0.328
3.0856655,18.3801270,-0.585,0.344
-4.1163273,12.9089355,-0.169,0.328
1.5269188,17.9846191,-0.909,0.345
-4.2039864,13.4143066,0.283,0.325
-1.2193903,16.1169434,-0.154,0.342
-1.2852926,15.4797363,-0.497,0.330
-3.7217452,13.8537598,-0.651,0.323
-4.1820725,13.8317871,-0.598,0.336
-0.6042368,15.3918457,-0.382,0.329
-1.2413579,15.2600098,-0.883,0.330
-2.9978987,12.2717285,-0.094,0.329
-2.0320445,12.6672363,-0.614,0.330
0.0329590,17.4572754,-0.358,0.333
1.6367402,17.3693848,-0.665,0.336
-4.2697242,13.1066895,-0.455,0.330
-2.3833455,15.7873535,-0.044,0.349
-1.7026302,16.4685059,-0.263,0.338
-2.9101249,13.8977051,-0.413,0.323
-0.6701507,14.9084473,-0.416,0.330
-0.8898568,14.7985840,-0.388,0.332
-3.1953637,13.3264160,-0.396,0.321
2.8881803,17.8527832,-1.351,0.334
-2.7784514,11.6784668,-0.358,0.335
-3.5901776,11.9201660,-0.045,0.330
-4.6421296,11.8542480,0.799,0.474
-1.7026302,15.6774902,-0.596,0.332
1.8124418,15.6555176,-0.935,0.342
-4.4888091,12.5354004,-0.202,0.330
-4.4011829,11.7663574,-0.326,0.332
-4.0067400,13.1066895,-0.118,0.326
2.7565043,17.9846191,-1.136,0.333
-1.4170918,15.3479004,-0.423,0.330
0.0109863,17.7648926,-0.661,0.343
-4.5545219,11.9860840,-0.243,0.341
-2.6248138,16.2048340,0.438,0.362
-3.8532931,14.0954590,-0.621,0.326
3.3927908,18.6218262,-0.564,0.355
-1.4829887,15.9631348,-0.563,0.350
-4.0944111,12.5793457,-0.594,0.327
-4.8611009,12.0959473,-0.726,0.346
-3.2831139,13.2604980,-0.687,0.336
-4.9267785,11.9641113,0.051,0.392
-4.1820725,13.8098145,-0.201,0.360
-4.8173122,13.4362793,-0.132,0.326
1.4610233,17.4133301,-0.568,0.337
2.3613917,17.9626465,-0.222,0.333
-0.6262082,14.6887207,-0.115,0.332
-4.7078283,11.8103027,-0.292,0.348
0.1867672,17.4792480,-0.254,0.334
-2.2735730,12.8430176,-0.636,0.339
-4.0067400,13.8757324,-0.320,0.326
-1.5488836,16.0729980,-0.592,0.336
-4.1820725,15.2600098,1.420,0.437
-4.1601581,13.6340332,-0.598,0.328
-1.0216743,15.3698730,-0.265,0.352
-0.1647947,14.0734863,-0.826,0.330
-1.4610233,15.0622559,-0.530,0.339
0.1428221,14.3591309,-1.006,0.331
-4.1820725,13.1945801,0.410,0.460
-3.7217452,13.4143066,-0.586,0.322
-0.5822654,15.1062012,-0.271,0.330
-0.8019758,14.8425293,-0.366,0.331
-4.7735207,11.9860840,-0.021,0.365
-1.5049538,14.6887207,-0.419,0.358
-4.3354564,13.7658691,-0.353,0.326
3.3269861,18.6437988,-0.824,0.345
-1.6147764,15.7653809,-0.246,0.333
2.8881803,18.1823730,-0.907,0.335
-3.7217452,13.8098145,-0.017,0.324
1.9222467,18.0285645,-0.922,0.336
-0.9777357,14.8425293,-0.296,0.330
