latitude,longitude,rwi,error
5.4738318,-74.6960449,-0.152,0.532
2.1418349,-73.7951660,-0.367,0.463
10.5202184,-73.8610840,-0.138,0.481
10.4337931,-73.0261230,-0.456,0.534
6.4572344,-72.4108887,0.260,0.570
5.2550677,-74.4763184,-0.549,0.432
10.4986143,-73.8391113,-0.474,0.521
6.5227299,-71.6857910,-0.519,0.440
0.8898568,-76.6516113,-0.941,0.495
4.6640299,-72.1472168,-0.177,0.512
1.1315182,-76.2561035,-0.444,0.449
1.6147764,-74.6081543,-0.684,0.464
2.5370123,-76.8713379,-0.427,0.478
1.7026302,-75.9704590,-0.372,0.488
5.0143386,-72.3229980,-0.727,0.439
1.1974226,-75.0476074,-0.492,0.452
12.0070844,-72.1691895,-0.755,0.523
10.1094859,-75.0256348,-0.891,0.454
2.1637921,-74.7839355,0.020,0.630
8.0048367,-75.4431152,-0.143,0.583
5.0143386,-75.9704590,-0.329,0.593
5.2113056,-72.2570801,-1.000,0.570
2.5589632,-75.9265137,0.341,0.586
9.4382242,-75.5310059,-0.560,0.491
4.5983271,-74.1027832,0.677,0.516
4.4888091,-74.4543457,-0.441,0.532
6.5227299,-75.3771973,-0.539,0.481
8.7004990,-73.6853027,-0.154,0.511
9.7631974,-74.4543457,-0.400,0.462
1.4170918,-77.5085449,-0.495,0.500
9.1997151,-73.5095215,-0.362,0.478
2.8662354,-76.8054199,-0.773,0.440
8.0918616,-76.0144043,-0.573,0.389
9.5682508,-74.3444824,-0.063,0.576
0.4504348,-77.0031738,-0.630,0.567
5.8455454,-72.8503418,-0.540,0.471
10.4986143,-75.0036621,-0.399,0.522
8.5484296,-73.2678223,-0.207,0.471
9.8714518,-74.4982910,-0.773,0.466
8.5701576,-73.9489746,-0.735,0.391
7.4605176,-73.6193848,-0.440,0.435
8.2875987,-73.7072754,-0.372,0.445
2.1198775,-76.8933105,-0.127,0.529
5.8674033,-73.7731934,-0.232,0.561
8.9393399,-75.5310059,-0.241,0.467
1.5049538,-74.9157715,-0.868,0.467
9.7631974,-74.2346191,-1.076,0.480
1.8124418,-75.0915527,-0.534,0.445
5.9985331,-75.6848145,0.400,0.544
