latitude,longitude,rwi,error
-11.6845141,43.2531738,1.510,0.657
-12.2433913,44.4836426,-0.410,0.501
-11.5984314,43.2971191,-0.347,0.499
-11.8565990,43.4509277,0.051,0.559
-11.5338520,43.3410645,0.117,0.514
-11.4477230,43.2971191,-0.165,0.574
-11.7060306,43.4289551,0.085,0.521
-11.5553801,43.2971191,-0.741,0.520
-12.2863336,43.7365723,1.148,0.629
-12.3507339,43.8244629,-0.184,0.503
-11.7490585,43.4509277,-0.169,0.510
-11.6199546,43.3410645,-0.549,0.523
-12.2433913,44.5275879,-0.384,0.596
-11.5123222,43.3410645,-0.067,0.505
-11.4692577,43.3410645,0.020,0.482
-11.9211029,43.4509277,0.110,0.499
-11.7275454,43.2751465,0.596,0.627
-12.3292689,44.5275879,0.236,0.502
-11.4261866,43.3850098,-0.112,0.542
-11.8350943,43.4729004,-0.173,0.581
-12.3507339,43.7145996,0.223,0.481
-11.7705700,43.2751465,0.115,0.584
-11.7705700,43.2312012,-0.436,0.510
-11.4692577,43.3850098,0.000,0.577
-12.3292689,43.6486816,-0.296,0.537
-11.5338520,43.3850098,-0.123,0.548
-12.2648633,43.6486816,0.006,0.490
-11.4261866,43.2751465,-0.018,0.602
-11.4046486,43.2971191,0.084,0.602
-12.2863336,44.4836426,-0.434,0.588
-11.7275454,43.2312012,0.673,0.631
-12.3507339,44.5056152,-0.127,0.535
-11.4907908,43.3630371,-0.636,0.482
-12.2648633,44.4177246,-0.298,0.487
-11.6845141,43.2751465,0.608,0.601
-11.3831090,43.2751465,0.057,0.535
-12.1574857,44.4396973,0.002,0.633
-12.2433913,44.3518066,0.609,0.556
-11.6845141,43.4289551,-0.091,0.504
-12.2004420,44.2419434,0.323,0.560
-11.4907908,43.3190918,0.507,0.615
-11.7705700,43.2531738,0.468,0.583
-12.2648633,43.6267090,-0.334,0.485
-12.3936586,43.7145996,0.085,0.489
-11.8781020,43.4069824,0.393,0.616
-12.2863336,44.5056152,-0.093,0.500
-12.3292689,43.7585449,-0.392,0.480
-11.5769066,43.3410645,-0.202,0.499
-11.8996033,43.5168457,-0.312,0.492
-11.7920798,43.2751465,0.670,0.613
-12.2219175,44.3518066,-0.427,0.495
-11.7060306,43.2531738,1.408,0.662
-11.5338520,43.2751465,0.835,0.657
-11.8350943,43.2971191,0.423,0.603
-12.1574857,44.4177246,0.550,0.629
-12.2004420,44.2639160,0.419,0.611
-11.3831090,43.3190918,-0.158,0.559
-12.2648633,43.7365723,0.434,0.592
-12.1145226,44.4836426,-0.123,0.479
-11.9211029,43.4729004,-0.228,0.553
-11.5769066,43.4069824,-0.227,0.493
-11.5553801,43.3850098,-0.168,0.563
-11.6629959,43.2971191,-0.359,0.570
-12.3292689,44.5056152,0.014,0.576
-11.5769066,43.3850098,-0.265,0.577
-12.2219175,44.3078613,-0.328,0.480
-12.3507339,43.8464355,0.004,0.481
-11.8781020,43.4509277,-0.021,0.623
-11.7490585,43.2531738,0.457,0.609
-11.8350943,43.4509277,0.167,0.568
-12.2863336,44.3957520,0.003,0.541
-12.3507339,44.5275879,0.068,0.561
-11.8565990,43.3190918,0.377,0.628
-11.3615678,43.3630371,0.113,0.508
-11.6629959,43.2531738,-0.006,0.614
-11.7275454,43.2531738,0.476,0.632
-12.1789647,44.4616699,-0.142,0.558
-12.3292689,43.8464355,-0.023,0.488
-12.2863336,43.6486816,-0.301,0.594
-12.3078021,44.4396973,0.238,0.544
-11.4692577,43.3630371,-0.123,0.481
-12.1789647,44.5056152,-0.063,0.533
-12.1574857,44.5056152,-0.454,0.506
-12.2648633,44.5056152,-0.209,0.513
-12.2219175,44.5275879,0.098,0.571
-11.4477230,43.2751465,0.220,0.578
-12.2219175,44.4616699,-0.038,0.550
-11.6845141,43.4069824,-0.251,0.683
-11.3831090,43.3630371,-0.520,0.603
-11.5553801,43.3410645,-0.299,0.483
-11.8565990,43.2971191,-0.772,0.606
-12.2863336,44.5275879,-0.442,0.523
-11.5123222,43.3850098,0.340,0.617
-12.2863336,43.6267090,-0.263,0.612
-12.3078021,43.6486816,-0.053,0.547
-11.5984314,43.3850098,0.494,0.591
-12.2004420,44.4616699,-0.138,0.624
-12.1360050,44.4177246,0.932,0.646
-12.1360050,44.4836426,-0.283,0.478
-12.3721972,43.7145996,1.035,0.603
-12.3721972,43.8464355,-0.537,0.496
-12.3507339,43.7805176,-0.422,0.509
-12.2219175,44.4396973,-0.161,0.556
-12.3507339,43.6926270,-0.035,0.491
-12.2004420,44.3298340,-0.609,0.580
-12.2863336,43.7145996,-0.436,0.522
-12.3721972,44.5275879,-0.364,0.482
-11.5553801,43.3190918,-0.099,0.498
-12.1789647,44.3957520,0.529,0.636
-11.8135879,43.2971191,0.094,0.639
-11.4477230,43.3850098,0.192,0.566
-11.8565990,43.4948730,0.668,0.627
-12.2863336,43.6926270,-0.283,0.482
-11.6414761,43.2971191,0.279,0.568
-12.2004420,44.2858887,0.195,0.574
-11.4692577,43.2971191,0.115,0.578
-11.7490585,43.2312012,0.140,0.629
-11.5123222,43.3630371,-0.702,0.513
-11.4692577,43.4069824,0.012,0.530
-11.6199546,43.2971191,0.271,0.544
-11.4261866,43.2971191,0.395,0.614
-11.8135879,43.4509277,-0.222,0.560
-11.4261866,43.3190918,-0.499,0.611
-11.8996033,43.4069824,-0.270,0.622
-11.5123222,43.2751465,0.316,0.572
-11.6414761,43.2531738,0.293,0.608
-11.5769066,43.3630371,-0.497,0.499
-11.5984314,43.3630371,-0.170,0.518
-11.8781020,43.3850098,0.947,0.654
-11.7060306,43.2312012,-0.128,0.676
-11.8781020,43.5168457,0.124,0.537
-12.3078021,43.7585449,-0.562,0.563
-12.2219175,44.4836426,-0.218,0.500
-11.7920798,43.2971191,-0.852,0.509
-12.1360050,44.5056152,-0.129,0.500
-11.8135879,43.4289551,-0.978,0.497
-11.6199546,43.3190918,-0.406,0.527
-12.3721972,44.5056152,-0.149,0.478
-12.2004420,44.3737793,-0.292,0.478
-12.1360050,44.4396973,0.455,0.605
-12.3078021,43.7805176,1.191,0.604
-12.1789647,44.3737793,0.197,0.590
-11.4477230,43.3410645,-0.211,0.483
-12.2004420,44.5056152,0.220,0.589
-12.2648633,43.6706543,-0.337,0.586
-11.7705700,43.4509277,-0.112,0.544
-11.8996033,43.4289551,0.116,0.603
-12.3078021,44.5056152,0.389,0.588
-12.3292689,44.4836426,-0.132,0.561
-11.8996033,43.4948730,-0.086,0.581
-11.6629959,43.2751465,0.852,0.614
-11.6414761,43.2751465,0.477,0.596
-12.2004420,44.3078613,0.142,0.622
-12.0930384,44.4616699,-0.633,0.501
-11.4046486,43.3410645,0.086,0.586
-11.8565990,43.4289551,0.076,0.576
-12.2433913,44.5056152,-0.349,0.522
-11.8781020,43.4729004,0.359,0.597
-12.1789647,44.4396973,0.129,0.596
-11.8565990,43.3410645,-0.033,0.582
-11.4046486,43.2751465,0.518,0.571
-11.5123222,43.3190918,-0.223,0.508
-11.5984314,43.2751465,0.211,0.566
-12.2863336,44.4177246,0.430,0.564
-12.2433913,44.3298340,-0.096,0.506
-11.7275454,43.4289551,-0.046,0.569
-11.8781020,43.4289551,-0.052,0.561
-11.9211029,43.4948730,0.117,0.603
-11.6414761,43.3630371,-0.034,0.586
-11.4907908,43.4069824,-0.022,0.491
-11.7920798,43.4509277,0.211,0.552
-11.4477230,43.3630371,-0.154,0.497
-12.3292689,43.6706543,-0.137,0.512
-11.5769066,43.2751465,0.335,0.595
-11.7060306,43.2751465,0.033,0.616
-11.4046486,43.4069824,0.386,0.635
-11.8996033,43.4509277,-0.258,0.597
-11.3831090,43.3850098,-0.032,0.772
-11.5553801,43.2751465,-0.332,0.614
-11.6414761,43.4069824,0.021,0.518
-11.4907908,43.2751465,0.090,0.584
-12.2863336,43.7585449,1.052,0.597
-11.8565990,43.4069824,-0.847,0.499
-12.1574857,44.3957520,1.001,0.665
-12.3721972,43.8024902,0.176,0.485
-11.5769066,43.2971191,-0.285,0.563
-12.3078021,44.4836426,0.080,0.590
-11.5123222,43.4069824,-0.093,0.489
-11.6199546,43.2751465,0.425,0.584
-11.8996033,43.4729004,-0.054,0.574
-11.8350943,43.3190918,0.380,0.583
-12.2433913,44.3737793,0.507,0.565
-11.8781020,43.4948730,0.120,0.598
-12.1789647,44.4177246,-0.144,0.609
-11.8135879,43.2751465,0.528,0.613
-12.2648633,43.7145996,0.489,0.563
-11.6199546,43.3630371,0.259,0.557
-12.2004420,44.3518066,0.193,0.594
-11.6629959,43.4069824,0.489,0.520
-12.3721972,43.8244629,-0.499,0.482
-11.4477230,43.4069824,-0.213,0.536
-11.4477230,43.3190918,-0.138,0.578
-12.3078021,43.6267090,0.274,0.591
-11.6414761,43.3850098,0.182,0.573
-12.3292689,44.4616699,-0.344,0.486
-11.4692577,43.2751465,0.794,0.618
-11.3831090,43.3410645,-0.075,0.590
-12.3292689,43.7805176,-0.034,0.516
-11.3831090,43.4069824,-0.096,0.494
-12.2648633,44.3957520,-0.353,0.507
-12.2648633,44.5275879,0.535,0.648
-11.4907908,43.3850098,0.354,0.593
-11.4046486,43.3190918,0.063,0.561
-11.4907908,43.2971191,-0.281,0.559
-11.4261866,43.3410645,-0.146,0.483
-12.2648633,43.6926270,0.570,0.601
-11.6199546,43.2531738,-0.160,0.599
-11.4261866,43.3630371,-0.270,0.482
-11.7060306,43.4069824,-0.520,0.498
-12.2648633,44.4836426,-0.510,0.479
-12.2433913,44.3957520,-0.359,0.495
-12.3721972,43.8684082,0.495,0.558
-11.4046486,43.3630371,0.617,0.589
-12.3507339,43.6706543,0.788,0.511
-12.2004420,44.5275879,-0.218,0.488
-11.8565990,43.3850098,-0.149,0.720
-11.5984314,43.2531738,0.159,0.573
-12.3507339,43.7585449,-0.475,0.481
-12.2219175,44.5056152,-0.306,0.516
-12.3507339,43.8024902,0.092,0.560
-11.3831090,43.2971191,0.780,0.637
-11.4692577,43.3190918,-0.478,0.593
-11.8565990,43.4729004,-0.200,0.544
-11.4046486,43.3850098,-0.258,0.585
-11.7920798,43.4289551,-0.399,0.482
-11.6199546,43.3850098,-0.140,0.641
-11.4261866,43.4069824,0.275,0.595
-12.1574857,44.4836426,-0.529,0.478
-11.8565990,43.3630371,-0.074,0.733
