latitude,longitude,rwi,error
15.0190747,-23.5876465,0.356,0.536
16.8571194,-24.9499512,-0.226,0.520
14.9766264,-23.5217285,0.839,0.576
14.9129381,-24.3566895,-0.161,0.494
15.0190747,-23.5437012,0.649,0.591
15.2311894,-23.7194824,0.055,0.562
16.7309063,-22.9504395,0.090,0.618
14.9978516,-23.6315918,-0.401,0.544
16.8360897,-24.9719238,-0.349,0.546
15.1675773,-23.1481934,0.056,0.596
14.9978516,-23.5437012,0.148,0.554
16.7729866,-22.9724121,0.057,0.597
15.2099875,-23.6755371,-0.319,0.580
15.0615146,-23.5437012,-0.215,0.552
15.1463690,-23.6315918,0.211,0.583
15.1887835,-23.2141113,-0.551,0.543
17.1092924,-25.2355957,-0.443,0.588
14.8492310,-24.4006348,-0.393,0.552
14.9766264,-23.6755371,-0.445,0.492
15.1463690,-23.6975098,0.257,0.561
17.0882909,-25.2795410,-0.392,0.454
17.1512882,-25.0817871,0.138,0.560
17.1302914,-25.1037598,-0.243,0.565
16.6467178,-24.4006348,0.075,0.578
15.1039461,-23.5437012,-0.281,0.585
17.0252724,-25.0598145,1.487,0.644
15.1251586,-23.5876465,0.016,0.582
14.8917045,-24.5104980,0.190,0.600
14.9341696,-24.4445801,0.418,0.570
17.1512882,-25.1477051,-0.450,0.549
17.1092924,-24.9938965,-0.192,0.598
17.1302914,-25.2136230,-0.091,0.452
14.9766264,-23.6315918,-0.921,0.568
15.0402957,-23.6535645,-0.891,0.509
16.8360897,-24.8840332,-0.169,0.599
17.1092924,-25.0598145,0.547,0.529
15.2099875,-23.1042480,-0.088,0.580
14.9978516,-24.3127441,0.086,0.586
14.9341696,-23.6535645,-0.620,0.587
15.0402957,-23.5217285,-0.503,0.564
16.6888167,-22.9284668,-0.047,0.561
15.2735868,-23.7634277,0.751,0.614
17.1512882,-25.0378418,-0.175,0.580
16.6467178,-24.3347168,0.428,0.584
16.7729866,-22.8845215,-0.110,0.580
14.9978516,-24.4445801,-0.096,0.601
15.1675773,-23.5656738,-0.044,0.561
17.1092924,-25.2575684,-0.119,0.568
15.0190747,-23.5217285,0.572,0.574
14.9553991,-23.6535645,-0.119,0.601
15.1675773,-23.2360840,-0.290,0.573
15.0615146,-23.6096191,0.944,0.588
15.1887835,-23.7194824,0.161,0.576
16.8781467,-24.9938965,0.884,0.638
14.9766264,-24.3127441,-0.709,0.541
17.0882909,-25.1037598,-0.549,0.548
15.1463690,-23.5437012,0.752,0.618
15.1039461,-23.5876465,-0.180,0.566
14.9129381,-24.3127441,-0.453,0.492
15.2523892,-23.7414551,0.502,0.609
17.0882909,-25.2136230,-0.601,0.526
14.8492310,-24.3347168,0.361,0.585
14.9129381,-24.4665527,0.107,0.552
15.2099875,-23.7634277,-0.351,0.481
17.1092924,-25.0378418,-0.280,0.506
14.9341696,-23.5876465,0.199,0.563
16.1408153,-22.7526855,-0.232,0.588
14.8917045,-24.3347168,-0.294,0.645
15.1251586,-23.5437012,0.470,0.609
15.1463690,-23.1481934,-0.150,0.532
15.0190747,-23.6535645,-0.440,0.498
15.2311894,-23.6975098,-0.520,0.532
15.0615146,-23.7634277,0.249,0.608
15.3159757,-23.6975098,-0.553,0.593
15.1251586,-23.7414551,-0.371,0.500
14.9129381,-23.4997559,1.126,0.641
17.1302914,-25.1696777,-0.146,0.572
16.7519476,-22.9724121,0.405,0.608
17.1302914,-25.1477051,0.128,0.560
14.9341696,-23.4997559,1.243,0.631
14.8917045,-24.4006348,-0.207,0.570
15.1039461,-23.4997559,-0.629,0.480
17.0462809,-25.1477051,-0.653,0.494
16.5624922,-24.0710449,-0.169,0.484
17.1932744,-25.1037598,0.123,0.572
15.1251586,-23.6535645,0.817,0.577
14.9766264,-24.4445801,0.025,0.639
15.1251586,-23.5656738,-0.352,0.562
14.8492310,-24.7082520,0.464,0.600
15.1039461,-23.6315918,0.534,0.588
16.9832482,-25.2136230,-0.454,0.452
14.9341696,-23.4777832,-0.004,0.605
15.1251586,-23.1701660,-0.084,0.590
15.1675773,-23.5876465,-0.088,0.575
17.0882909,-24.9938965,-0.277,0.474
15.0190747,-24.4226074,0.247,0.580
15.2099875,-23.7414551,0.012,0.531
15.2523892,-23.1042480,-0.142,0.472
16.6046096,-24.1809082,-0.402,0.465
17.1722825,-25.0378418,0.497,0.581
15.2099875,-23.6975098,-0.314,0.558
17.1302914,-25.1916504,-0.484,0.450
16.9622326,-25.3015137,-0.017,0.586
16.1619207,-22.7526855,-0.492,0.555
17.1302914,-25.1257324,0.010,0.611
14.9341696,-24.3127441,-0.917,0.491
15.1039461,-23.5656738,-0.308,0.559
16.0985977,-22.8845215,-0.340,0.508
16.6046096,-24.3127441,0.138,0.574
16.8781467,-24.9060059,0.337,0.632
15.1675773,-23.6755371,-0.377,0.540
15.1039461,-23.6975098,0.238,0.595
16.6256648,-22.9284668,0.580,0.639
