latitude,longitude,rwi,error
10.9735497,-85.3308105,0.123,0.514
10.3257277,-85.0451660,-0.063,0.540
10.4337931,-84.2761230,0.526,0.554
10.2824911,-84.3859863,0.079,0.556
10.0662199,-85.3967285,-0.401,0.524
10.8009324,-85.1989746,-0.216,0.539
10.4337931,-85.5944824,-0.195,0.570
10.2392486,-83.4631348,-0.083,0.489
9.9796707,-85.1770020,0.361,0.576
11.0598206,-85.3308105,-0.278,0.516
8.5484296,-82.8698730,-0.292,0.539
10.9304048,-85.2209473,-0.293,0.553
10.5418209,-84.2321777,-0.157,0.526
10.5418209,-83.5949707,-0.034,0.546
10.3257277,-84.2541504,0.393,0.574
10.5202184,-85.6164551,-0.397,0.549
9.4165483,-83.8146973,-0.442,0.577
9.2214045,-83.4631348,0.008,0.584
10.4337931,-84.1003418,0.051,0.573
8.3962996,-83.1115723,-0.558,0.532
9.9147437,-83.8146973,-0.020,0.581
10.3257277,-83.7927246,-0.095,0.580
10.0445848,-84.1223145,1.139,0.575
9.8714518,-83.8146973,0.115,0.548
10.1527460,-84.3859863,0.400,0.545
9.8714518,-83.7487793,0.421,0.560
9.2430925,-83.8586426,0.710,0.567
8.9610451,-83.5290527,0.605,0.598
10.6282159,-84.4299316,-0.613,0.514
9.1997151,-83.6389160,0.300,0.596
10.6282159,-85.2209473,-0.007,0.542
10.2608706,-84.9353027,-0.431,0.570
10.0013102,-83.2653809,-0.120,0.554
10.0229482,-83.2214355,0.529,0.576
10.2824911,-84.5397949,0.086,0.525
9.8065034,-82.9138184,-0.098,0.537
10.7145865,-84.8254395,-0.183,0.556
9.5899171,-82.6062012,-0.359,0.568
9.1780244,-83.3312988,0.907,0.617
9.6982277,-84.1003418,-0.560,0.542
10.6282159,-85.1770020,-0.492,0.533
10.6066195,-84.5397949,-0.022,0.570
9.5249141,-83.0236816,-0.788,0.446
9.9147437,-85.3527832,-0.283,0.560
10.4554016,-84.3640137,0.479,0.560
10.2176252,-85.4187012,-0.543,0.541
10.0445848,-84.6716309,0.143,0.598
9.5899171,-84.3640137,-0.523,0.607
10.4337931,-83.9465332,-0.353,0.540
9.8714518,-83.7707520,-0.168,0.523
9.9147437,-84.9572754,-0.192,0.525
10.5418209,-84.7595215,-0.628,0.546
11.0166883,-85.7043457,0.224,0.555
10.1094859,-83.2434082,-0.122,0.523
9.9796707,-85.0451660,0.073,0.629
10.8656756,-85.4846191,-0.491,0.551
9.8930985,-83.7927246,0.217,0.565
10.2392486,-83.2873535,-0.346,0.473
10.0013102,-84.6496582,0.857,0.597
10.3473437,-83.7927246,-0.323,0.562
10.0445848,-85.4187012,-0.092,0.574
10.2392486,-85.4626465,-0.142,0.575
10.1311167,-84.7375488,-0.614,0.570
10.6282159,-84.5397949,0.042,0.588
10.4770087,-84.7595215,0.140,0.553
10.8656756,-84.5617676,-0.197,0.571
8.9393399,-82.9357910,0.290,0.584
9.7631974,-83.9245605,-0.194,0.530
10.0445848,-84.4299316,1.207,0.590
9.5899171,-82.7380371,0.266,0.577
10.3905714,-85.0671387,-0.593,0.564
9.1563324,-83.6169434,-0.458,0.585
9.8930985,-84.5178223,0.497,0.547
9.2864645,-83.3752441,-0.756,0.441
8.5701576,-82.8479004,0.204,0.579
10.2392486,-83.9025879,0.033,0.541
9.5249141,-84.2980957,0.117,0.532
9.8065034,-84.3640137,-0.171,0.553
10.9304048,-84.5617676,-0.557,0.527
9.9363874,-83.9465332,-0.439,0.571
9.7415422,-84.2321777,-0.237,0.538
9.9147437,-84.3420410,0.607,0.563
10.3689583,-85.0012207,-0.472,0.559
10.1311167,-83.5729980,0.304,0.534
8.6570568,-83.5070801,-0.486,0.511
10.3257277,-83.6389160,0.077,0.618
10.5850215,-83.7927246,-0.611,0.508
10.1311167,-85.0012207,-0.281,0.594
10.1743738,-85.2429199,-0.769,0.539
9.0261526,-83.1774902,0.109,0.607
10.3905714,-84.1223145,-0.459,0.568
10.3905714,-84.9792480,-0.269,0.550
10.1527460,-84.5178223,-0.183,0.542
10.4121830,-84.2761230,-0.248,0.567
9.1346391,-83.1994629,-0.281,0.596
9.4382242,-84.1223145,0.618,0.540
10.1094859,-83.3093262,0.588,0.633
9.0478525,-83.4851074,-0.469,0.518
10.4770087,-84.2980957,0.077,0.547
9.3081485,-83.5949707,0.271,0.558
10.8225151,-85.0231934,0.211,0.571
10.2176252,-83.7048340,0.390,0.572
9.1780244,-83.4631348,-0.442,0.539
9.1346391,-83.4851074,-0.773,0.528
9.6332456,-84.0563965,0.175,0.553
9.8498038,-83.8366699,0.270,0.558
8.7439361,-82.9577637,0.012,0.591
10.7145865,-85.0671387,-0.218,0.549
9.0912484,-83.1335449,-0.608,0.545
8.8959258,-83.1115723,-0.257,0.501
10.3689583,-85.6604004,-0.403,0.534
10.9519780,-85.1550293,-0.230,0.598
10.6066195,-84.2980957,-0.063,0.579
9.9147437,-84.1442871,1.263,0.549
9.7848511,-85.1989746,-0.342,0.524
10.7577626,-84.7595215,-0.709,0.563
10.0662199,-84.9572754,0.547,0.593
10.6714043,-84.8474121,0.165,0.587
9.7198857,-85.0451660,0.715,0.573
10.4121830,-85.1110840,-0.011,0.600
10.0878536,-83.5070801,0.297,0.602
10.3689583,-84.5617676,0.614,0.558
8.7656527,-83.1335449,-0.606,0.474
10.7577626,-84.9792480,-0.377,0.506
10.1311167,-85.4406738,0.667,0.580
9.1563324,-83.7268066,0.694,0.577
8.8742168,-83.0456543,-0.712,0.532
10.3473437,-83.8586426,0.132,0.572
8.4397714,-82.9577637,0.477,0.605
10.1743738,-83.4191895,0.546,0.594
10.4554016,-85.1110840,0.449,0.544
9.9796707,-84.6057129,0.013,0.560
10.4337931,-85.0012207,-0.128,0.548
10.9735497,-85.3527832,0.108,0.531
8.8959258,-83.0236816,-0.306,0.498
9.6115820,-85.1550293,-0.257,0.573
10.5850215,-85.6823730,1.343,0.604
10.4554016,-84.1223145,0.157,0.551
9.5682508,-82.9138184,-0.499,0.553
8.6353339,-83.1774902,0.865,0.607
10.0445848,-84.2102051,1.192,0.573
10.7577626,-84.8474121,-0.142,0.566
9.4815719,-82.9357910,-0.980,0.453
9.8065034,-84.0124512,-0.338,0.540
8.8307950,-83.0895996,-0.518,0.543
10.1094859,-83.5070801,0.968,0.601
8.3745618,-83.0456543,-0.399,0.485
10.6282159,-84.4958496,-0.531,0.573
10.9519780,-84.5837402,-0.267,0.599
10.3473437,-83.6169434,0.340,0.612
10.1527460,-84.4958496,0.148,0.539
9.9363874,-84.1882324,1.234,0.554
10.9951198,-85.0451660,-0.275,0.539
9.9580298,-83.7268066,0.314,0.567
10.4337931,-83.5949707,-0.407,0.525
10.2176252,-84.3640137,0.426,0.576
10.2824911,-83.8586426,-0.505,0.543
9.9796707,-85.3967285,-0.509,0.513
10.1094859,-84.4519043,0.730,0.571
