latitude,longitude,rwi,error
12.1360050,42.4182129,-0.373,0.338
11.0813844,42.2204590,-0.534,0.329
12.2219175,43.1652832,-0.674,0.350
11.0166883,42.1105957,-0.201,0.327
12.4151184,42.9016113,-0.577,0.336
12.0500648,43.1872559,-0.386,0.336
11.4692577,43.2531738,0.194,0.394
11.1460662,42.7258301,-0.235,0.412
11.7275454,41.8249512,-0.498,0.339
11.1245072,42.3522949,-0.670,0.384
12.2648633,43.3410645,-0.337,0.339
12.1145226,42.6379395,-0.464,0.335
12.3507339,42.3522949,-0.788,0.342
11.5338520,43.1872559,-0.197,0.412
11.9855916,43.3190918,-0.249,0.352
11.5553801,43.1433105,0.758,0.449
12.0930384,42.8356934,-0.454,0.334
11.6199546,43.1652832,-0.466,0.453
12.1145226,42.7258301,-0.278,0.335
11.2538371,42.7917480,-0.197,0.346
11.9855916,42.7478027,-0.421,0.349
11.5984314,43.1652832,0.156,0.478
11.7920798,42.8137207,-0.288,0.469
10.9951198,42.1765137,-0.356,0.329
11.1460662,43.0554199,-0.598,0.328
11.2322862,42.9895020,-0.575,0.323
11.5553801,43.0993652,1.138,0.494
11.4046486,42.1545410,-0.355,0.338
11.1245072,42.2424316,-0.325,0.329
11.1029466,42.6599121,-0.451,0.323
12.4580325,42.8576660,-0.839,0.336
11.7275454,42.7038574,-0.867,0.349
11.7920798,42.6818848,-0.641,0.334
11.8565990,42.5939941,-0.382,0.334
11.8996033,42.5720215,-0.729,0.334
12.2863336,42.6599121,-0.439,0.337
11.5553801,43.0114746,-0.130,0.457
12.1789647,42.3742676,-0.615,0.340
12.4151184,42.5280762,-0.645,0.337
11.5338520,42.4841309,-0.155,0.337
12.1574857,42.5720215,-0.869,0.337
11.5553801,42.4621582,-0.208,0.381
11.9640971,42.7478027,-0.496,0.334
11.9426009,42.8576660,-0.587,0.349
11.7275454,42.5939941,-0.391,0.331
10.9951198,42.8356934,-0.371,0.335
11.7060306,41.8688965,-0.523,0.353
10.9951198,42.0886230,-0.101,0.345
10.9735497,42.0227051,-0.582,0.330
