latitude,longitude,rwi,error
34.9850026,4.4934082,-0.472,0.283
36.8004877,4.0319824,0.542,0.422
35.5053996,5.0646973,-0.354,0.320
36.6243449,3.2849121,0.848,0.464
34.5518109,6.0974121,-0.528,0.333
36.7828916,6.2292480,-0.019,0.389
35.5053996,7.7893066,-0.418,0.260
33.8430448,2.7575684,-0.362,0.328
36.6772301,7.7673340,0.350,0.374
34.6783932,2.6037598,-0.745,0.304
34.9669984,2.9772949,-0.391,0.302
35.6305115,6.3830566,1.116,0.504
34.0253472,3.6804199,-0.682,0.281
36.1290012,6.9543457,0.257,0.314
34.8949420,3.1750488,-0.581,0.318
36.8708317,4.0979004,0.248,0.394
34.8588900,5.7238770,0.589,0.389
35.3621756,0.9338379,-0.046,0.304
35.5769160,6.2951660,0.304,0.313
35.8089035,4.2736816,-0.043,0.448
36.5714233,6.5588379,-0.620,0.301
36.1822245,4.9108887,-0.152,0.382
35.1288938,1.3952637,0.007,0.322
35.8979497,4.6252441,0.263,0.387
36.6419773,6.7565918,-0.214,0.351
36.9586706,6.2951660,0.182,0.395
36.0934989,4.3176270,-0.378,0.355
35.5053996,-0.3405762,-0.480,0.316
32.0173911,5.3503418,-0.374,0.341
36.1112520,6.3830566,0.142,0.427
35.7375947,5.9875488,-0.056,0.346
32.7225981,-0.6481934,-0.269,0.319
33.5688607,4.9768066,-0.128,0.285
34.8047824,3.2409668,-0.418,0.315
35.8445340,3.2849121,-0.181,0.307
35.1648270,4.1638184,-0.424,0.391
35.4875105,1.1535645,-0.094,0.411
36.0579805,3.9001465,-0.149,0.301
36.4301218,7.3278809,0.073,0.330
35.9868958,0.9777832,0.290,0.368
34.2072589,3.6804199,-0.385,0.266
34.5879970,5.4162598,-0.391,0.284
34.6964607,8.2507324,-0.269,0.233
36.1290012,2.1643066,-0.138,0.358
35.6305115,2.3620605,-0.621,0.299
34.6603219,0.1428223,-0.293,0.378
35.6126503,7.4816895,-0.419,0.280
36.5184655,2.0104980,-0.202,0.358
36.8356677,8.0090332,-0.522,0.359
35.7732571,5.6140137,0.066,0.253
34.4431582,3.1311035,-0.226,0.296
35.7554279,0.6921387,-0.049,0.377
35.8979497,7.2619629,-0.324,0.313
29.5256700,-0.0329590,0.050,0.415
33.2019237,6.8005371,-0.307,0.361
35.3621756,7.7453613,-0.576,0.309
34.9129620,1.4611816,-0.516,0.286
35.9157469,8.1628418,-0.359,0.297
36.7828916,6.3830566,-0.505,0.430
35.6305115,6.7126465,-0.272,0.335
36.1822245,6.2951660,-0.280,0.313
36.6243449,4.1857910,0.495,0.402
34.4612768,1.8347168,-0.050,0.379
35.5769160,1.2634277,-0.076,0.466
34.7686910,1.3952637,-0.434,0.279
34.9850026,-2.1203613,-0.326,0.359
35.0389916,2.5817871,-0.610,0.274
36.7300790,5.8776855,0.834,0.458
35.0389916,3.9001465,-0.684,0.273
36.2176866,1.4172363,0.254,0.405
36.1290012,6.6687012,-0.222,0.324
35.6662218,4.4934082,0.258,0.368
33.5322367,2.4719238,-0.395,0.276
36.5361221,3.8122559,0.472,0.432
33.2754349,6.4929199,-0.806,0.256
35.3980054,1.5930176,0.336,0.355
35.8089035,5.8776855,-0.112,0.380
36.4301218,5.3503418,0.518,0.460
36.1999576,6.6467285,-0.176,0.314
36.3239766,4.8449707,0.454,0.474
36.7476872,7.7893066,-0.269,0.387
36.6419773,4.1638184,0.314,0.393
31.8682273,-1.7687988,-0.097,0.307
36.8532517,6.9104004,0.503,0.446
36.1822245,0.3625488,-0.229,0.397
33.6786394,-0.1867676,-0.947,0.349
35.6483687,8.0529785,0.153,0.287
35.4875105,3.9440918,-0.645,0.288
34.7145242,4.0539551,-0.033,0.278
36.3239766,1.8127441,0.184,0.346
35.8089035,0.2087402,0.137,0.463
33.6786394,6.7126465,-0.072,0.318
