latitude,longitude,rwi,error
16.4992989,37.9577637,-0.250,0.418
15.9718913,37.8698730,-0.927,0.269
15.1675773,40.1770020,0.127,0.283
15.9085080,38.4851074,-0.692,0.266
16.4992989,38.5949707,-0.671,0.271
15.1887835,39.1003418,-0.715,0.293
16.2252233,38.0017090,-0.264,0.268
14.5304150,38.7268066,-0.463,0.270
15.7182383,38.2653809,0.121,0.267
17.0042615,38.5510254,-0.496,0.293
14.7642589,39.1223145,-0.052,0.271
14.6792536,39.4299316,-0.113,0.271
14.3389038,37.1008301,-0.374,0.280
15.2947823,36.7932129,-0.829,0.272
16.8991717,38.3752441,-0.315,0.277
16.3517676,38.4851074,-0.774,0.266
15.1675773,37.3864746,-0.565,0.272
16.1619207,37.9577637,-0.983,0.267
14.3601909,41.1877441,-0.048,0.288
16.2674138,37.9797363,-0.368,0.269
15.0827314,40.5065918,-1.119,0.281
14.4240402,37.6281738,-0.393,0.279
14.5516838,39.8034668,-0.539,0.291
16.9201944,38.2214355,-0.532,0.278
15.4219101,38.7048340,-0.689,0.268
14.7642589,37.4743652,-0.481,0.274
14.6579971,38.7268066,-0.478,0.287
16.4782298,38.3532715,-0.605,0.270
16.6888167,38.5729980,-0.381,0.276
15.0190747,37.2766113,-0.457,0.273
16.1830238,38.4411621,-0.796,0.282
16.1830238,37.9797363,-0.593,0.267
14.8704688,39.8474121,-0.590,0.277
15.2947823,37.1008301,-0.473,0.295
14.8279911,38.8146973,0.138,0.270
14.7430107,38.2214355,-0.841,0.274
16.2252233,38.5290527,-0.478,0.266
17.6963617,38.7268066,-0.760,0.281
16.2885057,37.8259277,-0.444,0.285
15.1039461,37.7160645,-0.129,0.286
14.8917045,38.1994629,-0.306,0.273
15.6970862,38.7927246,-0.791,0.267
15.4642688,36.7712402,-1.068,0.287
13.4430519,41.7590332,-0.456,0.272
15.4854449,39.0344238,-0.416,0.269
14.4878712,37.5402832,-0.588,0.278
15.5912928,37.2326660,-0.528,0.286
15.1675773,38.7268066,-0.374,0.268
15.9718913,38.7707520,-0.425,0.282
15.5066188,39.2541504,-1.045,0.270
15.1039461,37.8918457,-0.473,0.271
15.6124559,38.1335449,-0.712,0.285
14.9129381,38.6828613,-0.002,0.268
17.4030627,38.5949707,-0.566,0.294
14.9129381,37.8918457,-0.317,0.274
13.2078602,42.0666504,-0.711,0.280
16.0141357,37.3645020,-1.013,0.271
14.9978516,39.9353027,-0.818,0.274
14.4453192,37.3205566,-0.551,0.275
16.5624922,38.6169434,-0.696,0.274
15.6336167,38.5729980,-0.748,0.267
16.4992989,38.1335449,-0.369,0.273
17.2981985,38.4191895,-0.684,0.278
16.3939308,38.4191895,-0.401,0.284
15.0615146,37.5622559,-0.429,0.272
14.9766264,38.1335449,-0.074,0.288
15.2099875,39.9133301,-0.518,0.278
15.6970862,38.2653809,0.503,0.298
15.1675773,39.4299316,-0.333,0.268
16.4360849,38.7048340,-0.420,0.270
16.2674138,38.5949707,-0.383,0.266
14.8917045,38.3312988,-0.124,0.286
15.9296380,38.1774902,-0.581,0.267
15.9296380,38.4411621,-0.644,0.282
14.9341696,38.5070801,-0.160,0.269
15.1251586,39.0563965,-0.137,0.269
14.8917045,39.4738770,-0.468,0.271
14.8917045,38.3532715,-0.291,0.270
15.5066188,38.1774902,-0.914,0.270
15.0615146,39.4079590,-0.463,0.271
15.3371669,37.4084473,-0.958,0.280
15.1251586,38.7048340,-0.322,0.284
15.0615146,37.7819824,-0.529,0.273
15.8239658,38.5729980,-0.563,0.266
16.8150577,38.8146973,-0.233,0.296
15.1463690,38.3312988,-0.657,0.270
15.3159757,37.4084473,-0.714,0.280
15.1463690,37.7819824,-0.721,0.272
16.2674138,38.5070801,-0.665,0.266
16.1408153,38.9465332,-0.710,0.268
14.2324377,41.0778809,-1.005,0.272
14.8704688,37.2106934,-0.700,0.273
15.6336167,38.0895996,-0.546,0.269
15.8662413,38.2873535,-0.892,0.266
15.8662413,38.1115723,-0.071,0.267
15.1675773,39.4519043,0.061,0.271
14.5729506,37.1447754,-0.701,0.291
14.6154780,39.7814941,-0.459,0.275
14.9553991,37.2106934,-0.864,0.273
15.7182383,39.3640137,-0.099,0.272
16.0774856,38.1774902,-0.604,0.265
15.1887835,37.5402832,-0.081,0.287
16.1197076,38.6389160,-0.691,0.281
15.2523892,37.0568848,-0.671,0.272
15.2311894,37.4523926,-0.350,0.272
15.8451046,38.2214355,-0.233,0.282
15.5489602,37.4963379,0.273,0.443
15.0827314,37.3645020,-0.521,0.272
16.9832482,38.7048340,-0.658,0.280
16.0141357,38.2873535,-0.807,0.297
15.0190747,39.4299316,-0.680,0.271
15.8662413,38.7268066,-0.798,0.266
14.3601909,37.5402832,-0.835,0.277
15.7182383,38.4411621,-0.480,0.267
15.4007275,38.4191895,-0.375,0.269
16.1197076,38.1335449,-0.521,0.321
17.3820946,38.0236816,-0.520,0.275
15.1251586,37.8479004,-0.852,0.287
16.5624922,38.5949707,-0.065,0.273
14.7217604,37.7160645,-0.939,0.274
14.5091441,38.8146973,-0.310,0.274
15.6970862,38.3312988,-0.108,0.293
14.8279911,36.7932129,-0.411,0.274
15.6336167,38.2434082,-0.516,0.269
16.4992989,38.3972168,-0.219,0.269
14.6792536,37.6721191,-0.473,0.275
16.1408153,38.2653809,-0.251,0.267
14.8492310,38.6389160,-0.189,0.271
14.5516838,39.6057129,-0.236,0.276
15.8028247,38.7707520,-0.599,0.266
14.6367386,37.4963379,-0.468,0.290
14.9766264,37.1667480,-0.669,0.273
14.9553991,38.8586426,-0.313,0.286
15.1039461,39.9572754,-0.360,0.275
14.9553991,37.5402832,-0.637,0.273
15.9930146,38.2873535,-0.508,0.281
15.5912928,38.0895996,-0.526,0.270
14.3814760,40.7043457,-0.346,0.275
14.7855051,38.3312988,-0.614,0.272
14.9129381,36.5515137,-0.201,0.289
15.5066188,38.0895996,-0.588,0.270
14.5304150,39.8254395,-0.780,0.277
14.8067491,39.4299316,-0.116,0.271
16.6888167,38.6169434,-0.717,0.292
14.8492310,39.3420410,-0.267,0.270
