latitude,longitude,rwi,error
-1.2852926,12.4255371,-0.181,0.401
0.6921218,11.5026855,-0.191,0.400
0.9557662,11.2609863,-0.726,0.399
-0.9337965,9.4592285,-0.426,0.404
-1.5049538,13.2604980,0.153,0.538
0.7800052,11.5686035,-0.075,0.427
-1.6367402,13.3923340,-0.114,0.452
-1.5708481,13.1726074,0.034,0.455
-1.5488836,12.6232910,-0.558,0.407
2.2296616,11.3708496,-0.396,0.379
-1.0216743,10.0744629,-0.390,0.400
-2.0100856,11.6564941,-0.222,0.394
-1.8783255,11.0852051,-0.072,0.438
1.6806671,11.5026855,-0.434,0.374
-2.3613917,11.7443848,-0.110,0.402
-0.8019758,9.1735840,-1.167,0.392
2.1198775,11.4147949,-0.312,0.443
-1.9222467,11.8322754,-0.647,0.391
0.3186019,9.4812012,1.081,0.552
-1.2852926,12.2937012,-0.453,0.406
0.4284628,9.5031738,0.804,0.552
1.4610233,11.5905762,-0.364,0.392
2.2735730,11.3928223,0.044,0.392
0.3625464,9.5471191,-0.385,0.426
1.8344033,11.6564941,-0.637,0.378
1.4390576,11.5905762,-0.976,0.416
-2.5150610,10.7995605,-0.421,0.388
-1.2633253,14.4470215,-0.471,0.373
2.2296616,11.6784668,-0.223,0.367
-1.7904800,12.6232910,-0.561,0.410
-1.8783255,10.9973145,0.011,0.488
0.0109863,9.8107910,-0.531,0.387
-1.6806671,11.8322754,-0.570,0.384
-2.2516175,11.7004395,-0.194,0.395
0.8678867,10.5139160,-0.105,0.416
2.2077054,11.8762207,-0.387,0.366
1.5049538,11.5905762,-0.181,0.431
-1.6367402,13.4802246,-0.325,0.448
1.7245930,11.7004395,-0.249,0.376
0.9777357,10.9533691,0.008,0.372
-0.6701507,10.2722168,-0.526,0.404
0.4284628,9.5471191,0.521,0.504
-1.1754546,12.9528809,-0.252,0.408
-1.3511931,12.4255371,-0.631,0.394
-1.0656124,10.0524902,-0.254,0.407
1.8124418,11.5905762,-0.439,0.384
0.7800052,11.5466309,0.350,0.607
2.2296616,11.7443848,-0.016,0.380
0.4064907,9.5031738,1.329,0.524
-1.5049538,12.5793457,-0.208,0.389
1.6587038,11.5686035,-0.731,0.388
-1.1095498,12.4914551,-0.275,0.479
1.7026302,11.6564941,0.258,0.529
1.3951258,11.6345215,-0.469,0.390
0.7800052,11.5246582,-0.467,0.409
-1.7245930,13.3923340,-0.321,0.479
