latitude,longitude,rwi,error
5.9985331,-0.4724121,-0.402,0.357
6.9809543,-2.3840332,1.180,0.508
6.8718928,-2.8674316,0.176,0.373
5.2988268,-2.7795410,0.342,0.505
6.2606973,-0.1428223,-0.448,0.359
6.6755194,0.3186035,-0.045,0.439
10.7361753,-0.7580566,-0.523,0.332
7.1553996,-2.7355957,-0.178,0.341
5.9329721,-1.5051270,-0.322,0.348
6.5445599,-0.5163574,-0.454,0.353
7.7001044,-0.8459473,0.058,0.342
6.3480564,-3.1530762,-0.515,0.300
10.4121830,-0.6921387,0.002,0.400
9.8714518,0.0109863,-0.574,0.321
7.3079846,-2.9113770,-0.781,0.304
5.6050520,-2.1423340,-0.467,0.343
6.1296313,-1.9885254,-0.448,0.334
6.2606973,-2.8454590,-0.215,0.417
5.9985331,-1.3293457,-0.399,0.336
5.3207052,-0.9558105,0.106,0.405
10.4121830,-0.6481934,-0.393,0.317
10.4986143,-1.2634277,-0.261,0.306
8.7222181,-0.9777832,-0.837,0.308
5.8455454,-0.3625488,0.465,0.408
5.7143797,-1.4392090,-0.455,0.345
10.1960002,-2.2082520,-0.316,0.309
10.6066195,-2.5598145,-0.119,0.318
5.5175751,-0.4724121,0.964,0.488
6.3917304,-2.3400879,-0.041,0.364
6.1077838,-1.9665527,-0.584,0.340
5.1456567,-1.8127441,-0.512,0.348
7.0899903,-3.0432129,-0.469,0.319
8.8525066,-1.0876465,-0.711,0.328
6.5227299,0.4943848,0.138,0.410
6.1514779,0.5163574,-0.430,0.387
9.3731925,-2.5158691,-0.867,0.309
7.1553996,-2.3620605,-0.782,0.311
5.8018269,0.4284668,-0.418,0.442
7.8960294,-1.1535645,-0.364,0.310
6.1733235,0.7141113,-0.605,0.348
11.0598206,-0.1647949,-0.186,0.382
5.8455454,0.2087402,-0.063,0.401
6.2606973,-0.9997559,0.073,0.359
9.5465832,-1.3732910,-0.336,0.340
6.7191648,-2.3400879,-0.538,0.324
9.4598988,0.0769043,0.045,0.309
5.8892605,0.7141113,-0.284,0.391
6.8718928,-2.1203613,-0.732,0.399
8.3745618,0.5163574,-0.329,0.313
5.9111167,-1.3513184,0.828,0.471
9.8281543,-2.6037598,0.137,0.410
6.3480564,-1.7468262,-0.640,0.353
7.8307313,-2.3840332,-0.522,0.326
10.6714043,-2.6696777,-0.414,0.322
6.8064439,-2.6696777,-0.538,0.325
6.4135660,-2.6037598,-0.491,0.354
5.2113056,-2.1203613,-0.235,0.325
6.8937071,-2.0764160,-0.616,0.331
6.0203850,-0.4943848,0.449,0.399
5.3644596,-1.9445801,0.915,0.493
10.3041101,-2.7575684,-0.467,0.302
6.8282612,-2.1423340,-0.838,0.323
6.7846256,0.0769043,-0.851,0.308
7.5040887,-2.3400879,-0.370,0.337
6.7191648,-0.2526855,-0.595,0.377
7.9395558,-0.7800293,-0.456,0.310
5.9548266,-1.8566895,0.194,0.389
4.8829942,-1.9445801,0.506,0.435
10.0878536,-0.4724121,-0.699,0.326
9.0261526,-2.4938965,0.725,0.505
10.6066195,-0.2087402,-0.467,0.307
10.9304048,-2.5598145,-0.371,0.311
5.5394455,-1.9665527,-0.667,0.350
5.9766803,-0.2746582,-0.352,0.396
10.8009324,-1.2194824,-0.476,0.347
5.0800010,-1.7687988,-0.627,0.388
10.1960002,0.2087402,-0.601,0.303
6.0640861,-2.8454590,-0.249,0.325
6.1951683,-1.8566895,-0.179,0.336
5.5394455,-1.5051270,-1.094,0.374
6.6973426,-0.7360840,0.444,0.445
9.4382242,-0.4284668,-0.666,0.358
6.7191648,-1.5051270,1.004,0.454
8.3745618,-0.2087402,-0.739,0.327
6.5008990,-2.6037598,-0.526,0.311
6.4572344,-1.0217285,0.436,0.367
7.0899903,-2.4279785,-0.414,0.334
7.7436512,-0.1428223,-0.414,0.325
6.8282612,-1.4172363,0.849,0.465
9.3948711,-2.5598145,-0.309,0.323
7.8089630,-2.6916504,-0.192,0.477
5.6706511,-2.4938965,-0.706,0.313
6.4135660,-1.9445801,-0.067,0.401
6.2606973,-1.5930176,-0.324,0.372
8.6570568,0.3186035,-0.785,0.301
6.1951683,-0.1867676,-0.124,0.432
6.8282612,-2.7575684,-0.930,0.328
10.8009324,-0.4284668,-0.406,0.316
7.0899903,0.0769043,-0.604,0.305
9.0044514,-2.4499512,-0.774,0.336
6.4135660,-0.2087402,0.036,0.345
5.8674033,-2.9772949,-0.359,0.307
5.6269192,-0.4504395,-0.373,0.436
6.1077838,-0.7580566,-0.723,0.376
10.1311167,-0.1647949,-0.518,0.318
9.0695511,0.4504395,-0.182,0.306
6.5882169,-2.8015137,-0.366,0.310
5.1456567,-2.4279785,-0.754,0.422
5.9985331,-1.4611816,-0.468,0.347
6.3043786,-2.3840332,0.782,0.487
8.2658549,-1.1096191,-0.619,0.306
6.3262180,0.8898926,-0.015,0.402
9.3948711,-0.1428223,-0.155,0.345
8.8959258,0.4284668,-0.548,0.299
5.2331870,-0.8020020,0.562,0.459
5.6269192,-2.3400879,-0.479,0.331
6.0640861,-1.5930176,-0.472,0.360
5.9329721,-2.9113770,-0.501,0.311
5.5175751,-1.7907715,-0.382,0.425
7.9613173,-1.3293457,-0.412,0.323
