latitude,longitude,rwi,error
10.1960002,-13.2385254,-0.373,0.236
10.8872536,-11.4587402,-0.664,0.232
11.0813844,-8.9978027,-0.356,0.262
9.5465832,-10.6018066,-0.883,0.228
10.4770087,-8.4924316,-0.724,0.238
10.7361753,-9.5251465,-0.049,0.244
11.1460662,-8.7780762,-0.330,0.329
10.1094859,-14.1833496,-0.223,0.253
12.2433913,-12.8649902,-0.746,0.238
8.7656527,-10.2722168,-0.365,0.223
11.4261866,-14.0075684,-0.487,0.248
10.3905714,-13.4802246,-0.871,0.254
11.2107336,-13.6120605,-0.643,0.240
10.7577626,-12.4255371,-0.477,0.234
10.8656756,-12.6452637,-0.347,0.233
10.7145865,-12.2058105,-0.488,0.276
8.9610451,-8.7121582,-0.647,0.234
10.8225151,-12.9968262,-0.056,0.281
11.3615678,-8.9758301,-0.837,0.264
11.1029466,-12.8210449,-0.401,0.248
10.0013102,-12.6013184,-0.246,0.225
11.0813844,-11.6345215,-0.516,0.248
11.2107336,-9.0417480,-0.255,0.237
11.4046486,-12.8649902,-0.480,0.233
10.8656756,-14.7546387,-0.288,0.270
9.8714518,-8.4924316,-0.616,0.242
9.2864645,-10.4699707,-0.563,0.245
12.5223904,-13.1286621,0.131,0.272
12.3507339,-12.6672363,-0.433,0.254
11.4261866,-8.7341309,-0.390,0.268
11.3184804,-12.0520020,0.255,0.327
11.5553801,-12.0300293,-0.510,0.241
10.8656756,-12.2058105,-0.538,0.246
7.6129974,-8.7121582,-0.451,0.237
11.8996033,-10.3601074,-0.949,0.256
10.9951198,-11.5686035,-0.221,0.238
10.0662199,-11.5466309,-0.757,0.226
10.1960002,-11.0852051,-0.489,0.233
12.3507339,-13.5461426,-0.664,0.238
11.3831090,-11.8322754,-0.412,0.239
10.9735497,-14.2932129,-0.218,0.334
7.8089630,-8.0969238,-0.308,0.252
11.2107336,-9.1296387,0.095,0.309
9.7198857,-13.3703613,0.204,0.367
9.3515125,-13.0847168,-0.246,0.242
10.7577626,-14.3371582,-0.602,0.259
11.9211029,-12.0959473,-0.368,0.246
8.8090822,-8.9978027,-0.728,0.235
11.7490585,-11.9201660,-0.488,0.279
11.0598206,-9.3493652,-0.747,0.263
11.2538371,-11.0852051,-0.029,0.243
11.5984314,-10.9973145,-0.236,0.238
11.4046486,-12.2058105,-0.258,0.300
10.8440961,-12.0300293,-0.345,0.235
11.8135879,-11.1730957,-0.271,0.235
10.3041101,-12.6672363,-0.436,0.238
10.5634219,-13.3264160,-0.700,0.253
10.0229482,-12.6452637,-0.418,0.243
10.8009324,-14.9523926,-0.191,0.244
9.3731925,-9.9865723,-0.378,0.237
11.7705700,-12.3596191,-0.587,0.292
11.6845141,-12.6892090,-0.220,0.242
10.6282159,-13.1506348,-0.547,0.232
8.7656527,-8.2287598,-0.567,0.243
10.5850215,-13.1506348,-0.659,0.231
11.7705700,-9.1296387,-0.532,0.301
8.8090822,-8.0749512,-0.559,0.237
11.3615678,-12.6232910,-0.350,0.334
10.8440961,-13.4143066,-0.851,0.234
8.7873681,-8.0969238,-0.726,0.236
9.0478525,-7.8771973,-0.309,0.240
10.7793483,-12.0520020,-0.232,0.245
10.4337931,-12.0300293,-0.552,0.255
11.0598206,-14.1833496,-0.661,0.259
11.1029466,-13.6999512,-0.584,0.273
11.4477230,-12.7111816,-0.291,0.334
11.5769066,-13.9416504,-0.788,0.240
8.5918843,-9.5471191,-0.488,0.230
7.9613173,-9.3273926,-0.713,0.228
9.7631974,-10.9753418,-0.270,0.262
11.2322862,-12.4035645,-0.262,0.342
9.2864645,-13.4143066,-0.058,0.247
11.0166883,-14.3591309,-0.370,0.259
11.7490585,-8.9978027,0.106,0.398
8.7439361,-10.3820801,-0.640,0.224
11.3400249,-8.4265137,-0.426,0.287
11.4046486,-12.6232910,-0.714,0.294
12.4580325,-12.8869629,-0.400,0.242
8.2875987,-8.9318848,-0.344,0.232
11.0813844,-13.7878418,0.291,0.410
12.2219175,-13.3703613,-0.308,0.251
11.8135879,-13.3044434,-0.533,0.244
10.6714043,-13.7219238,-0.314,0.232
8.7439361,-9.2614746,-0.232,0.230
11.1029466,-11.7883301,-0.543,0.251
10.8872536,-14.3151855,-0.048,0.320
12.3292689,-13.1506348,-0.520,0.242
10.4770087,-12.9748535,-0.225,0.228
10.3689583,-13.2385254,-0.490,0.231
10.9951198,-13.5021973,-0.595,0.246
11.5338520,-12.2058105,-0.676,0.248
10.2608706,-13.7219238,0.075,0.255
10.5202184,-12.7990723,-0.366,0.230
9.6765684,-13.5681152,1.323,0.417
11.0598206,-9.1296387,0.013,0.234
9.6982277,-13.3923340,1.276,0.423
11.2538371,-12.7331543,-0.208,0.241
10.6929962,-9.8986816,-0.196,0.244
7.2861900,-8.8659668,-0.324,0.227
9.7848511,-13.1066895,-0.493,0.230
11.4477230,-12.7331543,-0.376,0.258
10.1311167,-12.7770996,0.131,0.249
12.1145226,-9.5910645,-0.685,0.229
11.0166883,-13.1726074,-0.133,0.240
11.4692577,-12.3815918,0.032,0.255
8.3310827,-8.4265137,-0.258,0.247
10.7577626,-14.6667480,-0.937,0.248
11.7490585,-13.2385254,-0.287,0.269
9.6332456,-13.4582520,-0.267,0.314
11.4046486,-13.1726074,-0.795,0.239
11.2753865,-8.4484863,-0.678,0.252
9.8714518,-12.5793457,-0.331,0.221
8.7222181,-9.7668457,-0.634,0.226
11.5123222,-13.9416504,-0.694,0.243
9.1780244,-8.4484863,-0.496,0.239
11.7920798,-9.7668457,-0.525,0.243
11.2538371,-12.9748535,-0.599,0.249
11.3400249,-14.7546387,-0.585,0.232
10.8872536,-9.0856934,-0.422,0.243
11.2753865,-13.4582520,-0.529,0.243
8.5267005,-10.4040527,-0.248,0.232
10.9304048,-12.1618652,-0.306,0.239
11.8565990,-9.8986816,-0.593,0.235
9.6115820,-8.3386230,-0.698,0.243
10.0445848,-11.7004395,-0.472,0.253
7.9177932,-8.9318848,-0.140,0.255
7.9830776,-8.2946777,-0.366,0.240
10.2176252,-14.0734863,-0.513,0.267
8.7004990,-10.4699707,-0.429,0.228
9.9580298,-12.7551270,-0.560,0.229
11.7705700,-9.6789551,-0.506,0.258
10.8009324,-8.7341309,-0.504,0.265
12.0930384,-10.0964355,-0.353,0.232
10.0013102,-10.6237793,-0.488,0.236
10.0229482,-11.3269043,-0.442,0.227
10.6498109,-10.6237793,-0.746,0.254
9.2864645,-8.8879395,-0.638,0.239
12.4151184,-12.0520020,-0.307,0.239
10.6282159,-13.6120605,-0.398,0.288
8.9393399,-10.0524902,-0.155,0.242
10.1743738,-11.3269043,-0.362,0.308
12.3078021,-12.6013184,-0.881,0.234
9.5032437,-12.9089355,-0.174,0.228
12.4794869,-13.3703613,-0.535,0.308
9.8498038,-9.9645996,-0.434,0.230
10.7793483,-8.9758301,-0.463,0.343
10.3473437,-14.3151855,-0.296,0.242
10.6066195,-14.3811035,-0.023,0.285
8.8090822,-10.5139160,-0.177,0.225
8.0265947,-8.2946777,-0.389,0.240
11.4261866,-12.2497559,-0.057,0.334
10.3905714,-12.5354004,-0.654,0.234
9.8714518,-9.3493652,-0.625,0.235
10.5634219,-14.3371582,-0.538,0.239
11.4907908,-8.8000488,-0.759,0.248
9.8714518,-13.0627441,0.343,0.334
10.0229482,-11.9641113,-0.710,0.223
9.5465832,-10.1403809,-0.485,0.240
11.1245072,-11.8542480,-0.390,0.258
11.1676236,-14.3151855,-0.786,0.254
10.4554016,-13.6120605,-0.251,0.252
11.7920798,-10.6677246,-0.239,0.245
10.5418209,-13.7878418,-0.422,0.239
10.6929962,-11.3488770,-0.587,0.238
10.6714043,-14.1833496,-0.662,0.262
11.3615678,-14.5129395,-0.152,0.235
10.8009324,-11.0192871,-0.326,0.305
11.1029466,-11.8542480,-0.510,0.239
11.7705700,-13.4362793,-0.374,0.253
9.1997151,-8.4045410,-0.733,0.242
12.1145226,-10.3161621,-0.693,0.233
9.3731925,-12.9528809,-0.352,0.220
7.7218784,-8.3166504,-0.342,0.231
8.5049700,-9.1516113,-0.408,0.240
10.3041101,-14.2932129,-0.170,0.239
10.6282159,-8.6022949,-0.266,0.241
11.0598206,-9.6789551,-0.394,0.298
10.2176252,-12.5134277,-0.534,0.227
10.1527460,-11.6784668,-0.499,0.247
11.4692577,-12.6013184,-0.371,0.367
8.7439361,-9.7448730,-0.327,0.225
8.9176335,-10.0305176,-0.493,0.302
12.1145226,-12.9748535,-0.214,0.252
10.4337931,-12.0080566,-0.783,0.238
9.6332456,-10.8435059,-0.140,0.222
11.7920798,-10.2502441,-0.435,0.241
10.7145865,-14.5349121,-0.800,0.323
10.6282159,-14.4470215,-0.199,0.302
11.7060306,-12.0739746,-0.323,0.266
7.7436512,-8.3825684,-0.492,0.260
9.1563324,-10.4919434,-0.521,0.227
10.6929962,-12.0520020,-0.272,0.235
10.7793483,-9.9206543,-0.576,0.235
11.9640971,-10.0524902,-0.561,0.236
7.4823037,-9.3713379,-0.350,0.224
10.9304048,-10.8654785,-0.191,0.241
10.9519780,-13.0187988,0.079,0.363
11.1245072,-14.6008301,-0.342,0.244
11.0166883,-12.2058105,-0.647,0.235
7.9177932,-8.4924316,-0.307,0.240
10.4770087,-13.6560059,-0.277,0.237
9.9147437,-12.9309082,-0.024,0.232
8.4180361,-8.6682129,0.028,0.232
11.4261866,-12.1618652,-0.228,0.241
10.7145865,-12.4035645,-0.173,0.260
9.1346391,-8.6022949,-0.802,0.233
9.3298312,-13.0187988,-0.455,0.241
10.5202184,-8.7341309,-0.417,0.246
11.2107336,-13.6560059,-0.429,0.239
12.0070844,-11.3269043,-0.324,0.244
8.3528229,-10.6896973,-0.005,0.249
10.9088300,-9.7888184,-0.636,0.238
10.4554016,-8.9978027,-0.637,0.243
11.6629959,-12.1618652,-0.337,0.239
7.8307313,-8.3825684,-0.517,0.231
10.9735497,-11.5246582,-0.303,0.238
11.9211029,-11.0852051,-0.398,0.234
10.5634219,-13.4582520,-0.324,0.233
11.9855916,-12.4255371,-0.616,0.239
8.1136149,-8.4484863,-0.125,0.256
11.0813844,-14.0075684,-0.672,0.308
10.4337931,-9.7009277,-0.413,0.240
12.2863336,-12.6892090,-0.153,0.237
11.8565990,-10.0524902,-0.652,0.241
10.1743738,-12.7551270,-0.433,0.234
10.7793483,-11.3708496,-0.316,0.247
12.0070844,-12.4255371,-0.560,0.251
9.4598988,-9.5251465,-0.272,0.232
11.6414761,-11.8762207,-0.619,0.244
10.1311167,-13.6999512,-0.463,0.262
11.4261866,-9.1076660,-0.662,0.294
10.8225151,-8.3166504,-0.712,0.235
11.0598206,-12.2058105,-0.324,0.232
10.1311167,-13.8537598,-0.247,0.257
8.9393399,-10.0744629,-0.465,0.250
10.1094859,-12.1398926,-0.448,0.231
11.6199546,-11.4587402,-0.333,0.234
11.7920798,-13.5241699,-0.630,0.241
10.2392486,-14.1613770,-0.241,0.306
9.2214045,-9.2614746,-0.458,0.247
10.6929962,-11.9641113,-0.626,0.236
8.7222181,-8.5363770,-0.411,0.241
8.2006163,-8.9099121,-0.077,0.242
11.1245072,-13.5681152,-0.705,0.246
10.5418209,-13.3923340,-0.018,0.230
8.7873681,-10.2722168,-0.472,0.222
10.9519780,-14.3371582,-0.410,0.325
10.4554016,-11.6784668,-0.804,0.242
11.2753865,-11.8542480,-0.634,0.239
