latitude,longitude,rwi,error
13.1650736,-16.6442871,-0.471,0.294
13.5712413,-14.6667480,-0.632,0.270
13.5498812,-15.7653809,0.081,0.281
13.7420528,-15.1721191,-0.551,0.257
13.5925995,-15.8312988,-0.467,0.257
13.5712413,-15.8312988,-0.437,0.316
13.2292507,-16.0290527,-0.231,0.324
13.5712413,-15.9631348,-0.526,0.252
13.5285192,-14.9523926,-0.904,0.343
13.5712413,-16.0290527,-0.314,0.265
13.5498812,-14.1174316,-0.382,0.265
13.3361750,-14.4470215,-0.046,0.402
13.6780130,-14.9304199,-0.299,0.254
13.5712413,-15.6774902,-0.547,0.365
13.5498812,-15.2819824,-0.339,0.284
13.5925995,-16.0729980,-0.338,0.271
13.5712413,-15.5456543,-0.714,0.304
13.2720261,-14.1174316,-0.389,0.329
13.7420528,-15.3039551,-0.873,0.257
13.1650736,-16.6003418,-0.113,0.281
13.2934109,-16.7102051,-0.898,0.347
13.4644216,-14.1174316,-0.159,0.306
13.2506393,-16.2048340,-0.457,0.294
13.3789314,-14.6447754,-0.865,0.259
13.5285192,-15.6994629,-0.111,0.255
13.3575541,-14.6447754,-1.061,0.269
13.5925995,-15.4577637,-0.515,0.305
13.4644216,-16.5783691,1.098,0.422
13.4430519,-13.9636230,-0.393,0.270
13.6993616,-14.9084473,-0.971,0.256
13.4216803,-16.4025879,-0.527,0.279
13.6566625,-14.8864746,-0.387,0.330
13.1864679,-16.0070801,-0.445,0.356
13.1864679,-16.1608887,0.053,0.261
13.5498812,-15.7434082,-0.263,0.321
13.7847363,-14.9084473,-0.894,0.256
13.5925995,-14.7766113,-0.750,0.263
13.5071552,-16.2487793,-0.399,0.267
13.2078602,-15.9191895,-0.104,0.268
13.5071552,-16.3806152,-0.752,0.270
13.4857894,-14.8425293,-0.319,0.281
13.3575541,-13.8537598,-0.488,0.254
13.4857894,-13.9196777,-0.304,0.255
13.4857894,-16.3586426,-0.333,0.298
13.5285192,-15.6555176,-0.245,0.273
13.3575541,-14.5349121,-0.565,0.261
13.5925995,-15.4797363,0.080,0.261
13.5285192,-16.2487793,-0.370,0.282
13.5925995,-16.1828613,-0.682,0.259
13.5285192,-14.7766113,-0.305,0.334
13.2292507,-16.1608887,-0.467,0.276
13.5712413,-16.1828613,-0.485,0.250
13.3361750,-14.6667480,-0.543,0.264
13.2506393,-14.2712402,-0.608,0.379
13.4430519,-14.7106934,-0.998,0.370
13.4857894,-16.4904785,-0.435,0.299
13.3361750,-16.7541504,-0.048,0.419
13.3575541,-13.9855957,0.118,0.294
13.2720261,-16.5783691,0.353,0.348
13.7420528,-15.2600098,-0.550,0.266
13.4857894,-16.6882324,0.650,0.387
13.4644216,-16.2927246,-0.782,0.281
13.4430519,-14.3811035,-0.732,0.256
13.4216803,-15.2819824,-0.420,0.280
13.4857894,-13.8537598,-0.623,0.261
13.6353101,-14.5568848,-0.623,0.271
13.7207082,-15.1721191,-0.759,0.274
13.5712413,-15.4797363,-0.875,0.272
13.1864679,-16.5344238,-0.695,0.269
13.3789314,-13.9855957,-0.862,0.319
13.5285192,-16.3586426,-0.349,0.304
13.6353101,-14.5349121,-0.728,0.256
13.6353101,-14.6008301,-0.727,0.256
13.1864679,-16.5783691,-0.142,0.302
13.3789314,-14.2492676,-0.270,0.304
13.3789314,-16.6882324,1.290,0.389
13.6780130,-15.4357910,-0.609,0.252
13.5712413,-15.6335449,-0.287,0.318
13.1650736,-16.0729980,-0.359,0.269
13.1864679,-16.6003418,-0.338,0.280
13.3361750,-16.6882324,0.517,0.345
13.5071552,-14.9523926,-0.640,0.268
13.4216803,-14.7106934,-0.695,0.274
13.6139558,-15.4357910,-0.452,0.335
13.4216803,-15.6115723,-0.050,0.322
13.6353101,-14.9304199,-0.569,0.272
13.5925995,-14.6887207,-0.735,0.269
13.3575541,-16.4685059,-0.465,0.291
13.5925995,-16.5124512,-0.621,0.260
13.6780130,-14.8205566,-0.784,0.257
13.4857894,-16.0949707,0.375,0.360
13.2292507,-15.8532715,-0.891,0.317
13.4857894,-15.9631348,-0.020,0.353
13.3147939,-16.7541504,0.305,0.342
13.4216803,-16.3806152,-0.416,0.268
13.3789314,-16.4685059,0.172,0.282
13.4857894,-14.1174316,-0.355,0.280
13.5071552,-14.9304199,-0.174,0.310
13.6780130,-15.0842285,-0.231,0.253
13.2720261,-16.6223145,1.054,0.350
13.1864679,-16.2487793,0.120,0.250
13.4644216,-15.6774902,-0.175,0.257
13.2078602,-16.2927246,-0.004,0.309
13.5712413,-16.3366699,-0.568,0.264
13.4003068,-16.7321777,1.498,0.393
13.1222796,-16.7541504,-0.701,0.343
13.2934109,-16.7321777,-0.163,0.344
13.4430519,-16.6662598,1.556,0.359
13.1650736,-16.2707520,-0.277,0.259
13.5498812,-14.8864746,-0.870,0.510
13.6993616,-15.3259277,-0.002,0.373
13.4003068,-15.3039551,-0.529,0.257
13.4644216,-14.6008301,-0.254,0.258
13.5071552,-15.7214355,-0.299,0.270
13.4857894,-15.2380371,-0.369,0.377
13.5285192,-14.7546387,-0.462,0.380
13.7847363,-15.1062012,-0.792,0.270
13.3361750,-14.1833496,-0.157,0.350
13.1650736,-15.8093262,-0.331,0.264
13.3361750,-14.2712402,-0.577,0.336
13.4216803,-16.6442871,0.019,0.462
13.5285192,-14.9084473,-0.732,0.332
13.5498812,-14.0295410,-0.385,0.265
13.2720261,-16.6442871,1.048,0.396
13.4003068,-15.3698730,-0.344,0.322
13.3789314,-13.8317871,-0.779,0.254
13.5712413,-16.4025879,-0.485,0.295
13.1650736,-16.7321777,0.358,0.253
13.4216803,-14.3151855,-0.115,0.256
13.4857894,-16.4685059,-0.243,0.316
13.3575541,-14.6008301,-0.808,0.259
13.4216803,-15.7653809,-0.590,0.338
13.4003068,-15.5236816,-0.434,0.263
13.4857894,-15.3259277,-0.418,0.272
13.7847363,-15.0622559,-0.674,0.255
13.5071552,-14.8425293,-0.555,0.331
13.6353101,-15.3259277,-0.667,0.278
13.5498812,-16.4025879,-0.240,0.289
13.1650736,-16.6662598,0.164,0.347
13.3575541,-15.3918457,-0.568,0.264
13.5712413,-16.1169434,-0.431,0.252
13.4430519,-16.3806152,-0.488,0.282
13.4430519,-16.6882324,1.394,0.368
13.1864679,-15.8752441,-1.180,0.254
13.1650736,-16.0949707,-0.388,0.260
13.4430519,-16.7321777,0.478,0.395
13.4430519,-14.6447754,0.056,0.408
13.1864679,-16.7541504,0.935,0.405
13.6139558,-15.4577637,-0.520,0.254
13.4003068,-13.8757324,-0.451,0.281
13.3147939,-14.1613770,-0.495,0.351
13.4003068,-14.2492676,-0.636,0.293
13.5285192,-15.0183105,-0.955,0.252
13.2506393,-15.8093262,-0.626,0.264
13.6566625,-15.0402832,-0.418,0.313
13.4216803,-14.0295410,-0.438,0.316
13.7420528,-15.0842285,-0.609,0.263
13.4857894,-14.2053223,-0.167,0.335
13.4430519,-14.6887207,-0.587,0.258
13.1650736,-16.3146973,-0.082,0.267
13.3147939,-14.4250488,-0.678,0.287
13.1650736,-16.1389160,-0.535,0.255
13.3575541,-15.7214355,0.081,0.256
13.2934109,-14.2272949,-0.450,0.329
13.4430519,-13.8098145,-0.640,0.261
13.6780130,-14.8425293,-0.769,0.271
13.2292507,-16.0729980,0.847,0.384
13.7420528,-14.9523926,-0.569,0.254
13.2078602,-16.6662598,-0.411,0.307
13.5712413,-15.8972168,-0.348,0.315
13.5071552,-15.2380371,-0.518,0.306
13.4003068,-16.6442871,0.698,0.377
13.4003068,-14.4250488,-0.563,0.300
13.5925995,-15.1501465,-0.247,0.260
13.2506393,-16.5344238,0.019,0.367
