latitude,longitude,rwi,error
1.7026302,11.2390137,-0.876,0.318
1.4390576,9.5251465,-0.302,0.342
1.8344033,10.5798340,-0.671,0.320
1.8783255,9.8767090,0.372,0.446
1.8563646,10.1403809,-0.640,0.324
1.6147764,10.8215332,0.379,0.407
1.9661667,10.5358887,-0.026,0.322
1.9222467,10.2062988,-0.074,0.324
1.5488836,11.0192871,-1.167,0.322
3.7655967,8.8659668,0.862,0.477
3.7217452,8.7121582,1.228,0.460
1.2852926,9.4152832,0.080,0.334
1.8563646,9.8327637,-0.072,0.460
2.2296616,9.8107910,-0.360,0.344
1.9002862,10.7995605,-1.072,0.321
1.9881263,9.9206543,0.330,0.427
1.8124418,9.8547363,-0.253,0.453
1.5708481,10.4260254,-0.660,0.321
1.9002862,9.7888184,0.488,0.492
1.4390576,10.4260254,0.206,0.323
3.7217452,8.8220215,0.457,0.443
2.0320445,11.0412598,-0.081,0.321
1.5928123,11.2829590,0.227,0.403
1.9442068,10.6237793,-0.392,0.336
1.1974226,9.8767090,0.014,0.328
1.5928123,10.4699707,-0.602,0.327
2.0540032,9.8107910,-0.057,0.330
2.0759616,11.1071777,-0.468,0.320
1.8344033,9.7448730,0.513,0.507
1.3072596,10.7556152,-0.306,0.382
1.1095498,9.7229004,-0.243,0.335
1.6367402,10.5798340,-0.032,0.326
3.6340356,8.9099121,0.711,0.455
1.3072596,10.8215332,-0.252,0.320
1.7245930,9.6789551,-0.241,0.327
1.9661667,10.2722168,-0.377,0.323
3.6998186,8.6901855,-0.439,0.331
3.3927908,8.7341309,-0.320,0.341
2.0100856,10.9753418,0.483,0.325
2.0320445,10.9753418,-0.210,0.324
1.9002862,11.2609863,-0.405,0.359
1.8783255,10.7556152,-0.254,0.338
2.0100856,10.4479980,-0.229,0.325
1.3072596,10.9094238,-0.465,0.320
2.2735730,9.7888184,0.124,0.448
1.1095498,11.2390137,-0.779,0.325
1.5488836,9.6130371,-0.131,0.332
1.8563646,10.0305176,-0.228,0.326
1.3731595,11.2390137,-0.425,0.321
1.9442068,10.2062988,0.121,0.325
3.4585910,8.8000488,-0.483,0.341
1.8563646,11.2829590,-0.442,0.334
1.7026302,11.0192871,0.024,0.451
1.9881263,11.1511230,-0.058,0.318
1.8344033,9.7888184,0.575,0.502
1.8344033,10.3820801,0.312,0.336
3.3927908,8.7121582,-0.595,0.339
3.4366581,8.7121582,0.232,0.337
3.4147247,8.7341309,0.255,0.325
1.4390576,10.5578613,0.111,0.508
1.9002862,10.8215332,-0.277,0.320
1.4170918,11.3269043,-0.420,0.330
1.7026302,10.5578613,-0.821,0.321
1.6147764,9.8107910,-0.067,0.438
1.7026302,9.9206543,-0.259,0.322
3.7655967,8.8220215,-0.211,0.623
3.7655967,8.9099121,0.201,0.497
1.8783255,11.2609863,-0.420,0.333
2.0320445,11.1291504,-0.325,0.320
2.0320445,11.2829590,-0.294,0.435
