latitude,longitude,rwi,error
15.7393882,-90.9118652,-0.516,0.513
16.0563712,-90.1428223,-0.366,0.475
15.5277906,-90.3845215,-0.122,0.474
15.1675773,-91.0656738,-0.323,0.448
15.2311894,-91.0217285,0.024,0.502
15.1251586,-90.7800293,-0.327,0.432
14.5091441,-89.8571777,0.230,0.523
16.2885057,-89.9011230,-0.909,0.391
15.2523892,-89.9890137,-0.536,0.409
14.7855051,-90.1647949,0.141,0.498
15.7182383,-90.8459473,-0.943,0.391
17.1722825,-90.1647949,-0.991,0.407
16.4992989,-90.1428223,-0.856,0.436
16.7729866,-89.1760254,-0.424,0.426
16.7098626,-89.6594238,-0.866,0.478
15.4007275,-90.4504395,-0.004,0.477
15.5277906,-91.9885254,-0.635,0.430
16.1197076,-89.7912598,-0.561,0.396
14.1685340,-91.1535645,-0.331,0.570
15.2311894,-89.9011230,0.235,0.414
17.5078668,-90.7800293,-0.596,0.425
14.7005081,-89.3298340,-0.073,0.462
15.4007275,-92.0104980,0.337,0.545
15.7605359,-90.5822754,-0.227,0.420
14.8917045,-90.9558105,-0.539,0.508
14.5091441,-90.7580566,-0.263,0.491
15.2099875,-90.9338379,-0.681,0.460
14.2750302,-90.6262207,-0.588,0.463
14.6792536,-91.6149902,-0.176,0.552
16.7940233,-89.9670410,0.497,0.516
15.2735868,-89.0002441,-0.040,0.469
14.8492310,-89.9011230,-1.002,0.457
15.4430906,-91.1096191,-0.186,0.459
15.3371669,-90.0109863,-0.638,0.422
17.2981985,-90.7800293,-0.902,0.429
16.5624922,-89.7473145,-0.745,0.446
14.5304150,-91.0437012,-0.594,0.469
16.0563712,-90.6481934,-0.205,0.531
16.9201944,-89.8571777,-0.277,0.503
15.3159757,-91.6809082,-0.532,0.495
16.2041247,-89.3298340,-0.273,0.413
17.3611242,-90.8239746,-0.255,0.427
15.3159757,-89.6374512,-0.278,0.463
15.2311894,-91.2414551,0.533,0.513
15.4430906,-91.4831543,0.173,0.580
14.6154780,-89.2639160,-0.534,0.460
14.8279911,-90.9997559,0.675,0.454
15.5701276,-88.5827637,-0.291,0.493
15.9296380,-90.5163574,0.545,0.561
14.2111385,-90.1208496,-0.146,0.502
15.3583559,-90.5822754,-0.503,0.451
15.2099875,-89.0881348,-0.473,0.454
15.0190747,-91.7468262,0.261,0.524
17.0672871,-90.0549316,-0.363,0.396
14.4027591,-90.2087402,0.321,0.504
15.9085080,-89.6594238,-0.287,0.444
14.7642589,-91.2854004,0.766,0.535
14.0406726,-90.9997559,-0.513,0.390
15.4854449,-90.2307129,0.359,0.521
15.0615146,-90.5822754,-0.657,0.465
15.4854449,-89.8571777,-0.525,0.493
15.6759319,-91.8566895,-0.534,0.510
15.1251586,-91.7248535,-0.149,0.484
15.2947823,-91.5270996,0.090,0.523
14.8917045,-91.0217285,-0.331,0.491
15.0402957,-90.9997559,0.403,0.465
14.8492310,-89.4177246,-0.497,0.469
16.0352546,-89.8132324,-0.603,0.383
14.7430107,-89.4396973,-0.149,0.466
15.4642688,-90.0549316,-0.087,0.449
15.1251586,-91.2634277,-0.239,0.465
15.7605359,-88.4729004,-0.634,0.376
15.5489602,-91.7907715,-0.314,0.536
16.7519476,-90.4064941,-0.351,0.421
15.6124559,-88.8903809,-0.621,0.402
15.3583559,-90.5603027,-0.528,0.477
14.5729506,-89.3518066,1.087,0.544
14.2750302,-91.7248535,-0.141,0.524
14.7430107,-89.8352051,-0.067,0.477
14.4665962,-89.8132324,-0.393,0.433
15.4854449,-91.8127441,-0.454,0.424
15.5912928,-89.3078613,-0.389,0.399
14.1898373,-91.0876465,-0.365,0.481
15.8662413,-90.2087402,-0.247,0.544
14.5516838,-89.3298340,0.752,0.507
15.7393882,-90.7360840,-0.349,0.477
14.7430107,-89.8791504,-0.420,0.473
15.1463690,-91.9665527,-0.279,0.535
