latitude,longitude,rwi,error
15.7393882,-87.1105957,-0.399,0.452
13.0366691,-87.0227051,-0.402,0.471
15.7816814,-87.9455566,0.214,0.540
14.6792536,-88.4948730,-0.191,0.394
15.1887835,-87.9895020,-0.462,0.458
14.7217604,-86.5173340,-0.502,0.513
14.3814760,-88.1433105,-0.419,0.418
14.0833011,-85.8581543,-0.685,0.391
14.1685340,-88.6047363,-0.734,0.406
15.3795428,-86.1437988,-0.440,0.390
14.5304150,-88.0773926,-0.244,0.405
14.2537350,-87.9016113,0.437,0.504
14.1046123,-86.1218262,-0.411,0.401
14.4027591,-88.9782715,-0.318,0.452
13.9340669,-87.1765137,-0.478,0.443
15.0402957,-88.5827637,-0.784,0.411
15.3371669,-85.4187012,-0.568,0.393
15.7393882,-86.8688965,0.545,0.544
14.5516838,-88.7145996,-0.324,0.383
13.2078602,-87.4182129,-0.018,0.510
14.8279911,-85.5944824,-0.520,0.461
15.5066188,-85.9899902,-0.424,0.396
15.7182383,-87.6159668,-0.448,0.471
15.0402957,-87.3083496,-0.810,0.403
15.4219101,-88.1872559,-0.096,0.539
14.8704688,-88.2092285,-0.281,0.463
15.7393882,-87.9016113,0.627,0.494
15.5489602,-87.8576660,0.158,0.484
15.3371669,-88.1872559,0.529,0.527
14.0619878,-86.8029785,-0.666,0.476
13.9340669,-87.6599121,-0.257,0.452
14.4027591,-87.6599121,-0.294,0.480
15.7605359,-85.7043457,0.009,0.430
14.8704688,-86.8469238,-0.494,0.392
15.5489602,-87.7917480,0.449,0.507
14.5942153,-85.5944824,-0.768,0.396
14.8704688,-87.2863770,-0.557,0.396
15.9085080,-85.1110840,-0.247,0.417
15.3583559,-87.9455566,-0.408,0.500
15.2099875,-88.3190918,-0.413,0.370
13.1008797,-87.2424316,0.107,0.492
14.7642589,-86.5832520,-0.101,0.419
15.6970862,-86.6271973,-0.630,0.390
14.0619878,-86.2976074,-0.376,0.480
14.1685340,-86.3635254,-0.245,0.399
14.3601909,-89.1760254,-0.059,0.505
14.6579971,-88.0334473,-0.789,0.431
14.3389038,-85.6823730,-0.333,0.394
14.0619878,-86.4733887,-0.351,0.471
14.3601909,-88.4289551,0.142,0.443
15.2735868,-85.4187012,-0.518,0.394
14.0619878,-87.2424316,0.856,0.539
15.3159757,-88.3850098,-0.618,0.460
15.0402957,-88.6706543,-0.506,0.417
13.2078602,-87.1325684,0.066,0.555
13.1864679,-87.1325684,-0.101,0.558
14.0193555,-86.9567871,0.744,0.496
15.1251586,-84.6276855,-0.359,0.479
14.3601909,-88.4729004,-0.210,0.369
15.4007275,-87.9235840,0.156,0.509
14.7642589,-87.0227051,-0.753,0.503
14.8492310,-88.8684082,-0.358,0.469
15.1675773,-87.3303223,-0.884,0.384
15.5277906,-88.1872559,-0.434,0.442
14.7217604,-86.5393066,-0.265,0.438
14.9766264,-86.8249512,-0.724,0.389
14.8492310,-88.3850098,-0.508,0.522
14.1259215,-88.6486816,-0.175,0.419
14.1472288,-87.0007324,-0.797,0.412
15.2311894,-86.4074707,-0.481,0.378
14.4665962,-89.0881348,-0.021,0.444
14.6154780,-85.7263184,-0.469,0.389
14.2537350,-86.3854980,-0.195,0.396
14.1046123,-85.7043457,-0.555,0.408
13.9127399,-88.2971191,0.010,0.505
15.4854449,-86.1218262,-0.115,0.413
15.4642688,-87.8356934,0.113,0.511
15.1887835,-83.3532715,-0.053,0.401
13.9767151,-86.1877441,-0.385,0.372
15.3159757,-87.7038574,0.904,0.533
14.5729506,-88.1433105,-0.745,0.372
14.0406726,-85.9240723,-0.522,0.400
14.4665962,-88.4069824,-0.341,0.401
14.8492310,-87.2863770,-0.173,0.534
14.4665962,-87.1765137,-0.839,0.489
15.0827314,-87.4621582,-0.634,0.498
14.1046123,-85.9240723,-0.523,0.396
15.7182383,-86.5832520,-0.442,0.405
14.0193555,-86.6052246,0.083,0.529
14.0406726,-87.0666504,0.221,0.473
13.5498812,-87.2424316,-0.464,0.492
14.3176146,-85.9460449,-0.679,0.488
14.9129381,-88.5607910,-0.546,0.383
15.1675773,-88.5827637,-0.331,0.425
14.3601909,-87.6818848,0.281,0.497
13.1864679,-87.0007324,-0.435,0.487
14.2963234,-87.7478027,-0.510,0.443
13.6993616,-87.4841309,-0.117,0.444
14.0619878,-87.0886230,-0.178,0.480
15.5489602,-86.4074707,-0.407,0.451
15.0615146,-88.8903809,-0.576,0.386
14.5942153,-87.4401855,-0.568,0.398
14.8704688,-88.9562988,-0.501,0.400
15.7393882,-85.8361816,0.461,0.523
15.4219101,-83.8146973,-0.428,0.431
14.1685340,-87.3522949,0.678,0.537
14.2537350,-86.2536621,-0.969,0.400
15.7816814,-86.2756348,-0.549,0.412
15.2311894,-86.8688965,-0.054,0.398
13.0794780,-87.2204590,-0.427,0.411
15.5277906,-87.7478027,-0.350,0.465
14.8067491,-86.0998535,-0.613,0.435
14.4453192,-86.6711426,-0.154,0.434
13.6780130,-87.0886230,-0.729,0.438
15.1887835,-88.7365723,-0.564,0.393
14.1472288,-86.0998535,-0.564,0.396
13.8487469,-87.2644043,-0.174,0.490
14.9766264,-85.6604004,0.139,0.479
14.6154780,-89.0002441,-0.169,0.445
15.8028247,-85.9460449,0.215,0.551
16.3728503,-86.4074707,0.560,0.513
14.2750302,-88.9562988,-0.771,0.395
14.7217604,-88.4509277,0.178,0.507
14.9978516,-88.4729004,-0.285,0.398
16.4571585,-85.9240723,-0.171,0.497
14.4665962,-87.1545410,-0.181,0.457
14.1898373,-87.3742676,1.095,0.549
16.4571585,-85.8361816,0.245,0.552
15.7182383,-86.0998535,0.664,0.530
14.4878712,-87.4621582,-0.502,0.410
14.3389038,-87.2204590,-0.264,0.493
15.0402957,-89.1101074,-0.275,0.402
15.3583559,-88.3850098,0.112,0.496
14.4878712,-88.9562988,-0.325,0.482
14.0406726,-86.7810059,-0.479,0.454
15.2947823,-87.6818848,-0.290,0.455
13.9767151,-88.3190918,-0.376,0.486
15.7605359,-87.8356934,0.288,0.535
14.0406726,-87.3742676,-0.659,0.422
15.5912928,-87.7478027,-0.234,0.488
14.9978516,-86.9567871,-0.429,0.400
13.8060751,-87.4841309,-0.291,0.414
15.7393882,-86.9128418,0.514,0.527
14.9553991,-85.8142090,-0.574,0.396
14.2750302,-88.9343262,-0.463,0.383
14.2537350,-86.1877441,-0.709,0.427
15.5066188,-87.9455566,1.098,0.527
14.0833011,-86.8469238,-0.102,0.494
14.8704688,-87.4621582,-0.612,0.416
15.0190747,-86.9348145,-0.780,0.376
13.2292507,-87.1545410,-0.116,0.535
14.5091441,-88.3850098,-0.429,0.382
15.0190747,-88.8684082,0.554,0.500
13.8700799,-87.3962402,-0.344,0.373
15.7182383,-85.8801270,-0.462,0.481
14.0406726,-85.9460449,-0.882,0.403
13.2506393,-87.0446777,-0.328,0.455
14.8067491,-88.5607910,-0.639,0.445
14.8279911,-87.3083496,-0.360,0.478
14.9341696,-87.6159668,-0.581,0.431
14.8917045,-86.4294434,-0.840,0.389
14.3601909,-87.1325684,-0.320,0.438
15.0190747,-85.6164551,-0.472,0.476
14.4878712,-88.8903809,-0.538,0.471
14.8917045,-87.5500488,-0.731,0.419
15.5701276,-86.3195801,0.238,0.500
15.5277906,-87.1325684,-0.692,0.402
15.2523892,-86.8908691,-0.681,0.386
15.5277906,-86.2097168,0.754,0.507
14.7855051,-88.2531738,-0.738,0.449
15.0615146,-85.6604004,-0.174,0.391
15.2947823,-88.6926270,-0.281,0.463
15.0615146,-85.5725098,-0.063,0.487
15.7816814,-87.8356934,0.250,0.525
15.4007275,-88.2092285,-0.139,0.523
14.9341696,-89.0222168,-0.530,0.371
14.6154780,-86.7150879,-0.618,0.462
15.1463690,-87.3962402,-1.013,0.408
14.7430107,-86.5173340,-0.543,0.497
14.8067491,-86.9128418,-0.274,0.478
13.7420528,-86.8029785,-0.361,0.419
15.6124559,-87.9235840,0.814,0.531
15.2947823,-88.5607910,0.162,0.473
14.2111385,-87.3083496,-0.350,0.432
14.5304150,-89.1320801,0.213,0.542
13.9127399,-88.4948730,-0.798,0.475
14.3814760,-88.6706543,-0.648,0.383
14.9766264,-86.6052246,-0.552,0.378
13.8700799,-87.3083496,-0.600,0.418
13.9340669,-87.9455566,-0.466,0.379
13.9127399,-86.4733887,-0.675,0.412
15.6124559,-85.2209473,-0.008,0.400
14.5091441,-88.9343262,0.042,0.502
15.4219101,-86.4514160,-0.755,0.419
15.8451046,-87.8796387,-0.593,0.487
15.1675773,-86.6271973,-0.252,0.377
14.1472288,-88.6047363,-0.512,0.393
14.1685340,-85.9680176,-0.488,0.396
14.7855051,-88.5168457,-0.279,0.394
15.2523892,-88.3410645,-0.320,0.404
15.6759319,-85.5505371,-0.550,0.394
15.8662413,-85.0451660,-0.091,0.397
13.5071552,-87.3083496,0.002,0.431
15.1463690,-88.0554199,-0.566,0.504
15.6124559,-85.9460449,-0.521,0.436
15.0615146,-85.1550293,-0.735,0.388
14.0406726,-86.7150879,-0.327,0.482
14.5516838,-86.1877441,-0.455,0.543
14.0833011,-85.9460449,-0.546,0.399
15.7816814,-85.1330566,-0.578,0.419
14.2324377,-86.8469238,-0.951,0.391
14.5516838,-88.0114746,-0.840,0.425
15.6759319,-87.0227051,-0.263,0.494
13.2934109,-86.8908691,-0.597,0.412
13.3575541,-87.6379395,0.150,0.519
14.5304150,-88.4069824,-0.333,0.411
14.1046123,-87.3742676,-0.333,0.469
14.8067491,-85.9460449,0.316,0.501
16.2885057,-86.5832520,0.517,0.502
14.7005081,-88.5607910,-0.335,0.394
14.3601909,-87.8576660,-0.269,0.413
15.8873757,-86.0119629,0.011,0.538
15.5912928,-85.7043457,-0.493,0.429
14.9553991,-88.9343262,-0.432,0.384
15.1887835,-88.3190918,-0.528,0.402
15.1887835,-85.4846191,-0.794,0.414
14.4240402,-85.9680176,-0.739,0.440
14.5304150,-86.9348145,-0.265,0.438
14.1259215,-86.8249512,-0.818,0.427
15.6759319,-85.7263184,-0.424,0.519
14.9978516,-88.6706543,-0.747,0.391
15.6759319,-85.7702637,-0.426,0.417
15.7816814,-87.6599121,-0.152,0.445
13.9553920,-86.8908691,-0.513,0.430
15.6124559,-87.0666504,-0.491,0.493
13.0366691,-87.0886230,-0.564,0.478
15.1887835,-87.2424316,-0.267,0.474
13.9980363,-87.0227051,0.485,0.518
14.1046123,-85.9899902,-0.065,0.468
13.8700799,-87.6159668,-0.749,0.447
13.9767151,-87.2863770,-0.257,0.426
14.0619878,-88.6267090,-0.288,0.510
15.0190747,-87.9675293,0.504,0.532
14.8067491,-87.3303223,-0.637,0.418
15.1463690,-87.7478027,-0.859,0.397
15.1463690,-87.1984863,-0.221,0.475
14.1898373,-86.1877441,-0.289,0.445
15.7182383,-86.5612793,-0.552,0.402
15.8239658,-85.0891113,-0.341,0.485
14.3601909,-87.9455566,-0.240,0.452
15.5066188,-88.3410645,-0.625,0.385
13.8060751,-87.2424316,-0.319,0.531
14.8492310,-89.0222168,0.140,0.463
14.8067491,-87.0227051,-0.476,0.423
15.0615146,-86.1657715,-0.622,0.407
15.1039461,-87.7038574,-0.469,0.402
14.3176146,-87.1765137,0.613,0.485
13.7633955,-87.4401855,-0.255,0.444
15.1251586,-87.7478027,-0.685,0.396
13.2078602,-87.3742676,1.029,0.577
14.9129381,-87.2644043,1.071,0.544
14.6792536,-88.6486816,-0.301,0.423
14.9341696,-89.0002441,-0.239,0.450
14.3389038,-88.2751465,-0.009,0.427
15.2947823,-87.0666504,-0.548,0.390
15.2735868,-83.8586426,-0.616,0.506
14.7430107,-87.8576660,-0.621,0.422
14.7855051,-87.6379395,-0.777,0.423
15.6547754,-88.0114746,-0.164,0.465
15.0615146,-89.1101074,-0.460,0.393
14.4665962,-86.7810059,-0.665,0.382
14.6792536,-87.1105957,-0.487,0.475
14.8067491,-89.1540527,-0.338,0.523
14.0619878,-85.8801270,-0.716,0.394
13.9127399,-88.0334473,-0.723,0.396
15.2947823,-88.1213379,-0.177,0.473
13.8914108,-86.5393066,0.171,0.547
14.9553991,-89.0881348,-0.466,0.382
14.4027591,-88.7805176,-0.661,0.441
14.0833011,-86.1218262,-0.656,0.432
15.8873757,-85.7922363,-0.366,0.502
15.8239658,-85.9899902,-0.487,0.448
14.1898373,-86.1437988,-0.694,0.433
14.2324377,-87.4621582,-0.346,0.466
14.9978516,-87.1765137,-0.556,0.387
14.5942153,-87.6379395,0.163,0.471
15.2523892,-85.7482910,-0.492,0.461
14.8067491,-87.5939941,-0.480,0.458
14.6154780,-85.7482910,-0.490,0.389
13.5712413,-87.4621582,-0.773,0.411
13.8700799,-87.7038574,0.163,0.448
15.1463690,-88.6486816,-0.182,0.458
14.8704688,-88.2531738,-0.182,0.449
14.9341696,-88.8464355,-0.476,0.462
14.4453192,-87.9455566,-0.149,0.479
14.2750302,-88.6267090,-0.393,0.368
14.9766264,-85.7482910,-0.726,0.422
14.9129381,-87.2863770,-0.466,0.424
13.9553920,-88.2312012,-0.300,0.435
14.3601909,-86.4514160,-0.340,0.409
14.7642589,-88.8024902,0.070,0.480
15.1463690,-87.7697754,-0.678,0.406
14.0193555,-86.4953613,-0.477,0.431
14.4453192,-87.8356934,-0.199,0.434
15.3371669,-87.5939941,0.145,0.513
15.8028247,-85.6164551,-0.536,0.406
15.1039461,-87.1325684,-0.601,0.444
15.5912928,-87.0666504,-0.290,0.457
14.3814760,-86.4953613,-0.504,0.393
