latitude,longitude,rwi,error
-4.7516240,103.9196777,-0.484,0.377
-2.5589632,104.8425293,-0.594,0.426
0.9337965,101.3269043,0.016,0.506
-10.1311167,120.7067871,-0.326,0.475
-0.9997051,100.6018066,-0.846,0.409
-6.7846256,108.4460449,0.372,0.531
-0.8019758,114.1589355,-0.961,0.381
1.2633253,125.0354004,-0.588,0.482
0.3405742,109.8962402,-0.411,0.417
1.3951258,99.1735840,-0.513,0.444
-3.7436712,121.9812012,-0.424,0.419
0.6701507,100.9313965,-0.479,0.420
0.8239462,120.6188965,-0.058,0.463
0.7800052,124.2443848,0.293,0.513
2.6687122,117.6306152,0.100,0.482
-5.3644596,120.1354980,-0.190,0.628
-3.5901776,102.1179199,0.019,0.497
-7.3079846,109.2590332,0.221,0.514
-7.5476555,109.2150879,0.564,0.503
0.8898568,114.6862793,-0.043,0.535
1.9002862,100.4479980,-0.536,0.426
-6.9155204,109.9182129,0.165,0.457
0.0549316,110.8630371,-0.612,0.410
-8.3093413,115.5651855,0.240,0.503
0.3405742,109.7644043,-0.522,0.404
3.5243866,98.6901855,1.346,0.533
-2.9978987,119.5422363,-0.489,0.464
-3.2611771,120.0695801,-0.485,0.539
-7.1117945,110.1159668,-0.309,0.488
-3.0856655,126.8371582,0.249,0.491
-2.0320445,121.3000488,-0.835,0.502
-6.8282612,111.4782715,-0.005,0.438
-8.5049700,118.8610840,-0.155,0.476
-4.2697242,122.3107910,0.631,0.573
-9.8714518,119.8718262,-0.822,0.502
-9.8714518,124.5959473,-0.426,0.437
-2.5150610,115.1257324,-0.229,0.560
3.1514858,99.2175293,0.035,0.490
1.1974226,98.8879395,-0.006,0.458
-2.2735730,132.3303223,-0.714,0.377
-5.4082108,122.6184082,0.604,0.580
-7.8524985,114.2028809,-0.504,0.404
-8.2441099,123.2775879,-0.459,0.415
-2.5150610,139.9328613,-0.499,0.406
-4.7516240,119.8937988,-0.633,0.436
0.6481795,123.0798340,0.164,0.546
1.1315182,99.8767090,-0.507,0.461
-7.3297783,110.1818848,1.105,0.531
-4.0286586,105.2600098,0.052,0.515
-2.7126091,104.2053223,-0.159,0.395
-1.8783255,110.7312012,-0.888,0.374
-8.6136097,120.1135254,-0.828,0.451
-8.2223637,111.2585449,-0.438,0.482
-1.1534865,114.9060059,-0.276,0.454
0.2526847,110.6213379,-0.379,0.514
-0.2746571,110.6652832,-0.932,0.349
-1.9222467,121.1462402,-0.414,0.428
-6.7191648,111.3024902,-0.137,0.493
0.2087398,103.3923340,-0.375,0.458
-6.9373327,109.1052246,0.445,0.497
-3.4805234,102.0959473,-0.326,0.484
-1.9881263,119.3884277,-0.749,0.419
-3.6559638,103.8317871,-0.348,0.430
-4.3573658,104.3151855,0.122,0.495
-4.3135463,120.0476074,-0.516,0.562
-7.7001044,107.8527832,0.082,0.484
-4.9486696,122.4206543,0.287,0.591
-9.5249141,118.9270020,-0.748,0.421
-6.7846256,106.0070801,0.725,0.542
-8.0483515,110.7092285,0.125,0.525
4.7735207,96.9104004,-0.267,0.512
-7.5258726,108.7976074,-0.157,0.566
-7.5258726,109.0173340,-0.413,0.517
-1.1974226,119.6081543,-0.591,0.413
0.3405742,127.7380371,0.346,0.535
-2.3394375,103.5681152,-1.120,0.379
2.2735730,98.9538574,0.320,0.511
-6.9155204,113.0822754,0.076,0.518
-8.3310827,116.6857910,0.095,0.532
-8.0265947,113.8732910,-0.216,0.478
0.4284628,101.4147949,0.897,0.521
-3.8094460,114.8620605,-0.096,0.472
-2.3833455,101.8322754,-0.678,0.370
-3.3927908,119.9597168,0.046,0.457
0.9777357,102.7770996,-0.292,0.440
-8.1571180,128.0236816,0.257,0.387
-2.2735730,111.2365723,-0.152,0.482
-3.1734250,105.1281738,-0.569,0.507
-4.2478122,121.9592285,-0.715,0.505
-7.2643942,110.9729004,-0.505,0.490
-3.8094460,119.6960449,0.875,0.562
0.6042368,103.2604980,-1.068,0.377
-7.4605176,109.5886230,0.298,0.510
-2.1418349,102.4475098,-0.513,0.495
-3.5901776,104.2712402,0.016,0.500
0.5602938,112.5549316,-0.162,0.417
0.2526847,100.9753418,-0.763,0.390
-7.5258726,110.9729004,0.349,0.520
-4.0505767,105.4797363,-0.172,0.412
-7.8524985,113.4338379,0.483,0.535
-2.6248138,104.1833496,-0.373,0.428
-3.1295462,103.7219238,-0.654,0.504
-3.3927908,138.8781738,-0.635,0.318
-3.2173020,128.9685059,-0.497,0.504
-8.4832384,115.2795410,1.017,0.508
2.6906608,99.4372559,-0.111,0.520
-3.6778914,119.8278809,-0.682,0.463
-6.5663889,111.0388184,1.141,0.527
-7.6129974,109.6984863,0.521,0.517
5.2331870,96.7565918,0.630,0.535
0.2966295,111.8957520,-0.665,0.369
-5.7362428,134.2639160,-1.132,0.380
5.2988268,95.2185059,-0.182,0.416
-3.3050503,105.8312988,-0.339,0.410
0.5822654,122.6843262,-0.806,0.420
4.0505767,117.6086426,-0.726,0.503
-8.2658549,114.1589355,-0.556,0.483
0.2307123,109.8303223,-0.315,0.397
-6.5227299,139.3395996,-0.176,0.348
-2.1637921,110.6652832,0.117,0.485
-0.3405742,101.3928223,-0.863,0.495
-2.5150610,105.2160645,-0.523,0.420
-3.0417830,119.8278809,0.298,0.575
-1.5049538,110.5554199,-0.479,0.473
-1.7904800,119.5202637,-0.722,0.423
1.5928123,100.1843262,-0.567,0.447
-1.2852926,110.0280762,-0.398,0.480
-4.1163273,102.5793457,-0.585,0.439
-6.6318701,110.7751465,0.507,0.529
-8.5484296,120.2673340,-0.136,0.480
2.2516175,100.0305176,-0.569,0.439
-3.8971380,121.7395020,-0.563,0.450
0.7360637,117.7185059,-0.497,0.457
-6.8937071,110.9509277,-0.175,0.496
-6.6973426,108.1384277,0.285,0.469
-6.7628064,107.0617676,0.695,0.509
-8.6136097,117.5866699,0.408,0.569
-5.4300853,139.3615723,-0.701,0.323
-3.3489215,127.5842285,-0.396,0.409
-8.7004990,121.2561035,-0.439,0.466
-1.7245930,123.3654785,-0.138,0.425
-0.4724067,110.0061035,-0.620,0.349
-7.7654229,109.6545410,0.576,0.525
-8.5484296,120.4431152,-0.469,0.541
4.3573658,95.9655762,-0.236,0.427
-8.3093413,113.4997559,0.538,0.516
-2.2955282,136.7248535,-0.955,0.323
-2.5370123,121.3659668,0.579,0.512
-2.2296616,121.3220215,-0.311,0.545
-4.6859294,120.3991699,-0.376,0.480
4.2258996,117.3669434,-0.548,0.519
-3.9629009,103.4802246,-0.421,0.451
-7.8307313,138.1750488,-0.544,0.327
-6.8064439,107.1276855,1.211,0.474
-5.2550677,104.6887207,0.129,0.467
