latitude,longitude,rwi,error
32.1104954,35.8044434,0.602,0.548
31.7001291,35.5847168,0.454,0.555
31.4005349,35.7165527,-0.189,0.498
31.9428395,35.8483887,1.432,0.487
32.1849106,36.3317871,0.464,0.549
30.3254708,35.4968262,0.725,0.549
32.0173911,35.8703613,1.051,0.499
32.3149908,36.0900879,0.121,0.532
29.7548395,35.8923340,-0.381,0.440
31.1376028,35.7604980,0.227,0.548
32.3335585,36.5515137,-0.063,0.522
31.8308986,35.8044434,0.218,0.537
30.5149486,35.6286621,0.016,0.457
32.3706824,36.4416504,-0.195,0.471
32.3335585,36.0241699,0.003,0.535
31.9428395,35.8703613,1.193,0.500
32.0360196,35.8264160,1.308,0.482
32.3149908,36.1120605,-0.173,0.539
32.0918821,35.9582520,0.994,0.513
31.9055410,36.1120605,0.133,0.498
31.0435212,35.4968262,0.818,0.607
31.8682273,35.9582520,0.492,0.544
32.0173911,35.5627441,-0.113,0.488
32.5745912,36.0461426,0.171,0.523
31.1376028,35.5187988,0.376,0.552
31.6066092,35.8483887,-0.165,0.515
32.0732651,35.5847168,-0.350,0.558
32.3706824,36.4636230,-0.135,0.512
32.3149908,36.1779785,0.367,0.560
32.1104954,36.0900879,0.512,0.540
31.8122286,35.6506348,0.503,0.530
31.8308986,36.7492676,-0.298,0.558
32.3149908,35.8264160,0.720,0.560
32.4634255,36.2658691,-0.183,0.501
32.2220954,36.1779785,-0.302,0.524
31.1187939,35.5187988,0.484,0.510
29.4491644,35.0354004,0.089,0.538
31.8308986,36.9250488,-0.650,0.445
32.4077911,35.7604980,0.558,0.551
31.8495649,35.6945801,0.428,0.491
32.0360196,36.4636230,-0.399,0.554
32.5375513,35.6066895,1.205,0.581
32.0732651,35.7824707,0.369,0.536
32.4634255,36.0021973,0.211,0.497
31.8308986,35.9143066,0.516,0.511
32.2778440,35.5627441,0.018,0.400
32.1663125,35.9802246,-0.046,0.514
32.1477106,35.6286621,-0.354,0.542
32.3706824,35.9143066,0.458,0.494
32.2406821,35.7604980,-0.075,0.498
31.2315912,35.6726074,-0.329,0.503
31.5691750,35.8044434,0.372,0.544
31.1564079,35.6726074,0.221,0.528
31.9428395,35.7385254,0.411,0.521
31.5317257,35.6506348,-0.210,0.513
32.4819627,35.8483887,0.438,0.547
32.5190256,35.5627441,-0.207,0.418
32.2220954,35.8483887,0.517,0.527
31.5317257,37.0568848,0.290,0.511
31.5878940,35.8264160,0.232,0.551
32.1477106,36.1999512,-0.034,0.472
31.4942613,35.9802246,-0.477,0.492
32.4077911,35.8483887,0.206,0.509
32.1291049,36.0021973,-0.280,0.500
32.4263397,36.0681152,0.409,0.551
32.2964193,35.6945801,1.189,0.590
31.5129954,35.6945801,-0.087,0.463
30.0025165,35.4968262,0.651,0.502
32.2964193,36.1560059,0.018,0.533
32.1849106,36.3757324,-0.167,0.473
31.8868861,36.0900879,-0.413,0.515
32.2778440,36.4196777,0.253,0.541
32.5560732,35.9802246,0.499,0.546
32.0918821,36.1779785,0.551,0.509
32.3149908,36.7053223,-0.082,0.462
30.1736241,35.7385254,-0.417,0.557
29.8311133,35.9362793,-0.380,0.440
32.0732651,36.4416504,-0.552,0.473
31.0246937,35.4748535,0.376,0.597
32.2778440,36.7712402,0.118,0.488
32.4077911,36.2658691,0.006,0.500
31.0435212,35.4748535,0.362,0.542
31.9055410,36.5734863,1.349,0.541
30.9116505,35.4748535,-0.723,0.481
32.2406821,36.5734863,0.266,0.502
30.7984737,35.3430176,-0.395,0.453
30.9870275,35.4748535,-0.403,0.491
29.4682962,35.0354004,0.008,0.526
30.8927970,35.6506348,0.000,0.515
32.5375513,35.7165527,0.684,0.565
32.5745912,35.8923340,0.727,0.468
32.5745912,35.6066895,0.147,0.541
30.1926178,35.7824707,-0.062,0.487
32.6301225,35.6506348,-0.117,0.491
32.6116159,36.0021973,-0.323,0.488
32.1849106,35.6286621,0.772,0.584
32.0732651,35.7385254,0.162,0.524
31.7375107,35.9582520,0.069,0.539
32.2220954,35.7165527,0.323,0.554
29.3726011,34.9914551,0.125,0.513
31.8682273,35.6286621,1.004,0.598
32.1291049,36.9030762,0.258,0.495
