latitude,longitude,rwi,error
49.9724218,56.3488770,-0.580,0.224
53.0346066,70.2136230,0.147,0.274
43.3171844,77.0251465,0.024,0.390
47.8500303,59.6447754,-0.393,0.313
45.8211429,62.0617676,0.117,0.403
51.2825342,70.8947754,-0.319,0.252
52.4760885,72.0373535,-0.105,0.317
50.2682762,66.8737793,0.129,0.381
52.2076062,77.0251465,0.072,0.330
48.0854181,70.9826660,-0.345,0.270
48.0266717,70.8068848,-0.436,0.300
51.6248369,73.1579590,0.856,0.329
43.5405843,77.7722168,-0.194,0.341
43.3491491,52.8991699,0.752,0.436
49.8167203,82.6501465,-0.493,0.322
48.4073256,75.3771973,-0.578,0.265
48.9297171,47.0324707,0.117,0.276
49.0306647,80.0573730,-0.093,0.371
44.1270275,66.7419434,-0.445,0.379
51.9103902,66.2145996,0.349,0.376
51.6111941,69.8620605,-0.091,0.296
50.6459768,56.6784668,0.282,0.296
43.4608933,77.0251465,0.630,0.398
43.2211892,76.2780762,-0.106,0.387
48.6837070,74.1906738,-0.223,0.263
53.3243110,69.3786621,0.276,0.372
43.3331689,77.0031738,0.948,0.427
54.8449894,69.1149902,0.637,0.364
41.6975254,69.5324707,-0.245,0.292
40.9716030,68.3679199,-0.523,0.285
43.5565098,75.2893066,-0.634,0.347
49.9441498,82.6501465,0.630,0.382
52.6097189,69.3127441,-0.643,0.249
49.3036352,84.7375488,-0.491,0.253
45.0812781,64.1052246,-0.492,0.303
40.9384144,68.2360840,-0.691,0.284
45.2052629,62.8088379,-0.546,0.269
45.0191845,78.0139160,0.189,0.405
51.5565817,71.8835449,-0.423,0.245
40.9881910,68.3459473,-0.241,0.281
43.2852028,73.4875488,-0.447,0.396
49.5038090,83.6828613,-0.203,0.248
51.5702409,52.4597168,-0.306,0.227
45.8211429,81.7053223,-0.736,0.273
54.1945829,68.0163574,-0.515,0.265
49.9300076,73.2019043,-0.342,0.348
52.2210690,64.4128418,-0.207,0.201
51.1035214,66.3464355,-0.328,0.248
43.3970647,73.8610840,-0.549,0.285
51.4608519,75.8166504,-0.096,0.414
51.2137654,71.1145020,0.821,0.379
52.9420173,70.2136230,0.614,0.404
52.6097189,62.6110840,-0.483,0.206
44.1270275,52.1301270,-0.115,0.409
46.5513050,53.2727051,-0.002,0.386
51.0897224,71.2243652,0.473,0.363
52.5162204,76.6076660,-0.295,0.217
43.3331689,77.2009277,0.337,0.409
43.3171844,76.5197754,1.065,0.325
50.9515056,79.3981934,0.712,0.344
49.1601541,47.4938965,-0.249,0.263
42.9162059,70.0378418,0.278,0.350
52.4760885,77.1789551,-0.310,0.250
49.8875560,73.0041504,0.039,0.390
50.4505085,58.0187988,-0.369,0.234
51.9781130,75.2673340,-0.195,0.244
49.9300076,81.8811035,-0.188,0.370
43.4289874,74.6081543,-0.364,0.273
50.9515056,73.8610840,-0.252,0.262
41.3355755,68.6975098,-0.513,0.363
53.2323445,62.6770020,0.151,0.235
48.9441507,53.5583496,0.223,0.353
54.4764211,68.6975098,-0.314,0.256
50.0430292,53.5144043,0.393,0.272
43.0929602,70.8947754,0.184,0.374
42.8195802,69.7302246,-0.732,0.277
47.7319340,71.5979004,-0.360,0.268
53.6250950,71.8395996,-0.035,0.304
44.9259178,78.5412598,-0.348,0.281
43.1571083,76.6076660,0.636,0.393
50.5343799,81.3977051,-0.077,0.273
50.4225183,80.2331543,1.539,0.379
54.0916168,65.4016113,-0.852,0.202
42.8518056,71.4221191,0.863,0.438
49.0594693,51.9543457,-0.179,0.341
49.5323387,75.8825684,-0.151,0.280
51.1999993,51.3830566,1.792,0.338
49.6178278,63.4899902,0.118,0.344
51.1173163,49.9987793,-0.687,0.225
43.1090035,70.9387207,-0.573,0.281
43.5087205,77.6843262,0.641,0.421
50.2542294,81.6174316,-0.471,0.290
53.2717830,66.7419434,-0.077,0.264
50.0430292,80.6945801,-0.177,0.361
48.9730054,68.7854004,-0.087,0.403
47.7171530,84.2102051,0.359,0.398
42.3828935,69.7961426,-0.258,0.350
51.3923504,53.4924316,0.076,0.222
46.6268059,62.7209473,-0.326,0.272
49.4752627,83.8146973,-0.322,0.256
49.7457808,71.7297363,-0.149,0.317
51.4745399,51.0534668,-0.428,0.217
42.3991216,69.2687988,-0.095,0.376
53.1401801,63.5119629,-0.549,0.240
44.3474217,51.3391113,-0.032,0.426
47.7171530,51.5808105,-0.031,0.398
49.8025407,76.3879395,-0.421,0.333
42.4964024,70.2136230,-0.338,0.491
49.9300076,60.1281738,-0.022,0.290
50.0853439,73.6413574,-0.013,0.304
40.7888594,68.4338379,-0.309,0.284
43.8107468,73.6633301,-0.359,0.235
53.2586409,69.4885254,0.156,0.276
50.0289160,82.5622559,0.760,0.387
47.5097798,83.8146973,0.040,0.253
50.1980005,57.2277832,0.366,0.322
51.1999993,71.5100098,0.037,0.394
44.6452077,77.9699707,-0.501,0.314
51.8289879,75.2014160,-0.631,0.260
45.9740599,61.0510254,-0.232,0.382
43.7155342,51.1633301,0.373,0.354
42.0574497,69.9279785,-0.433,0.277
48.0707377,75.3552246,-0.689,0.265
44.7857334,65.4675293,0.457,0.387
43.0929602,71.3122559,-0.413,0.313
43.6201701,77.1350098,-0.383,0.349
43.5724312,68.4997559,-0.666,0.296
45.7445265,62.8747559,0.000,0.381
46.2786307,78.3215332,0.009,0.290
50.3945116,57.4035645,0.139,0.350
41.6647045,69.3786621,0.278,0.412
44.6920875,64.7204590,-0.290,0.286
52.2479825,76.9372559,0.261,0.421
43.3171844,52.8771973,-0.120,0.357
42.3179389,69.7521973,0.556,0.367
46.9427616,53.1408691,-0.034,0.394
43.5565098,51.3391113,-0.719,0.361
47.6135692,85.1770020,0.638,0.347
42.2854365,70.3454590,-0.135,0.315
46.5059539,48.9660645,0.124,0.378
45.1122996,79.0246582,-0.474,0.318
49.9017107,73.2678223,-0.090,0.373
51.2137654,51.5148926,-0.367,0.302
49.0018434,83.3752441,-0.158,0.372
48.0560532,68.5437012,-0.179,0.282
42.9644620,72.1472168,0.086,0.417
54.0529385,67.5988770,-0.850,0.236
53.2717830,68.1262207,-0.295,0.291
54.8829265,69.1809082,0.820,0.345
49.0882573,56.6125488,-0.143,0.279
47.0476681,51.8444824,-0.231,0.384
46.9727559,53.9318848,-0.646,0.349
49.7173759,84.5837402,-0.416,0.237
53.1401801,69.3566895,0.100,0.267
49.9441498,73.2678223,-0.162,0.350
48.4656366,70.2136230,-0.184,0.294
50.7989909,71.3562012,-0.548,0.253
50.2261232,73.3776855,-0.064,0.343
45.4370078,79.8815918,-0.244,0.443
52.8094023,66.9396973,0.172,0.334
50.8961034,79.4860840,-0.145,0.423
44.3474217,66.1926270,0.102,0.359
52.4493136,64.3908691,-0.260,0.203
44.3159874,66.4782715,0.273,0.392
44.3474217,80.0134277,-0.009,0.267
46.3999876,65.7092285,-0.058,0.377
44.8792276,65.5554199,0.231,0.356
53.2980551,69.2907715,-0.079,0.287
44.7701363,65.5334473,0.566,0.400
42.4639923,69.9719238,-0.661,0.307
48.3635484,69.9938965,0.358,0.402
44.8480797,78.2775879,-0.073,0.387
49.1745210,85.8801270,-0.572,0.234
43.5087205,78.4094238,-0.481,0.332
41.4674278,69.4006348,0.065,0.427
42.6743581,70.9387207,-0.163,0.457
43.3810971,77.0251465,-0.224,0.433
45.8211429,81.1120605,0.000,0.267
42.1063732,69.8620605,-0.585,0.447
55.3228937,68.7634277,-0.546,0.199
50.7989909,57.4914551,-0.383,0.342
42.8034612,69.2687988,-0.509,0.302
50.4644974,80.2551270,-0.730,0.308
50.4784822,79.7277832,0.166,0.334
51.6929897,74.5642090,-0.022,0.353
46.6117141,49.0539551,0.444,0.404
49.2319468,50.3063965,0.097,0.324
47.1075223,51.8884277,0.911,0.413
51.4060589,71.8615723,-0.454,0.247
51.4608519,71.7956543,0.153,0.250
43.7790261,79.3981934,0.089,0.411
43.3810971,79.7058105,-0.218,0.304
51.1035214,71.4660645,1.066,0.428
42.9483809,72.0153809,-0.038,0.305
52.2479825,78.6511230,-0.127,0.297
53.6902009,64.1052246,-0.358,0.202
49.6035900,82.0788574,-0.618,0.253
47.5394549,81.0461426,-0.570,0.261
50.0006772,82.8259277,0.142,0.424
50.3103919,57.1398926,1.595,0.344
52.1267433,74.4543457,-0.003,0.207
50.2963575,58.5021973,-0.152,0.336
50.3805020,80.6506348,-0.457,0.252
53.2060320,67.6428223,-0.095,0.202
48.8719410,48.5266113,0.412,0.403
51.2275274,71.2463379,0.563,0.369
52.3688912,76.9592285,-0.578,0.271
43.3011957,74.7180176,-0.551,0.271
43.3810971,68.4777832,-0.561,0.310
43.4608933,77.3327637,0.147,0.375
51.0206655,70.9167480,-0.007,0.274
49.7457808,72.8942871,-0.403,0.385
43.7155342,77.0910645,0.114,0.398
48.5820579,83.7927246,0.239,0.297
48.2173524,59.7766113,-0.716,0.202
43.1731348,70.4113770,-0.506,0.388
49.8450671,73.0480957,0.463,0.366
43.4289874,79.8156738,0.396,0.325
42.5611723,69.1369629,-0.442,0.353
50.1557854,82.0349121,-0.007,0.346
43.3011957,68.3239746,1.185,0.415
48.7706719,62.2814941,-0.570,0.233
41.4180145,68.8073730,-0.226,0.275
43.0287447,71.2243652,-0.603,0.301
47.1075223,81.5515137,-0.007,0.291
43.7631594,68.2360840,-0.576,0.284
42.4477809,69.7521973,0.000,0.343
51.3100129,51.4929199,0.319,0.328
41.6318669,68.6755371,-0.338,0.274
48.0707377,67.0715332,-0.198,0.361
48.1000942,85.5944824,-0.526,0.241
43.4927823,77.5524902,-0.146,0.386
42.8034612,68.9611816,-0.264,0.327
47.1523687,81.6174316,0.241,0.337
