latitude,longitude,rwi,error
42.3666611,77.9040527,0.091,0.298
40.9218139,73.8171387,-0.482,0.228
42.4639923,71.9934082,0.315,0.335
40.9550108,72.8283691,0.038,0.311
41.5332536,72.1911621,0.001,0.236
42.6743581,71.9055176,-0.434,0.241
40.9052092,72.9821777,0.358,0.364
41.6318669,73.3117676,0.182,0.443
40.6222913,73.4655762,0.326,0.327
39.5802898,72.3889160,-0.073,0.291
42.3016898,75.4650879,-0.059,0.285
39.8169746,69.4226074,-0.364,0.242
41.2199853,72.6745605,-0.493,0.238
42.1389679,77.2009277,0.301,0.358
42.4477809,78.1677246,-0.049,0.275
40.6056115,72.7624512,0.550,0.379
42.5935321,71.6857910,0.133,0.294
40.0192008,70.8288574,0.245,0.336
40.5054458,72.5207520,0.821,0.389
42.0084885,74.5861816,0.428,0.265
42.7228032,73.8830566,0.055,0.328
39.9181623,69.5983887,-0.418,0.298
41.5825791,72.0153809,-0.196,0.240
39.5294660,72.9382324,-0.220,0.239
42.7550790,75.6408691,-0.260,0.292
41.5661414,71.6198730,-0.325,0.241
39.5464114,72.1911621,0.183,0.386
42.8034612,74.3664551,0.927,0.356
42.8840141,74.3225098,0.207,0.326
42.7228032,74.5422363,0.757,0.362
41.2199853,71.0266113,-0.122,0.230
40.8719872,73.7512207,0.076,0.245
41.7303295,71.0046387,-0.183,0.273
40.4720239,72.5427246,-0.214,0.297
42.7389432,75.5969238,0.669,0.420
40.6389668,72.9602051,0.266,0.317
42.7389432,78.4313965,-0.227,0.284
42.5449861,71.6418457,0.100,0.328
42.0900695,76.5197754,-0.759,0.256
40.4051302,73.6633301,-0.576,0.253
41.7958876,71.1145020,-0.176,0.231
41.6318669,71.9055176,-0.175,0.271
40.6723055,73.0261230,0.026,0.340
41.8613786,73.0920410,0.322,0.273
42.1226726,73.9489746,-0.609,0.260
43.1090035,74.5202637,0.086,0.325
42.4639923,72.3449707,0.221,0.287
42.4477809,78.2995605,-0.013,0.389
42.6420403,78.8928223,0.157,0.249
41.1703840,72.4108887,-0.329,0.290
41.0545014,72.8063965,0.460,0.335
41.0213546,72.8723145,-0.563,0.288
40.6723055,72.9382324,0.692,0.335
42.8034612,73.6633301,-0.228,0.378
41.4344898,72.1911621,-0.508,0.264
39.8675871,70.5212402,0.349,0.241
42.1226726,77.0031738,0.653,0.422
42.3179389,76.3439941,-0.062,0.284
40.7389327,73.2458496,0.728,0.367
40.5555474,72.7404785,0.119,0.370
39.8507204,71.1364746,-0.779,0.249
41.9758267,74.5861816,-0.018,0.349
42.8518056,74.8278809,0.160,0.299
