latitude,longitude,rwi,error
12.9296144,105.1721191,0.507,0.514
11.1245072,104.4909668,-0.561,0.562
11.2322862,104.5129395,-0.655,0.498
12.0285754,104.4470215,-0.214,0.501
11.2538371,105.5895996,-0.176,0.586
12.6081759,106.3366699,-0.900,0.458
13.0366691,105.2380371,-0.319,0.483
13.9980363,103.2385254,-0.352,0.485
12.7368003,104.2712402,-0.275,0.489
14.0619878,104.3371582,-0.368,0.544
12.9938527,106.3586426,-0.319,0.601
13.1222796,102.4475098,-0.400,0.555
14.3389038,104.6667480,-0.286,0.504
11.0166883,104.6228027,0.183,0.507
11.8135879,104.5568848,-0.212,0.611
13.2078602,102.5573730,0.172,0.497
13.0152618,104.3151855,-0.376,0.460
11.8565990,104.0075684,-0.711,0.449
12.2863336,105.1062012,-0.380,0.550
14.1898373,106.4245605,-0.772,0.493
12.9296144,104.7106934,-0.121,0.483
11.3184804,104.8864746,-0.666,0.675
11.4261866,105.2380371,0.256,0.506
12.6081759,106.1169434,-0.338,0.487
13.4430519,103.8317871,0.200,0.511
12.9724418,104.9304199,-0.998,0.520
12.4580325,104.2492676,-1.083,0.541
11.1029466,105.4577637,-0.181,0.478
13.7207082,103.8537598,-0.568,0.535
10.7577626,104.6008301,-0.170,0.478
13.7633955,106.9738770,0.483,0.481
12.2863336,105.7653809,-0.161,0.499
12.3507339,105.4357910,-0.461,0.638
13.2078602,102.6892090,-0.556,0.480
14.0833011,103.3703613,-1.052,0.485
11.3831090,104.2492676,-1.020,0.600
13.1222796,104.1174316,-0.267,0.580
12.7153674,102.7551270,-0.310,0.493
12.5438394,105.3259277,-0.321,0.475
12.3936586,104.0075684,-0.748,0.446
12.0070844,106.5783691,-0.564,0.443
13.8274120,103.4582520,-0.407,0.486
11.2753865,103.1066895,-0.307,0.489
11.9426009,106.2048340,-0.284,0.475
11.0813844,105.6994629,-0.006,0.564
11.0598206,105.6115723,-0.262,0.486
14.2111385,104.1833496,-0.444,0.475
12.5223904,105.9191895,-0.511,0.479
13.6566625,104.7766113,-0.465,0.513
12.0070844,105.0842285,0.258,0.534
13.2078602,102.7551270,-0.314,0.506
13.3147939,104.1394043,0.442,0.519
