latitude,longitude,rwi,error
15.8028247,106.2707520,-0.485,0.416
20.1487843,103.7438965,-0.334,0.319
17.5916666,104.6887207,1.164,0.420
17.0882909,105.7873535,-0.359,0.349
19.5287298,102.8869629,0.185,0.442
20.1075229,102.4694824,0.052,0.386
18.1354112,103.0407715,0.329,0.427
20.3343253,103.0627441,-0.968,0.346
17.3191761,104.8205566,-0.141,0.447
14.7855051,105.8972168,-0.773,0.394
20.9101341,102.0520020,-0.700,0.422
14.7217604,106.6223145,-0.638,0.352
19.9836736,101.3269043,-0.784,0.369
20.3549272,101.0632324,-0.372,0.350
16.7940233,105.0402832,-0.434,0.414
15.5701276,107.2595215,-0.675,0.336
17.3401514,105.2819824,-0.405,0.432
16.3939308,106.8420410,-0.114,0.464
20.3137206,104.5129395,-0.485,0.404
16.0774856,106.5783691,-0.352,0.380
15.7605359,106.3146973,-0.428,0.435
18.3440975,102.6452637,0.252,0.417
19.4665919,102.5134277,-0.254,0.422
19.6322399,103.6999512,-0.889,0.394
17.0672871,105.9191895,-0.250,0.414
20.4373076,100.3601074,-0.534,0.449
17.7800738,101.1950684,-0.551,0.400
19.7563639,104.2272949,-0.818,0.465
20.5402210,102.4035645,-0.478,0.379
17.5497715,105.6774902,-0.813,0.356
14.8917045,105.9631348,-0.629,0.412
18.2815179,103.1726074,0.215,0.422
20.5607954,100.6237793,-0.601,0.371
16.3095952,104.9963379,-0.381,0.381
14.6367386,106.6003418,-0.595,0.370
16.8150577,105.3918457,-0.849,0.388
21.7697025,102.4475098,-0.342,0.509
19.9010533,101.3928223,-0.580,0.327
18.3440975,102.4694824,-0.285,0.425
15.1039461,105.5236816,-0.517,0.448
22.2992611,101.8542480,-0.862,0.336
15.5912928,106.1828613,-0.546,0.355
16.2463197,105.9851074,-0.808,0.427
16.6888167,106.1169434,-0.222,0.454
19.4458740,102.8210449,-0.571,0.353
15.0827314,105.8532715,0.578,0.421
15.7605359,106.0729980,-0.473,0.426
19.1555462,101.5026855,-0.471,0.332
20.0662507,103.3483887,-0.373,0.377
16.5203656,106.1169434,-0.730,0.343
21.3610128,102.1398926,-0.524,0.372
15.1887835,106.1608887,0.040,0.417
16.2252233,105.2380371,-0.086,0.418
20.9922139,102.7990723,-0.684,0.348
20.4373076,102.9528809,-0.583,0.394
18.1354112,102.2937012,-0.752,0.403
16.1830238,105.8093262,-0.419,0.402
15.3795428,107.3034668,-0.349,0.359
16.6467178,105.3698730,-0.772,0.374
15.4642688,106.5563965,-0.535,0.413
16.3939308,105.3259277,0.006,0.452
17.4030627,105.1940918,0.385,0.430
21.5655017,102.2277832,-0.695,0.366
14.8917045,106.9079590,-0.326,0.423
21.4632931,102.4914551,-0.606,0.361
18.4275017,101.5026855,0.558,0.442
20.9511796,100.9973145,-0.249,0.372
15.5701276,106.2268066,0.007,0.417
21.1357449,102.4914551,0.269,0.412
18.1562911,102.2277832,-0.289,0.441
16.3517676,105.6994629,-0.723,0.360
20.4784813,103.3264160,-0.433,0.321
14.5942153,106.8420410,-0.473,0.520
20.7252905,103.4143066,-0.002,0.447
19.1140289,102.5134277,-0.475,0.382
20.2518900,101.0192871,-0.355,0.349
17.1722825,105.4577637,-0.445,0.448
19.4873072,103.1726074,-0.036,0.399
18.7815164,102.4914551,0.102,0.424
18.7815164,102.5134277,0.815,0.439
20.1900348,103.8317871,-0.423,0.381
14.7217604,106.7321777,-0.956,0.389
21.7084727,102.1398926,0.328,0.402
21.2177003,101.8981934,-0.383,0.356
20.1900348,100.7336426,-0.556,0.443
20.5196439,100.6896973,-1.088,0.362
19.6529339,101.8103027,-0.391,0.376
21.2177003,102.1179199,0.111,0.462
15.5277906,105.7214355,-0.625,0.385
17.1302914,105.2160645,-0.055,0.365
17.8009957,104.6887207,-0.657,0.324
20.4578958,102.5573730,-0.527,0.347
18.5317000,103.8757324,0.018,0.396
15.2947823,106.2048340,-0.465,0.503
16.1830238,106.7102051,-0.516,0.520
19.1970531,103.6779785,-0.541,0.399
16.8991717,106.4685059,-0.519,0.324
17.5288204,105.1281738,-0.288,0.431
20.4990639,102.3156738,-0.261,0.371
18.3023803,102.3815918,-0.651,0.376
20.2931131,102.4255371,-0.027,0.405
16.7729866,104.7546387,-0.231,0.354
15.6124559,106.0729980,-0.224,0.327
15.6970862,105.9191895,-0.247,0.427
19.7770419,102.2497559,-0.677,0.524
15.5912928,105.7873535,-0.316,0.434
17.9682826,101.2170410,-0.184,0.449
15.9930146,106.9519043,-0.583,0.353
15.5066188,106.2268066,-0.506,0.441
19.4458740,102.6013184,-0.561,0.338
20.2518900,102.3596191,-0.047,0.414
21.1972157,100.7775879,-0.868,0.371
19.6529339,101.7663574,-0.464,0.362
17.9891824,101.1950684,-0.438,0.470
19.5287298,102.4035645,-0.567,0.390
18.1980434,104.5568848,-0.213,0.439
18.1771685,103.0187988,-0.854,0.471
15.5066188,105.8972168,0.057,0.343
18.6150130,104.2932129,-0.378,0.322
20.2106559,100.5578613,0.350,0.479
18.4066544,103.1945801,-0.568,0.453
20.4990639,102.5793457,-0.782,0.338
19.7356832,101.0632324,-0.434,0.366
16.2885057,105.5236816,-0.752,0.384
16.2463197,105.3698730,-0.558,0.389
17.9891824,104.2272949,0.052,0.454
18.7399059,103.5900879,0.147,0.450
16.8991717,104.8205566,-0.692,0.398
19.0725011,103.3483887,-0.352,0.391
16.4992989,105.2380371,0.028,0.454
20.6636257,103.8317871,-0.485,0.332
16.4571585,106.1389160,-0.259,0.475
16.4571585,105.5676270,-0.345,0.357
18.6150130,104.3591309,-0.671,0.581
20.7458399,102.4035645,-0.745,0.327
21.3405481,102.2717285,-0.120,0.381
16.0563712,105.3479004,-0.757,0.388
21.2586610,102.3815918,-0.582,0.346
20.1281550,102.2717285,-0.426,0.389
20.7869302,102.0520020,-0.734,0.440
19.2385495,103.5461426,-0.184,0.446
21.2177003,101.1730957,-0.706,0.450
19.0101900,103.9855957,-0.533,0.334
15.0615146,106.4245605,-0.750,0.370
19.6115432,101.3049316,-0.731,0.466
20.8074712,104.0075684,0.289,0.438
16.8781467,105.9411621,-0.523,0.533
16.8781467,105.3698730,-0.382,0.487
15.7816814,106.2268066,-0.772,0.365
19.9836736,102.7990723,-0.431,0.338
19.8390597,102.0959473,-0.539,0.420
19.3422447,103.3044434,-0.643,0.380
16.3095952,105.1501465,-0.792,0.400
17.9055685,105.4138184,-0.418,0.323
17.7382226,105.1281738,-0.272,0.404
14.8704688,106.7541504,-0.437,0.427
20.0868882,104.9304199,-0.339,0.414
14.0619878,105.9851074,-0.182,0.459
19.9217124,102.0520020,-0.675,0.392
19.0725011,102.0739746,-0.371,0.415
16.2463197,105.0402832,-0.673,0.401
16.8781467,106.5124512,-0.349,0.357
18.7190968,104.1833496,-0.033,0.464
16.4150090,106.8859863,-0.589,0.339
18.0518668,101.4147949,0.045,0.425
19.7977172,101.3269043,-0.433,0.353
15.1463690,106.5124512,-0.637,0.387
20.2931131,100.4260254,-0.511,0.478
20.4578958,102.9089355,-0.767,0.371
14.0833011,105.8752441,0.433,0.401
16.2252233,106.6882324,-0.134,0.400
21.7492955,101.7883301,-0.484,0.333
20.1281550,101.5026855,-0.622,0.400
16.6888167,106.4245605,-0.681,0.348
14.8067491,107.0837402,0.289,0.420
18.0936440,105.0842285,-0.139,0.403
19.5287298,101.8762207,-0.539,0.405
19.2800355,103.2824707,-0.429,0.346
16.4360849,105.4357910,-0.377,0.418
18.2397857,104.6228027,-0.366,0.409
15.1675773,105.9851074,0.598,0.408
20.0662507,103.3923340,-0.196,0.406
19.7977172,103.8317871,-0.176,0.358
16.3095952,105.8972168,-0.706,0.379
18.4691886,102.5354004,-0.629,0.406
17.2142640,105.3039551,-0.747,0.350
15.1463690,105.5236816,-0.098,0.392
15.5277906,106.4685059,-0.418,0.345
16.6677684,106.3146973,-0.375,0.409
19.8183898,101.0632324,-0.564,0.370
17.3401514,105.1940918,-0.602,0.341
14.7430107,105.8752441,-0.383,0.404
15.6336167,106.7761230,-0.456,0.315
16.7098626,105.1062012,-0.517,0.434
19.2800355,102.3376465,-0.601,0.399
18.4483464,103.8537598,-0.776,0.415
19.2592938,101.6784668,-0.152,0.429
18.9894144,101.6564941,-0.674,0.354
20.0249676,102.8869629,-0.415,0.322
15.5489602,105.8532715,-0.593,0.420
19.7770419,103.6120605,0.035,0.397
19.6736252,101.0632324,-0.546,0.403
21.0332369,100.7116699,-0.710,0.343
19.2800355,103.8537598,-0.734,0.337
21.6063650,101.9860840,-0.137,0.431
19.5908438,102.0300293,-0.374,0.401
16.6677684,106.1389160,-0.111,0.427
18.1771685,102.7990723,-0.645,0.410
19.8183898,100.4699707,-0.374,0.450
16.9832482,104.8425293,-0.383,0.422
18.1980434,105.0622559,0.337,0.453
21.3200806,102.3156738,-0.409,0.365
21.6063650,102.0080566,-0.456,0.425
14.0406726,106.1169434,-0.002,0.439
15.6547754,106.6662598,-0.119,0.378
20.5402210,102.6232910,-0.491,0.362
20.3961229,103.6999512,0.466,0.459
21.9328544,102.0959473,-1.071,0.415
18.5941885,102.0300293,0.161,0.433
14.7430107,105.6994629,-0.494,0.323
21.6267923,101.9201660,-0.259,0.425
20.5607954,104.4689941,-0.253,0.364
16.0352546,106.1608887,-0.644,0.353
