latitude,longitude,rwi,error
4.5764249,-7.9870605,-0.902,0.295
6.2170122,-10.2282715,-0.082,0.289
5.6269192,-8.3166504,-0.517,0.286
6.5445599,-9.6569824,-0.489,0.267
7.8524985,-9.6569824,-0.761,0.260
5.4519589,-8.8879395,-0.557,0.292
6.8718928,-9.6130371,-0.489,0.269
6.6755194,-10.1843262,-0.092,0.298
6.0422360,-9.4152832,-0.282,0.281
6.8718928,-11.2170410,-0.131,0.272
6.9591440,-8.5363770,-0.509,0.280
6.6318701,-8.9318848,-0.455,0.276
6.3917304,-10.7336426,0.924,0.413
7.0899903,-10.0524902,-0.331,0.269
5.2331870,-8.1408691,-0.526,0.275
5.6487856,-9.8107910,-0.137,0.280
6.9809543,-10.7995605,-0.378,0.282
6.6973426,-9.9206543,-0.572,0.274
6.8937071,-9.7229004,-0.718,0.288
7.7001044,-10.3820801,-0.633,0.262
4.6640299,-7.5695801,-0.527,0.272
6.9373327,-10.7336426,-0.566,0.269
6.5227299,-9.1735840,-0.506,0.273
6.2606973,-10.1184082,-0.617,0.277
8.3093413,-9.8547363,-0.581,0.262
6.8064439,-9.1735840,-0.481,0.273
6.8718928,-8.8439941,-0.236,0.274
7.3079846,-9.4812012,-0.697,0.272
6.5663889,-9.5690918,-0.640,0.270
6.1733235,-9.7888184,0.041,0.396
6.8718928,-10.2502441,-0.269,0.270
6.9155204,-9.2834473,-0.421,0.270
7.0463790,-9.2614746,-0.391,0.276
6.8718928,-8.8220215,0.028,0.360
4.9048867,-7.9431152,-0.650,0.279
6.7409861,-10.3820801,-0.507,0.271
6.8282612,-10.7116699,-1.066,0.269
6.9809543,-10.1184082,-0.347,0.267
6.8718928,-9.8767090,-0.551,0.349
6.8064439,-8.8879395,-0.727,0.265
4.5983271,-7.9211426,-0.190,0.279
6.4354006,-9.2614746,-0.218,0.265
7.5476555,-9.4812012,-0.292,0.281
7.2643942,-11.0632324,-0.185,0.257
6.5227299,-9.9865723,-0.759,0.268
5.6706511,-8.6022949,-0.900,0.274
5.0362268,-7.6574707,-0.027,0.279
7.0245718,-9.4812012,0.458,0.433
7.1990006,-8.3386230,-0.475,0.271
5.9111167,-7.7233887,-0.910,0.274
6.4790672,-8.8659668,-0.361,0.296
8.0483515,-10.4260254,-0.376,0.259
6.8500775,-11.0852051,-0.496,0.265
5.8236865,-9.7888184,-0.233,0.322
7.0463790,-11.1950684,-0.224,0.263
6.7846256,-10.8874512,-0.571,0.272
7.0463790,-9.8767090,-0.616,0.275
6.1296313,-10.1403809,-0.263,0.320
6.8718928,-9.5471191,-0.473,0.272
6.6318701,-10.3161621,0.098,0.272
6.2388552,-9.9865723,-0.273,0.275
6.0203850,-9.7668457,-0.262,0.283
6.5663889,-9.1735840,-0.466,0.274
6.6100440,-10.1184082,-0.528,0.289
6.1077838,-8.5583496,-0.913,0.277
7.9830776,-10.2062988,-0.616,0.257
5.9329721,-10.0964355,-0.190,0.302
6.8282612,-9.1955566,-0.215,0.338
6.6755194,-10.8215332,-0.129,0.272
6.9591440,-8.8879395,-0.447,0.276
6.2606973,-9.8986816,-0.208,0.271
5.6925158,-9.7009277,-0.280,0.287
5.7799663,-8.1628418,-0.610,0.272
6.5663889,-10.6896973,-0.458,0.287
6.4354006,-10.6457520,-0.612,0.298
8.2006163,-10.2941895,-0.518,0.260
6.6318701,-10.6896973,0.151,0.305
5.6487856,-9.3273926,-0.605,0.354
7.0899903,-9.4372559,-0.309,0.267
6.2825384,-10.0744629,-0.298,0.303
6.6318701,-10.0085449,-0.308,0.269
6.8064439,-10.7775879,-0.814,0.277
5.0581143,-8.8000488,-0.725,0.289
5.3644596,-8.0310059,0.017,0.285
7.1553996,-8.4704590,-0.613,0.274
6.4354006,-10.2062988,-0.434,0.277
5.8236865,-7.8991699,-0.719,0.272
5.4082108,-8.0969238,-0.542,0.274
6.8282612,-9.3493652,-0.516,0.268
7.0899903,-11.0632324,-0.474,0.258
7.0681852,-9.5031738,-0.482,0.282
5.9329721,-9.6130371,-0.315,0.278
7.3733623,-9.5031738,-0.025,0.276
7.1117945,-8.4265137,-0.261,0.267
6.9809543,-8.8439941,0.357,0.398
6.1077838,-9.6789551,-0.784,0.273
7.2207995,-8.4045410,-0.601,0.272
6.2388552,-10.1403809,-0.611,0.271
5.1237722,-8.0310059,-0.305,0.295
6.7191648,-10.5358887,-0.133,0.273
6.7628064,-9.6350098,-0.603,0.271
