latitude,longitude,rwi,error
32.6486253,13.8977051,-0.674,0.370
26.5983508,13.5900879,-0.569,0.285
32.7225981,21.6320801,-0.088,0.395
32.5931055,14.2492676,-0.558,0.390
32.6671243,21.3684082,-0.195,0.343
32.5190256,14.3151855,0.089,0.385
32.5931055,13.5461426,0.402,0.294
32.3521223,13.0407715,0.224,0.313
32.2592650,20.7092285,-0.026,0.400
32.3706824,20.9729004,-0.372,0.329
32.5375513,12.6232910,-0.448,0.310
32.3706824,13.4582520,-0.328,0.235
32.8888127,21.9836426,-0.930,0.471
31.9987589,12.5793457,-0.043,0.360
32.5375513,21.7858887,0.141,0.417
32.6856194,12.9968262,-0.005,0.359
32.7595615,22.6428223,1.019,0.460
32.8703597,21.5881348,-0.119,0.355
32.7410818,12.2717285,0.030,0.365
32.1477106,13.5021973,-0.178,0.234
31.9987589,12.0739746,-0.256,0.408
32.1663125,22.2912598,0.103,0.499
32.7041107,12.4914551,-0.103,0.359
32.7041107,13.8977051,0.426,0.430
32.2035049,14.9963379,-0.329,0.287
31.6627324,20.3356934,-0.388,0.320
32.4448845,20.4895020,-0.017,0.438
32.8703597,21.8518066,0.240,0.344
31.9055410,11.9421387,-0.097,0.306
32.7780375,21.7639160,0.815,0.477
32.6116159,12.8210449,-0.453,0.348
32.4819627,13.4802246,-0.472,0.245
32.6116159,12.6672363,-0.060,0.373
31.7375107,20.2038574,-0.174,0.322
32.7225981,22.1374512,-0.471,0.317
32.1849106,13.5461426,0.115,0.257
32.5745912,20.9509277,0.073,0.396
31.8495649,12.2058105,-0.553,0.329
32.6856194,13.5241699,0.393,0.336
31.7001291,14.1174316,-0.266,0.347
32.2778440,22.9724121,-0.097,0.364
32.4819627,13.5900879,-0.496,0.338
32.7041107,21.6760254,-0.384,0.355
32.1291049,20.6433105,-0.844,0.309
32.6486253,13.0627441,0.534,0.358
32.5190256,12.7111816,-0.294,0.321
32.0732651,13.2824707,-0.314,0.285
32.0546442,12.9309082,-0.363,0.306
32.4263397,12.6232910,-0.067,0.303
32.4077911,13.1726074,-0.163,0.266
32.3892386,14.8864746,0.430,0.381
32.6856194,13.9855957,0.008,0.381
32.8703597,21.6540527,0.133,0.407
31.9241921,12.8430176,-0.705,0.230
32.4263397,20.8190918,0.046,0.384
32.4819627,12.7111816,-0.370,0.320
31.7561958,13.9636230,0.542,0.392
32.8519030,13.2385254,1.145,0.383
32.2220954,13.3923340,-0.251,0.264
32.7410818,12.4255371,-0.156,0.372
26.5000725,13.0847168,-0.252,0.259
32.5004960,20.5114746,-0.073,0.404
32.5560732,22.7746582,-0.673,0.361
32.4077911,13.6340332,0.019,0.381
32.3149908,13.7438965,-0.447,0.250
32.3149908,14.9523926,0.216,0.433
32.5004960,21.0827637,0.024,0.339
32.2964193,20.7531738,-0.347,0.326
31.9987589,20.3356934,0.171,0.417
32.5004960,21.0168457,-0.027,0.354
32.2592650,13.4802246,-0.436,0.270
26.6376385,13.6120605,-0.114,0.363
26.4607376,14.2272949,-0.629,0.262
32.7965096,12.3376465,-0.575,0.317
32.3706824,20.7092285,-0.166,0.373
32.4263397,23.0822754,-0.398,0.369
32.7225981,12.1838379,-0.361,0.353
32.0546442,12.9968262,-0.174,0.369
32.6856194,22.7966309,-0.132,0.402
32.1477106,13.6560059,-0.382,0.276
32.1849106,20.2038574,0.043,0.461
32.5931055,14.1833496,-0.313,0.406
31.9055410,20.2038574,-0.071,0.345
32.4263397,13.8098145,-0.401,0.294
32.4819627,13.6779785,0.009,0.382
31.4192877,15.3259277,-0.217,0.264
32.5375513,21.4123535,-0.581,0.348
32.2778440,13.3264160,0.187,0.240
32.1104954,22.2912598,-0.424,0.359
32.4634255,13.4362793,-0.229,0.254
32.3892386,14.0295410,-0.203,0.285
32.2778440,14.5568848,0.223,0.358
32.6116159,22.4011230,-0.372,0.341
26.5983508,13.5241699,0.542,0.288
32.5004960,13.3264160,0.029,0.350
32.3521223,13.5681152,-0.234,0.321
32.1663125,20.5773926,0.443,0.474
31.4942613,14.6447754,-0.210,0.232
26.4607376,14.2712402,-0.271,0.288
32.9257070,11.9860840,0.141,0.341
32.6116159,20.8410645,-0.350,0.343
32.7041107,21.8298340,-0.114,0.370
32.5004960,21.2805176,-0.467,0.311
31.9801229,12.9089355,-0.265,0.270
32.5560732,12.7990723,-0.019,0.329
32.6856194,13.5900879,0.120,0.365
32.3335585,12.5134277,-0.485,0.244
