latitude,longitude,rwi,error
5.9766803,80.5847168,0.439,0.582
7.3951528,80.5187988,0.438,0.588
6.3262180,80.1232910,0.428,0.561
8.7222181,80.8703613,-0.270,0.555
7.4605176,80.9802246,-0.034,0.582
7.4605176,79.9694824,0.307,0.576
6.2606973,81.1120605,-0.259,0.569
6.8937071,79.9255371,1.125,0.574
7.5258726,79.9475098,0.331,0.576
8.0918616,81.0900879,-0.061,0.528
8.0265947,81.3977051,0.243,0.509
7.3297783,80.0793457,0.649,0.589
9.7198857,79.9914551,1.108,0.589
6.8282612,80.9362793,0.452,0.590
7.5258726,80.0134277,0.623,0.592
7.9395558,80.3210449,-0.124,0.559
6.6755194,80.0793457,0.737,0.602
6.4354006,81.0900879,-0.376,0.549
8.8959258,80.7385254,-0.288,0.598
6.2825384,80.7385254,-0.206,0.568
7.7001044,79.9914551,0.012,0.565
6.5445599,80.9802246,-0.088,0.534
6.8500775,79.9914551,1.279,0.608
8.2006163,80.3649902,0.079,0.589
6.7191648,81.2658691,-0.747,0.564
6.7409861,80.1013184,0.460,0.622
6.6536952,81.2658691,-0.480,0.548
7.2643942,81.7712402,-0.046,0.570
9.3081485,80.3210449,-0.392,0.568
6.5008990,80.7824707,-0.237,0.558
7.0899903,81.5515137,-0.223,0.544
6.5008990,80.9362793,-0.425,0.553
6.9591440,80.2990723,0.754,0.610
8.8090822,80.4309082,0.278,0.548
6.6536952,80.8923340,0.514,0.630
8.0048367,81.4416504,-0.308,0.505
8.5484296,80.7385254,-0.473,0.537
7.3515708,81.0021973,0.613,0.610
8.0483515,80.4089355,-0.399,0.591
8.4832384,80.8483887,-0.377,0.540
8.1571180,80.1672363,-0.386,0.540
8.1353671,81.0241699,0.660,0.623
6.9809543,81.3098145,-0.402,0.547
8.1353671,80.1013184,-0.019,0.549
5.9766803,80.4528809,1.148,0.590
7.1335976,81.8151855,-1.029,0.545
9.6765684,80.1013184,0.702,0.581
8.2223637,81.3098145,-0.340,0.507
7.8089630,80.3430176,-0.013,0.579
9.5899171,79.7937012,0.315,0.567
8.4397714,80.4089355,-0.335,0.550
6.6973426,81.3977051,-0.609,0.481
7.8089630,79.9694824,0.183,0.564
8.4615055,80.4968262,-0.307,0.574
7.7001044,81.6174316,-0.070,0.575
7.2861900,81.6174316,-0.531,0.596
7.2207995,79.8815918,0.918,0.597
6.1951683,81.1999512,0.481,0.570
8.1136149,80.4309082,-0.642,0.559
6.6100440,79.9694824,1.099,0.617
7.8960294,81.0021973,0.405,0.601
8.2223637,80.1013184,0.226,0.543
7.1335976,81.1779785,-0.317,0.547
7.1117945,80.6945801,0.250,0.547
7.6565531,80.4968262,0.395,0.571
6.4354006,80.0793457,0.282,0.583
9.2214045,80.7824707,0.980,0.593
6.0203850,80.3430176,-0.066,0.587
8.1788678,80.5187988,-0.342,0.539
6.5008990,80.9582520,-0.808,0.594
9.3298312,80.1672363,-0.451,0.555
6.4790672,80.4309082,-0.394,0.582
8.7873681,80.5847168,0.375,0.523
8.2223637,80.0793457,-0.586,0.541
6.4354006,80.1672363,-0.415,0.599
6.5882169,80.2990723,-0.497,0.568
7.0027636,81.0681152,1.210,0.611
7.3079846,80.4309082,0.697,0.604
9.3298312,80.1232910,-0.300,0.513
8.8307950,80.0354004,0.671,0.580
9.2430925,80.8264160,0.302,0.580
9.3731925,80.2990723,-0.287,0.542
7.4387304,80.5847168,0.262,0.577
6.2388552,80.4528809,0.165,0.565
9.6115820,80.2551270,-0.056,0.561
6.6318701,80.1232910,-0.019,0.672
7.0027636,79.8815918,1.508,0.577
6.2388552,81.1779785,-0.126,0.549
7.9613173,80.2990723,-0.035,0.558
7.1553996,81.0681152,0.076,0.561
6.8064439,79.9255371,1.454,0.616
6.8937071,80.5187988,-0.308,0.595
5.9548266,80.5847168,1.353,0.611
7.0027636,81.4636230,-0.738,0.525
8.4615055,80.8483887,-0.182,0.578
7.7436512,79.9255371,0.327,0.565
7.4605176,80.0573730,0.832,0.588
7.3515708,81.5954590,-0.149,0.585
7.9830776,80.5187988,0.169,0.603
6.9591440,81.5515137,-0.142,0.573
7.6783293,79.8376465,0.421,0.576
7.5694372,80.4968262,0.158,0.584
6.2606973,81.2438965,1.023,0.587
6.8718928,81.3977051,-0.691,0.535
6.7846256,81.4196777,-0.575,0.488
7.0899903,79.8376465,0.860,0.586
6.8282612,80.7824707,-0.449,0.559
7.4169421,80.7165527,-0.168,0.624
8.2223637,80.5407715,-0.040,0.546
7.3951528,81.1779785,-0.412,0.565
8.1788678,80.2111816,0.342,0.579
7.5040887,80.4528809,0.430,0.590
7.9830776,79.8156738,0.545,0.568
6.4135660,80.4528809,-0.531,0.551
8.4180361,80.7385254,-0.262,0.574
7.8960294,80.7824707,-0.248,0.581
6.6318701,80.8044434,-0.186,0.537
7.1553996,80.8264160,-0.025,0.585
6.4135660,80.8264160,0.900,0.591
6.5663889,79.9914551,0.907,0.622
7.5040887,81.2878418,-0.371,0.525
8.5267005,80.4309082,-0.637,0.553
6.6318701,81.0681152,-0.398,0.538
8.4397714,80.5407715,-0.257,0.521
6.2825384,80.0793457,0.488,0.613
6.8937071,80.0354004,1.509,0.612
7.2207995,79.9255371,0.625,0.586
8.5267005,80.7604980,-0.175,0.528
8.2658549,80.5187988,0.486,0.555
8.7439361,80.0134277,-0.943,0.527
6.0203850,80.4968262,0.825,0.592
6.2606973,80.4089355,0.494,0.628
7.5912178,80.0134277,0.185,0.583
7.2643942,79.9475098,0.682,0.589
6.5663889,80.1892090,-0.391,0.572
7.2425974,80.0573730,0.141,0.584
9.0478525,80.4968262,-0.061,0.582
8.1571180,80.4089355,0.558,0.613
7.2861900,80.4528809,0.561,0.599
9.2430925,80.7604980,-0.075,0.616
8.3962996,80.5847168,-0.405,0.538
6.1733235,80.4089355,-0.492,0.522
8.0918616,80.4748535,0.836,0.593
6.5445599,81.0681152,-0.660,0.567
7.5694372,79.8376465,0.224,0.595
8.5049700,80.1672363,0.277,0.560
7.6347758,80.6726074,-0.159,0.548
7.7218784,80.5407715,0.422,0.553
6.8718928,81.1120605,-0.135,0.584
7.3079846,80.5187988,0.297,0.595
7.4169421,81.2438965,0.028,0.608
7.4823037,80.5627441,-0.249,0.573
7.0463790,81.3977051,-0.403,0.497
6.1951683,80.5847168,0.530,0.603
6.9373327,80.3430176,0.717,0.640
7.3079846,79.8815918,0.734,0.592
7.9830776,79.8815918,0.175,0.601
5.9985331,80.3869629,0.559,0.596
7.8960294,81.1340332,0.215,0.588
7.8089630,80.4309082,0.485,0.573
6.7409861,80.7165527,-0.113,0.565
7.6129974,79.8815918,-0.261,0.559
6.9591440,81.2438965,-0.450,0.545
6.6536952,81.1999512,-0.340,0.503
8.4832384,80.4968262,-0.141,0.570
7.0245718,81.8151855,-0.563,0.507
6.1733235,81.0681152,0.284,0.568
8.6136097,81.1779785,0.341,0.575
8.2658549,80.7604980,0.221,0.561
7.9613173,79.8376465,0.906,0.590
6.6318701,81.1120605,0.413,0.560
7.8307313,80.1232910,-0.167,0.567
6.3262180,80.4089355,-0.216,0.597
8.3528229,80.7165527,-0.589,0.559
7.6129974,80.3869629,-0.123,0.567
5.9766803,80.5627441,0.909,0.578
7.2207995,80.1672363,0.129,0.582
9.3731925,80.6066895,-0.105,0.575
6.2825384,80.2551270,0.282,0.600
7.6129974,81.0021973,-0.532,0.573
7.9177932,80.2990723,-0.386,0.564
7.5258726,80.3210449,0.875,0.581
9.7848511,80.1232910,0.678,0.593
6.9155204,79.9694824,1.104,0.618
8.6570568,80.8044434,-0.097,0.539
8.9393399,80.8703613,0.132,0.550
6.7628064,81.0241699,0.464,0.540
7.2861900,80.6286621,1.430,0.628
6.4135660,81.2878418,-0.294,0.587
6.3480564,80.6286621,-0.032,0.594
7.0245718,80.2551270,0.850,0.602
7.5912178,81.4196777,-0.316,0.544
6.2825384,81.0021973,0.035,0.584
6.0859354,80.1232910,-0.451,0.580
7.9395558,80.2331543,-0.118,0.566
6.8718928,80.0354004,1.514,0.619
6.6536952,81.0900879,-0.510,0.533
7.9613173,80.4528809,-0.355,0.561
7.9830776,80.7385254,0.233,0.572
6.0422360,80.5627441,0.382,0.601
7.3733623,81.5954590,-0.246,0.545
7.5912178,79.8596191,0.365,0.588
6.4354006,80.2770996,-0.527,0.555
6.8937071,80.9582520,0.421,0.596
6.8937071,81.2658691,0.278,0.605
6.6973426,80.9582520,-0.772,0.571
6.3698938,80.9362793,0.220,0.571
6.9155204,79.8376465,0.590,0.646
8.1353671,80.3869629,0.487,0.565
8.4397714,80.2990723,-0.370,0.503
7.0899903,80.8044434,0.358,0.598
6.8937071,80.8264160,-0.009,0.564
7.0463790,79.9035645,0.964,0.615
6.5445599,80.0573730,0.669,0.585
7.5476555,80.9362793,0.430,0.583
7.8742645,80.6726074,0.036,0.575
6.7409861,80.3649902,0.636,0.636
9.0261526,79.8815918,0.753,0.605
8.2875987,80.7165527,0.270,0.611
6.3043786,81.2219238,0.273,0.578
8.0048367,80.3649902,-0.012,0.571
6.3917304,81.3098145,0.476,0.574
8.1571180,80.2770996,0.455,0.577
7.1335976,80.4748535,0.068,0.578
6.1296313,80.7385254,0.675,0.566
6.5227299,80.2551270,0.089,0.605
7.2207995,81.7272949,0.069,0.590
7.2861900,81.5295410,-0.072,0.592
9.6332456,80.3869629,0.169,0.601
7.5258726,80.4748535,0.728,0.589
9.3298312,80.7165527,0.616,0.579
8.2441099,80.3869629,-0.300,0.558
6.2170122,80.5187988,-0.244,0.559
9.2214045,80.3210449,-0.482,0.536
7.2425974,80.0134277,0.786,0.590
8.2658549,80.4968262,0.159,0.562
7.9613173,81.3317871,0.189,0.575
6.7191648,80.1892090,0.807,0.600
7.0027636,80.3869629,0.430,0.576
6.3480564,80.4309082,-0.418,0.583
7.2643942,81.0461426,0.541,0.589
6.3917304,80.8483887,-0.553,0.608
6.3917304,80.9143066,0.053,0.607
8.7222181,80.4528809,0.239,0.574
6.0203850,80.5627441,0.545,0.596
9.7198857,80.2331543,0.237,0.565
8.3310827,81.2878418,0.131,0.576
6.7191648,81.1560059,-0.670,0.544
7.8524985,80.7165527,0.075,0.549
6.1951683,81.2438965,0.122,0.537
6.2825384,80.7604980,0.358,0.570
7.2861900,80.5627441,1.357,0.597
7.2643942,80.5187988,0.676,0.595
6.9591440,81.2878418,-0.239,0.560
6.1951683,80.1232910,0.596,0.591
6.3698938,80.0134277,0.873,0.593
7.1335976,81.7053223,0.030,0.566
7.3951528,79.8156738,0.765,0.591
8.3962996,80.4748535,-0.474,0.599
6.1514779,80.7604980,0.500,0.627
6.1514779,80.3649902,-0.606,0.550
6.0422360,80.8483887,-0.062,0.595
7.2207995,81.1340332,-0.057,0.567
8.3093413,80.7604980,0.316,0.603
7.3951528,80.1672363,0.206,0.561
7.7001044,80.3869629,0.082,0.581
6.2170122,80.1672363,0.195,0.559
9.1997151,80.2551270,-0.222,0.538
6.7628064,81.1120605,1.018,0.582
7.9395558,80.8483887,-0.498,0.541
8.0265947,80.7824707,0.106,0.557
8.3745618,80.2551270,-0.534,0.485
8.9393399,79.9255371,0.341,0.583
9.6765684,79.9035645,-0.241,0.568
6.0859354,80.8264160,0.045,0.567
8.5918843,81.1779785,0.743,0.575
6.7628064,80.0134277,1.115,0.606
8.2441099,80.6066895,-0.531,0.582
8.3310827,81.1560059,-0.432,0.597
6.9373327,80.8044434,0.987,0.587
6.4354006,80.6286621,0.082,0.613
6.6973426,81.0681152,-0.159,0.535
6.4790672,80.0573730,0.207,0.572
6.3480564,80.8483887,1.060,0.591
7.1553996,80.7385254,0.656,0.579
7.0681852,80.4968262,-0.258,0.542
6.3698938,80.4089355,-0.386,0.561
7.3079846,81.7272949,0.347,0.594
8.7656527,80.7385254,-0.817,0.522
8.2006163,81.0461426,0.385,0.588
6.9591440,80.8923340,0.243,0.577
6.3043786,81.0900879,0.076,0.555
9.0695511,80.6506348,0.283,0.557
6.8282612,80.2770996,0.527,0.608
8.6353339,80.7604980,-0.341,0.511
7.7436512,80.6066895,-0.188,0.595
8.3962996,80.8264160,-0.200,0.546
6.7628064,81.0900879,0.216,0.573
8.2223637,80.4968262,-0.454,0.566
9.0695511,80.5407715,-0.559,0.541
7.2861900,80.3430176,-0.168,0.610
7.0681852,80.7824707,0.649,0.581
8.7656527,80.8044434,-0.428,0.556
6.6318701,80.6286621,-0.488,0.656
8.1136149,80.7165527,-0.434,0.520
8.3310827,80.3649902,1.026,0.609
9.5899171,79.8596191,-0.313,0.555
7.3297783,80.2770996,0.496,0.571
7.5258726,81.5295410,0.032,0.562
7.3733623,81.8591309,0.345,0.574
6.5882169,80.3210449,0.083,0.592
6.9809543,80.4748535,0.278,0.577
8.0701072,79.9255371,-0.323,0.547
6.6755194,80.4309082,0.356,0.589
8.7222181,80.3869629,0.098,0.557
7.5476555,81.7932129,1.047,0.591
7.0463790,80.0134277,0.685,0.582
6.3480564,80.6506348,0.301,0.580
7.7218784,81.4855957,-0.486,0.534
6.3917304,80.0134277,0.457,0.591
6.3043786,80.7385254,-0.020,0.570
6.8064439,79.8815918,1.243,0.573
9.5899171,79.9914551,-0.291,0.523
7.1990006,81.7053223,-0.379,0.533
6.8937071,81.8371582,0.451,0.585
6.4790672,80.4968262,-0.452,0.554
7.0681852,81.2219238,-0.358,0.560
8.2223637,80.1672363,0.060,0.603
7.2207995,81.7712402,0.143,0.571
7.0463790,79.9914551,0.980,0.585
6.5882169,80.4528809,0.574,0.617
