latitude,longitude,rwi,error
-29.3342978,28.9709473,-0.448,0.441
-29.9263737,27.5207520,-0.386,0.445
-30.0215431,27.8942871,-0.175,0.453
-29.3342978,27.4548340,1.292,0.596
-29.3151407,28.9050293,-0.518,0.426
-29.7357620,28.8391113,-0.683,0.422
-29.7166808,28.4216309,0.016,0.476
-29.2001230,28.0700684,-0.144,0.446
-30.0215431,28.5534668,-0.756,0.439
-29.3726011,27.5866699,-0.305,0.513
-29.0465652,28.1359863,-0.448,0.468
-30.2685558,27.4987793,-0.059,0.444
-29.4491644,27.4987793,0.283,0.467
-30.3444351,27.6306152,-0.513,0.429
-29.5830112,28.2458496,0.227,0.493
-29.6021178,27.3449707,-0.574,0.455
-29.0849761,27.7404785,-0.186,0.502
-29.6975960,27.8942871,-0.395,0.423
-29.0657724,27.9821777,0.184,0.427
-29.2384766,27.7624512,-0.477,0.470
-29.3534512,29.0808105,-0.676,0.440
-29.9073289,27.4108887,-0.553,0.457
-29.1425657,27.9821777,0.093,0.436
-29.7548395,27.3010254,0.364,0.548
-28.9312465,28.3557129,-0.226,0.517
-29.8120503,27.2351074,1.052,0.632
-30.1356258,27.8063965,-0.075,0.445
-29.6975960,28.3776855,-0.636,0.451
-29.2193016,28.0041504,-0.264,0.435
-29.2576481,28.4655762,-0.418,0.444
-29.3151407,27.4768066,1.407,0.551
-29.0849761,28.1140137,0.036,0.459
-29.5065490,28.2458496,-0.534,0.426
-29.9644524,27.4328613,-0.307,0.460
-29.4491644,28.5974121,-0.173,0.437
-29.9644524,27.8723145,-0.850,0.420
-28.9697004,28.1140137,-0.089,0.470
-29.2193016,29.1027832,-0.152,0.429
-29.6021178,27.1691895,-0.114,0.451
-30.0215431,28.5974121,-0.513,0.442
-30.4960174,28.0480957,-0.312,0.418
-29.9644524,27.3449707,-0.069,0.456
-30.0215431,28.2678223,-0.609,0.430
-29.6785076,28.4875488,-0.644,0.422
-29.9073289,27.1911621,0.078,0.416
-29.8311133,27.6525879,-0.191,0.421
-30.0405660,28.1140137,-0.659,0.424
-29.7357620,27.5646973,0.412,0.458
-29.5065490,27.6306152,0.414,0.428
-29.3342978,27.6965332,-0.163,0.484
-29.2959801,28.9709473,0.053,0.488
-28.9120143,27.7624512,0.120,0.418
-28.9120143,28.4436035,0.188,0.540
-30.1926178,27.5646973,-0.347,0.419
-28.7772886,28.3996582,-0.205,0.453
-30.0976128,28.3117676,-0.214,0.423
-29.7357620,27.4548340,-0.677,0.453
-29.4682962,27.7404785,0.744,0.580
-30.1356258,28.6853027,0.012,0.548
-29.3726011,28.9489746,-0.503,0.446
-29.5256700,27.2790527,-0.537,0.447
-30.0595852,28.7292480,-0.215,0.446
-29.6212207,28.9050293,-0.927,0.459
-29.3534512,28.0041504,-0.642,0.422
-30.2875311,27.9382324,-0.494,0.424
-29.1809408,27.9382324,-0.016,0.470
-30.0786009,28.4436035,-0.054,0.441
-29.4300290,28.0480957,-0.230,0.449
-29.6212207,27.3010254,-0.186,0.452
-29.1425657,28.8830566,-0.590,0.485
-29.3534512,29.2126465,-0.621,0.424
-29.6975960,27.1691895,-0.531,0.464
-30.3444351,27.4768066,-0.287,0.425
-29.3534512,28.4436035,-0.345,0.442
-28.6423887,28.4655762,-0.269,0.455
-29.9834863,27.8723145,-0.711,0.451
-29.6975960,27.3229980,0.083,0.478
-29.1617551,28.9929199,-1.061,0.447
-29.1617551,28.6633301,-0.243,0.445
-29.5256700,27.3229980,-0.058,0.417
-30.4581439,27.6745605,-0.120,0.429
-29.1041762,27.9821777,0.383,0.458
-29.2193016,27.8063965,0.692,0.442
-30.5528000,27.8283691,-0.485,0.418
-29.4108899,28.5974121,-0.066,0.444
-29.7166808,27.4768066,0.055,0.509
-29.0657724,28.1359863,-0.341,0.466
-29.6594156,27.0373535,-0.124,0.413
-29.3726011,28.3996582,-0.477,0.438
-29.6594156,28.5095215,-0.473,0.420
-29.2193016,27.7624512,-0.347,0.448
-29.0273543,28.2458496,0.259,0.529
-29.6021178,28.7951660,-0.392,0.450
-29.7166808,28.2238770,-0.067,0.425
-29.2384766,28.8171387,-0.185,0.470
-30.1736241,28.2238770,0.055,0.426
-29.3917473,29.2785645,-0.241,0.435
-29.8120503,27.4548340,-0.246,0.423
-29.0465652,28.2019043,-0.687,0.496
-29.8311133,27.2131348,-0.117,0.490
-28.8157994,28.2238770,0.294,0.483
-30.2495768,27.4328613,-0.069,0.483
-28.5845213,28.6193848,-0.122,0.445
-29.8311133,28.1140137,-0.179,0.434
-29.3151407,28.1140137,-0.098,0.432
-30.3444351,27.9162598,-0.350,0.420
-30.4202557,27.6306152,0.056,0.454
-29.2959801,27.7624512,-0.514,0.453
-29.1617551,28.0480957,0.251,0.469
-29.8311133,27.9382324,-0.385,0.424
-30.0405660,27.8942871,-0.414,0.448
-29.8501727,27.9162598,-0.736,0.429
-29.5256700,28.7072754,-0.601,0.425
-29.2001230,28.8171387,-0.457,0.450
-29.5065490,27.5866699,0.583,0.531
-29.9263737,29.0588379,-0.184,0.446
-28.8350495,28.0700684,0.775,0.501
-29.9644524,28.4875488,-0.402,0.419
-29.2001230,27.9382324,0.014,0.460
-29.2768159,27.8723145,-0.373,0.454
-29.4300290,29.0588379,-0.676,0.423
-29.2193016,28.4655762,-0.439,0.439
-29.2001230,28.1140137,-0.118,0.446
-29.0273543,28.2897949,0.428,0.469
-30.0025165,28.2019043,-0.712,0.449
-30.3065028,28.0041504,-0.620,0.427
-30.2875311,28.0261230,-0.443,0.446
-28.9889219,28.8610840,0.768,0.582
-29.9644524,27.6306152,-0.365,0.443
-29.8120503,28.0041504,-0.548,0.445
-29.6403199,27.7185059,-0.339,0.424
-29.0465652,28.1140137,-0.434,0.458
-29.3534512,28.4875488,-0.177,0.462
-29.4874244,27.5646973,-0.130,0.470
-29.0657724,28.9929199,-0.510,0.420
-30.0215431,28.2458496,-0.225,0.447
-29.3151407,27.5866699,-0.007,0.545
-29.6785076,27.1032715,-0.114,0.427
-29.2001230,28.0480957,-0.845,0.484
-29.3342978,28.4436035,-0.174,0.450
-30.1166211,28.2019043,-0.569,0.437
-28.9889219,27.8283691,0.229,0.452
-29.2001230,27.7185059,-0.011,0.448
-29.7357620,27.6745605,-0.312,0.429
-28.7002242,28.4655762,-0.272,0.469
-29.7739134,27.4548340,-0.365,0.449
-29.2001230,27.7404785,-0.376,0.573
-28.8735390,27.9382324,-0.334,0.494
-29.9454149,28.5095215,-0.479,0.418
-29.1617551,28.5534668,-0.249,0.453
-29.5639011,28.7512207,0.145,0.448
-29.0849761,28.7512207,-0.556,0.415
-30.3065028,27.7404785,0.106,0.475
-30.2305941,27.6525879,-0.573,0.423
-30.3065028,27.9162598,-0.523,0.424
-30.1356258,27.3889160,-0.049,0.435
-29.5447873,28.5534668,-0.044,0.427
-30.2495768,28.0700684,-0.539,0.423
-29.7739134,27.7185059,-0.689,0.420
-29.0849761,29.1027832,-0.590,0.461
-28.7965458,28.4875488,-0.289,0.435
