latitude,longitude,rwi,error
-15.1887835,49.9328613,-0.651,0.338
-16.4360849,46.6149902,-0.448,0.378
-18.4483464,48.2629395,-0.252,0.366
-20.0868882,47.8015137,-0.548,0.364
-20.5196439,47.9772949,-0.612,0.339
-22.4008712,47.6477051,-0.605,0.325
-18.8231166,47.2521973,-0.054,0.365
-25.1552290,45.9338379,-0.450,0.326
-15.2311894,48.6584473,-0.537,0.368
-24.3571051,43.8244629,-0.844,0.358
-23.3725134,44.1540527,-0.802,0.366
-19.5701418,47.2961426,-0.223,0.360
-22.2585964,43.6926270,-0.617,0.388
-18.9894144,45.9997559,-0.456,0.377
-18.9270721,46.4172363,-0.280,0.369
-20.1281550,48.0651855,-0.406,0.344
-23.3926816,47.4938965,-0.913,0.326
-25.0557447,45.1208496,-0.615,0.341
-22.5835822,47.6696777,-0.418,0.331
-15.5489602,48.3947754,-0.755,0.361
-16.4782298,46.9006348,-0.449,0.377
-20.4578958,47.3400879,-0.401,0.365
-18.6150130,48.1091309,-0.387,0.361
-20.7252905,47.8234863,-0.220,0.342
-17.3611242,48.4606934,-0.204,0.366
-23.7350688,46.7248535,-0.656,0.312
-24.8764695,46.0437012,-0.900,0.317
-23.2312505,47.6257324,-0.699,0.331
-20.3549272,48.2629395,-0.448,0.341
-14.8067491,48.0212402,-0.319,0.375
-16.7309063,44.7912598,-0.597,0.386
-19.0101900,48.5705566,-0.409,0.352
-17.3401514,44.3737793,-0.559,0.390
-21.2177003,47.8674316,-0.558,0.326
-15.7393882,47.0764160,-0.146,0.371
-23.0898380,45.9558105,-0.703,0.336
-19.2385495,48.0871582,-0.788,0.355
-20.4990639,45.8239746,-0.232,0.356
-21.5246269,43.6926270,-0.594,0.384
-18.2815179,47.4719238,-0.310,0.363
-23.6948343,47.5817871,-0.300,0.324
-23.4934763,43.9562988,-0.205,0.378
-22.3399141,47.8674316,-0.560,0.326
-19.2385495,46.9445801,-0.017,0.371
-18.3023803,47.1203613,-0.064,0.458
-18.3232401,47.5598145,-0.342,0.363
-20.8896072,44.8352051,-0.474,0.369
-16.3095952,47.4060059,-0.361,0.379
-14.1259215,49.9548340,-0.579,0.340
-19.3007745,47.8015137,-0.197,0.359
-17.8009957,47.9992676,-0.822,0.363
-21.5246269,43.6267090,-0.432,0.398
-21.1767283,47.0544434,-0.132,0.351
-16.4571585,45.4284668,-0.289,0.376
-18.6774709,44.6813965,-0.229,0.375
-15.4219101,49.6911621,0.250,0.358
-16.7309063,45.1428223,-0.854,0.378
-18.9686362,48.7463379,-0.274,0.472
-21.0947502,47.7575684,-0.298,0.333
-17.2981985,44.9670410,-0.840,0.370
-21.6267923,48.1091309,-0.621,0.320
-13.4430519,49.8889160,-0.061,0.338
-18.4066544,48.4167480,-0.259,0.347
-14.2537350,49.8449707,0.057,0.346
-14.3389038,49.0539551,-0.813,0.354
-21.3610128,46.9226074,-0.340,0.347
-16.8571194,49.3176270,-0.322,0.348
-22.5835822,47.0324707,-0.784,0.326
-24.5371290,46.5270996,-0.580,0.316
-19.0517333,46.3952637,-0.108,0.370
-22.6241518,44.2858887,-0.403,0.366
-18.0936440,49.3615723,-0.614,0.346
-20.8896072,47.6257324,-0.535,0.340
-21.6880569,43.5168457,-0.724,0.381
-22.8470703,47.2961426,-0.513,0.318
-23.9561359,45.0109863,-0.206,0.350
-20.7458399,47.7795410,-0.350,0.343
-22.1568828,44.4177246,-0.772,0.369
-23.4934763,46.1315918,-0.467,0.314
-24.9163310,45.6701660,-0.336,0.320
-17.2142640,48.9440918,-0.608,0.347
-14.2750302,49.3395996,-0.191,0.353
-19.0309630,46.1096191,0.088,0.372
-21.1767283,47.0764160,0.121,0.349
-15.7816814,48.5705566,-0.542,0.374
-15.1675773,49.0539551,-0.649,0.364
-19.5908438,47.7355957,-0.450,0.353
-16.4150090,49.8229980,-0.388,0.335
-13.5071552,49.2956543,-0.683,0.352
-23.1706634,47.4060059,-0.511,0.321
-20.3961229,47.2521973,-0.126,0.380
-20.2725029,46.8786621,-0.179,0.360
-24.2369466,45.1647949,-0.713,0.348
-17.0462809,49.2077637,-0.495,0.356
-20.7047384,47.0544434,-0.467,0.373
-20.1075229,46.4392090,-0.473,0.359
-20.3755265,44.4396973,-0.608,0.377
-22.9078031,44.3298340,-0.676,0.430
-13.2078602,49.2297363,-0.330,0.363
-20.1487843,48.4387207,-0.498,0.338
-16.4571585,45.4943848,-0.572,0.375
-14.2324377,47.9553223,-0.721,0.367
-24.9561796,46.6589355,-0.480,0.322
-15.9930146,47.5158691,-0.427,0.410
-24.2169091,46.2854004,-0.126,0.320
-19.6322399,47.0544434,-0.379,0.358
-21.1562380,47.6257324,-0.616,0.334
-15.5701276,46.7907715,-0.502,0.370
-16.0563712,49.6911621,-0.293,0.357
-12.5652867,49.5373535,-0.927,0.362
-20.9922139,45.6481934,0.190,0.356
-23.0089639,45.9338379,-0.429,0.334
-21.4019335,45.9558105,-0.745,0.349
-14.1046123,48.2629395,-0.792,0.364
-12.8439375,49.2956543,-0.088,0.352
-21.8105080,48.1530762,-0.693,0.322
-23.2716267,44.6594238,-0.456,0.360
-24.8764695,44.7033691,-0.429,0.356
-14.4240402,48.9440918,-0.456,0.362
-22.0754590,47.5158691,-0.287,0.321
-18.4483464,47.5598145,-0.373,0.377
-18.9686362,47.9992676,-0.501,0.359
-19.0101900,45.3186035,-0.186,0.366
-22.1365313,47.6916504,-0.301,0.328
-23.7149531,44.1101074,-0.367,0.364
-16.2885057,46.0217285,-0.637,0.373
-25.0955481,46.7028809,-0.370,0.323
-18.4275017,44.9890137,-0.620,0.370
-18.1771685,49.1857910,-0.126,0.346
-13.7207082,49.9108887,-0.457,0.342
-15.8662413,48.3508301,-0.630,0.360
-15.5066188,48.4826660,-0.143,0.358
-14.6154780,49.4714355,0.023,0.358
-22.3195891,46.0656738,-0.451,0.356
-20.3549272,48.1311035,-0.427,0.346
-22.7863104,47.4719238,-0.182,0.329
-14.8067491,49.9328613,-0.542,0.340
-21.5859348,46.7907715,-0.112,0.345
-22.6647094,47.0764160,-0.475,0.320
-16.8781467,49.5373535,-0.421,0.353
-21.2791370,46.8786621,-0.190,0.360
-22.7052551,45.8459473,-0.852,0.345
-20.1487843,47.5817871,0.007,0.357
-20.7047384,47.3620605,-0.138,0.349
-20.6636257,47.2082520,-0.337,0.355
-20.8690774,47.2521973,0.135,0.355
-18.5941885,48.0432129,-0.392,0.379
-22.8268200,47.4499512,-0.091,0.325
-21.6676382,47.8454590,-0.385,0.325
-23.4128467,47.3181152,-0.780,0.317
-18.3858046,46.3732910,-0.493,0.371
-16.0774856,45.4284668,-0.180,0.386
