latitude,longitude,rwi,error
6.4354006,72.9162598,0.496,0.766
2.0979197,73.5534668,0.606,0.714
5.9766803,72.9602051,0.277,0.607
6.2825384,73.1579590,-0.930,0.625
4.2258996,73.5314941,0.198,0.618
0.3405742,73.5314941,-0.173,0.670
4.1163273,73.4436035,-0.182,0.605
5.4738318,73.5534668,-0.379,0.676
6.3043786,73.1140137,-0.243,0.658
1.9442068,73.5534668,0.165,0.688
3.6121068,72.9602051,0.337,0.598
0.2307123,73.2678223,0.807,0.660
5.5613152,73.4655762,0.057,0.686
5.4519589,73.3557129,0.733,0.748
6.5663889,73.0480957,-0.119,0.675
0.5602938,73.2458496,0.039,0.572
6.8282612,73.2019043,0.110,0.743
5.8892605,73.4655762,0.837,0.748
5.5394455,73.0480957,-0.416,0.616
6.6536952,73.0700684,-0.575,0.718
5.8236865,73.3776855,-0.189,0.630
2.3394375,73.3337402,0.187,0.717
3.4805234,73.5534668,0.387,0.725
5.2550677,73.1579590,-0.540,0.606
2.0320445,73.5314941,0.359,0.714
4.4230904,73.3776855,-0.293,0.606
0.7580345,73.4436035,0.283,0.606
6.7628064,73.1799316,0.768,0.753
5.4519589,72.9821777,0.311,0.787
3.9190595,73.4655762,0.243,0.722
2.9759559,73.0261230,0.529,0.741
0.8459165,73.1799316,0.185,0.573
6.7191648,72.9382324,-0.136,0.741
5.7799663,73.3557129,-0.264,0.743
5.1237722,73.1140137,-0.078,0.661
4.2258996,73.5095215,-0.267,0.650
4.4888091,73.3996582,-0.275,0.602
3.9409805,73.4875488,1.190,0.795
0.2966295,73.0480957,0.090,0.553
5.0143386,72.8503418,0.632,0.736
2.7784514,73.4216309,1.081,0.713
3.2173020,73.0480957,-0.544,0.592
5.1894234,73.1359863,-0.170,0.738
5.8018269,73.3557129,0.098,0.720
6.3698938,73.0480957,-0.073,0.609
2.2077054,73.1359863,0.363,0.723
6.3480564,73.0480957,-0.111,0.647
6.9809543,72.8942871,0.939,0.764
3.6778914,73.4216309,0.112,0.721
2.3174830,73.3117676,0.612,0.735
3.9629009,73.5095215,0.250,0.774
6.9591440,73.2019043,0.162,0.707
4.1820725,73.5095215,1.285,0.803
6.5882169,73.0480957,-0.143,0.702
4.9486696,73.4655762,-0.014,0.609
3.5243866,72.9382324,-0.062,0.741
2.1198775,73.5754395,0.765,0.715
6.8064439,73.2019043,0.660,0.728
0.2966295,73.4655762,0.177,0.631
5.6706511,73.2678223,0.298,0.624
6.6755194,73.0920410,0.158,0.739
5.0143386,72.9162598,0.048,0.754
6.1733235,73.2458496,-0.346,0.717
0.2307123,73.1359863,0.386,0.673
6.5445599,72.9602051,0.101,0.750
0.7360637,73.4436035,-0.085,0.636
5.8892605,73.3996582,-0.101,0.734
6.5445599,72.9821777,0.441,0.738
4.1820725,73.5314941,0.923,0.825
-0.6701507,73.1140137,1.036,0.670
0.7140928,73.4436035,0.257,0.566
0.7360637,73.4216309,0.069,0.591
6.3262180,73.2238770,-0.388,0.665
0.3625464,73.5314941,0.252,0.665
1.9222467,73.5534668,0.853,0.727
1.8783255,73.2458496,0.721,0.725
5.9766803,73.3996582,-0.027,0.713
5.2769476,73.5974121,0.218,0.668
3.0856655,73.6413574,-0.326,0.597
2.0100856,73.5314941,0.279,0.719
5.8236865,73.4875488,-0.100,0.741
4.5326183,73.3776855,-0.239,0.609
4.9486696,73.4436035,-0.304,0.653
5.4738318,73.0261230,-0.422,0.743
-0.6042368,73.0920410,1.053,0.686
4.0724942,72.9382324,-0.218,0.691
-0.5822654,73.0920410,0.396,0.629
1.7904800,73.3996582,0.423,0.716
0.4943786,73.5534668,0.102,0.685
6.6318701,73.0700684,0.811,0.748
6.6755194,73.0041504,0.157,0.666
5.1018870,73.0700684,0.334,0.756
0.6262082,73.4436035,0.173,0.618
5.4957038,73.4216309,0.224,0.618
5.4957038,72.8942871,-0.431,0.611
