latitude,longitude,rwi,error
47.9384264,107.1276855,-0.261,0.422
48.1147661,106.4025879,-0.407,0.514
48.8285650,103.5461426,0.505,0.299
43.7314135,111.8737793,0.276,0.388
47.7319340,108.3142090,0.203,0.332
48.9585801,89.9450684,1.256,0.368
48.1000942,106.9299316,0.709,0.345
47.9678583,107.0617676,-0.066,0.289
47.8205313,107.5012207,-0.075,0.293
47.7910157,106.8859863,-0.211,0.351
47.6875786,107.5012207,-0.503,0.326
48.0119746,106.9738770,0.543,0.391
48.1294339,106.9079590,0.287,0.447
48.0707377,106.9299316,0.791,0.409
48.9585801,104.4689941,-0.211,0.267
47.8205313,108.4240723,-0.438,0.276
47.7762515,108.3581543,0.647,0.419
49.6605162,100.1623535,-0.028,0.358
47.9531444,110.8190918,-0.386,0.265
47.9384264,107.1716309,-0.197,0.361
47.9384264,106.9738770,1.075,0.352
47.7910157,107.3034668,0.166,0.326
48.8140980,103.5681152,-0.185,0.308
48.0266717,106.7102051,-0.502,0.263
47.9678583,106.8420410,0.753,0.335
48.0854181,107.0617676,-0.245,0.292
49.1745210,106.4904785,-0.482,0.265
49.6320614,100.1843262,0.686,0.384
43.5565098,104.4030762,0.151,0.393
49.6178278,100.1843262,0.595,0.378
48.0854181,106.9738770,-0.251,0.411
47.8352829,107.3254395,-0.092,0.467
48.0266717,106.4685059,-0.420,0.262
47.5987548,110.7092285,-0.120,0.265
49.0738654,104.0734863,-0.145,0.412
47.5691132,110.6872559,-0.042,0.265
48.8285650,103.5241699,0.986,0.319
47.9531444,106.7761230,-0.460,0.377
48.8140980,103.5241699,0.710,0.360
48.7996268,105.9191895,0.335,0.397
43.5405843,104.4250488,0.375,0.288
47.8647734,106.9519043,0.410,0.408
50.0006772,92.0983887,-0.402,0.425
48.0119746,106.7321777,0.286,0.425
48.0560532,106.5783691,-0.198,0.436
47.9089778,106.7102051,0.150,0.390
47.8795124,106.9958496,0.340,0.347
48.0413646,106.7980957,-0.748,0.287
47.9384264,106.6223145,-0.002,0.339
48.7851515,106.7102051,-0.079,0.358
48.0707377,114.5544434,0.030,0.387
47.4949360,110.9729004,-0.570,0.274
47.8500303,107.4353027,0.017,0.298
48.0413646,107.2375488,0.099,0.403
