latitude,longitude,rwi,error
-15.7816814,33.2336426,-0.374,0.354
-17.9055685,34.3762207,-0.319,0.352
-15.5489602,36.3098145,-0.718,0.350
-20.9511796,32.7062988,-0.705,0.359
-12.7368003,34.9255371,-0.282,0.350
-24.6170569,32.1130371,-0.585,0.349
-20.2725029,32.9699707,-0.300,0.365
-16.2252233,33.8928223,-0.651,0.351
-14.6579971,37.9138184,-0.262,0.361
-14.2750302,35.6066895,-0.758,0.349
-22.9887378,35.2111816,-0.477,0.387
-14.7217604,36.5734863,-0.328,0.354
-24.4571501,34.4641113,-0.699,0.387
-24.6769694,34.0246582,-0.268,0.391
-15.6547754,39.6496582,-0.499,0.381
-12.9724418,35.1232910,-0.031,0.362
-16.8991717,38.9465332,-0.485,0.380
-15.2735868,38.7268066,-0.595,0.380
-22.2789302,34.9694824,-0.718,0.379
-16.5624922,36.1999512,-0.216,0.345
-25.9284066,32.4645996,1.489,0.530
-15.6124559,38.9465332,-0.795,0.380
-16.3095952,36.1340332,-0.561,0.347
-15.1463690,40.1330566,-0.969,0.374
-16.5624922,35.1452637,-0.234,0.361
-15.6336167,37.7819824,-0.006,0.356
-14.6579971,31.7834473,-0.630,0.348
-18.1354112,36.5295410,-0.695,0.363
-14.3601909,38.0017090,-0.735,0.361
-14.4665962,40.4406738,-0.375,0.417
-24.8764695,33.7390137,-0.363,0.393
-14.6792536,37.1008301,-0.721,0.350
-16.5203656,36.1560059,0.060,0.346
-18.9686362,32.7941895,-0.254,0.398
-19.3007745,32.9479980,-0.417,0.364
-24.9163310,32.5524902,-0.701,0.367
-15.3583559,38.7487793,-0.575,0.378
-14.7005081,34.4860840,-0.423,0.340
-15.3371669,37.8698730,-0.398,0.358
-16.2885057,34.3542480,-0.902,0.342
-21.0947502,34.6179199,-0.787,0.385
-24.5770993,33.3654785,-0.139,0.365
-15.3159757,39.5178223,-0.259,0.385
-14.9766264,38.5949707,-1.025,0.386
-14.8067491,40.1330566,-0.624,0.385
-14.9766264,40.0231934,-0.366,0.397
-15.7182383,36.5734863,-0.775,0.351
-15.4007275,39.1662598,-0.557,0.375
-18.0936440,33.2116699,-0.478,0.362
-15.9718913,37.3205566,-0.535,0.349
-14.0833011,40.5065918,-0.729,0.377
-14.4665962,34.0905762,-0.411,0.365
-19.0725011,33.4533691,0.079,0.454
-23.1706634,35.3210449,-0.105,0.597
-11.7060306,39.5178223,-0.436,0.366
-17.5916666,36.7272949,-0.427,0.452
-20.4784813,34.0246582,-0.694,0.369
-24.3370866,33.1018066,-0.479,0.367
-14.9341696,39.4958496,-0.230,0.378
-15.5489602,39.0783691,-0.333,0.375
-19.9217124,33.7829590,-0.867,0.363
-16.6046096,34.7717285,-0.171,0.346
-24.7568079,33.8708496,-0.564,0.379
-17.9055685,34.3322754,-0.406,0.352
-14.9766264,39.5837402,-0.439,0.396
-15.5277906,38.5729980,-0.669,0.391
-16.5414301,35.6066895,-0.389,0.342
-13.5925995,39.8474121,-0.574,0.404
-14.4240402,34.2663574,-0.320,0.347
-13.9980363,38.5949707,-0.939,0.381
-15.9718913,37.3645020,-0.412,0.351
-18.6358348,34.1345215,-0.430,0.366
-23.4531676,35.2111816,-0.900,0.407
-25.4135082,32.7062988,-0.406,0.362
-26.3032638,32.3547363,-0.324,0.421
-15.6970862,36.8811035,-0.668,0.355
-15.3159757,37.2106934,-0.592,0.366
-20.2931131,33.2556152,-0.780,0.359
-24.4371475,35.0354004,-0.996,0.390
-20.1900348,32.8820801,-0.276,0.363
-20.2931131,34.6618652,-0.723,0.372
-22.9887378,34.3103027,-0.311,0.387
-16.0774856,37.5622559,-0.556,0.360
-19.5494371,33.7829590,-0.412,0.380
-16.2674138,37.3864746,-0.588,0.358
-13.8914108,37.1008301,-0.685,0.372
-24.3170649,35.0793457,-0.112,0.400
-14.0406726,35.5187988,-0.495,0.349
-17.5078668,35.8703613,-0.457,0.357
-16.8781467,36.3757324,-0.719,0.417
-16.6888167,35.5627441,-0.572,0.341
-24.8166532,33.8488770,-0.461,0.373
-14.8917045,34.1345215,-0.456,0.350
-14.6579971,38.8806152,-0.127,0.514
-22.5024071,34.9035645,-0.385,0.376
-15.2523892,36.4196777,-0.565,0.346
-24.5371290,33.1677246,-0.189,0.372
-18.7399059,34.0246582,-0.698,0.371
-15.9085080,39.2541504,-0.618,0.376
-14.4665962,33.1896973,-0.683,0.343
-18.8023178,33.1237793,-0.803,0.356
-15.0402957,38.0236816,-0.824,0.376
-15.8873757,39.8034668,-0.266,0.384
-13.0152618,35.3210449,-0.567,0.370
-14.6792536,38.6169434,-0.508,0.379
-14.7005081,34.1345215,-0.764,0.340
-17.6126105,34.3322754,-0.685,0.358
-15.0402957,38.3312988,0.769,0.548
-23.1302568,35.1013184,-0.661,0.383
-14.9129381,36.6174316,-0.407,0.350
-14.1472288,35.6066895,-0.243,0.349
-11.6199546,35.0573730,-0.175,0.348
-16.3728503,38.5729980,-0.605,0.375
-19.4251534,33.1677246,-0.666,0.361
-20.0868882,33.5852051,-0.729,0.363
-13.9767151,37.2106934,-0.750,0.366
-22.9280413,32.0251465,-0.480,0.356
-24.1166746,34.6398926,-0.425,0.382
-14.1898373,40.4846191,-0.747,0.383
-14.4240402,40.3747559,-0.483,0.384
-19.4044302,33.4753418,-0.569,0.377
-15.6124559,39.2980957,-0.976,0.389
-15.2099875,38.0017090,-0.768,0.367
-18.3440975,35.8483887,-0.311,0.371
-14.4878712,40.1550293,-0.878,0.374
-18.2397857,35.8923340,-0.833,0.371
-15.6759319,37.6501465,0.070,0.389
-16.7098626,37.0349121,-0.719,0.372
-18.4691886,35.9582520,-0.825,0.369
-16.3306825,37.3645020,-0.495,0.356
-16.6467178,33.6511230,-1.080,0.346
