latitude,longitude,rwi,error
15.6124559,-7.0642090,-0.450,0.268
16.5835521,-12.0520020,-0.211,0.257
15.8662413,-11.0412598,-0.210,0.261
17.1932744,-12.2058105,-0.104,0.404
16.1197076,-9.9426270,-0.512,0.263
16.6467178,-11.5026855,-0.626,0.269
16.4782298,-10.0524902,-0.010,0.273
15.7605359,-8.6682129,-0.476,0.267
17.4449916,-14.9963379,-0.878,0.254
16.6256648,-11.4367676,0.475,0.374
16.0352546,-5.7019043,-0.316,0.257
16.5203656,-8.0090332,-0.183,0.264
15.6547754,-9.5251465,-0.397,0.266
16.2041247,-12.0520020,-0.166,0.258
16.5624922,-9.7888184,-0.837,0.259
16.5835521,-15.6994629,-0.358,0.261
17.4659524,-11.3928223,-0.258,0.265
15.6124559,-7.1960449,-0.677,0.270
16.4782298,-15.7214355,0.325,0.260
17.0042615,-13.9636230,-0.072,0.284
16.1619207,-8.4484863,-0.881,0.265
16.7309063,-14.8205566,-0.582,0.262
17.8637468,-12.2058105,-0.359,0.260
15.5489602,-8.7121582,-0.724,0.283
16.4360849,-12.8210449,-0.553,0.280
17.0882909,-10.2502441,-0.474,0.258
16.2885057,-7.4816895,-0.478,0.265
16.6888167,-15.0183105,-0.171,0.264
15.3795428,-12.2058105,-0.651,0.280
16.1619207,-10.3601074,-0.595,0.261
16.8360897,-11.7883301,-0.758,0.297
16.6888167,-12.6013184,-0.242,0.259
16.2252233,-8.5144043,-0.826,0.263
15.8662413,-9.4592285,-0.769,0.273
15.5489602,-7.0202637,-0.463,0.390
15.6336167,-7.4816895,-0.563,0.266
16.8360897,-12.8210449,-0.522,0.272
16.6677684,-11.5905762,-1.015,0.257
16.4782298,-12.4914551,-0.563,0.266
15.5912928,-10.7995605,-0.668,0.267
15.6124559,-10.0524902,-0.923,0.266
16.2674138,-13.8977051,-0.492,0.268
20.7663865,-12.9968262,-0.236,0.352
15.4430906,-12.8869629,-0.408,0.269
15.7393882,-10.4699707,-0.335,0.264
15.0402957,-12.0739746,-0.431,0.266
16.7519476,-13.1066895,-0.661,0.260
16.3939308,-7.8552246,0.020,0.295
15.5489602,-8.8439941,-0.968,0.270
17.9473804,-15.9851074,-0.357,0.333
15.6336167,-10.2282715,-0.560,0.268
17.5078668,-13.1726074,0.038,0.255
15.6970862,-8.0749512,-0.403,0.267
17.1092924,-13.8977051,-0.136,0.267
16.6888167,-9.5910645,-0.454,0.260
16.6467178,-9.5471191,-0.702,0.260
15.7393882,-9.9865723,-0.450,0.266
20.9716982,-11.6564941,-0.339,0.248
16.5414301,-8.0529785,0.214,0.262
17.4659524,-12.8649902,-0.628,0.254
18.0309744,-15.7434082,-0.333,0.336
16.1197076,-7.2839355,-0.286,0.266
16.0774856,-12.2277832,-0.301,0.259
16.5203656,-12.0739746,-0.522,0.257
16.6677684,-9.6130371,1.358,0.428
16.3728503,-12.3156738,-0.420,0.273
16.1830238,-13.7658691,-0.581,0.269
16.1830238,-7.3718262,-0.197,0.268
16.5203656,-11.4587402,-0.434,0.256
19.5287298,-12.1179199,-0.512,0.255
17.0672871,-15.1501465,-0.275,0.354
17.1932744,-14.8864746,-0.052,0.303
16.3517676,-8.5363770,-0.581,0.263
15.0827314,-12.6232910,-0.626,0.309
15.7393882,-11.0192871,-0.639,0.264
16.4360849,-12.7331543,-0.338,0.260
16.2885057,-7.4157715,-0.010,0.265
15.7605359,-11.1071777,-0.665,0.260
16.4782298,-14.0954590,-0.129,0.314
15.5701276,-8.0749512,-0.130,0.287
15.7605359,-7.9870605,0.132,0.266
16.3306825,-7.5036621,-0.087,0.265
16.2252233,-11.5905762,-1.016,0.257
15.8451046,-11.8762207,-0.990,0.275
16.3939308,-10.1843262,0.547,0.390
18.1354112,-12.3376465,0.139,0.263
15.6336167,-11.9860840,-0.870,0.281
16.7519476,-15.6335449,-0.604,0.258
21.2791370,-14.9963379,-0.996,0.316
17.0462809,-12.6892090,-0.452,0.260
15.7816814,-7.8771973,-0.025,0.281
17.7800738,-12.1618652,-0.297,0.260
17.2562360,-15.4138184,-0.987,0.258
16.2463197,-12.9309082,-0.424,0.267
16.3306825,-16.4685059,-0.666,0.257
17.2772184,-12.3376465,-0.648,0.325
15.1463690,-12.5134277,-0.429,0.270
16.4360849,-13.0847168,-0.308,0.263
15.7605359,-5.6359863,0.012,0.258
