latitude,longitude,rwi,error
-20.2106559,57.4255371,0.558,0.589
-19.7149999,63.3581543,-0.262,0.488
-19.7149999,63.3801270,0.571,0.577
-10.3905714,56.6125488,-0.432,0.508
-20.1487843,57.6232910,0.523,0.574
-20.4784813,57.3815918,0.709,0.579
-19.9836736,57.6232910,0.764,0.595
-20.1694109,57.6672363,0.724,0.591
-20.4373076,57.3156738,0.703,0.638
-20.3343253,57.3596191,0.716,0.606
-20.1281550,57.6892090,0.266,0.588
-19.6943139,63.4680176,0.400,0.593
-20.0662507,57.6013184,0.936,0.578
-20.4373076,57.5793457,0.122,0.583
-20.2725029,57.3815918,1.326,0.600
-20.1281550,57.7111816,-0.004,0.587
-20.1075229,57.6892090,1.185,0.607
-20.4990639,57.5354004,0.049,0.556
-20.2106559,57.6232910,0.180,0.591
-20.1075229,57.5354004,0.781,0.583
-20.4578958,57.5793457,0.372,0.594
-19.7356832,63.3581543,-0.295,0.521
-20.1075229,57.7331543,0.421,0.579
-20.3961229,57.6892090,1.113,0.586
-20.3755265,57.4694824,-0.340,0.559
-20.2312743,57.6892090,0.096,0.572
-20.4167166,57.6452637,0.465,0.568
-19.7356832,63.3801270,0.905,0.580
-20.1900348,57.6892090,-0.136,0.586
-20.3549272,57.5354004,-0.122,0.592
-20.1487843,57.6013184,0.267,0.596
-20.0662507,57.5793457,0.932,0.595
-20.3755265,57.3815918,0.664,0.661
-20.4578958,57.6672363,0.678,0.606
-20.2725029,57.4255371,0.556,0.605
-20.2725029,57.7331543,0.359,0.587
-20.0456105,57.5354004,1.008,0.601
-20.4373076,57.7111816,1.131,0.606
-20.2518900,57.5134277,0.643,0.572
-20.1694109,57.7111816,0.228,0.562
-20.4373076,57.6672363,1.122,0.613
-20.3549272,57.5573730,-0.111,0.560
-19.6943139,63.4460449,0.744,0.583
-20.1487843,57.7111816,-0.137,0.569
-20.4990639,57.6013184,-0.331,0.526
-20.4373076,57.6232910,0.830,0.545
-20.1075229,57.6232910,0.171,0.593
-20.0249676,57.5354004,0.106,0.613
-20.3137206,57.5354004,0.971,0.597
-20.4990639,57.4035645,0.901,0.623
-20.0868882,57.6672363,0.453,0.544
-20.3137206,57.6892090,-0.231,0.560
-20.2106559,57.7770996,1.003,0.592
-20.3343253,57.5793457,0.032,0.593
-20.4784813,57.5573730,0.941,0.586
-20.4167166,57.4914551,0.409,0.580
-19.6943139,63.4020996,0.406,0.567
-20.4578958,57.4914551,0.009,0.576
-20.3549272,57.4914551,0.513,0.557
-20.3755265,57.6452637,0.059,0.612
-20.2931131,57.5134277,1.067,0.588
-20.3343253,57.3815918,0.599,0.610
-19.7356832,63.4240723,0.224,0.555
-20.1900348,57.7331543,0.995,0.623
-20.4167166,57.3815918,0.022,0.577
-20.1075229,57.6013184,0.003,0.592
-20.0249676,57.6672363,1.146,0.592
-20.2106559,57.4694824,1.328,0.605
-20.2931131,57.6013184,0.082,0.621
-20.2106559,57.5354004,1.001,0.601
-19.9836736,57.6013184,0.989,0.620
-20.2312743,57.7111816,0.278,0.581
-20.1487843,57.7331543,0.559,0.562
-20.3961229,57.5793457,0.677,0.571
-20.1900348,57.4035645,0.865,0.592
-20.3343253,57.4694824,0.981,0.596
-20.2106559,57.7551270,0.673,0.581
-20.2931131,57.5573730,0.464,0.576
-20.4578958,57.4694824,-0.117,0.554
-20.2931131,57.5354004,0.894,0.572
-20.2518900,57.7770996,1.002,0.577
-20.3755265,57.7331543,0.192,0.588
-20.1281550,57.5573730,0.350,0.568
-20.2312743,57.5354004,1.051,0.598
-20.2725029,57.5134277,1.172,0.594
-20.3755265,57.5793457,0.528,0.572
-20.2312743,57.7331543,0.509,0.586
-20.1694109,57.7770996,0.764,0.636
-20.5196439,57.4914551,0.579,0.596
-20.2725029,57.4694824,1.174,0.551
-20.1281550,57.5134277,1.225,0.615
-20.0249676,57.5573730,1.031,0.602
-20.2518900,57.7111816,-0.109,0.605
-20.3137206,57.6013184,0.216,0.610
-20.3961229,57.4694824,0.209,0.588
-19.7563639,63.3581543,0.276,0.553
-20.1281550,57.5354004,1.618,0.594
-20.2312743,57.5573730,0.896,0.560
-20.4167166,57.6232910,1.031,0.582
-20.5196439,57.5134277,1.079,0.607
-20.2312743,57.4694824,1.319,0.548
-20.2725029,57.6672363,0.336,0.588
-20.4373076,57.3596191,0.746,0.590
-20.1487843,57.5354004,1.078,0.613
-19.7149999,63.4460449,0.571,0.598
-20.2931131,57.4914551,1.566,0.594
-20.0249676,57.6013184,0.646,0.581
-20.0662507,57.6452637,0.723,0.584
-20.2725029,57.4475098,0.542,0.596
-20.4167166,57.3596191,0.805,0.594
-20.4990639,57.4255371,0.849,0.602
-20.2106559,57.7111816,0.829,0.577
-20.2931131,57.3815918,-0.059,0.600
-20.2931131,57.4035645,0.710,0.582
-20.2312743,57.4475098,0.946,0.600
-20.2106559,57.4475098,0.579,0.585
-20.4167166,57.5573730,0.793,0.594
-20.2518900,57.5793457,0.923,0.593
-20.0662507,57.6892090,0.435,0.611
-20.3755265,57.6672363,-0.035,0.577
