latitude,longitude,rwi,error
-15.8451046,35.4089355,-0.342,0.380
-9.5682508,33.3215332,-0.450,0.374
-13.5285192,33.3874512,-0.655,0.361
-13.9767151,33.6291504,0.179,0.468
-13.1650736,33.5192871,-0.358,0.417
-12.4580325,33.6511230,-0.262,0.363
-16.2041247,35.3210449,-0.043,0.344
-15.1463690,35.0573730,-0.714,0.363
-13.3575541,33.9587402,-0.124,0.363
-9.8714518,33.3654785,-0.263,0.436
-16.1830238,35.0793457,-0.011,0.395
-13.3789314,33.2775879,-0.483,0.364
-15.7816814,35.1232910,0.129,0.405
-12.4365763,34.0466309,-0.295,0.366
-12.5223904,33.7170410,-0.739,0.357
-13.8914108,34.5739746,0.067,0.362
-16.4782298,34.9035645,0.237,0.406
-16.8781467,35.2770996,-0.355,0.364
-13.1222796,33.4973145,-0.434,0.401
-11.5123222,33.6511230,-0.649,0.416
-12.3936586,34.0246582,-0.739,0.385
-16.0563712,34.5520020,-0.530,0.360
-16.1197076,34.7937012,0.176,0.367
-13.5925995,33.0139160,-0.706,0.355
-15.6547754,35.4089355,-0.129,0.361
-12.7582314,33.4533691,-0.665,0.384
-12.3078021,33.6730957,-0.371,0.359
-14.6154780,35.5627441,-0.209,0.360
-10.0445848,33.3874512,-0.616,0.360
-16.1408153,34.7497559,-0.134,0.364
-15.8451046,35.0354004,0.362,0.496
-14.7430107,35.4089355,-0.054,0.363
-15.1887835,34.7717285,-0.234,0.363
-16.8360897,35.2990723,-0.311,0.364
-13.5285192,33.0578613,-0.112,0.355
-13.7420528,33.2556152,-0.391,0.353
-15.7182383,35.2111816,-0.505,0.371
-14.9341696,34.8815918,0.563,0.435
-13.8487469,34.3542480,-0.240,0.373
-13.2934109,33.6950684,0.124,0.373
-12.7796606,33.5852051,-0.636,0.362
-15.4854449,35.1232910,-0.403,0.360
-15.6124559,35.2551270,0.240,0.434
-14.7005081,34.5959473,-0.537,0.360
-13.3361750,33.9587402,-0.236,0.362
-16.1197076,35.4528809,-0.273,0.349
-13.5712413,33.2556152,-0.303,0.354
-14.0193555,33.8708496,-0.050,0.610
-16.0774856,34.7277832,-0.410,0.360
-13.5071552,33.5412598,-0.782,0.360
-11.2322862,33.5632324,-0.561,0.362
-10.8440961,33.5192871,-0.506,0.386
-15.7605359,34.7937012,-0.424,0.398
-13.4430519,33.0798340,-0.602,0.359
-11.2107336,34.1784668,-0.499,0.369
-11.8781020,33.6071777,-0.034,0.479
-15.1463690,35.1672363,-0.219,0.361
-13.6993616,34.5959473,0.536,0.451
-11.2322862,33.5852051,-0.348,0.363
-14.2750302,34.0686035,-0.031,0.356
-13.8914108,33.4094238,0.004,0.356
-12.6296178,33.7609863,-0.487,0.355
