latitude,longitude,rwi,error
-17.4659524,16.5124512,-0.667,0.444
-18.1354112,16.1828613,-0.675,0.458
-17.6963617,15.2819824,-0.322,0.549
-17.6963617,14.9084473,-0.152,0.501
-17.6544909,15.4797363,0.738,0.608
-17.6126105,15.9631348,-0.469,0.504
-17.7172934,15.1721191,-0.453,0.440
-17.6335519,14.5788574,-0.604,0.441
-17.5916666,16.8640137,-0.715,0.453
-18.3023803,16.5563965,-0.518,0.523
-18.3023803,16.3806152,-0.426,0.473
-18.1354112,16.5344238,-0.845,0.446
-17.6754275,15.5456543,-0.137,0.491
-17.6126105,15.1062012,-0.717,0.438
-18.1980434,16.9958496,-0.778,0.437
-17.6335519,15.7653809,-0.694,0.485
-22.6647094,14.6008301,0.272,0.559
-17.9473804,20.1159668,-0.525,0.489
-17.9891824,15.7214355,-0.408,0.447
-17.7591494,15.2819824,-0.365,0.466
-17.6963617,16.3806152,-0.863,0.449
-17.5078668,16.6223145,-0.695,0.440
-17.8637468,15.7434082,-0.340,0.525
-17.7382226,15.3259277,-0.082,0.556
-18.0100796,15.6774902,-0.740,0.442
-18.3440975,16.7761230,-0.680,0.443
-17.4869108,15.8312988,0.110,0.451
-17.8009957,15.2160645,-0.583,0.461
-17.7172934,24.5324707,0.512,0.631
-17.7172934,16.1169434,-0.515,0.446
-17.6335519,15.7873535,-0.405,0.464
-17.5288204,24.3347168,-0.255,0.509
-17.8219152,16.6223145,-0.922,0.459
-17.5078668,18.5119629,-0.754,0.460
-23.6545875,19.4128418,0.264,0.526
-17.4449916,18.4460449,-0.685,0.459
-17.4240283,14.4470215,-0.079,0.557
-17.6126105,14.9963379,-0.928,0.452
-17.8637468,16.9519043,-0.593,0.450
-23.7953972,16.6223145,-0.615,0.529
-18.0518668,16.7321777,-0.405,0.456
-17.5707203,16.1389160,-1.007,0.453
-17.4659524,14.4250488,-0.431,0.445
-17.9473804,23.4997559,-0.039,0.464
-18.2189158,16.6662598,-0.654,0.445
-17.9055685,16.6662598,-0.304,0.442
-17.6335519,24.8840332,-0.955,0.499
-17.9264757,20.1159668,-0.413,0.497
-17.4240283,13.2604980,0.351,0.481
-17.9891824,16.0949707,-0.442,0.510
-24.8365952,18.7976074,-0.634,0.483
-18.0100796,19.5227051,-0.526,0.451
-21.1357449,18.7976074,0.145,0.574
-17.4030627,15.8312988,-0.289,0.462
-22.4211843,18.9514160,-0.043,0.564
-17.4659524,14.8425293,-0.870,0.476
