latitude,longitude,rwi,error
14.0833011,2.1862793,-0.448,0.285
14.8704688,5.2624512,0.239,0.439
14.3601909,5.3503418,-0.390,0.304
13.6566625,9.0417480,-0.639,0.261
14.3389038,4.8010254,-0.594,0.268
12.9510290,9.1296387,-0.885,0.264
14.1046123,3.3508301,-0.870,0.267
13.7847363,2.8454590,-0.612,0.282
14.0619878,1.4392090,-0.515,0.269
14.2111385,8.9318848,-1.020,0.276
14.6792536,7.1520996,-0.594,0.278
13.8060751,7.5476074,-0.740,0.265
14.4878712,7.5036621,-0.994,0.263
14.4453192,6.8664551,-0.420,0.263
13.1864679,1.7248535,-0.770,0.271
14.0833011,3.0871582,-0.728,0.269
15.3583559,6.0754395,-0.260,0.265
15.1675773,5.5041504,-0.308,0.264
13.0794780,1.0217285,-0.576,0.275
14.2111385,7.2839355,-0.809,0.278
13.4857894,2.9553223,-0.541,0.315
17.2772184,8.1188965,-0.516,0.261
13.3147939,2.5598145,-0.813,0.308
13.2934109,12.6013184,0.286,0.328
13.9127399,6.4050293,-0.515,0.285
14.0833011,5.6140137,-0.541,0.270
12.7153674,1.7028809,-0.665,0.272
17.4659524,8.4704590,-0.552,0.259
13.4003068,2.8674316,-0.459,0.268
14.5729506,5.4821777,-0.197,0.266
14.2750302,8.5803223,-0.967,0.264
13.6566625,10.9313965,-0.491,0.268
13.5071552,7.8991699,-0.484,0.311
13.7633955,8.0529785,-0.275,0.394
12.8867796,1.7687988,-0.723,0.272
14.0406726,6.3830566,-0.199,0.267
14.8067491,9.1955566,-0.894,0.277
14.5516838,2.2082520,-0.732,0.269
14.2750302,5.9216309,-0.789,0.267
14.6154780,0.8239746,-0.793,0.271
18.7815164,7.3278809,-0.146,0.332
15.8239658,6.1413574,-0.444,0.271
14.7642589,9.2614746,-0.670,0.261
13.7847363,9.8107910,-1.108,0.265
12.9938527,3.1750488,-0.200,0.318
14.4665962,8.0529785,-0.933,0.289
14.0833011,8.8659668,-0.446,0.276
13.4003068,9.7448730,-0.432,0.279
15.2947823,7.6574707,-1.011,0.294
14.1046123,13.3044434,-0.641,0.266
11.8350943,3.6145020,-0.363,0.307
13.7633955,4.4714355,-0.589,0.301
15.2311894,6.7785645,-0.474,0.267
14.7855051,8.1188965,-1.220,0.265
13.6566625,12.0080566,-0.591,0.282
