latitude,longitude,rwi,error
12.8225137,-84.4738770,-0.219,0.307
12.6081759,-84.3420410,-0.283,0.311
13.3789314,-85.1110840,-0.687,0.314
11.1891794,-84.3859863,-0.794,0.315
12.4580325,-85.4406738,-0.397,0.332
12.8439375,-85.8581543,-0.603,0.387
13.4644216,-84.1662598,-0.344,0.309
11.3831090,-84.8034668,-0.008,0.427
11.7275454,-86.2756348,-0.157,0.323
11.2753865,-85.8142090,-0.961,0.503
13.9340669,-86.1437988,-0.133,0.397
13.5712413,-85.7482910,-1.042,0.299
13.1008797,-84.3859863,-0.479,0.306
12.7582314,-85.0671387,-0.679,0.332
13.9767151,-84.6936035,-0.179,0.472
13.2934109,-85.8801270,-0.318,0.423
11.5338520,-84.3200684,-0.544,0.341
12.0070844,-85.1550293,-0.046,0.433
12.3507339,-86.9348145,-0.675,0.317
13.8914108,-85.3967285,-0.331,0.409
13.6353101,-85.7263184,-0.402,0.314
12.8439375,-85.0671387,-0.468,0.299
13.4430519,-85.6604004,-0.491,0.409
12.1789647,-84.4079590,-0.574,0.359
13.0152618,-84.4958496,-0.931,0.321
14.0406726,-85.3088379,-0.611,0.302
12.3292689,-86.6052246,-0.018,0.378
12.6724962,-85.9020996,-0.490,0.450
13.9553920,-84.4079590,-0.555,0.416
11.8350943,-85.1770020,-0.673,0.344
12.6081759,-84.4519043,-0.471,0.309
13.4430519,-84.9353027,-0.898,0.301
11.5769066,-84.3859863,-0.601,0.317
12.9510290,-85.3747559,-0.482,0.352
13.0580745,-86.7370605,-0.660,0.314
13.9767151,-86.1218262,-0.410,0.317
12.8225137,-87.3083496,-0.635,0.296
13.8060751,-85.0671387,-0.675,0.301
11.8996033,-84.7595215,-0.487,0.333
13.0794780,-86.0559082,-0.498,0.377
12.9938527,-86.0998535,-0.577,0.334
11.5338520,-84.2102051,-0.424,0.332
13.7420528,-84.6057129,-0.784,0.332
13.0366691,-87.5280762,-0.370,0.330
12.5009395,-85.3967285,-0.528,0.296
11.5984314,-84.4079590,-0.893,0.317
11.0813844,-84.3640137,-0.836,0.350
13.3789314,-85.0671387,-0.418,0.299
13.2078602,-84.1003418,-0.636,0.310
12.0500648,-84.7595215,-0.373,0.351
13.3361750,-86.5173340,-0.573,0.384
12.0715524,-84.6057129,-0.604,0.385
12.2219175,-86.3854980,0.856,0.428
11.8996033,-86.5832520,-0.275,0.379
13.2506393,-86.2536621,-0.031,0.395
12.1360050,-86.1218262,0.574,0.438
12.0500648,-86.1877441,1.179,0.434
11.8781020,-86.3195801,-0.292,0.358
14.1259215,-83.9904785,-0.828,0.332
12.7796606,-85.4187012,-0.655,0.296
12.8439375,-84.3420410,-0.179,0.324
12.9510290,-84.5617676,-0.492,0.304
13.9127399,-83.7927246,-0.557,0.324
14.2750302,-84.3640137,-0.575,0.307
12.5438394,-86.0559082,0.288,0.380
12.4580325,-84.7375488,-0.607,0.320
11.6414761,-84.1882324,-0.586,0.409
11.8565990,-85.1110840,-0.651,0.337
12.3292689,-86.2097168,-0.477,0.371
12.8010881,-85.7702637,-0.104,0.317
12.7796606,-86.9567871,0.051,0.469
12.5438394,-84.0783691,-0.333,0.316
13.4857894,-85.3527832,-0.802,0.401
13.5925995,-86.1657715,-0.116,0.373
12.6939327,-84.2541504,-0.508,0.311
12.8225137,-85.0451660,-1.067,0.313
12.7368003,-86.0998535,-0.405,0.441
13.9553920,-85.4187012,-0.592,0.325
13.1650736,-85.7043457,-0.544,0.349
13.6353101,-84.6057129,-0.534,0.326
11.6199546,-84.0344238,-0.619,0.345
13.2720261,-84.4519043,-1.127,0.304
13.5071552,-85.7263184,-0.722,0.298
12.5223904,-84.0563965,-0.629,0.341
12.1789647,-85.4626465,-0.477,0.328
13.3361750,-86.1657715,-0.520,0.312
13.5285192,-86.4514160,-0.623,0.329
12.8653594,-86.3635254,-0.834,0.351
12.7153674,-84.5397949,-0.537,0.307
11.9640971,-85.1550293,-0.169,0.454
11.2753865,-84.3200684,-0.225,0.331
13.2934109,-86.6491699,0.712,0.474
12.6081759,-84.7375488,-0.585,0.388
12.9296144,-85.8581543,0.305,0.416
13.9340669,-85.5505371,-0.715,0.301
10.8440961,-83.6828613,-0.209,0.335
12.8225137,-87.5061035,-0.170,0.381
12.1789647,-85.5065918,-0.651,0.351
12.4365763,-84.3640137,-0.344,0.352
12.6296178,-84.8474121,-0.811,0.326
13.2506393,-84.9572754,-0.443,0.301
11.1676236,-85.0012207,-0.425,0.437
11.9855916,-84.2321777,-0.747,0.336
12.5438394,-85.5505371,-0.413,0.352
