latitude,longitude,rwi,error
29.6021178,81.3317871,-0.046,0.425
27.7127098,83.1994629,0.061,0.465
27.7710508,83.3532715,-0.608,0.510
27.5374999,86.5612793,-0.713,0.467
27.5764596,85.9020996,-0.064,0.452
28.2947070,83.4411621,-0.381,0.410
27.3620101,87.8356934,-0.348,0.462
27.4400400,86.3854980,-0.180,0.399
28.2753578,82.0349121,-0.487,0.380
28.2172893,84.3640137,-0.111,0.484
27.4205377,86.6052246,-0.501,0.508
28.1010575,83.3752441,-0.346,0.466
27.6348734,86.2316895,0.397,0.511
27.7321603,85.3527832,1.741,0.459
28.1591892,81.5954590,-0.659,0.490
29.2001230,80.5627441,-0.442,0.386
27.4010320,83.8366699,0.513,0.454
27.0297703,86.5612793,-0.165,0.383
28.4880048,81.7932129,-0.336,0.449
29.4682962,81.0681152,-0.353,0.369
27.8682161,84.4079590,-0.359,0.460
28.2560052,82.1228027,-0.613,0.387
27.1666948,86.1657715,-0.844,0.373
27.4595389,86.2756348,-0.218,0.424
28.1204382,84.2761230,-0.434,0.508
27.0297703,87.0227051,0.019,0.393
27.1471444,87.3303223,-0.763,0.449
29.2001230,81.9909668,-0.375,0.368
27.4595389,87.2424316,-0.694,0.396
28.4686909,81.1560059,-0.162,0.489
27.4205377,84.4299316,-0.373,0.410
28.4686909,82.2326660,-0.566,0.414
29.2959801,82.1447754,-0.684,0.372
27.0689087,86.5612793,-0.256,0.387
27.4010320,86.8688965,-0.764,0.384
27.3034516,85.8581543,-0.137,0.405
27.8876388,85.4187012,-0.678,0.496
27.9264736,83.3752441,0.154,0.427
27.7710508,86.0559082,-0.544,0.386
27.4985263,86.0119629,-0.522,0.401
27.1471444,87.9455566,-0.643,0.396
29.1617551,81.5295410,-0.743,0.367
28.6038140,80.8044434,-0.127,0.433
28.1010575,82.8479004,1.035,0.529
27.1666948,87.2863770,-0.221,0.491
27.9652945,82.5842285,-0.493,0.394
28.5073151,82.7380371,-0.580,0.379
29.4300290,81.2878418,-0.230,0.404
27.9070579,85.7702637,-0.043,0.475
27.4400400,85.8801270,0.533,0.483
28.2366490,84.2102051,0.426,0.509
29.4491644,81.6174316,-0.643,0.364
27.7127098,83.6389160,-0.536,0.454
27.0101960,84.8913574,0.809,0.539
27.0884727,87.1984863,-0.344,0.409
28.8157994,80.5627441,0.588,0.524
27.7904908,85.7263184,0.352,0.452
26.4607376,86.6931152,0.114,0.462
26.7750390,87.8576660,-0.005,0.447
27.0297703,86.6271973,-0.467,0.397
27.9264736,82.1228027,-0.684,0.381
26.8142658,87.3962402,-0.478,0.437
28.6423887,82.2326660,-0.379,0.466
29.2384766,82.1008301,-0.248,0.419
28.5845213,83.2434082,-0.789,0.415
28.2753578,83.0456543,-0.664,0.433
27.9652945,85.5505371,0.158,0.493
27.2839252,85.0891113,-0.149,0.451
28.9120143,81.0900879,-0.218,0.404
27.6154056,84.8474121,-0.727,0.446
27.3620101,83.3752441,-0.431,0.420
28.7965458,81.8811035,-0.303,0.364
26.8142658,87.9895020,-0.394,0.447
28.7387635,80.7604980,0.254,0.520
28.5845213,82.6062012,-0.441,0.365
26.7946541,85.7702637,0.699,0.519
29.3534512,81.0241699,-0.439,0.369
27.0884727,87.5061035,-0.119,0.405
28.1204382,81.6174316,0.043,0.577
27.4010320,85.2648926,-0.154,0.425
28.1398155,81.5075684,0.066,0.449
26.9906183,87.7478027,-0.730,0.412
28.8542961,80.8923340,-0.256,0.375
28.8735390,81.7492676,-0.135,0.478
27.6348734,83.3312988,0.073,0.481
28.9504752,81.2878418,-0.312,0.382
27.4790343,83.7927246,0.402,0.502
28.5459253,81.0241699,0.221,0.487
28.6231031,82.1667480,-0.687,0.472
28.2947070,84.2761230,-0.497,0.433
28.3720684,81.8371582,-0.739,0.387
29.0081399,81.4416504,-0.250,0.381
27.0101960,85.1770020,-0.025,0.466
29.0849761,80.6726074,-0.624,0.405
26.5590496,87.6379395,-0.111,0.473
27.8682161,83.4631348,0.671,0.490
28.6616708,82.0349121,-0.370,0.394
26.9318647,86.0119629,-0.853,0.445
27.1275906,86.1657715,-0.086,0.470
27.9264736,83.4191895,-0.242,0.447
27.2253254,85.1770020,-0.208,0.489
26.5787018,87.3962402,0.064,0.453
28.2560052,82.7380371,0.346,0.536
27.3620101,85.3747559,-0.225,0.421
28.7194957,82.0568848,-0.479,0.396
27.6154056,83.5510254,0.885,0.472
27.8876388,84.1003418,-0.193,0.458
28.5845213,82.3205566,-0.550,0.385
27.1471444,85.4626465,-0.515,0.419
29.6785076,80.4748535,-0.313,0.455
27.6737985,84.4958496,0.656,0.502
26.5787018,87.8796387,-0.117,0.467
26.8926787,86.1218262,-0.226,0.488
27.6932559,85.2429199,1.694,0.506
26.9514527,86.9787598,-0.505,0.387
28.0622856,84.4738770,0.557,0.481
27.0101960,84.7375488,0.000,0.387
29.2193016,80.6506348,-0.427,0.373
27.6348734,87.3522949,-0.248,0.375
27.6543377,84.8254395,-0.575,0.441
28.5266220,82.3205566,-0.563,0.393
27.5374999,86.1657715,0.525,0.514
28.7387635,80.8264160,0.013,0.505
26.6769127,86.1877441,0.673,0.490
28.7194957,82.2546387,-0.460,0.394
28.8927784,82.2766113,-0.569,0.397
28.8350495,82.1228027,-0.481,0.364
27.5959343,83.5729980,0.314,0.494
28.5073151,82.0349121,0.303,0.559
27.9652945,84.7814941,0.296,0.428
26.5197349,87.3962402,-0.216,0.447
