latitude,longitude,rwi,error
-10.2824911,-77.5524902,-0.437,0.373
-6.0640861,-75.8386230,-0.552,0.430
-12.8010881,-74.6520996,-0.067,0.485
-10.7577626,-77.6843262,-0.182,0.453
-13.9980363,-75.1794434,-0.555,0.402
-16.4150090,-71.5539551,1.024,0.542
-5.9329721,-78.5852051,-0.537,0.471
-11.0813844,-74.4763184,-1.131,0.396
-8.0265947,-77.7282715,0.127,0.464
-6.4135660,-78.5632324,-0.532,0.516
-3.7436712,-73.2678223,0.750,0.579
-5.5831840,-78.9587402,-0.284,0.436
-13.8487469,-74.3005371,-0.755,0.414
-16.0141357,-69.8840332,-0.557,0.397
-5.1018870,-76.7614746,-0.329,0.410
-7.2861900,-78.3435059,-0.378,0.404
-12.7582314,-74.1027832,-0.111,0.412
-8.1136149,-77.5085449,-0.084,0.534
-15.6336167,-74.0148926,-0.004,0.525
-4.8392069,-80.7604980,0.457,0.589
-14.1046123,-75.0256348,-0.258,0.392
-11.0598206,-74.7619629,-0.342,0.468
-11.6629959,-77.2009277,0.376,0.436
-15.2523892,-69.5104980,-0.756,0.385
-11.2322862,-74.5861816,-0.247,0.488
-5.8455454,-78.8928223,-0.345,0.400
-6.0640861,-76.8713379,-0.816,0.423
-15.5701276,-69.8620605,-0.550,0.429
-6.7191648,-78.8049316,-0.422,0.451
-5.9766803,-76.1022949,-0.568,0.437
-10.7577626,-75.4870605,-0.495,0.412
-9.0044514,-77.3547363,-0.136,0.449
-7.5258726,-78.2116699,-0.356,0.434
-7.7218784,-78.0578613,-0.379,0.542
-10.8440961,-74.2126465,-0.471,0.408
-7.0027636,-76.1901855,-0.690,0.526
-7.8089630,-78.3654785,0.177,0.548
-8.1788678,-77.5085449,-0.248,0.406
-12.2863336,-76.8054199,-0.043,0.555
-14.5091441,-74.3225098,-0.523,0.440
-7.1117945,-79.4860840,-0.300,0.492
-8.5918843,-75.0036621,-0.334,0.533
-13.4430519,-71.3781738,-0.585,0.452
-11.2538371,-75.3332520,-0.877,0.512
-13.2934109,-74.6520996,-0.668,0.396
-9.0044514,-75.0256348,-0.742,0.441
-6.5445599,-76.3439941,0.071,0.490
-11.8996033,-75.3771973,-0.136,0.491
-8.9176335,-78.4313965,-0.122,0.365
-9.5032437,-75.9484863,0.100,0.542
-13.6139558,-73.3557129,-0.506,0.507
-8.6353339,-74.7180176,-0.990,0.406
-12.9510290,-71.3781738,-0.903,0.415
-8.0918616,-77.7722168,0.316,0.386
-15.2099875,-70.6530762,-0.348,0.421
-12.5867322,-75.0695801,-0.598,0.417
-14.9766264,-69.8620605,-0.206,0.460
-10.0013102,-76.7614746,-0.636,0.405
-14.8279911,-71.4221191,0.207,0.461
-7.6783293,-78.5412598,-0.344,0.391
-13.6566625,-71.6638184,0.387,0.506
-13.0152618,-74.2126465,0.006,0.544
-9.1563324,-78.5192871,0.045,0.472
-12.6296178,-72.6745605,-0.397,0.460
-6.2170122,-78.0139160,-0.492,0.450
-8.6353339,-75.0695801,-0.343,0.405
-12.9296144,-72.7404785,-0.700,0.458
-7.1772006,-77.6623535,-0.033,0.460
-10.7793483,-75.0476074,-0.385,0.486
-3.8094460,-73.3117676,0.445,0.607
-5.8892605,-78.4313965,-0.765,0.485
-5.1894234,-79.4421387,-0.349,0.534
-7.0245718,-76.8054199,-0.255,0.434
-13.6566625,-72.9162598,0.594,0.525
-5.7581050,-79.4421387,-0.634,0.415
-11.4261866,-74.3005371,-0.536,0.412
-15.3159757,-69.5983887,-0.844,0.437
-15.5277906,-70.3674316,-0.119,0.453
-7.6783293,-74.8498535,-0.431,0.389
-15.6759319,-72.2790527,-0.005,0.480
-12.3721972,-74.7180176,-0.271,0.431
-5.0143386,-80.5627441,-0.188,0.509
-9.9580298,-76.0363770,-0.137,0.539
-12.6724962,-69.4226074,-0.514,0.494
-8.6787785,-77.5524902,-0.159,0.386
-17.9682826,-70.2575684,0.319,0.530
-5.3644596,-80.0573730,-0.284,0.454
-6.9155204,-76.3439941,0.291,0.558
-12.7368003,-72.3889160,-0.464,0.407
-17.0672871,-71.7297363,-0.285,0.549
-9.1129444,-78.5412598,0.580,0.482
-11.3184804,-75.5969238,-0.321,0.417
-5.7581050,-78.6730957,-0.665,0.466
-12.6724962,-75.0036621,0.073,0.421
-8.5918843,-75.3991699,-0.352,0.407
-12.7582314,-76.5417480,0.277,0.527
-9.5465832,-75.9045410,-0.540,0.426
-15.8662413,-74.1027832,-0.259,0.452
-15.1675773,-69.7521973,-0.449,0.411
-6.6973426,-76.4758301,-0.626,0.401
-13.0794780,-75.6408691,-0.272,0.518
-11.6845141,-75.1354980,-0.715,0.406
-13.5712413,-73.2897949,-0.074,0.435
-6.8718928,-79.1125488,-0.071,0.568
-15.0615146,-70.1037598,-0.799,0.445
-5.1456567,-80.7604980,-0.555,0.461
-11.3615678,-69.5544434,-0.767,0.411
-14.9978516,-70.1916504,-0.436,0.475
-5.5175751,-78.4973145,0.146,0.450
-10.8872536,-77.0471191,-0.387,0.390
-11.1676236,-75.9924316,1.019,0.524
-15.7182383,-74.4543457,-0.207,0.496
-16.3517676,-70.5432129,-0.622,0.411
-16.3306825,-71.5759277,0.576,0.625
-7.3079846,-76.6955566,-0.375,0.461
-15.1039461,-70.2355957,-0.517,0.436
-9.3081485,-76.4318848,-0.771,0.431
-4.0505767,-74.2126465,-0.649,0.428
-7.3515708,-78.2556152,-0.723,0.395
-15.3583559,-69.9279785,-0.136,0.432
-9.6982277,-76.7395020,-0.125,0.484
-6.9591440,-78.2556152,-0.331,0.485
-9.2430925,-74.3444824,-0.684,0.405
-4.0067400,-70.3674316,-0.664,0.389
-10.4121830,-77.4865723,0.140,0.396
-7.4169421,-78.1677246,-0.928,0.448
-5.1675404,-79.9914551,-0.326,0.461
-14.3389038,-71.5100098,-0.836,0.438
-9.6549077,-76.0583496,0.175,0.482
-15.5277906,-70.1696777,-0.498,0.513
-13.3361750,-72.6525879,-0.728,0.441
-9.8281543,-75.9484863,-0.436,0.460
-11.3615678,-74.3664551,-0.681,0.428
-8.4397714,-78.7390137,0.224,0.500
-10.1527460,-76.2780762,-0.326,0.417
-14.8279911,-74.8278809,0.177,0.432
-11.2969342,-75.6408691,-0.174,0.535
-16.6888167,-69.3786621,-0.451,0.391
-4.6640299,-79.6618652,-0.740,0.404
-5.7362428,-78.6730957,-0.554,0.508
-14.8067491,-69.8400879,-0.712,0.415
-16.4782298,-71.5100098,1.479,0.565
-15.5701276,-70.7849121,-0.813,0.393
-7.7218784,-79.0246582,-0.695,0.478
-3.5901776,-80.4309082,0.314,0.541
-16.2885057,-70.7409668,-0.412,0.449
-4.7078283,-80.4748535,-0.094,0.440
-7.7001044,-77.8161621,-0.620,0.403
-16.4782298,-71.7956543,-0.624,0.538
-6.7628064,-79.6618652,0.513,0.519
-5.9548266,-77.3107910,0.484,0.587
-15.1887835,-74.2126465,-0.289,0.399
-8.4397714,-76.3220215,0.293,0.560
-13.6993616,-73.4216309,-0.894,0.436
-11.2969342,-77.5744629,-0.245,0.499
-11.0813844,-75.9924316,-0.750,0.465
-9.6549077,-76.6955566,-0.607,0.430
-4.6859294,-80.2331543,-0.552,0.465
-2.2955282,-74.0368652,-0.779,0.426
-3.4366581,-78.2556152,-0.590,0.426
-3.2392398,-72.9382324,-0.974,0.421
-5.9111167,-78.2556152,-0.434,0.460
-8.3528229,-78.3215332,-0.622,0.377
-17.6544909,-69.9499512,-0.353,0.395
-8.3745618,-78.0139160,-0.124,0.435
-15.3371669,-70.0598145,-0.142,0.472
-4.1601581,-70.6311035,-1.058,0.388
-6.7846256,-79.5739746,-0.164,0.506
-16.6256648,-69.0710449,-0.651,0.399
-14.5516838,-74.8059082,-0.144,0.426
-7.7871935,-79.2443848,0.441,0.456
-14.7430107,-70.7849121,-0.276,0.419
-5.9766803,-74.7839355,-0.434,0.420
-7.5476555,-78.4753418,-0.163,0.501
-7.9613173,-79.0026855,-0.581,0.435
-4.9705600,-79.5959473,-0.612,0.404
-13.1222796,-74.3444824,-0.745,0.443
-16.5203656,-72.1032715,-1.037,0.511
-12.6081759,-74.8278809,-0.509,0.399
-7.7001044,-75.1135254,-0.459,0.387
-6.4790672,-79.1564941,-0.221,0.413
-12.8439375,-74.4323730,-0.807,0.402
-5.3644596,-78.9367676,-0.352,0.496
-3.6559638,-71.7736816,-0.947,0.403
-16.0563712,-69.6423340,-0.073,0.468
-9.8930985,-76.3659668,-0.235,0.428
-14.9553991,-71.0266113,-1.035,0.397
-13.5712413,-73.4216309,-0.588,0.423
-6.3262180,-77.6843262,-0.738,0.417
-14.2750302,-71.5539551,-0.726,0.443
-13.9980363,-75.2453613,-0.210,0.422
-13.2720261,-74.7180176,-0.379,0.401
-12.8867796,-73.5754395,-0.520,0.429
-12.4365763,-74.0368652,0.258,0.425
-9.3081485,-77.8820801,-0.550,0.368
-13.8914108,-73.1140137,-0.704,0.420
-13.7420528,-71.5979004,0.099,0.468
-16.0352546,-69.7082520,-0.281,0.471
-14.6154780,-72.1472168,-0.485,0.423
-10.5850215,-73.8830566,-0.431,0.422
-6.1077838,-78.8708496,-0.599,0.415
-13.9767151,-72.0812988,-0.455,0.426
-8.1788678,-77.8381348,-0.266,0.441
-14.4027591,-72.0593262,0.060,0.462
-14.9341696,-71.3781738,-0.288,0.546
-12.0930384,-76.8933105,1.414,0.536
-15.8662413,-70.7629395,-0.175,0.412
-7.3733623,-79.5300293,-0.401,0.440
-7.4169421,-76.5637207,-0.704,0.520
-16.8150577,-70.6750488,0.118,0.495
-9.4815719,-78.3215332,-0.107,0.493
-12.5438394,-74.8718262,-0.345,0.447
-13.9767151,-73.5314941,-0.703,0.406
-15.8451046,-70.3894043,-0.352,0.395
-3.9409805,-73.3996582,-0.380,0.505
-5.8018269,-77.8820801,-0.679,0.445
-14.3389038,-69.4006348,-0.996,0.394
-9.5249141,-76.6516113,-0.235,0.408
-6.9373327,-78.5632324,-0.006,0.477
-5.1018870,-80.6066895,0.016,0.544
-4.6859294,-80.0573730,-0.587,0.415
-14.4665962,-71.5539551,-0.265,0.417
-7.7654229,-79.1345215,0.504,0.522
-5.7362428,-78.6291504,-0.270,0.476
-5.6487856,-78.8708496,-0.322,0.470
-15.6124559,-71.8395996,0.453,0.530
-12.6296178,-74.3664551,-0.699,0.461
-10.5202184,-76.6076660,-0.322,0.371
-8.8959258,-75.3552246,-0.844,0.422
-8.0265947,-79.0466309,-0.040,0.557
-13.9767151,-69.0051270,-0.479,0.391
-16.1619207,-69.5983887,0.051,0.415
-8.5049700,-78.0358887,0.053,0.504
-10.5202184,-76.1242676,-0.065,0.412
-8.5484296,-77.1789551,-0.584,0.381
-14.3176146,-72.0593262,0.191,0.420
-5.1456567,-80.6286621,0.718,0.554
-4.5326183,-73.3996582,-0.799,0.427
