latitude,longitude,rwi,error
15.9296380,119.8059082,0.390,0.515
11.6845141,120.1354980,0.446,0.434
11.9855916,124.9255371,-0.651,0.453
11.5338520,122.8820801,-0.345,0.483
11.1891794,123.9587402,0.850,0.548
14.6792536,122.3547363,-0.443,0.478
11.1460662,122.8820801,-0.523,0.530
18.3023803,121.6735840,-0.561,0.521
15.9085080,120.2893066,0.161,0.541
6.4135660,125.0573730,-0.499,0.511
9.8714518,122.7502441,-0.573,0.531
9.8281543,124.2443848,-0.038,0.537
12.1574857,123.4094238,-0.025,0.542
9.8714518,123.5852051,1.173,0.556
7.2425974,125.0134277,-0.611,0.568
7.0245718,126.4416504,-0.405,0.593
15.6759319,120.8605957,0.072,0.527
7.3951528,126.1999512,-0.717,0.466
7.3951528,124.4641113,-0.714,0.476
14.4878712,120.5969238,0.584,0.555
7.8089630,123.8928223,-0.689,0.456
9.7198857,123.4973145,-0.071,0.550
12.6081759,122.0910645,-0.526,0.505
13.7207082,122.3767090,-0.537,0.422
10.1094859,123.2556152,0.055,0.542
9.6982277,122.5524902,-0.686,0.475
13.2292507,121.1682129,-0.231,0.526
16.6677684,120.9045410,-0.694,0.451
7.3951528,125.8483887,0.869,0.571
13.9127399,121.6516113,0.459,0.536
15.7182383,120.6628418,-0.330,0.557
9.1129444,126.1560059,0.232,0.599
8.6787785,125.8483887,-0.339,0.533
8.4615055,126.3757324,0.219,0.564
10.6282159,122.2009277,0.858,0.566
8.1136149,126.3098145,-0.380,0.481
15.8873757,121.2121582,-0.974,0.437
13.6566625,120.9484863,0.049,0.556
7.9395558,125.3869629,-0.155,0.469
17.3401514,121.1901855,-0.788,0.457
7.0027636,124.5959473,-0.468,0.535
18.3232401,121.7395020,0.472,0.515
7.3515708,124.5520020,-0.020,0.567
8.0701072,123.0139160,-0.738,0.485
13.8700799,123.8488770,-0.709,0.624
7.9613173,125.2770996,-0.372,0.477
7.8307313,124.9035645,-0.128,0.589
13.9127399,123.5632324,-0.621,0.442
6.8937071,124.4641113,-0.609,0.578
8.0701072,125.3430176,-0.639,0.468
11.1676236,123.0798340,-0.719,0.511
7.3733623,125.7385254,0.540,0.563
16.0774856,120.5529785,0.696,0.507
16.8781467,120.7287598,-0.626,0.484
7.8742645,122.5524902,0.902,0.612
16.4571585,121.1022949,0.675,0.512
11.2969342,122.7941895,-0.552,0.481
12.3507339,123.6291504,0.934,0.563
7.0245718,124.7497559,-0.436,0.513
16.6677684,121.0144043,-0.341,0.447
13.3575541,123.7170410,0.773,0.519
9.6549077,121.2341309,0.114,0.476
17.1722825,121.5197754,-0.664,0.450
13.2078602,123.5632324,-0.244,0.495
13.8274120,121.3879395,0.672,0.565
12.9724418,123.6511230,-0.367,0.554
7.6347758,123.2775879,-0.583,0.564
17.3611242,121.2341309,-0.821,0.447
8.8307950,125.7385254,-0.354,0.476
13.6780130,121.4099121,0.594,0.549
13.8700799,122.0031738,-0.538,0.503
12.3721972,124.3542480,-0.581,0.571
9.2214045,118.3337402,0.343,0.570
12.0070844,124.7058105,-0.121,0.555
9.7848511,122.4206543,0.031,0.564
10.3257277,119.0368652,-0.549,0.438
11.3831090,122.8161621,-0.352,0.530
9.9580298,122.6184082,-0.146,0.544
10.2608706,123.2995605,-0.030,0.587
6.4135660,125.2551270,-0.315,0.587
7.1335976,124.7497559,-0.166,0.549
11.4046486,125.4748535,-0.648,0.455
16.9832482,122.1350098,-0.475,0.403
10.7577626,122.5744629,0.825,0.582
6.8937071,125.2111816,-0.390,0.517
9.6982277,123.3654785,-0.240,0.481
10.6282159,122.0471191,-0.891,0.472
6.2170122,125.2331543,0.363,0.594
13.3789314,123.4973145,-0.069,0.517
11.2107336,123.3435059,-0.764,0.432
8.3310827,123.7390137,-0.065,0.517
18.4066544,121.5197754,0.505,0.582
16.7519476,121.1242676,-0.500,0.503
16.3939308,120.6628418,1.072,0.553
14.7642589,120.8605957,-0.236,0.561
8.3093413,124.2443848,0.862,0.580
14.8704688,120.1794434,-0.021,0.516
10.9951198,122.6623535,0.505,0.579
8.0918616,122.8601074,-0.791,0.473
9.4815719,122.7722168,-0.556,0.470
8.9827489,125.5187988,0.827,0.601
13.9127399,122.3767090,-0.573,0.478
17.5707203,120.6628418,-0.177,0.536
7.1117945,124.2004395,-0.439,0.523
10.9951198,123.2556152,0.019,0.511
16.3306825,122.1130371,-0.137,0.490
16.9412147,121.1682129,-0.314,0.469
7.5040887,123.3654785,-0.798,0.562
19.2800355,121.4538574,-0.414,0.411
14.3389038,120.7727051,1.076,0.538
7.9177932,122.5524902,-0.470,0.577
17.6335519,120.3771973,0.334,0.612
6.9373327,124.2004395,-0.267,0.492
9.6332456,122.9699707,-0.530,0.594
13.8274120,123.8049316,0.219,0.541
15.0615146,120.8166504,0.647,0.537
16.9201944,121.2561035,-0.554,0.423
9.1780244,117.8063965,-0.582,0.466
9.8930985,124.5300293,-0.512,0.570
17.2142640,121.4538574,-0.741,0.452
6.8937071,124.4860840,0.081,0.596
11.0813844,122.3986816,-0.282,0.511
8.0483515,123.0358887,-0.953,0.471
11.2538371,124.7717285,-0.338,0.574
14.9978516,120.5090332,0.758,0.534
12.3292689,123.5852051,-0.139,0.514
18.2397857,121.0144043,-0.240,0.423
7.1772006,126.3757324,-0.514,0.479
12.2004420,123.2775879,-0.007,0.468
17.0462809,122.0471191,-0.550,0.409
7.4605176,125.8044434,1.321,0.561
13.8914108,123.4753418,-0.888,0.424
5.2550677,120.3112793,-0.129,0.488
14.3601909,120.8605957,0.762,0.551
12.3936586,122.0910645,0.367,0.570
12.6939327,123.3435059,0.188,0.419
7.6347758,125.2551270,-0.561,0.469
14.1259215,122.2888184,0.308,0.511
16.6256648,121.7175293,-0.342,0.511
7.5040887,125.2111816,-0.243,0.494
7.7436512,125.4968262,-0.684,0.482
10.5418209,124.7717285,-0.556,0.535
16.7519476,121.5197754,0.201,0.526
13.5712413,121.0583496,0.175,0.547
16.5835521,120.4431152,-0.196,0.556
4.8611009,119.4543457,-0.102,0.631
16.7098626,121.8493652,-0.438,0.542
8.6353339,124.8376465,-0.361,0.572
11.0598206,124.9694824,0.098,0.561
9.6332456,122.8820801,-0.916,0.547
13.8487469,120.1354980,0.300,0.550
8.0483515,122.5085449,-0.141,0.585
8.2875987,123.5852051,-0.449,0.469
7.1772006,126.4636230,-0.207,0.477
16.6467178,121.5637207,0.849,0.545
14.8704688,120.9924316,0.855,0.554
7.0027636,124.9475098,-0.313,0.704
7.8742645,126.3757324,1.149,0.676
13.9553920,120.7946777,0.493,0.517
8.2441099,123.2556152,-0.157,0.480
8.4397714,124.8156738,0.483,0.572
13.9553920,121.7614746,0.159,0.533
16.3517676,120.7287598,0.103,0.551
14.1685340,122.3327637,-0.197,0.522
10.0662199,123.0578613,-0.525,0.462
10.3473437,119.2346191,-0.332,0.517
9.8498038,123.4753418,-0.645,0.543
10.7145865,122.6623535,-0.214,0.562
9.0044514,125.4968262,0.359,0.603
5.8892605,125.6506348,-0.480,0.484
7.6783293,123.4313965,-0.089,0.575
16.2674138,120.6188965,-1.026,0.516
5.4082108,125.3430176,0.108,0.481
14.9766264,120.2673340,-0.289,0.484
7.9177932,126.0241699,-0.835,0.553
8.7656527,124.7717285,0.601,0.620
8.3962996,124.8596191,0.121,0.563
14.6792536,121.6516113,-0.430,0.495
11.1245072,122.6843262,-0.044,0.535
10.3905714,122.6184082,-0.541,0.641
7.7218784,124.9255371,-0.354,0.581
9.6982277,123.4973145,0.593,0.564
8.0701072,123.6291504,-0.789,0.595
15.7605359,121.4318848,-0.253,0.522
7.2425974,126.1120605,-0.733,0.498
8.2875987,123.8269043,-0.059,0.573
14.0833011,122.7282715,-0.588,0.438
12.2219175,123.2116699,-0.719,0.455
16.1830238,121.5856934,-0.581,0.492
6.1514779,125.3210449,-0.114,0.497
8.0918616,124.0466309,-0.244,0.595
15.5701276,119.9816895,-0.500,0.479
9.2864645,123.6511230,0.071,0.588
6.9591440,125.2770996,-0.121,0.510
17.0042615,122.0031738,-0.418,0.485
6.0203850,124.9694824,-0.208,0.475
6.4790672,122.0910645,-0.508,0.580
7.3733623,125.8264160,0.542,0.571
10.7793483,123.2995605,-0.069,0.565
13.0794780,123.7170410,-0.293,0.531
17.9264757,120.5969238,-0.393,0.510
7.7436512,122.3547363,-0.699,0.525
16.7519476,120.4650879,0.065,0.521
12.4580325,124.3322754,-0.556,0.549
11.9426009,123.5632324,-0.089,0.569
16.9201944,121.4538574,-0.448,0.519
7.1335976,125.5847168,0.825,0.601
11.2322862,122.0690918,0.108,0.547
6.3262180,125.5187988,-0.541,0.467
7.4169421,126.5515137,-0.305,0.545
9.6765684,123.4094238,-0.535,0.503
16.1197076,119.8059082,0.385,0.563
12.2433913,123.2556152,0.230,0.491
16.0352546,120.3332520,1.186,0.534
17.4869108,121.8713379,-0.951,0.454
11.1245072,124.9914551,-0.451,0.580
17.6335519,120.7946777,-0.443,0.445
7.7218784,122.9699707,-0.405,0.571
7.0899903,125.1452637,-0.372,0.577
12.0500648,120.2893066,-0.324,0.502
13.8700799,122.9699707,-0.888,0.498
8.0701072,123.9147949,-0.358,0.554
17.2352512,121.1242676,-0.778,0.454
17.8846589,120.5749512,-0.844,0.556
15.0827314,120.5529785,0.566,0.535
8.3962996,123.8269043,0.447,0.571
17.3191761,121.5637207,-0.263,0.511
17.5078668,121.2780762,-0.475,0.449
15.0190747,120.0915527,0.270,0.553
12.4365763,124.9694824,-0.468,0.464
9.5899171,125.6286621,-0.283,0.558
15.6547754,120.6848145,-0.115,0.515
8.1571180,123.1677246,-0.499,0.472
13.7420528,123.7390137,-0.597,0.512
9.9796707,123.5632324,-0.350,0.580
13.4216803,121.9592285,-0.788,0.463
7.2861900,126.5734863,0.338,0.569
6.4354006,126.1340332,-0.732,0.561
13.8487469,122.4865723,-0.551,0.439
9.5032437,123.1677246,0.657,0.615
6.2606973,124.2004395,-0.871,0.465
12.5009395,123.7170410,-0.074,0.458
7.2207995,125.9143066,-0.410,0.521
10.8656756,121.0803223,-0.045,0.530
8.1353671,124.6618652,-0.703,0.554
8.1571180,117.1691895,-0.853,0.440
16.0563712,120.9265137,-0.726,0.452
18.2606530,120.5749512,0.094,0.535
8.4832384,124.9694824,-0.443,0.512
10.8009324,124.9475098,0.376,0.565
9.1346391,123.0798340,-0.492,0.484
7.9613173,126.0900879,-0.341,0.552
15.3795428,120.9265137,0.694,0.544
11.9640971,125.2990723,-0.630,0.425
10.2392486,123.1677246,-0.483,0.470
6.5882169,122.3107910,-0.210,0.468
7.8089630,122.1350098,0.892,0.617
18.0518668,121.8933105,-0.595,0.456
11.1029466,124.9914551,-0.050,0.556
6.9373327,124.9694824,-0.230,0.590
8.4832384,124.5300293,0.060,0.662
18.2606530,121.5197754,-0.597,0.463
6.6100440,121.8933105,-0.336,0.502
14.5304150,121.5417480,-0.158,0.531
7.4823037,125.5407715,-0.716,0.510
12.9510290,121.0363770,-0.945,0.462
7.8742645,123.0358887,-0.826,0.495
15.9296380,120.2014160,0.200,0.533
9.3515125,123.2995605,1.167,0.595
6.3480564,124.5300293,-0.524,0.460
7.8307313,124.6838379,-0.204,0.621
11.5984314,124.8156738,0.001,0.542
12.5867322,121.1462402,-0.763,0.421
15.5277906,121.2780762,0.172,0.513
7.9177932,123.0578613,-0.313,0.491
16.9832482,121.1901855,-0.220,0.427
16.8781467,121.1901855,-0.696,0.441
9.6982277,123.1677246,-0.148,0.547
7.7436512,124.3103027,0.178,0.616
14.2750302,121.1242676,1.278,0.521
9.1563324,123.5852051,-0.460,0.597
16.5414301,121.8713379,-0.284,0.646
14.8067491,120.6408691,-0.418,0.614
7.3515708,124.5959473,0.048,0.555
16.2463197,119.8278809,-0.082,0.551
7.6783293,124.1345215,-0.668,0.462
7.1553996,125.5847168,0.907,0.596
14.5304150,121.6296387,0.264,0.507
5.9111167,121.3659668,-0.290,0.471
11.8781020,125.4309082,-0.195,0.534
7.9830776,125.5407715,-0.602,0.478
8.8090822,125.9143066,-0.756,0.478
10.7145865,119.5422363,-0.714,0.428
13.2078602,121.1242676,-0.579,0.521
12.4580325,121.1242676,-0.194,0.544
7.7218784,124.8156738,-0.362,0.659
9.6765684,123.8708496,1.523,0.578
7.3297783,122.2448730,-0.450,0.509
12.1145226,120.2893066,-0.400,0.436
7.8960294,125.1013184,1.094,0.622
9.8498038,122.5524902,-0.975,0.483
11.0382553,123.6071777,-0.120,0.464
7.9613173,123.9367676,-0.139,0.492
8.6787785,117.5866699,0.070,0.568
15.5489602,120.5749512,-0.155,0.534
17.4030627,121.1682129,0.386,0.520
14.1685340,121.1462402,1.364,0.556
7.8742645,123.4973145,-0.374,0.564
13.4003068,123.6950684,0.622,0.546
18.0309744,120.4870605,0.423,0.521
13.4430519,122.0251465,-0.337,0.538
9.9796707,122.9919434,-0.433,0.579
7.7871935,126.4196777,-0.044,0.567
13.8914108,121.1462402,0.393,0.529
14.1898373,120.7287598,-0.016,0.544
9.6982277,126.0681152,-0.557,0.600
16.3306825,120.5090332,-0.362,0.566
12.0930384,124.6398926,-0.780,0.526
6.8500775,126.0900879,-0.153,0.592
11.1245072,123.0139160,-0.046,0.559
6.3917304,124.7717285,0.462,0.562
13.5925995,123.2995605,-0.307,0.536
9.2864645,123.0578613,-0.426,0.510
14.9129381,120.4650879,0.182,0.515
8.2006163,125.2770996,-0.448,0.511
16.1619207,121.5856934,-0.708,0.440
14.5729506,121.1242676,1.521,0.516
12.3507339,125.0573730,-0.659,0.479
7.3951528,122.8161621,-0.360,0.551
13.1436775,123.2995605,-0.021,0.563
13.0152618,123.1237793,-0.350,0.479
6.6318701,124.7717285,-0.152,0.636
9.2647792,118.3117676,-0.379,0.456
