latitude,longitude,rwi,error
-25.4531946,-55.6677246,0.387,0.496
-27.0689087,-56.2170410,-0.219,0.451
-25.6118091,-57.2058105,0.376,0.479
-27.2057853,-56.3928223,-0.383,0.475
-24.4771496,-55.9533691,-0.562,0.440
-25.1552290,-56.3049316,-0.411,0.512
-25.3738088,-56.0852051,-0.205,0.430
-23.7953972,-57.2058105,-0.783,0.407
-24.9163310,-55.6896973,0.092,0.441
-26.5787018,-55.7116699,-0.761,0.375
-26.0666517,-55.5578613,-0.013,0.452
-24.2169091,-54.4152832,-0.385,0.424
-22.5632929,-55.9094238,-0.164,0.418
-26.8338741,-55.9313965,0.093,0.414
-24.5770993,-56.4367676,-0.121,0.424
-26.9710372,-56.7883301,-0.454,0.432
-25.2546322,-57.5134277,1.208,0.462
-24.7168951,-55.0305176,-0.792,0.414
-26.5787018,-55.4479980,-0.950,0.417
-23.4330087,-56.5466309,0.205,0.425
-25.0557447,-55.4040527,-0.539,0.405
-26.0666517,-57.9309082,0.392,0.491
-25.4135082,-55.4699707,0.036,0.470
-26.0074237,-55.5139160,-0.454,0.434
-26.8534790,-56.0632324,-0.232,0.381
-24.8166532,-56.1950684,-0.492,0.512
-25.8888782,-56.8762207,0.152,0.492
-25.6712354,-56.3488770,-0.440,0.425
-25.5126996,-54.6569824,1.139,0.435
-25.5126996,-54.6350098,1.202,0.438
-25.8493365,-55.8874512,0.361,0.552
-25.7108365,-56.9641113,-0.008,0.439
-26.5983508,-56.2170410,0.296,0.460
-25.6118091,-57.0300293,-0.219,0.429
-24.4171416,-55.4040527,0.145,0.506
-26.2441559,-56.2170410,-0.389,0.444
-24.3571051,-55.8435059,-0.479,0.376
-25.0756480,-55.0085449,-0.600,0.454
-26.2244465,-55.2941895,-0.185,0.415
-26.6965447,-55.0305176,0.081,0.424
-23.9360545,-54.5910645,0.332,0.403
-25.5721751,-57.1618652,-0.346,0.489
-24.0364303,-56.5026855,-0.476,0.453
-24.2369466,-55.6457520,-0.313,0.407
-25.3142351,-55.4699707,-0.210,0.446
-24.2970401,-56.4807129,0.016,0.441
-24.8764695,-55.1843262,-0.350,0.432
-23.7752908,-55.4699707,-0.437,0.399
-24.6170569,-54.8547363,0.192,0.412
-24.0966182,-54.5251465,-0.411,0.409
-26.8142658,-57.9968262,0.074,0.498
-25.6118091,-56.1071777,-0.198,0.437
-26.0666517,-57.1618652,-0.554,0.431
-25.4531946,-55.1843262,0.002,0.459
-25.0159284,-56.1730957,-0.604,0.366
-23.2716267,-56.9860840,-0.172,0.451
-23.2918101,-56.8542480,-0.366,0.454
-25.2745031,-57.2937012,-0.217,0.507
-24.9760991,-55.7775879,-0.530,0.451
-22.4618017,-56.2609863,-0.657,0.448
-24.0364303,-54.3273926,-0.423,0.452
-25.3539542,-56.5686035,-0.475,0.467
-25.8691090,-55.0744629,-0.239,0.441
-26.3032638,-54.6569824,-0.345,0.359
-24.7368531,-56.6125488,0.156,0.485
-24.6570018,-56.0412598,-0.492,0.485
-26.2638619,-56.5466309,-0.163,0.401
-22.4821059,-56.2829590,-0.202,0.423
-24.4371475,-56.1291504,0.368,0.442
-27.2839252,-57.6232910,-0.406,0.393
-24.9960153,-56.1730957,-0.448,0.405
-27.0101960,-57.0080566,0.098,0.431
-26.8730805,-55.2722168,-0.559,0.390
-23.4733235,-56.4807129,-0.279,0.497
-25.8493365,-56.4807129,-0.327,0.432
-26.6769127,-55.4699707,0.037,0.406
-26.9122734,-56.1071777,-0.791,0.396
-26.7750390,-56.2170410,0.065,0.492
-26.7554205,-56.0632324,-0.267,0.434
-27.0493412,-55.7775879,-0.213,0.423
-25.7306321,-55.9753418,-0.540,0.436
-22.7255234,-56.3049316,-0.265,0.473
-24.8166532,-55.6018066,0.065,0.448
-23.6545875,-56.6345215,0.076,0.417
-24.3771204,-55.6896973,-0.525,0.447
-26.1850178,-55.0964355,0.233,0.460
-26.7750390,-55.3820801,-0.012,0.410
-25.4730329,-55.4479980,-0.476,0.476
-25.1552290,-54.8107910,-0.326,0.440
-26.1258498,-57.2497559,-0.717,0.431
-27.1471444,-55.8874512,-0.406,0.427
-24.0966182,-57.0959473,0.253,0.555
-27.0101960,-57.0300293,-0.484,0.459
-26.9514527,-56.7883301,-0.639,0.445
-25.9086440,-55.7995605,0.042,0.504
-25.4333530,-55.9533691,-0.310,0.448
-26.7357986,-56.4367676,0.438,0.382
-25.0159284,-55.0085449,0.147,0.437
-22.3399141,-55.9094238,0.062,0.463
-26.8926787,-55.1623535,-0.716,0.370
-26.2441559,-55.4699707,-0.435,0.416
-26.8730805,-58.3044434,0.712,0.486
-26.8338741,-55.3601074,-0.316,0.426
-22.0958194,-57.9528809,-0.682,0.466
-24.8166532,-55.9313965,-0.448,0.446
-23.9762142,-54.4592285,-0.344,0.417
-24.9362569,-56.3488770,-0.389,0.450
-22.5835822,-55.9313965,-0.750,0.442
-24.8365952,-54.5910645,-0.236,0.421
-26.2047338,-56.3269043,-0.380,0.421
-25.9876744,-57.0300293,0.464,0.475
-26.0666517,-56.3708496,-0.666,0.438
-24.0966182,-56.3708496,-0.325,0.421
-24.0966182,-54.6569824,-0.035,0.405
-23.4531676,-57.3596191,-0.313,0.502
-25.6514299,-56.1950684,-0.228,0.433
-23.1100489,-56.6564941,-0.455,0.389
-27.0689087,-55.8215332,-0.669,0.405
-23.4128467,-57.1179199,-0.147,0.415
-22.5632929,-56.1730957,-0.563,0.453
-25.9876744,-57.1618652,0.058,0.543
-24.9960153,-55.7995605,-0.249,0.475
-26.6769127,-55.7116699,-0.561,0.452
-24.2169091,-55.8874512,-0.343,0.491
-24.1768248,-55.0085449,0.566,0.438
-23.3926816,-56.9201660,-0.327,0.416
-23.1504616,-56.7004395,-0.419,0.443
-25.4531946,-54.7448730,0.134,0.471
-23.4531676,-55.6896973,-0.033,0.371
-26.7161733,-55.9533691,-0.082,0.366
