latitude,longitude,rwi,error
14.5942153,-17.0617676,-0.082,0.474
16.0141357,-15.9631348,-0.933,0.418
12.8225137,-14.0734863,-0.497,0.371
15.9296380,-15.6115723,-0.737,0.378
13.0794780,-16.3586426,-0.770,0.383
14.3601909,-16.5344238,-0.255,0.483
13.2292507,-15.0402832,-0.872,0.379
14.9129381,-15.5236816,-0.634,0.381
15.6759319,-15.2380371,-0.884,0.378
14.5729506,-16.1608887,-0.358,0.479
15.3583559,-16.6662598,-0.363,0.398
14.7005081,-16.4685059,0.529,0.487
16.0985977,-14.7326660,-0.816,0.381
14.0833011,-15.9631348,-0.353,0.424
13.0794780,-16.0510254,-0.639,0.387
15.7605359,-13.4582520,-0.214,0.576
15.1675773,-16.8200684,-0.597,0.437
13.0152618,-14.0075684,-0.671,0.369
14.9129381,-14.7985840,-0.862,0.387
14.6154780,-15.3259277,-1.156,0.382
12.4794869,-16.4025879,-0.240,0.402
12.8653594,-15.2819824,-0.103,0.482
14.3389038,-14.7985840,-0.889,0.386
15.9296380,-16.4025879,0.117,0.515
16.4150090,-14.0954590,-0.293,0.386
12.4794869,-12.7331543,-0.476,0.366
15.7816814,-16.5344238,0.174,0.431
16.1197076,-13.4802246,-0.293,0.400
14.5091441,-12.4475098,-0.358,0.372
14.3389038,-16.8420410,-0.473,0.413
14.6579971,-16.5344238,-0.632,0.410
13.2506393,-15.8093262,-0.865,0.369
13.1008797,-14.0295410,-0.585,0.388
15.2523892,-14.0515137,-0.521,0.430
13.8914108,-12.1838379,-0.663,0.376
12.8867796,-14.9304199,1.000,0.566
14.7005081,-15.9191895,-0.507,0.446
16.5624922,-14.7326660,-0.319,0.379
14.0619878,-15.6335449,-0.867,0.403
12.6081759,-15.6994629,-0.176,0.416
12.6939327,-15.2819824,-0.358,0.442
15.5066188,-13.3044434,-0.389,0.410
16.0141357,-13.3923340,0.278,0.530
12.7153674,-15.8532715,-0.154,0.423
15.5701276,-15.3259277,-0.330,0.383
14.8067491,-15.2160645,-0.625,0.399
14.1898373,-12.4475098,-0.753,0.384
14.9978516,-16.7761230,-0.352,0.505
15.2523892,-16.4245605,-1.111,0.464
14.8917045,-17.1496582,-0.333,0.649
13.5498812,-15.1062012,-0.770,0.398
14.2963234,-15.4577637,-0.859,0.386
13.0152618,-11.8762207,-0.571,0.487
14.8492310,-16.4245605,-0.801,0.448
14.4878712,-16.5124512,-0.663,0.428
13.1650736,-15.4577637,-0.552,0.379
12.5652867,-15.8312988,0.264,0.457
14.5091441,-15.9851074,-0.572,0.411
15.1251586,-16.6223145,0.355,0.558
14.1685340,-14.2492676,-0.229,0.403
12.9938527,-15.1281738,-0.283,0.375
14.8067491,-16.9079590,1.469,0.545
15.0190747,-16.8420410,-0.734,0.438
14.5516838,-16.6003418,-0.239,0.459
16.4782298,-14.1833496,-0.262,0.388
15.4007275,-13.6340332,-0.800,0.378
15.5489602,-14.5568848,-0.282,0.377
13.5285192,-13.5021973,-0.282,0.476
12.5223904,-16.4465332,-0.561,0.430
13.9553920,-15.3259277,-0.938,0.387
12.9938527,-15.8532715,-0.650,0.448
13.9340669,-14.9304199,-1.004,0.385
15.8028247,-13.4802246,-0.190,0.435
16.0985977,-15.5017090,-0.544,0.374
15.0402957,-15.2160645,-0.511,0.386
13.5498812,-13.9196777,-0.370,0.373
15.8028247,-13.4362793,-0.444,0.459
15.1251586,-15.1501465,-0.473,0.381
16.3517676,-14.3371582,-0.725,0.399
12.4580325,-16.4025879,-0.345,0.451
12.9938527,-11.9860840,-0.640,0.379
13.9553920,-16.0290527,-0.400,0.399
13.2292507,-15.2600098,-0.708,0.379
13.9340669,-16.2707520,-0.363,0.410
13.5071552,-15.0183105,-0.386,0.365
15.2523892,-15.1281738,-0.230,0.385
15.5912928,-13.6120605,-0.401,0.377
14.8492310,-17.1057129,0.043,0.502
14.6154780,-15.9191895,-0.704,0.403
13.9980363,-16.2707520,0.363,0.501
16.0985977,-15.1721191,-0.690,0.374
12.9724418,-15.3259277,-0.740,0.375
13.2292507,-15.6774902,-0.448,0.391
15.0827314,-16.4245605,-0.950,0.409
14.0406726,-16.2048340,-0.195,0.442
13.1222796,-14.8425293,-0.680,0.372
14.5304150,-15.8312988,-0.519,0.415
13.9980363,-14.2272949,-0.843,0.401
14.2111385,-16.0290527,-0.068,0.448
12.6081759,-15.8093262,-0.279,0.402
14.0193555,-14.6887207,-0.794,0.383
13.1008797,-14.2712402,-0.508,0.404
14.6579971,-12.2058105,-0.612,0.400
14.7217604,-15.2819824,-0.665,0.380
13.2934109,-15.5456543,-0.745,0.402
12.6724962,-16.4025879,-0.290,0.396
16.6467178,-14.9523926,0.515,0.545
14.8492310,-16.6882324,-0.502,0.474
16.1830238,-15.8312988,-0.433,0.415
14.8279911,-17.2595215,0.278,0.503
13.9767151,-15.2819824,-0.705,0.404
14.5304150,-13.1066895,-0.700,0.373
14.5304150,-16.6442871,-0.636,0.408
13.6566625,-14.6887207,-0.742,0.378
15.6336167,-14.9523926,-0.387,0.379
13.6566625,-14.6447754,-0.877,0.371
13.6353101,-14.0075684,-0.699,0.385
14.5729506,-16.7102051,-0.620,0.383
14.7642589,-16.7761230,-0.213,0.496
13.5712413,-12.1179199,-0.439,0.360
13.0580745,-14.2272949,-0.520,0.383
16.0141357,-14.7326660,-0.305,0.416
15.0615146,-15.3479004,-0.484,0.384
14.6792536,-15.8752441,-0.970,0.455
14.3601909,-16.3366699,-0.514,0.389
14.0619878,-13.9196777,-0.233,0.373
14.1046123,-15.1062012,-0.753,0.386
12.8653594,-16.4465332,-0.406,0.423
14.9766264,-16.2927246,-0.624,0.383
15.9930146,-16.2268066,-0.214,0.418
