latitude,longitude,rwi,error
7.3297783,-11.1291504,-0.119,0.387
8.8307950,-12.2497559,-0.439,0.261
8.3310827,-10.4699707,-0.315,0.256
8.7439361,-11.8103027,-0.655,0.261
7.7218784,-11.0852051,-0.365,0.258
8.8959258,-12.4694824,-0.622,0.262
8.5049700,-11.4587402,-0.696,0.261
7.8524985,-11.7224121,-0.354,0.301
8.7873681,-10.7556152,-0.545,0.257
8.5267005,-11.6125488,-0.411,0.264
8.8525066,-13.0847168,-0.156,0.269
8.6570568,-11.3488770,-0.678,0.260
9.1780244,-11.7663574,-0.920,0.259
8.7222181,-11.0852051,-0.167,0.260
8.6570568,-10.9973145,0.377,0.352
7.8960294,-11.0192871,-0.112,0.265
8.4615055,-11.3269043,-0.206,0.261
9.2430925,-12.5793457,-0.431,0.266
8.5701576,-11.0192871,-0.557,0.264
8.3745618,-11.8762207,-0.214,0.330
8.1788678,-12.4914551,-0.552,0.263
8.7004990,-12.8649902,-0.544,0.262
8.5267005,-11.9860840,-0.533,0.286
8.8307950,-12.4914551,0.108,0.269
8.3528229,-10.4260254,-0.390,0.264
7.8742645,-10.6018066,-0.689,0.255
9.3298312,-12.6013184,-0.544,0.256
9.1129444,-12.6013184,-0.448,0.261
8.9827489,-10.8654785,-0.460,0.257
8.1571180,-10.4479980,-0.441,0.255
9.5899171,-12.1179199,-0.394,0.289
8.7439361,-11.3049316,-0.571,0.262
7.9395558,-12.5354004,0.493,0.300
8.0265947,-11.0412598,-0.466,0.267
7.4605176,-12.1398926,-0.343,0.270
9.0261526,-10.9533691,-0.313,0.264
9.2647792,-11.5905762,-0.092,0.259
9.1563324,-12.7770996,-0.700,0.261
9.1780244,-12.1618652,-0.691,0.258
8.2441099,-12.2937012,-0.280,0.391
9.4815719,-12.2277832,-0.268,0.263
8.3093413,-11.8322754,-0.558,0.260
8.6136097,-12.0300293,-0.098,0.280
7.6129974,-11.3488770,-0.403,0.261
7.4169421,-12.2497559,-0.324,0.270
8.3093413,-10.6896973,-0.083,0.258
7.5694372,-11.8103027,-0.454,0.294
9.3731925,-11.1950684,-0.357,0.269
8.0483515,-10.6896973,-0.163,0.278
8.6570568,-11.8322754,-0.199,0.297
7.5912178,-11.3928223,-0.527,0.267
8.7004990,-11.3269043,-0.522,0.262
8.6787785,-11.6125488,-0.403,0.275
9.5465832,-11.0852051,-0.441,0.277
9.3081485,-12.6013184,0.010,0.271
9.1997151,-11.9421387,-0.564,0.255
7.5258726,-12.0300293,0.186,0.265
7.9613173,-11.7443848,0.927,0.383
9.6549077,-12.5134277,-0.534,0.251
7.4823037,-12.0739746,-0.347,0.272
7.9613173,-11.4587402,-0.493,0.265
7.7436512,-12.2277832,-0.083,0.264
9.4165483,-11.1511230,-0.116,0.272
7.8960294,-11.9421387,-0.477,0.263
7.8089630,-12.4255371,-0.454,0.266
7.9177932,-11.4147949,0.167,0.326
8.7873681,-11.9201660,-0.249,0.329
7.5694372,-11.3708496,-0.554,0.263
8.7004990,-13.2385254,0.287,0.394
8.1136149,-11.7224121,-0.627,0.294
8.2875987,-12.3596191,-0.280,0.262
8.3745618,-10.4040527,-0.186,0.267
8.0048367,-12.4035645,-0.526,0.268
8.3745618,-12.5134277,-0.553,0.276
7.8089630,-10.7336426,-0.395,0.255
8.5049700,-12.6232910,-0.143,0.263
9.1780244,-12.5573730,-0.580,0.258
7.3297783,-11.9201660,-0.598,0.264
7.5912178,-11.7443848,-0.236,0.263
7.9830776,-10.8874512,-0.524,0.273
8.0483515,-11.5466309,-0.460,0.263
7.5476555,-11.7004395,-0.569,0.263
9.0478525,-10.8654785,-0.305,0.260
8.3745618,-11.1730957,-0.201,0.263
8.5701576,-12.1179199,-0.459,0.265
9.1563324,-12.9309082,-0.045,0.281
7.0245718,-11.6345215,0.267,0.261
9.1563324,-12.2058105,-0.686,0.256
7.9830776,-10.9973145,-0.584,0.273
8.9827489,-12.0520020,-0.278,0.280
8.1353671,-12.1838379,-0.360,0.277
7.7654229,-11.7004395,-0.573,0.269
8.9393399,-12.6013184,-0.424,0.255
8.8307950,-10.8874512,-0.598,0.259
8.2223637,-12.6452637,-0.278,0.307
7.5040887,-11.8322754,-0.425,0.264
9.2214045,-12.7990723,-0.414,0.260
9.0044514,-12.2277832,-0.314,0.264
9.1563324,-12.7331543,-0.270,0.261
9.5249141,-11.3708496,-0.690,0.264
7.6565531,-11.2609863,-0.195,0.261
8.6787785,-12.6452637,-0.541,0.277
7.1772006,-11.4147949,-0.117,0.256
8.8525066,-13.0627441,-0.106,0.266
8.1788678,-12.0959473,-0.464,0.287
8.7656527,-11.9641113,-0.280,0.344
8.9827489,-12.5573730,-0.441,0.255
9.0044514,-12.9748535,0.000,0.282
9.3948711,-11.8322754,-0.539,0.260
9.3081485,-12.2497559,-0.166,0.259
7.7871935,-12.0080566,-0.379,0.259
8.0483515,-10.9973145,-0.360,0.272
9.3298312,-11.5246582,-0.297,0.263
7.6783293,-12.3156738,0.161,0.397
8.3528229,-12.2937012,-0.602,0.263
8.7656527,-12.3156738,-0.128,0.274
9.4382242,-12.6452637,-0.106,0.273
8.7439361,-10.7775879,-0.114,0.254
9.5465832,-12.1179199,-0.234,0.258
7.6565531,-11.4367676,0.038,0.266
8.0918616,-10.6896973,0.356,0.334
7.8307313,-11.2170410,-0.055,0.263
7.7218784,-11.6345215,-0.236,0.260
8.4180361,-11.4367676,-0.568,0.263
8.0265947,-11.3049316,-0.407,0.269
8.6353339,-11.5246582,-0.475,0.270
7.3297783,-11.2829590,-0.089,0.260
8.5701576,-10.8654785,-0.368,0.255
8.9393399,-12.1618652,-0.178,0.272
8.9176335,-11.4147949,-0.178,0.257
8.9176335,-11.5686035,-0.230,0.255
9.4382242,-11.5466309,-0.519,0.273
8.4180361,-12.6452637,-0.141,0.282
9.9147437,-11.4587402,-0.412,0.286
7.6347758,-12.1618652,-0.235,0.269
9.1563324,-12.6892090,0.052,0.256
8.1571180,-11.0412598,-0.472,0.266
8.3745618,-12.1179199,-0.343,0.346
8.7004990,-12.9748535,0.212,0.336
8.0701072,-10.8435059,-0.311,0.261
8.7439361,-11.6345215,-0.817,0.256
9.1346391,-12.0959473,-0.472,0.273
9.0695511,-12.1179199,-0.564,0.267
8.8959258,-12.4035645,0.011,0.261
8.6353339,-11.2609863,0.178,0.260
7.5040887,-12.5134277,-0.509,0.279
8.3528229,-12.4914551,-0.371,0.276
8.9176335,-12.6452637,-0.443,0.258
8.1353671,-10.7775879,-0.314,0.260
9.6332456,-11.3269043,-0.377,0.275
8.8307950,-12.3815918,0.056,0.258
8.2441099,-11.5466309,-0.562,0.275
8.2441099,-12.7551270,-0.807,0.269
8.5484296,-11.8322754,-0.476,0.267
7.9613173,-11.9421387,-0.354,0.261
7.4169421,-12.2058105,-0.313,0.270
7.7001044,-11.4147949,-0.317,0.261
8.0918616,-12.0300293,0.034,0.283
9.4382242,-12.3156738,-0.186,0.263
9.0044514,-11.7004395,0.467,0.458
8.3528229,-12.0520020,-0.581,0.294
8.2006163,-10.9313965,-0.262,0.261
9.3081485,-12.5573730,-0.066,0.255
8.1788678,-11.7883301,-0.868,0.263
9.7198857,-11.8762207,-0.270,0.256
8.6353339,-11.1511230,-0.181,0.325
9.0478525,-13.1066895,-0.453,0.260
8.9393399,-10.6896973,-0.767,0.256
8.2006163,-10.7775879,-0.068,0.274
9.5032437,-12.1398926,-0.617,0.258
7.7654229,-11.8103027,-0.332,0.262
8.9610451,-12.1838379,-0.389,0.267
7.5694372,-11.3928223,-0.470,0.271
7.3951528,-12.4914551,-0.524,0.268
8.2441099,-12.4694824,-0.561,0.283
9.0044514,-11.9421387,-0.599,0.267
8.5267005,-12.5793457,-0.204,0.262
7.9830776,-11.8762207,-0.424,0.282
8.4832384,-10.2722168,-0.639,0.251
8.8742168,-12.1179199,0.390,0.377
7.9395558,-11.7883301,-0.132,0.277
7.2643942,-11.6784668,-0.448,0.260
8.1136149,-12.7331543,-0.390,0.272
8.2441099,-11.3269043,-0.446,0.266
9.4382242,-12.4475098,-0.592,0.259
8.6353339,-11.8322754,-0.430,0.329
9.0912484,-12.7770996,-0.732,0.259
8.7873681,-12.7551270,-0.525,0.308
9.3731925,-12.7551270,-0.251,0.252
8.2658549,-12.4035645,-0.593,0.265
8.8307950,-11.1511230,-0.465,0.263
8.8525066,-12.5793457,-0.524,0.286
7.5258726,-11.3928223,-0.403,0.259
8.0701072,-11.9421387,-0.580,0.283
8.9827489,-11.8542480,-0.389,0.278
8.3962996,-11.8542480,-0.391,0.259
7.7871935,-12.2277832,-0.520,0.291
9.4382242,-12.2717285,-0.485,0.265
9.0912484,-12.1398926,-0.452,0.263
8.9827489,-13.1286621,-0.657,0.269
8.8307950,-12.0520020,0.446,0.347
9.3298312,-12.1179199,-0.728,0.268
8.4180361,-12.6013184,-0.453,0.262
9.1346391,-12.9309082,-0.059,0.341
8.1136149,-11.1511230,-0.477,0.267
7.4387304,-11.8762207,-0.048,0.349
7.3079846,-11.6784668,-0.431,0.262
8.5049700,-12.2937012,0.077,0.374
9.0044514,-13.1506348,-0.535,0.268
8.3310827,-10.7116699,-0.249,0.274
8.2875987,-12.4255371,-0.551,0.264
8.1353671,-10.8654785,0.533,0.325
8.2658549,-10.7775879,-0.545,0.258
7.9395558,-11.9641113,-0.430,0.277
8.3528229,-12.9748535,0.378,0.358
8.2441099,-10.8874512,-0.401,0.263
8.7656527,-13.1945801,-0.143,0.262
8.3962996,-12.4255371,-0.304,0.291
7.9395558,-10.7995605,-0.795,0.269
9.3731925,-10.8215332,-0.105,0.252
7.8524985,-11.8542480,-0.265,0.272
8.4180361,-10.9973145,-0.479,0.258
7.8524985,-10.7556152,-0.082,0.254
8.3093413,-11.2829590,-0.733,0.260
8.1136149,-11.1950684,-0.269,0.269
7.9177932,-10.9313965,-0.488,0.262
9.7848511,-11.8322754,-0.610,0.259
8.9393399,-11.2609863,-0.664,0.262
9.0044514,-13.0847168,0.183,0.276
8.5049700,-11.7883301,-0.541,0.298
8.5484296,-11.2170410,-0.413,0.265
8.7873681,-12.5793457,-0.630,0.263
8.6787785,-12.8430176,-0.343,0.375
8.4832384,-12.3376465,0.037,0.369
7.5476555,-12.7331543,-0.682,0.268
8.4615055,-12.9968262,-0.481,0.408
9.3515125,-12.5573730,-0.401,0.256
8.1353671,-11.5466309,-0.607,0.260
8.3310827,-10.4040527,-0.475,0.260
9.0912484,-12.0739746,-0.504,0.263
8.6787785,-12.9968262,-0.084,0.366
9.3515125,-11.9421387,-0.664,0.263
7.6565531,-11.1511230,-0.711,0.257
8.3528229,-12.6232910,-0.707,0.263
8.2658549,-11.2829590,-0.650,0.264
8.9610451,-11.8103027,-0.486,0.284
6.9373327,-11.5026855,-0.873,0.269
8.5049700,-10.7116699,-0.353,0.295
8.7656527,-11.8103027,-0.088,0.277
9.0261526,-11.4147949,-0.319,0.260
8.4832384,-12.2058105,-0.359,0.292
9.3081485,-11.9860840,-0.711,0.260
8.6787785,-12.8210449,-0.484,0.264
9.8714518,-11.8762207,-0.202,0.329
7.5694372,-12.2277832,-0.790,0.270
8.8307950,-11.7443848,-0.140,0.386
9.9363874,-11.5905762,-0.241,0.258
9.0912484,-12.8649902,-0.475,0.260
8.2223637,-10.2941895,-0.159,0.251
7.8524985,-11.1730957,0.193,0.382
7.3515708,-11.3049316,-0.414,0.259
9.0478525,-13.1286621,-0.617,0.263
8.4397714,-11.7004395,-0.133,0.259
7.6783293,-11.3488770,-0.775,0.257
7.8960294,-10.6237793,-0.984,0.259
8.7222181,-11.8542480,-0.462,0.277
8.3962996,-13.2385254,-0.167,0.371
7.1335976,-11.4807129,-0.572,0.258
7.8089630,-11.1950684,-0.498,0.265
7.8524985,-12.4035645,-0.173,0.266
9.1346391,-11.6345215,-0.392,0.325
9.2864645,-10.9533691,-0.266,0.263
7.8742645,-10.8654785,-0.447,0.327
9.0044514,-11.7883301,-0.291,0.265
9.2214045,-12.0959473,-0.103,0.260
8.4397714,-11.4807129,-0.308,0.259
9.1997151,-11.8762207,-0.372,0.256
9.3298312,-10.8874512,-0.536,0.259
8.1353671,-12.4914551,-0.387,0.264
7.9613173,-12.7990723,0.019,0.274
9.5682508,-12.3815918,0.019,0.261
8.2441099,-12.3156738,-0.506,0.373
7.6129974,-11.5686035,-0.444,0.268
8.2658549,-12.0959473,-0.065,0.291
8.2875987,-12.4035645,-0.795,0.264
8.0048367,-10.7556152,-0.416,0.297
8.9176335,-11.5466309,-0.490,0.269
8.3962996,-10.4040527,0.193,0.258
7.8960294,-11.3708496,-0.390,0.293
8.7222181,-13.0847168,-0.610,0.277
9.3731925,-10.9533691,-0.306,0.259
8.4615055,-10.3820801,-0.351,0.252
7.2643942,-11.5686035,-0.513,0.257
9.5682508,-11.8322754,-0.681,0.283
8.7656527,-12.6013184,-0.625,0.262
7.9830776,-11.6345215,-0.518,0.268
8.7439361,-12.9528809,-0.569,0.261
7.8742645,-11.6345215,-0.348,0.327
8.2006163,-12.7331543,-0.442,0.265
8.2875987,-10.3820801,0.147,0.280
9.0478525,-11.8542480,0.160,0.262
