latitude,longitude,rwi,error
14.3601909,-89.5495605,-0.089,0.425
13.4216803,-88.5607910,0.037,0.458
13.6353101,-88.0773926,-0.015,0.404
13.7633955,-89.8571777,-0.128,0.436
13.9553920,-88.7365723,0.054,0.448
13.6353101,-89.0661621,0.196,0.436
13.9340669,-89.0881348,-0.653,0.384
13.8060751,-87.8356934,-0.368,0.425
13.5071552,-89.5056152,-0.108,0.418
14.2750302,-89.0441895,-0.737,0.328
14.1898373,-88.9123535,-0.569,0.434
13.7207082,-88.2092285,-0.117,0.385
13.8060751,-88.7585449,-0.193,0.420
13.4216803,-89.0661621,-0.388,0.364
13.5285192,-88.6047363,-0.355,0.334
14.2537350,-89.1979980,-0.558,0.363
13.7847363,-88.0993652,-0.036,0.418
13.9127399,-88.5607910,-0.728,0.376
13.8274120,-89.3298340,-0.250,0.440
13.3147939,-87.8796387,0.227,0.452
14.0833011,-88.8903809,0.086,0.472
13.8914108,-88.9343262,-0.305,0.430
13.4857894,-88.4948730,-0.203,0.442
14.4027591,-89.5495605,-0.586,0.379
14.1472288,-89.2858887,0.085,0.420
13.9340669,-89.9011230,-0.048,0.442
13.9767151,-89.1101074,0.171,0.417
13.3575541,-88.2531738,0.306,0.427
13.5285192,-89.2639160,-0.451,0.412
13.6353101,-89.7473145,-0.171,0.424
13.9127399,-89.0002441,-0.245,0.377
13.4430519,-89.0661621,0.310,0.492
13.4430519,-88.5827637,0.205,0.458
13.7633955,-90.0988770,0.473,0.420
13.2720261,-88.7585449,-0.178,0.414
13.6353101,-87.7697754,-0.348,0.492
13.3789314,-87.9895020,-0.868,0.372
13.5285192,-88.0993652,-0.096,0.402
13.5925995,-89.5275879,0.619,0.485
13.7420528,-89.0881348,0.907,0.489
13.4430519,-88.1433105,0.739,0.443
13.9767151,-89.1760254,0.693,0.436
13.7420528,-88.6486816,-0.330,0.423
13.6993616,-88.4289551,-0.237,0.428
13.4003068,-88.3190918,-0.177,0.426
13.8914108,-89.2419434,-0.584,0.447
13.7207082,-87.9235840,-0.504,0.429
13.9340669,-89.7912598,0.174,0.447
13.5712413,-88.2092285,-0.212,0.416
13.5498812,-89.6154785,-0.523,0.352
13.2078602,-87.8796387,-0.109,0.332
13.5285192,-88.5168457,0.477,0.471
13.8700799,-89.8571777,0.828,0.473
14.1046123,-89.0002441,-0.285,0.424
13.8700799,-89.6813965,0.463,0.446
13.2078602,-88.0114746,-0.472,0.398
13.4857894,-88.2751465,-0.158,0.435
13.4857894,-88.2971191,0.010,0.448
13.9767151,-89.2639160,-0.208,0.443
13.8700799,-88.2092285,-0.027,0.426
14.0193555,-88.7805176,0.165,0.431
13.9127399,-89.4177246,-0.794,0.371
13.2292507,-87.8576660,-0.301,0.340
13.8914108,-89.7033691,-0.036,0.355
14.1898373,-89.5495605,-0.367,0.417
13.9340669,-88.5168457,-0.585,0.373
13.5071552,-89.2858887,-0.680,0.429
13.3147939,-88.5827637,0.394,0.444
13.5712413,-89.3298340,-0.621,0.409
13.8700799,-89.8352051,0.378,0.441
13.3147939,-88.4948730,0.358,0.460
13.8274120,-87.9455566,-0.232,0.421
14.1259215,-89.6594238,0.184,0.465
13.7847363,-89.0002441,0.110,0.453
13.9980363,-89.3737793,-0.191,0.403
13.4216803,-88.0554199,0.009,0.427
13.7420528,-89.8571777,0.176,0.451
14.4027591,-89.3518066,-0.512,0.391
13.4003068,-88.5607910,-0.221,0.453
13.5498812,-87.8576660,-0.638,0.401
13.7633955,-89.6594238,0.252,0.425
13.2934109,-88.9123535,0.203,0.461
13.8487469,-89.0002441,-0.673,0.370
13.5712413,-88.6267090,-0.390,0.348
13.6139558,-87.9235840,0.690,0.407
13.4216803,-88.9782715,-0.630,0.440
14.1046123,-89.5275879,-0.690,0.437
13.6353101,-88.7365723,-0.623,0.414
13.5498812,-89.1979980,-0.269,0.411
13.3789314,-88.6486816,0.818,0.454
13.7847363,-89.3078613,-0.306,0.432
13.8700799,-89.1979980,-0.154,0.446
13.7847363,-88.6267090,-0.501,0.445
13.7207082,-89.8352051,0.559,0.454
13.6993616,-89.0441895,0.220,0.463
14.1259215,-89.3957520,-0.999,0.381
13.8700799,-88.1433105,0.117,0.430
13.3789314,-88.2971191,-0.683,0.407
13.2292507,-88.0993652,-0.338,0.398
14.0406726,-88.7365723,-0.359,0.367
13.3575541,-88.9562988,1.009,0.480
13.1650736,-88.3410645,-0.171,0.319
13.5925995,-89.2199707,0.184,0.474
13.7420528,-88.9782715,0.795,0.441
13.8487469,-89.3078613,-0.130,0.401
13.9127399,-90.0329590,-0.174,0.334
13.7847363,-89.3518066,1.078,0.461
13.6566625,-89.0002441,0.071,0.425
13.7420528,-88.1652832,-0.229,0.404
14.2537350,-89.4616699,-0.392,0.389
13.6139558,-88.8684082,0.567,0.469
13.3147939,-88.7805176,-0.398,0.349
13.8274120,-88.8244629,0.278,0.436
13.4430519,-88.0334473,0.065,0.450
13.7420528,-89.3078613,-0.574,0.481
13.5071552,-88.0773926,0.488,0.446
14.3601909,-89.4616699,0.270,0.416
13.8700799,-88.8903809,-0.246,0.406
13.6993616,-88.9343262,0.804,0.459
13.6139558,-88.1433105,-0.206,0.425
13.9767151,-89.6374512,0.926,0.458
13.9127399,-89.5935059,-0.300,0.417
13.6780130,-88.1652832,0.110,0.439
13.8060751,-87.9895020,0.165,0.404
13.9980363,-89.1979980,0.002,0.433
13.6139558,-89.0661621,-0.161,0.417
13.8700799,-89.5056152,0.449,0.399
13.9340669,-89.0661621,-0.023,0.412
13.4430519,-88.8024902,0.433,0.451
14.1685340,-89.4177246,-0.100,0.427
13.4644216,-88.3630371,-0.127,0.421
13.6780130,-88.7365723,0.435,0.403
13.6566625,-88.8903809,0.146,0.463
13.5071552,-89.1320801,0.039,0.444
13.9980363,-89.1320801,-0.533,0.399
13.8914108,-88.0993652,-0.562,0.411
13.7207082,-88.5168457,-0.021,0.385
13.9980363,-89.5275879,0.483,0.461
14.1046123,-89.3737793,0.017,0.423
13.6353101,-88.2531738,0.538,0.454
13.5285192,-88.1872559,0.309,0.435
13.8487469,-88.2751465,-0.038,0.448
13.4857894,-88.3850098,-0.107,0.430
13.3789314,-88.8024902,-0.201,0.396
13.7420528,-88.0773926,0.091,0.402
13.8487469,-88.3410645,0.724,0.446
13.9340669,-88.2092285,-0.356,0.346
13.4430519,-87.7258301,0.189,0.363
13.3575541,-89.0222168,0.838,0.477
14.2537350,-89.1540527,-0.595,0.404
14.1898373,-89.1979980,-0.602,0.397
13.5285192,-88.1652832,-0.434,0.441
13.2934109,-88.1213379,-0.198,0.386
13.9980363,-89.2199707,0.087,0.404
13.1650736,-88.4069824,-0.527,0.331
14.1685340,-89.0661621,-0.353,0.365
13.8274120,-89.5935059,-0.408,0.400
13.7847363,-89.1540527,0.689,0.427
14.1685340,-89.2199707,-0.277,0.408
13.8060751,-89.3737793,0.784,0.454
13.8487469,-87.9016113,-0.160,0.452
13.4644216,-88.5827637,-0.152,0.400
13.7420528,-89.5495605,0.211,0.462
13.8060751,-89.7692871,-0.456,0.414
13.6353101,-89.7912598,0.510,0.447
13.9553920,-89.3957520,-0.629,0.370
13.1864679,-87.9675293,0.458,0.447
13.6566625,-89.1540527,1.395,0.442
13.4644216,-87.7697754,-0.436,0.406
13.3575541,-87.9675293,-0.109,0.407
13.6993616,-87.8576660,-0.533,0.393
14.3389038,-89.4396973,1.428,0.460
13.3361750,-87.9895020,-0.294,0.461
13.6353101,-87.9895020,0.303,0.397
13.6139558,-88.0773926,-0.320,0.409
14.0619878,-89.0002441,0.824,0.439
13.1864679,-87.7038574,0.632,0.445
13.5071552,-88.0993652,-0.359,0.413
13.7633955,-88.0334473,-0.450,0.419
13.6353101,-88.6047363,-0.485,0.378
13.2078602,-88.3190918,-0.486,0.540
13.8060751,-89.1540527,1.156,0.487
14.0619878,-89.5495605,-0.624,0.396
13.5925995,-89.5056152,-0.394,0.451
13.9767151,-89.5715332,1.416,0.411
13.6139558,-88.8244629,-0.090,0.365
13.3575541,-88.6486816,-0.074,0.404
14.1685340,-89.4836426,0.204,0.430
13.3361750,-88.6706543,0.061,0.413
13.5071552,-87.8796387,-0.238,0.411
13.5712413,-89.5056152,-0.077,0.466
13.9127399,-89.2419434,-0.127,0.453
14.1259215,-88.8684082,-0.270,0.521
13.2506393,-88.7365723,-0.440,0.392
13.3361750,-87.8137207,0.795,0.471
13.5285192,-89.5056152,-0.296,0.404
13.7207082,-89.5935059,-0.496,0.446
13.5071552,-89.5495605,0.474,0.438
13.7207082,-87.8576660,-0.618,0.417
13.8914108,-89.9230957,0.463,0.470
13.4857894,-89.0002441,0.545,0.429
13.4644216,-89.0881348,0.656,0.472
13.7847363,-87.8356934,0.638,0.446
13.9340669,-89.2639160,0.069,0.457
13.8274120,-88.4069824,-0.705,0.411
13.5285192,-88.3850098,0.563,0.434
13.8487469,-88.2971191,0.530,0.460
13.7847363,-89.5275879,-0.135,0.413
13.2720261,-88.4509277,0.042,0.396
13.6139558,-89.2419434,0.102,0.434
14.0406726,-89.2858887,0.434,0.458
13.8060751,-89.7473145,0.307,0.433
13.6139558,-88.4289551,-0.213,0.411
13.2934109,-88.7585449,0.927,0.447
14.0193555,-89.5056152,-0.385,0.421
14.0406726,-88.9562988,0.787,0.446
13.3575541,-88.4729004,0.504,0.432
13.4430519,-87.8796387,0.838,0.427
13.4430519,-88.0114746,-0.231,0.427
13.8274120,-88.0114746,-0.426,0.398
13.7633955,-89.5056152,0.293,0.426
14.0406726,-88.9123535,0.079,0.407
13.2292507,-88.4069824,-0.682,0.396
13.6139558,-88.6267090,-0.229,0.409
13.8274120,-89.3957520,0.475,0.459
13.9340669,-88.9123535,0.200,0.450
13.4644216,-88.8684082,-0.176,0.437
13.4857894,-87.9895020,-0.165,0.423
13.7847363,-88.2312012,-0.063,0.418
13.5071552,-89.2419434,-0.032,0.430
14.0193555,-88.6926270,-0.466,0.351
14.0406726,-89.3518066,0.430,0.475
13.5071552,-89.4616699,0.139,0.431
13.4644216,-88.4729004,-0.088,0.445
13.8700799,-89.5935059,-0.389,0.377
13.7207082,-89.9670410,0.731,0.464
14.0619878,-89.7033691,-0.350,0.453
13.9127399,-89.1540527,-0.644,0.383
13.1650736,-88.0334473,-0.458,0.386
13.8060751,-88.0554199,-0.491,0.463
13.6139558,-88.2092285,-0.609,0.455
13.9980363,-88.7365723,0.366,0.452
13.4216803,-89.0222168,0.276,0.429
13.9127399,-89.3737793,-0.555,0.434
13.5498812,-89.5056152,-0.380,0.421
14.0406726,-89.3298340,0.147,0.429
13.8487469,-89.0222168,-0.325,0.435
13.6993616,-88.0773926,0.057,0.398
13.5712413,-88.1872559,-0.318,0.426
13.8487469,-89.1320801,-0.229,0.410
13.7207082,-89.7253418,0.940,0.429
13.9553920,-89.5056152,-0.136,0.419
13.5071552,-87.7917480,-0.377,0.415
13.4216803,-88.2092285,0.383,0.452
13.5925995,-89.7033691,-0.141,0.403
14.1259215,-89.4616699,-0.494,0.412
14.1472288,-89.0222168,0.184,0.458
13.5925995,-89.1320801,0.435,0.449
13.5285192,-89.7033691,-0.242,0.427
14.1685340,-89.1979980,-0.522,0.427
13.7420528,-89.3518066,0.928,0.456
13.4003068,-88.3630371,0.302,0.417
13.8274120,-89.5495605,-0.147,0.421
14.0193555,-88.9562988,-0.365,0.407
13.9340669,-89.0222168,0.916,0.455
13.8274120,-87.8576660,-0.336,0.377
13.3361750,-88.9562988,0.563,0.457
13.9767151,-89.3737793,-0.078,0.438
13.8060751,-89.0002441,-0.205,0.399
13.2934109,-88.7805176,-0.253,0.399
14.1259215,-89.7033691,-0.289,0.341
13.6993616,-88.9782715,0.754,0.469
13.8060751,-89.0881348,0.243,0.466
13.8914108,-89.3957520,-0.354,0.379
13.8487469,-90.0329590,-0.350,0.403
13.5498812,-89.6813965,0.285,0.433
13.8274120,-89.4836426,-0.537,0.420
13.4430519,-88.2971191,-0.188,0.446
13.4857894,-88.4289551,0.082,0.444
13.5498812,-89.2199707,-0.204,0.423
13.6139558,-89.6154785,-0.571,0.404
13.5285192,-87.9675293,-0.497,0.429
13.5498812,-89.3078613,0.044,0.416
13.1650736,-88.2751465,0.236,0.441
13.5925995,-89.7692871,0.061,0.406
13.6353101,-88.9343262,0.412,0.428
13.7420528,-88.1433105,-0.400,0.411
13.9767151,-89.6594238,0.914,0.451
14.1685340,-88.9343262,0.634,0.457
13.5285192,-88.5827637,-0.532,0.354
13.3575541,-88.8684082,-0.186,0.434
13.8487469,-88.7365723,-0.405,0.389
13.6780130,-89.1979980,1.253,0.406
13.8914108,-89.0881348,-0.161,0.354
13.4216803,-89.0881348,-0.100,0.383
13.9980363,-89.7912598,0.226,0.451
13.9980363,-89.7692871,0.422,0.467
13.2934109,-88.5827637,-0.176,0.442
13.9340669,-88.1213379,-0.509,0.412
14.0193555,-89.2199707,-0.272,0.392
13.4216803,-88.7145996,0.283,0.427
13.4216803,-88.6267090,-0.595,0.382
14.3814760,-89.4396973,0.042,0.430
13.7633955,-89.9450684,-0.102,0.438
13.6353101,-88.1213379,0.317,0.465
13.5285192,-88.0554199,0.167,0.422
13.7847363,-88.3190918,-0.273,0.406
13.8487469,-88.5388184,-0.349,0.386
13.5712413,-88.7805176,0.027,0.452
13.3575541,-88.0773926,0.086,0.408
13.6993616,-89.8571777,-0.375,0.427
13.6566625,-89.5715332,0.039,0.429
13.6353101,-89.0881348,-0.053,0.454
13.3361750,-88.9782715,0.357,0.475
13.8700799,-89.3078613,0.075,0.434
13.9553920,-88.8684082,-0.009,0.426
13.7207082,-88.6047363,-0.376,0.358
