latitude,longitude,rwi,error
0.0109863,6.5148926,0.331,0.527
0.3405742,6.7346191,1.560,0.577
0.3405742,6.5148926,-0.216,0.484
1.6587038,7.4377441,0.369,0.474
0.3186019,6.5148926,-0.206,0.441
0.2746571,6.6247559,-0.403,0.385
0.2526847,6.7565918,0.126,0.534
1.6587038,7.3937988,-0.297,0.510
0.0329590,6.5368652,-0.281,0.464
0.2966295,6.7565918,-0.034,0.525
0.0549316,6.5368652,-0.461,0.569
0.2307123,6.6687012,0.206,0.414
0.0769043,6.5588379,0.232,0.473
0.3405742,6.6906738,0.294,0.515
0.2746571,6.7346191,-0.126,0.524
0.2307123,6.7346191,0.099,0.480
0.2966295,6.6687012,0.402,0.530
0.4064907,6.6906738,-0.369,0.464
0.3186019,6.6247559,-0.435,0.387
1.6147764,7.4157715,-0.269,0.462
0.2307123,6.6467285,-0.309,0.384
0.0988769,6.6027832,-0.336,0.485
0.4064907,6.6467285,0.658,0.503
0.1208495,6.6247559,-0.144,0.534
0.2526847,6.6467285,-0.359,0.408
0.3186019,6.4929199,0.390,0.429
0.2746571,6.4929199,-0.315,0.390
0.2746571,6.6467285,-0.409,0.508
0.2526847,6.7346191,0.237,0.536
0.4064907,6.6687012,-0.076,0.450
1.6147764,7.4377441,-0.141,0.480
0.3186019,6.6687012,0.144,0.486
0.2307123,6.6906738,-0.122,0.384
0.0988769,6.6247559,-0.273,0.458
1.6587038,7.4157715,0.383,0.522
1.6806671,7.4157715,0.523,0.498
0.2307123,6.4709473,-0.205,0.391
1.6367402,7.4597168,-0.156,0.504
0.1647947,6.6687012,0.343,0.439
1.6806671,7.4377441,0.631,0.503
0.2966295,6.5148926,-0.148,0.404
1.6806671,7.4597168,0.254,0.394
1.6587038,7.3718262,-0.386,0.464
0.3845186,6.6906738,0.013,0.482
0.3625464,6.6906738,0.352,0.540
-0.0109863,6.5148926,-0.580,0.421
0.3625464,6.7346191,-0.114,0.522
0.2746571,6.7565918,-0.156,0.510
0.3625464,6.7126465,1.097,0.544
0.3405742,6.7126465,0.834,0.544
0.2966295,6.6906738,0.822,0.552
0.3625464,6.5588379,0.686,0.572
0.4064907,6.6247559,0.420,0.478
1.6806671,7.3937988,-0.041,0.518
1.6367402,7.4377441,0.646,0.508
0.3625464,6.6467285,-0.111,0.513
0.3845186,6.6687012,0.200,0.509
0.2087398,6.7126465,0.112,0.500
0.3845186,6.6467285,0.407,0.551
0.1867672,6.6906738,0.099,0.504
0.3405742,6.5588379,-0.342,0.444
0.2526847,6.4709473,-0.541,0.405
0.2087398,6.6906738,-0.313,0.429
0.3405742,6.5368652,0.493,0.506
0.1208495,6.6467285,-0.302,0.429
0.2966295,6.7126465,0.203,0.520
0.1647947,6.6906738,-0.457,0.461
0.3625464,6.5368652,0.420,0.552
0.2966295,6.6247559,-0.186,0.528
0.3625464,6.6027832,-0.197,0.404
1.6367402,7.4157715,0.426,0.580
0.3405742,6.6687012,-0.061,0.525
0.2526847,6.7126465,-0.237,0.429
0.3625464,6.5808105,-0.347,0.436
0.2746571,6.4709473,0.717,0.481
0.3405742,6.6467285,0.330,0.481
0.2746571,6.6906738,0.025,0.420
0.2966295,6.7346191,0.458,0.536
0.3186019,6.6906738,0.243,0.508
0.3625464,6.6247559,-0.432,0.437
1.6367402,7.3937988,0.115,0.506
1.6147764,7.3718262,-0.638,0.572
0.3405742,6.6247559,-0.086,0.412
0.2526847,6.6687012,-0.631,0.384
0.2087398,6.7346191,-0.088,0.497
0.1867672,6.6687012,-0.204,0.416
0.2966295,6.4929199,-0.074,0.446
0.3186019,6.7126465,0.824,0.538
0.3186019,6.7346191,1.112,0.565
0.2746571,6.7126465,-0.131,0.444
0.2307123,6.7126465,-0.316,0.424
0.3186019,6.7565918,-0.113,0.473
1.6147764,7.3937988,-0.392,0.432
0.3845186,6.6027832,-0.285,0.410
0.2746571,6.6687012,-0.255,0.411
0.0329590,6.5148926,-0.096,0.517
0.3186019,6.6467285,-0.365,0.479
0.2966295,6.6467285,0.199,0.497
0.3625464,6.6687012,0.099,0.533
0.3845186,6.6247559,0.179,0.563
0.1428221,6.6467285,0.155,0.523
0.3845186,6.7126465,0.502,0.556
0.2526847,6.6906738,-0.441,0.400
0.1208495,6.6027832,-0.156,0.500
