latitude,longitude,rwi,error
-26.6376385,32.0690918,-0.390,0.431
-25.9481659,31.2561035,0.311,0.555
-26.7357986,31.7614746,0.175,0.532
-27.0884727,31.5856934,0.107,0.441
-26.5393939,31.1242676,-0.428,0.458
-26.8142658,31.1462402,-0.017,0.457
-25.9679218,31.5856934,-0.427,0.430
-26.5393939,30.9484863,-0.428,0.452
-26.8730805,31.7175293,-0.554,0.450
-25.9679218,31.3879395,-0.467,0.450
-26.0271697,31.9592285,-0.695,0.442
-27.2057853,31.2561035,-0.311,0.518
-27.2057853,31.7834473,-0.441,0.452
-26.2835645,32.0471191,-0.453,0.451
-26.0469124,31.2780762,-0.029,0.491
-26.4017101,31.9372559,-0.410,0.431
-27.0297703,31.7614746,-0.544,0.431
-26.5983508,31.2121582,-0.353,0.454
-27.2253254,31.5637207,-0.031,0.457
-26.1258498,31.1901855,-0.383,0.474
-26.1258498,31.6076660,-0.269,0.437
-26.7357986,31.6516113,-0.134,0.450
-27.2643953,31.6076660,-0.455,0.462
-26.0666517,31.2780762,-0.242,0.458
-25.8493365,31.3439941,0.182,0.520
-26.8926787,31.6735840,-0.160,0.459
-26.4410651,31.1901855,0.730,0.612
-26.5000725,31.3879395,1.143,0.588
-26.3426524,31.1901855,0.232,0.625
-26.6965447,31.7614746,-0.007,0.534
-26.7946541,31.6735840,-0.677,0.448
-27.0884727,31.4758301,-0.681,0.431
-26.2047338,31.3220215,-0.553,0.456
-26.8534790,31.8933105,-0.133,0.489
-27.1666948,31.3879395,-0.084,0.465
-27.0101960,31.3659668,0.048,0.442
-26.0074237,31.3659668,0.052,0.460
-26.5197349,31.8493652,0.027,0.480
-27.0297703,31.9592285,0.108,0.523
-26.8730805,31.1462402,-0.475,0.431
-26.8142658,30.8605957,-0.066,0.450
-26.2638619,31.4758301,-0.251,0.463
-26.2244465,31.1682129,0.026,0.595
-26.6769127,31.4978027,0.140,0.475
-25.9679218,31.2341309,-0.413,0.540
-26.5000725,31.4758301,-0.384,0.548
-25.9284066,31.7175293,-0.289,0.440
-26.2244465,31.1022949,-0.449,0.476
-26.3426524,31.3000488,-0.246,0.472
-26.3623416,31.4099121,-0.396,0.505
-26.3229598,31.5417480,-0.275,0.435
-25.9876744,31.6296387,-0.300,0.492
-26.6965447,31.5197754,-0.550,0.432
-26.5197349,31.3000488,0.712,0.567
-27.0297703,31.4099121,-0.108,0.470
-26.8926787,30.9924316,0.412,0.514
-27.0101960,30.9924316,-0.538,0.466
-26.4804067,31.7614746,-0.650,0.446
-27.0493412,31.8933105,-0.369,0.458
-26.7750390,31.3879395,-0.410,0.436
-26.1850178,31.0583496,-0.699,0.456
-26.7357986,30.8166504,-0.410,0.439
-27.2448621,31.5637207,0.196,0.435
-26.5590496,31.8493652,-0.781,0.437
-26.7357986,31.9592285,-0.096,0.482
-26.9710372,31.0803223,-0.438,0.465
-27.0101960,31.8493652,-0.135,0.435
-27.0297703,31.5637207,-0.199,0.444
-26.9514527,31.4978027,-0.256,0.431
-26.5787018,30.7946777,-0.078,0.453
-25.8295607,31.4758301,-0.353,0.492
-25.8097816,31.3659668,-0.249,0.474
-25.8493365,31.4538574,-0.394,0.427
-26.4607376,31.4099121,-0.223,0.488
-26.2835645,31.3879395,-0.518,0.475
-27.1471444,31.5856934,-0.420,0.438
-26.7554205,31.9592285,0.461,0.474
-26.1850178,31.2121582,0.152,0.598
-26.3820276,31.0583496,0.091,0.493
-27.1080334,31.6955566,-0.665,0.431
-26.8926787,31.2561035,-0.607,0.427
-27.0101960,31.8933105,-0.301,0.473
-26.1455758,31.4758301,-0.433,0.440
-27.1471444,31.8273926,-0.665,0.429
-27.0493412,31.0803223,-0.218,0.459
-26.9906183,31.3879395,-0.331,0.450
-26.2244465,31.1462402,-0.103,0.467
-26.5393939,31.0144043,0.736,0.604
-26.5787018,31.1462402,-0.581,0.521
-26.7946541,31.8054199,-0.516,0.444
-26.0863877,32.0471191,-0.463,0.497
-26.7161733,31.9592285,0.406,0.454
-26.8534790,31.3439941,-0.224,0.454
-26.0863877,31.8713379,1.043,0.527
-26.0666517,31.9812012,-0.496,0.451
-26.6179963,31.1682129,-0.498,0.444
-26.6179963,31.9592285,-0.814,0.434
-26.9710372,31.5197754,-0.439,0.448
-25.9086440,31.4758301,0.428,0.465
-26.7750390,32.0690918,-0.502,0.537
-26.1455758,31.1462402,0.349,0.528
