latitude,longitude,rwi,error
14.7642589,100.2062988,-0.160,0.441
16.6046096,98.7121582,-0.553,0.446
15.8239658,101.9860840,0.421,0.437
15.8028247,103.2824707,0.127,0.442
6.0640861,101.8981934,0.418,0.435
16.5203656,102.3156738,0.504,0.441
16.8360897,100.1623535,0.225,0.454
17.8219152,104.2492676,-0.463,0.432
17.0042615,104.1394043,-0.133,0.450
13.2078602,100.9313965,1.070,0.468
6.5882169,100.4699707,-0.015,0.446
14.7642589,104.2932129,0.167,0.448
6.6536952,99.9645996,0.203,0.461
16.3306825,104.4470215,-0.326,0.410
15.9930146,103.8977051,0.931,0.436
14.4453192,103.4143066,0.041,0.436
16.0563712,103.3923340,0.596,0.438
15.5489602,102.8210449,-0.096,0.443
6.5663889,100.4479980,-0.106,0.443
15.8451046,102.1398926,-0.389,0.426
19.0932663,100.0744629,0.700,0.467
18.7815164,98.9978027,1.198,0.464
7.6347758,100.0744629,0.955,0.467
15.0827314,102.0300293,-0.118,0.439
18.6358348,99.1735840,-0.396,0.443
8.9610451,99.8986816,0.810,0.448
14.8917045,103.5021973,1.001,0.436
15.9718913,101.2829590,-0.170,0.474
16.3728503,102.9309082,0.138,0.425
16.1619207,103.6120605,0.607,0.426
18.6774709,98.9318848,0.924,0.469
6.7191648,100.9313965,0.282,0.429
11.9426009,99.8327637,0.930,0.404
6.7191648,100.2941895,0.375,0.446
13.8914108,102.6892090,0.028,0.416
14.5091441,101.7004395,-0.354,0.461
16.6677684,102.6672363,-0.477,0.424
14.8704688,101.4587402,0.163,0.419
12.9724418,101.2390137,0.463,0.467
8.5484296,99.3493652,0.633,0.433
8.4180361,98.6022949,-0.313,0.493
15.4430906,105.5017090,-0.429,0.413
14.5729506,101.9201660,-0.060,0.437
12.7796606,101.1071777,0.631,0.461
13.6353101,100.7336426,0.964,0.458
14.9766264,104.7546387,0.150,0.428
11.8350943,102.4694824,0.081,0.463
14.2324377,100.7116699,0.700,0.475
13.7207082,99.3933105,0.010,0.415
17.2981985,102.6892090,0.811,0.455
16.8571194,99.1516113,0.627,0.471
8.0048367,98.3825684,0.404,0.475
17.6963617,103.3923340,0.249,0.455
16.6888167,99.5471191,0.469,0.464
15.6970862,105.3039551,0.057,0.436
12.3292689,102.4694824,0.365,0.424
15.6759319,102.5134277,0.484,0.429
16.9622326,102.1838379,0.427,0.465
18.0309744,102.2058105,0.658,0.479
15.3159757,100.0744629,0.673,0.454
8.7222181,98.8879395,-0.359,0.441
13.2934109,101.2390137,0.580,0.451
15.2947823,103.5021973,-0.038,0.399
18.2815179,103.2824707,0.152,0.411
13.4003068,102.3156738,0.094,0.445
15.1039461,100.2062988,-0.135,0.462
15.5701276,101.8103027,0.040,0.459
17.4449916,101.1291504,-0.861,0.451
10.3473437,98.7561035,0.105,0.462
15.6336167,102.2717285,-0.065,0.422
13.8487469,100.9973145,0.126,0.440
16.5835521,103.7878418,0.632,0.472
15.3371669,105.0402832,-0.124,0.432
7.9177932,98.9978027,0.087,0.468
16.4992989,101.7224121,-0.484,0.437
15.1251586,104.6447754,0.058,0.433
15.2947823,101.6345215,0.256,0.446
17.1302914,99.4152832,0.104,0.453
12.3292689,102.6232910,-0.363,0.430
15.8451046,102.6672363,0.915,0.448
14.9553991,99.9645996,0.181,0.440
18.0518668,100.2282715,0.073,0.461
15.5066188,104.1613770,-0.057,0.452
16.5835521,102.3596191,-0.562,0.476
15.5066188,100.9313965,0.103,0.441
8.1571180,98.8879395,0.681,0.442
14.7005081,100.7995605,0.073,0.495
8.9610451,99.1296387,0.219,0.448
8.7439361,98.9099121,-0.305,0.453
15.8662413,99.5251465,-0.338,0.443
14.8279911,99.3273926,0.293,0.450
17.1512882,102.6892090,0.821,0.487
15.7605359,101.8103027,0.073,0.414
14.4665962,102.7770996,-0.344,0.459
15.3371669,101.1730957,-0.132,0.458
16.4150090,104.2492676,0.399,0.452
17.2352512,103.0627441,0.946,0.466
14.0833011,99.3493652,0.280,0.418
16.7309063,103.8098145,-0.349,0.432
14.5304150,103.1286621,0.337,0.448
18.1771685,97.8991699,-0.419,0.427
17.4240283,102.2717285,-0.435,0.437
17.7800738,102.7990723,0.417,0.461
14.0833011,101.4587402,-0.244,0.443
18.3440975,100.3161621,0.835,0.491
14.8704688,98.6242676,-0.121,0.479
9.5899171,98.9099121,0.117,0.449
14.5942153,104.1394043,0.171,0.436
16.5414301,101.1071777,0.469,0.433
13.7633955,101.7004395,0.505,0.411
12.1145226,99.7229004,0.005,0.423
19.3629758,99.8767090,-0.655,0.441
19.2800355,101.2170410,-0.336,0.420
12.1789647,102.4694824,0.497,0.456
14.6792536,105.3259277,-0.386,0.432
16.9622326,100.8215332,0.048,0.416
14.9129381,103.0187988,0.781,0.423
17.6754275,103.8977051,-0.352,0.431
16.6888167,99.8327637,0.323,0.440
12.5438394,102.4255371,0.276,0.425
14.1046123,99.1076660,0.398,0.451
19.9423689,99.4812012,-0.418,0.451
15.0827314,103.2165527,0.363,0.410
16.3306825,100.4479980,0.354,0.448
16.6467178,103.0187988,-0.185,0.445
17.2981985,98.6462402,-0.565,0.450
15.5912928,100.5139160,0.386,0.440
18.4275017,99.0197754,0.760,0.443
15.1463690,102.8210449,-0.547,0.409
19.9010533,99.8986816,0.148,0.458
16.9832482,100.2062988,0.744,0.435
17.3820946,102.6232910,0.264,0.519
7.8960294,99.4592285,-0.602,0.432
