latitude,longitude,rwi,error
38.8824807,69.2687988,-0.210,0.294
39.4107325,67.5109863,-0.318,0.282
38.0394384,68.8073730,-0.105,0.288
38.2985586,69.6643066,0.287,0.312
38.2640625,71.4880371,-0.587,0.293
38.5567566,68.7414551,1.735,0.421
40.5889276,69.7082520,-0.353,0.309
38.3158005,71.2683105,-0.425,0.299
37.4486961,68.0163574,-1.313,0.303
37.7793981,68.2580566,-0.452,0.288
37.3614250,68.6315918,-0.283,0.325
37.8488320,69.6862793,0.212,0.309
37.8835245,68.9172363,0.039,0.352
40.2879061,69.6643066,1.264,0.358
38.6254535,68.6096191,-0.172,0.376
38.1259141,70.0378418,0.565,0.330
38.9166810,70.1257324,-0.026,0.326
37.9701842,69.2907715,-0.773,0.312
38.4535882,69.3347168,-0.323,0.288
39.8507204,69.1369629,-0.397,0.282
38.7969078,68.8293457,0.364,0.357
37.6751248,69.4226074,-0.193,0.311
37.9701842,68.7194824,0.081,0.364
40.1032854,70.6311035,0.865,0.360
37.2390748,68.1701660,0.306,0.327
38.6082854,68.8293457,0.295,0.361
37.8661803,69.3786621,-0.377,0.292
37.2915350,69.1369629,0.359,0.317
38.7626498,69.7082520,-0.175,0.300
37.5881183,69.6423340,-0.605,0.287
37.3614250,67.9724121,-0.635,0.326
37.4835760,69.3566895,-0.097,0.337
38.8482639,70.7849121,-0.318,0.279
38.2122875,69.5764160,-0.307,0.290
38.1950210,70.0598145,-0.184,0.294
37.7793981,68.8513184,0.536,0.295
39.0533176,68.7634277,-0.386,0.288
38.6597772,68.3239746,-0.323,0.286
38.2813126,69.3566895,-0.398,0.288
38.2468082,68.9172363,-0.575,0.323
39.5125165,67.4230957,-0.310,0.313
39.9855379,69.0930176,-0.384,0.326
38.3847272,71.6418457,-0.949,0.301
39.4277069,70.2795410,-0.596,0.268
37.6577316,68.7634277,-0.100,0.308
40.0360260,69.1589355,-0.145,0.286
39.6818255,69.0930176,-0.446,0.279
40.4720239,69.4226074,-0.240,0.376
38.1604758,69.7302246,-0.026,0.286
37.8835245,68.6096191,-0.101,0.308
37.5532871,71.7077637,0.142,0.312
39.6310763,69.2468262,-0.282,0.278
38.0048195,68.8513184,0.513,0.284
38.1086272,69.7082520,0.053,0.283
40.7555791,70.7409668,-0.684,0.274
39.9855379,69.0270996,-0.109,0.373
39.7832122,68.8073730,0.497,0.363
40.2040499,69.0930176,-0.581,0.306
38.4019486,69.0051270,0.176,0.302
37.9528604,69.5983887,0.065,0.287
38.0913361,70.2575684,-0.296,0.298
38.6254535,68.9611816,0.629,0.331
38.8482639,69.2687988,-0.088,0.294
37.6403344,68.6315918,-0.295,0.391
40.4218598,69.7302246,-0.445,0.300
37.2915350,68.0822754,-0.525,0.307
38.1604758,68.6535645,-0.203,0.314
39.3427939,67.9284668,-0.481,0.281
37.0464084,71.5100098,-0.353,0.286
37.6577316,68.8073730,-0.088,0.335
38.6769329,68.7634277,0.530,0.415
37.5358655,68.1262207,-0.069,0.338
38.5223836,68.8073730,0.819,0.447
38.1086272,69.9279785,-0.211,0.289
40.1536863,69.2907715,-0.179,0.308
37.5184397,68.6315918,-0.450,0.323
40.1368902,69.6862793,0.128,0.347
39.3767715,67.7526855,-0.148,0.292
37.7272798,69.9060059,-0.210,0.302
39.8338496,68.6975098,-0.395,0.295
39.9687002,69.4885254,-0.527,0.310
37.6055277,68.7634277,-0.759,0.297
37.2215800,71.4880371,-0.016,0.289
38.8824807,69.9719238,-0.029,0.370
37.2565656,68.1042480,0.403,0.393
37.6751248,69.5983887,-0.168,0.381
38.8482639,69.7961426,0.035,0.320
38.4535882,68.2141113,-0.279,0.350
39.1896903,68.5656738,0.054,0.350
38.7112320,68.7634277,-0.053,0.346
39.9687002,70.4772949,0.377,0.381
37.7446566,68.6315918,-0.020,0.484
40.1536863,69.0710449,-0.443,0.269
37.5010099,68.6315918,-0.302,0.376
40.1536863,69.5324707,-0.132,0.352
38.2295499,69.7741699,-0.128,0.302
37.8488320,69.7961426,-0.243,0.309
