latitude,longitude,rwi,error
42.0248131,59.4250488,0.003,0.376
39.5294660,54.2834473,-0.413,0.398
38.9679506,63.5119629,0.287,0.569
39.1556219,63.5998535,0.310,0.587
38.8995829,63.7316895,-0.066,0.392
38.2985586,57.5793457,0.056,0.369
41.6811170,59.8645020,0.118,0.332
41.9921597,59.6008301,-0.533,0.372
41.7958876,60.1721191,-0.184,0.381
37.7967627,66.3903809,-0.602,0.384
37.4312500,66.1706543,-0.192,0.553
39.6479968,57.5134277,-0.711,0.377
38.1259141,65.5334473,-0.528,0.389
37.7793981,65.2917480,-0.604,0.418
41.9921597,59.8864746,-0.590,0.392
38.3502720,57.3815918,-0.342,0.367
40.0023714,60.9411621,0.668,0.376
38.4019486,54.0197754,-0.139,0.382
35.9157469,62.9846191,0.077,0.387
42.2691790,59.2932129,-0.185,0.372
38.1777505,57.9968262,-0.003,0.374
41.7631169,60.3039551,-0.835,0.390
37.3090136,61.0949707,0.386,0.399
37.8314796,58.3923340,-0.750,0.425
38.5739370,64.0612793,0.044,0.416
42.4153456,58.4582520,-1.157,0.386
41.6811170,58.6999512,-0.192,0.367
42.5287958,58.7219238,-0.564,0.366
42.0411335,58.7438965,-0.182,0.365
42.3016898,58.5461426,-0.153,0.380
37.8835245,58.8317871,0.024,0.384
39.4616431,53.6901855,0.355,0.384
39.2067183,63.3142090,-0.417,0.513
39.1044883,63.5119629,0.229,0.513
41.8940990,60.0622559,-0.742,0.384
42.0411335,59.3811035,0.124,0.368
37.7620294,61.6223145,-0.126,0.388
41.5825791,59.9743652,-0.450,0.377
35.9335401,62.9406738,-0.252,0.357
42.3991216,59.1174316,-0.421,0.392
42.1552589,59.9523926,0.058,0.375
41.8613786,60.1062012,-0.160,0.398
37.6403344,60.3039551,-0.447,0.350
37.3439586,62.2155762,-0.812,0.398
39.2747891,63.4240723,-0.692,0.387
42.3179389,59.1613770,0.859,0.456
42.3341839,59.2492676,-0.245,0.369
37.8835245,62.0837402,-0.118,0.377
37.9528604,66.6320801,0.056,0.384
42.3179389,58.7658691,-0.519,0.366
38.0567417,65.0720215,-0.331,0.404
42.4477809,59.0734863,-0.390,0.366
42.2366514,59.5129395,-0.388,0.387
38.1431970,65.4895020,-0.034,0.402
37.5707047,62.1716309,-0.726,0.412
39.0533176,63.6657715,-0.601,0.401
37.7967627,62.1057129,-0.083,0.393
38.0913361,58.1286621,-0.294,0.458
42.1063732,59.1833496,-0.434,0.368
37.9008646,58.4143066,0.736,0.563
38.0221310,58.5241699,-0.623,0.407
42.5287958,58.4802246,-0.415,0.367
